timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
1547, 2, 2.00, 2.00, -0.69, 0.41, -0.08, 1.00, 10.00, 0.01, 500.00, 0.00, 2.49, 0.00, 0.00, 0.00, 500.00, 0.00, 2.89, 0.00, 0.00, 0.00
1580, 2, 2.00, 2.00, -0.19, 1.24, -1.74, 1.00, 10.00, 0.01, 500.00, 248.00, 1.93, 0.00, 0.00, 0.00, 500.00, 128.00, 2.00, 0.00, 0.00, 0.00
1588, 2, 2.00, 2.00, -0.44, 1.57, -1.74, 1.00, 10.00, 0.01, 500.00, 292.00, 1.74, 0.00, 0.00, 0.02, 500.00, 152.00, 2.02, 0.00, 0.00, 0.00
1604, 2, 2.00, 2.00, -0.79, 1.01, -1.66, 1.00, 10.00, 0.01, 500.00, 368.00, 1.68, 0.00, 0.00, 0.04, 500.00, 184.00, 1.91, 0.00, 0.00, 0.02
1612, 2, 2.00, 2.00, -0.82, 1.34, -1.66, 1.00, 10.00, 0.01, 500.00, 408.00, 1.58, 0.00, 0.00, 0.04, 500.00, 196.00, 1.98, 0.00, 0.00, 0.04
1620, 2, 2.00, 2.00, -0.68, 1.37, -1.71, 1.00, 10.00, 0.01, 500.00, 440.00, 1.39, 0.00, 0.00, 0.04, 500.00, 208.00, 1.84, 0.00, 0.00, 0.05
1636, 2, 2.00, 2.00, -0.96, 1.25, -1.77, 1.00, 10.00, 0.01, 500.00, 492.00, 1.42, 0.00, 8.00, 0.07, 500.00, 244.00, 1.75, 0.00, 4.00, 0.04
1645, 2, 2.00, 2.00, -0.96, 1.25, -1.77, 1.00, 10.00, 0.01, 500.00, 516.00, 1.53, 0.00, 12.00, 0.07, 500.00, 256.00, 1.74, 0.00, 4.00, 0.07
1653, 2, 2.00, 2.00, -0.85, 0.96, -2.00, 1.00, 10.00, 0.01, 500.00, 528.00, 1.16, 0.00, 12.00, 0.09, 500.00, 264.00, 1.91, 0.00, 4.00, 0.07
1661, 2, 2.00, 2.00, -0.60, 1.32, -2.16, 1.00, 10.00, 0.01, 500.00, 536.00, 0.91, 0.00, 20.00, 0.09, 500.00, 272.00, 1.77, 0.00, 12.00, 0.05
1679, 2, 2.00, 2.00, -0.78, 1.29, -2.61, 1.00, 10.00, 0.01, 500.00, 540.00, 0.88, 0.00, 28.00, 0.11, 500.00, 288.00, 1.84, 0.00, 16.00, 0.09
1687, 2, 2.00, 2.00, -0.86, 1.17, -2.84, 1.00, 10.00, 0.01, 500.00, 528.00, 0.88, 0.00, 36.00, 0.11, 500.00, 296.00, 1.75, 0.00, 24.00, 0.09
1697, 2, 2.00, 2.00, -1.04, 1.16, -3.09, 1.00, 10.00, 0.01, 500.00, 532.00, 0.75, 0.00, 40.00, 0.12, 500.00, 308.00, 1.65, 0.00, 24.00, 0.07
1707, 2, 2.00, 2.00, -0.67, 1.67, -3.34, 1.00, 10.00, 0.01, 500.00, 512.00, 0.86, 0.00, 44.00, 0.11, 500.00, 312.00, 1.63, 0.00, 28.00, 0.11
1724, 2, 2.00, 2.00, -1.08, 0.89, -3.70, 1.00, 10.00, 0.01, 500.00, 528.00, 0.91, 0.00, 52.00, 0.11, 500.00, 344.00, 1.63, 0.00, 32.00, 0.09
1733, 2, 2.00, 2.00, -0.59, 1.26, -3.95, 1.00, 10.00, 0.01, 500.00, 512.00, 0.89, 0.00, 52.00, 0.14, 500.00, 364.00, 1.72, 0.00, 36.00, 0.11
1741, 2, 2.00, 2.00, -0.49, 1.02, -4.18, 1.00, 10.00, 0.01, 500.00, 512.00, 1.02, 0.00, 52.00, 0.12, 500.00, 364.00, 1.79, 0.00, 36.00, 0.12
1758, 2, 2.00, 2.00, -0.48, 1.77, -4.87, 1.00, 10.00, 0.01, 500.00, 504.00, 1.11, 0.00, 56.00, 0.12, 500.00, 392.00, 1.96, 0.00, 40.00, 0.09
1767, 2, 2.00, 2.00, -0.84, 1.17, -5.17, 1.00, 10.00, 0.01, 500.00, 504.00, 1.11, 0.00, 56.00, 0.16, 500.00, 424.00, 2.00, 0.00, 40.00, 0.09
1777, 2, 2.00, 2.00, -0.65, 1.07, -5.44, 1.00, 10.00, 0.01, 500.00, 504.00, 1.00, 0.00, 56.00, 0.12, 500.00, 436.00, 2.04, 0.00, 44.00, 0.14
1787, 2, 2.00, 2.00, -0.49, 2.00, -5.72, 1.00, 10.00, 0.01, 500.00, 508.00, 1.07, 0.00, 60.00, 0.18, 500.00, 424.00, 1.98, 0.00, 44.00, 0.12
1803, 2, 2.00, 2.00, -1.43, 1.31, -6.22, 1.00, 10.00, 0.01, 500.00, 508.00, 0.96, 0.00, 64.00, 0.18, 500.00, 460.00, 1.68, 0.00, 48.00, 0.11
1812, 2, 2.00, 2.00, -0.57, 0.85, -6.45, 1.00, 10.00, 0.01, 500.00, 520.00, 0.86, 0.00, 68.00, 0.19, 500.00, 468.00, 1.79, 0.00, 48.00, 0.14
1820, 2, 2.00, 2.00, -0.99, 1.13, -6.62, 1.00, 10.00, 0.01, 500.00, 512.00, 0.91, 0.00, 68.00, 0.16, 500.00, 476.00, 1.74, 0.00, 48.00, 0.14
1838, 2, 2.00, 2.00, -0.90, 1.60, -7.36, 1.00, 10.00, 0.01, 500.00, 504.00, 0.98, 0.00, 72.00, 0.19, 500.00, 480.00, 1.63, 0.00, 48.00, 0.12
1847, 2, 2.00, 2.00, -0.45, 1.08, -7.62, 1.00, 10.00, 0.01, 500.00, 508.00, 0.89, 0.00, 72.00, 0.18, 500.00, 500.00, 1.47, 0.00, 52.00, 0.14
1857, 2, 2.00, 2.00, -0.73, 1.06, -7.89, 1.00, 10.00, 0.01, 500.00, 504.00, 1.16, 0.00, 76.00, 0.18, 500.00, 516.00, 1.63, 0.00, 52.00, 0.14
1867, 2, 2.00, 2.00, -0.53, 0.66, -8.24, 1.00, 10.00, 0.01, 500.00, 508.00, 1.00, 0.00, 76.00, 0.21, 500.00, 532.00, 1.53, 0.00, 52.00, 0.14
1884, 2, 2.00, 2.00, -0.23, 0.49, -8.52, 1.00, 10.00, 0.01, 500.00, 496.00, 1.12, 0.00, 76.00, 0.18, 500.00, 536.00, 1.46, 0.00, 52.00, 0.14
1893, 2, 2.00, 2.00, -0.35, 1.09, -8.86, 1.00, 10.00, 0.01, 500.00, 504.00, 1.16, 0.00, 76.00, 0.19, 500.00, 536.00, 1.51, 0.00, 56.00, 0.16
1901, 2, 2.00, 2.00, 0.08, 1.18, -9.05, 1.00, 10.00, 0.01, 500.00, 504.00, 1.09, 0.00, 76.00, 0.23, 500.00, 536.00, 1.53, 0.00, 56.00, 0.18
1909, 2, 2.00, 2.00, -0.20, 1.31, -9.23, 1.00, 10.00, 0.01, 500.00, 500.00, 0.96, 0.00, 80.00, 0.21, 500.00, 520.00, 1.56, 0.00, 56.00, 0.14
1926, 2, 2.00, 2.00, -0.32, 0.73, -9.73, 1.00, 10.00, 0.01, 500.00, 516.00, 0.95, 0.00, 84.00, 0.26, 500.00, 524.00, 1.53, 0.00, 56.00, 0.16
1934, 2, 2.00, 2.00, -0.32, 0.73, -9.73, 1.00, 10.00, 0.01, 500.00, 520.00, 0.79, 0.00, 88.00, 0.26, 500.00, 536.00, 1.42, 0.00, 56.00, 0.16
1943, 2, 2.00, 2.00, -0.85, 0.62, -9.83, 1.00, 10.00, 0.01, 500.00, 496.00, 0.93, 0.00, 92.00, 0.26, 500.00, 524.00, 1.46, 0.00, 56.00, 0.12
1959, 2, 2.00, 2.00, -0.44, 0.95, -10.37, 1.00, 10.00, 0.01, 500.00, 508.00, 1.00, 0.00, 96.00, 0.23, 500.00, 520.00, 1.58, 0.00, 56.00, 0.16
1968, 2, 2.00, 2.00, -0.26, 1.42, -10.52, 1.00, 10.00, 0.01, 500.00, 500.00, 0.96, 0.00, 100.00, 0.26, 500.00, 532.00, 1.58, 0.00, 56.00, 0.16
1977, 2, 2.00, 2.00, -0.63, 0.58, -10.72, 1.00, 10.00, 0.01, 500.00, 504.00, 0.98, 0.00, 100.00, 0.28, 500.00, 544.00, 1.49, 0.00, 56.00, 0.14
1987, 2, 2.00, 2.00, -0.61, -0.38, -10.92, 1.00, 10.00, 0.01, 500.00, 504.00, 0.89, 0.00, 96.00, 0.30, 500.00, 536.00, 1.49, 0.00, 56.00, 0.18
2004, 2, 2.00, 2.00, 0.40, 1.44, -11.08, 1.00, 10.00, 0.01, 500.00, 504.00, 1.05, 0.00, 104.00, 0.32, 500.00, 528.00, 1.53, 0.00, 60.00, 0.19
2013, 2, 2.00, 2.00, -0.53, 1.17, -11.27, 1.00, 10.00, 0.01, 500.00, 512.00, 0.79, 0.00, 104.00, 0.30, 500.00, 528.00, 1.68, 0.00, 60.00, 0.14
2021, 2, 2.00, 2.00, 0.41, 1.13, -11.32, 1.00, 10.00, 0.01, 500.00, 516.00, 0.89, 0.00, 104.00, 0.30, 500.00, 500.00, 1.49, 0.00, 60.00, 0.18
2039, 2, 2.00, 2.00, -0.88, 0.15, -11.62, 1.00, 10.00, 0.01, 500.00, 508.00, 0.77, 0.00, 112.00, 0.35, 500.00, 504.00, 1.65, 0.00, 60.00, 0.14
2047, 2, 2.00, 2.00, -0.09, 0.76, -11.68, 1.00, 10.00, 0.01, 500.00, 520.00, 0.65, 0.00, 120.00, 0.35, 500.00, 504.00, 1.72, 0.00, 60.00, 0.12
2057, 2, 2.00, 2.00, -0.08, 0.92, -11.67, 1.00, 10.00, 0.01, 500.00, 520.00, 0.68, 0.00, 124.00, 0.39, 500.00, 492.00, 1.51, 0.00, 56.00, 0.16
2067, 2, 2.00, 2.00, 0.87, 1.37, -11.74, 1.00, 10.00, 0.01, 500.00, 508.00, 0.79, 0.00, 128.00, 0.33, 500.00, 476.00, 1.56, 0.00, 56.00, 0.14
2083, 2, 2.00, 2.00, -0.16, 0.94, -11.79, 1.00, 10.00, 0.01, 500.00, 512.00, 0.72, 0.00, 132.00, 0.33, 500.00, 496.00, 1.51, 0.00, 52.00, 0.12
2092, 2, 2.00, 2.00, 0.18, 1.35, -11.75, 1.00, 10.00, 0.01, 500.00, 504.00, 0.72, 0.00, 132.00, 0.35, 500.00, 504.00, 1.58, 0.00, 56.00, 0.18
2100, 2, 2.00, 2.00, 0.28, 0.37, -11.86, 1.00, 10.00, 0.01, 500.00, 500.00, 0.88, 0.00, 132.00, 0.39, 500.00, 512.00, 1.79, 0.00, 56.00, 0.16
2114, 2, 2.00, 2.00, -0.03, 0.99, -12.03, 1.00, 10.00, 0.01, 500.00, 496.00, 1.02, 0.00, 132.00, 0.37, 500.00, 504.00, 1.53, 0.00, 56.00, 0.14
2123, 2, 2.00, 2.00, 1.05, 1.48, -12.18, 1.00, 10.00, 0.01, 500.00, 496.00, 1.05, 0.00, 132.00, 0.39, 500.00, 512.00, 1.63, 0.00, 60.00, 0.18
2131, 2, 2.00, 2.00, -0.04, 0.96, -12.27, 1.00, 10.00, 0.01, 500.00, 500.00, 0.84, 0.00, 132.00, 0.40, 500.00, 516.00, 1.46, 0.00, 60.00, 0.16
2140, 2, 2.00, 2.00, 0.50, 0.85, -12.36, 1.00, 10.00, 0.01, 500.00, 504.00, 0.84, 0.00, 136.00, 0.39, 500.00, 496.00, 1.65, 0.00, 64.00, 0.16
2152, 2, 2.00, 2.00, 0.93, 1.37, -12.48, 1.00, 10.00, 0.01, 500.00, 508.00, 0.84, 0.00, 144.00, 0.40, 500.00, 500.00, 1.54, 0.00, 60.00, 0.18
2161, 2, 2.00, 2.00, -0.49, 0.39, -12.65, 1.00, 10.00, 0.01, 500.00, 512.00, 0.79, 0.00, 148.00, 0.39, 500.00, 504.00, 1.47, 0.00, 60.00, 0.12
2169, 2, 2.00, 2.00, -0.02, 0.91, -12.70, 1.00, 10.00, 0.01, 500.00, 512.00, 0.63, 0.00, 148.00, 0.40, 500.00, 516.00, 1.67, 0.00, 60.00, 0.16
2178, 2, 2.00, 2.00, 0.18, 1.00, -12.73, 1.00, 10.00, 0.01, 500.00, 504.00, 0.70, 0.00, 148.00, 0.44, 500.00, 504.00, 1.53, 0.00, 56.00, 0.11
2191, 2, 2.00, 2.00, 0.96, 1.69, -12.87, 1.00, 10.00, 0.01, 500.00, 496.00, 0.81, 0.00, 152.00, 0.40, 500.00, 496.00, 1.49, 0.00, 52.00, 0.16
2199, 2, 2.00, 2.00, -0.02, 0.70, -13.04, 1.00, 10.00, 0.01, 500.00, 508.00, 0.81, 0.00, 152.00, 0.42, 500.00, 500.00, 1.53, 0.00, 52.00, 0.14
2208, 2, 2.00, 2.00, 0.22, 1.24, -13.11, 1.00, 10.00, 0.01, 500.00, 504.00, 0.81, 0.00, 148.00, 0.40, 500.00, 504.00, 1.63, 0.00, 52.00, 0.16
2220, 2, 2.00, 2.00, 0.50, 1.22, -13.22, 1.00, 10.00, 0.01, 500.00, 508.00, 0.77, 0.00, 152.00, 0.42, 500.00, 504.00, 1.49, 0.00, 48.00, 0.11
2228, 2, 2.00, 2.00, -0.02, 1.19, -13.38, 1.00, 10.00, 0.01, 500.00, 496.00, 0.72, 0.00, 152.00, 0.40, 500.00, 512.00, 1.61, 0.00, 48.00, 0.16
2237, 2, 2.00, 2.00, 0.58, 0.99, -13.59, 1.00, 10.00, 0.01, 500.00, 492.00, 0.86, 0.00, 156.00, 0.44, 500.00, 504.00, 1.63, 0.00, 48.00, 0.14
2247, 2, 2.00, 2.00, 0.52, 1.08, -13.79, 1.00, 10.00, 0.01, 500.00, 496.00, 1.00, 0.00, 156.00, 0.42, 500.00, 496.00, 1.51, 0.00, 48.00, 0.14
