timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
56072, 0, 1.50, 0.50, -0.55, -0.27, -0.28, -0.00, 1.32, 52.80, 0.01, 1.46, 0.04, 0.00, 1.49, 0.04, 0.00, 1.46, 0.04, 0.00, 1.49, 0.06, 0.00, 0.00, 1.50, 12.03, 1.50, 0.90, 0.90
56111, 0, 1.50, 0.50, -0.43, -0.62, -0.29, -0.01, 1.32, 52.80, 0.01, 1.46, 0.04, 0.00, 1.51, 0.04, 0.00, 1.45, 0.04, 0.00, 1.51, 0.06, 0.00, 120.32, 1.51, 15.64, 1.50, 0.90, 0.90
56128, 0, 1.50, 0.50, -0.52, -0.60, -0.36, -0.02, 1.32, 52.80, 0.01, 1.45, 0.04, 0.00, 1.51, 0.04, 0.00, 1.45, 0.04, 0.00, 1.51, 0.04, 0.00, 156.42, 1.52, 16.72, 1.50, 0.90, 0.90
56139, 0, 1.50, 0.50, -0.55, -0.40, -0.39, -0.03, 1.32, 52.80, 0.01, 1.45, 0.04, 0.00, 1.51, 0.04, 0.00, 1.45, 0.04, 0.00, 1.51, 0.04, 0.00, 167.25, 1.53, 17.05, 1.50, 0.90, 0.90
56155, 0, 1.50, 0.50, -0.57, -0.40, -0.36, -0.03, 1.32, 52.80, 0.01, 1.45, 0.04, 0.00, 1.51, 0.04, 0.00, 1.45, 0.04, 0.00, 1.51, 0.04, 0.00, 170.50, 1.53, 17.15, 1.50, 0.90, 0.90
56165, 0, 1.50, 0.50, -0.56, -0.44, -0.32, -0.04, 1.32, 52.80, 0.01, 1.45, 0.04, 0.00, 1.51, 0.04, 0.00, 1.45, 0.04, 0.00, 1.51, 0.04, 0.00, 171.47, 1.54, 17.18, 1.50, 0.90, 0.90
56179, 0, 1.50, 0.50, -0.56, -0.41, -0.33, -0.04, 1.32, 52.80, 0.01, 1.45, 0.04, 0.00, 1.51, 0.04, 0.00, 1.45, 0.04, 0.00, 1.51, 0.04, 0.00, 171.76, 1.54, 17.18, 1.50, 0.90, 0.90
56196, 0, 1.50, 0.50, -0.55, -0.39, -0.31, -0.05, 1.32, 52.80, 0.01, 1.45, 0.04, 1.53, 1.51, 0.11, 3.00, 1.45, 0.07, 2.46, 1.51, 0.04, 2.56, 171.85, 1.55, 17.19, 1.50, 0.90, 0.90
56205, 0, 1.50, 0.50, -0.56, -0.36, -0.31, -0.05, 1.32, 52.80, 0.01, 1.45, 0.08, 2.56, 1.51, 0.72, 2.12, 1.45, 0.48, 2.18, 1.51, 0.46, 2.93, 171.88, 1.55, 17.19, 1.50, 0.90, 0.90
56219, 0, 1.50, 0.50, -0.57, -0.10, -0.35, -0.05, 1.32, 52.80, 0.01, 1.45, 0.51, 1.86, 1.51, 1.04, 2.25, 1.45, 0.70, 2.51, 1.51, 0.80, 2.26, 171.88, 1.55, 17.19, 1.50, 0.90, 0.90
56237, 0, 1.50, 0.50, -0.63, -0.43, -0.35, -0.06, 1.32, 52.80, 0.01, 1.45, 1.01, 1.68, 1.51, 1.45, 1.72, 1.45, 1.14, 2.12, 1.51, 1.35, 1.95, 171.89, 1.56, 17.19, 1.50, 0.90, 0.90
56245, 0, 1.50, 0.50, -0.79, -0.14, -0.11, -0.06, 1.32, 52.80, 0.01, 1.45, 1.51, 1.58, 1.51, 2.07, 0.65, 1.45, 1.75, 1.91, 1.51, 1.59, 1.11, 171.89, 1.56, 17.19, 1.50, 0.90, 0.90
56259, 0, 1.50, 0.50, -0.67, -0.29, 0.38, -0.06, 1.32, 52.80, 0.01, 1.45, 1.32, 0.65, 1.51, 1.21, 1.61, 1.45, 1.35, 0.63, 1.51, 1.31, 1.14, 171.89, 1.56, 17.53, 1.50, 0.90, 0.90
56275, 0, 1.50, 0.50, -0.88, 0.23, 1.40, -0.06, 1.32, 52.80, 0.01, 1.45, 1.62, 1.23, 1.51, 1.38, 1.05, 1.45, 1.25, 0.82, 1.51, 1.58, 1.12, 171.89, 1.56, 18.42, 1.50, 0.90, 0.90
56285, 0, 1.50, 0.50, -0.65, 0.42, 2.67, -0.06, 1.32, 52.80, 0.01, 1.45, 1.59, 0.65, 1.51, 1.48, 0.91, 1.45, 1.42, 0.96, 1.51, 1.31, 0.68, 171.62, 1.56, 19.48, 1.50, 0.90, 0.90
56299, 0, 1.50, 0.50, -0.65, 1.00, 4.51, -0.04, 1.32, 52.80, 0.01, 1.45, 1.62, 1.11, 1.51, 1.44, 1.54, 1.45, 1.14, 0.67, 1.51, 1.37, 1.72, 170.83, 1.54, 21.01, 1.50, 0.89, 0.90
56315, 0, 1.50, 0.50, -0.29, 1.69, 7.69, -0.02, 1.32, 52.80, 0.01, 1.45, 1.61, 0.37, 1.52, 1.59, 0.89, 1.45, 1.28, 1.26, 1.51, 1.49, 1.16, 169.70, 1.52, 23.61, 1.50, 0.88, 0.90
56325, 0, 1.50, 0.50, -0.22, 1.13, 12.32, -0.01, 1.32, 52.80, 0.01, 1.45, 1.58, 0.82, 1.52, 1.55, 0.72, 1.44, 1.28, 1.11, 1.52, 1.25, 0.84, 168.07, 1.51, 27.13, 1.50, 0.86, 0.90
56339, 0, 1.50, 0.50, -0.23, 1.10, 17.86, 0.01, 1.32, 52.80, 0.01, 1.44, 1.41, 0.81, 1.54, 1.28, 0.95, 1.44, 1.37, 0.74, 1.52, 1.69, 1.58, 165.36, 1.49, 30.52, 1.50, 0.81, 0.90
56356, 0, 1.50, 0.50, -0.32, 0.88, 24.79, 0.02, 1.32, 52.80, 0.01, 1.44, 1.27, 0.89, 1.54, 1.18, 1.23, 1.42, 1.52, 0.63, 1.54, 1.14, 1.53, 161.30, 1.48, 33.24, 1.50, 0.71, 0.90
56365, 0, 1.50, 0.50, -0.25, 0.58, 31.26, 0.03, 1.32, 52.80, 0.01, 1.44, 1.69, 0.79, 1.54, 1.59, 1.14, 1.44, 1.37, 0.68, 1.52, 1.48, 1.79, 156.21, 1.47, 32.53, 1.50, 0.56, 0.90
56379, 0, 1.50, 0.50, -0.47, 1.64, 36.31, 0.05, 1.32, 52.80, 0.01, 1.45, 1.10, 0.39, 1.52, 1.18, 0.72, 1.44, 1.21, 1.42, 1.52, 1.48, 1.12, 149.83, 1.45, 28.35, 1.50, 0.39, 0.90
56427, 0, 1.50, 0.50, -0.33, 0.96, 44.40, 0.06, 1.32, 52.80, 0.01, 1.45, 1.49, 0.88, 1.52, 1.55, 1.30, 1.45, 1.31, 1.19, 1.51, 1.49, 1.07, 143.39, 1.44, 22.83, 1.50, 0.20, 0.90
56436, 0, 1.50, 0.50, -0.39, 1.77, 51.19, 0.09, 1.32, 52.80, 0.01, 1.46, 1.59, 0.37, 1.49, 1.65, 0.77, 1.46, 1.82, 0.75, 1.49, 1.86, 0.86, 137.92, 1.41, 9.13, 1.50, -0.08, 0.90
56454, 0, 1.50, 0.50, -0.25, 0.82, 56.12, 0.10, 1.32, 52.80, 0.01, 1.46, 1.54, 0.93, 1.49, 1.49, 0.96, 1.46, 1.27, 1.47, 1.49, 1.25, 1.42, 130.61, 1.40, 8.34, 1.50, -0.37, 0.90
56462, 0, 1.50, 0.50, -0.55, 1.49, 60.05, 0.12, 1.32, 52.80, 0.01, 1.45, 1.58, 0.86, 1.52, 1.63, 0.81, 1.44, 1.55, 1.82, 1.52, 1.39, 1.21, 123.67, 1.38, 25.32, 1.50, -0.62, 0.90
56472, 0, 1.50, 0.50, -0.97, 1.88, 63.19, 0.14, 1.32, 52.80, 0.01, 1.44, 1.55, 1.14, 1.55, 1.34, 0.86, 1.42, 1.56, 1.21, 1.54, 1.46, 0.65, 118.14, 1.36, 40.91, 1.50, -0.83, 0.90
56490, 0, 1.50, 0.50, -1.24, 1.16, 66.47, 0.16, 1.32, 52.80, 0.01, 1.42, 1.42, 0.82, 1.59, 1.28, 1.21, 1.39, 1.37, 0.58, 1.56, 1.32, 1.67, 113.73, 1.34, 55.45, 1.50, -1.00, 0.90
56499, 0, 1.50, 0.50, -0.64, 1.10, 69.95, 0.17, 1.32, 52.80, 0.01, 1.42, 1.85, 0.77, 1.59, 1.54, 0.93, 1.39, 1.55, 1.37, 1.56, 1.39, 2.14, 110.21, 1.33, 59.26, 1.50, -1.00, 0.90
56512, 0, 1.50, 0.50, -1.59, 0.75, 73.21, 0.18, 1.32, 52.80, 0.01, 1.42, 1.17, 0.33, 1.61, 1.27, 0.58, 1.38, 1.65, 0.93, 1.58, 1.45, 1.02, 106.85, 1.32, 62.87, 1.50, -1.00, 0.90
56529, 0, 1.50, 0.50, -1.35, 0.19, 77.23, 0.19, 1.32, 52.80, 0.01, 1.42, 1.01, 0.88, 1.62, 1.39, 1.18, 1.38, 1.42, 0.88, 1.58, 1.73, 1.25, 103.41, 1.31, 67.22, 1.50, -1.00, 0.90
56539, 0, 1.50, 0.50, -0.83, 1.23, 81.66, 0.20, 1.32, 52.80, 0.01, 1.42, 1.32, 0.81, 1.62, 1.48, 0.95, 1.37, 1.35, 1.04, 1.59, 1.55, 0.75, 100.10, 1.30, 72.03, 1.50, -1.00, 0.90
56552, 0, 1.50, 0.50, -0.72, 1.13, 85.76, 0.22, 1.32, 52.80, 0.01, 1.42, 1.00, 0.44, 1.63, 1.42, 1.23, 1.37, 1.72, 0.42, 1.59, 1.52, 0.67, 96.29, 1.28, 76.56, 1.50, -1.00, 0.90
56566, 0, 1.50, 0.50, -0.84, 0.86, 89.76, 0.23, 1.32, 52.80, 0.01, 1.42, 1.06, 1.02, 1.65, 1.62, 1.14, 1.35, 1.24, 0.75, 1.61, 1.62, 1.33, 92.05, 1.27, 80.97, 1.50, -1.00, 0.90
56579, 0, 1.50, 0.50, -1.22, 1.27, 94.40, 0.25, 1.32, 52.80, 0.01, 1.42, 1.25, 1.02, 1.66, 1.69, 1.02, 1.35, 1.10, 0.65, 1.61, 1.52, 0.51, 87.90, 1.25, 86.02, 1.50, -1.00, 0.90
56592, 0, 1.50, 0.50, -1.48, 1.35, 98.12, 0.26, 1.32, 52.80, 0.01, 1.42, 1.34, 0.70, 1.68, 1.73, 1.14, 1.35, 1.08, 0.56, 1.61, 1.56, 0.88, 83.86, 1.24, 90.18, 1.50, -1.00, 0.90
56605, 0, 1.50, 0.50, -1.33, 0.94, 101.16, 0.28, 1.32, 52.80, 0.01, 1.42, 1.34, 0.42, 1.69, 1.87, 1.02, 1.34, 1.07, 0.49, 1.62, 1.65, 1.23, 79.40, 1.22, 93.61, 1.50, -1.00, 0.90
56619, 0, 1.50, 0.50, -1.16, 0.76, 103.84, 0.29, 1.32, 52.80, 0.01, 1.42, 1.44, 1.53, 1.69, 1.68, 1.04, 1.34, 1.10, 0.75, 1.62, 1.62, 0.70, 75.46, 1.21, 96.62, 1.50, -1.00, 0.90
56632, 0, 1.50, 0.50, -1.24, 1.15, 106.95, 0.30, 1.32, 52.80, 0.01, 1.42, 1.31, 0.84, 1.70, 1.56, 0.93, 1.32, 1.23, 0.44, 1.63, 1.63, 0.58, 72.15, 1.20, 100.02, 1.50, -1.00, 0.90
56645, 0, 1.50, 0.50, -1.45, 0.63, 110.01, 0.31, 1.32, 52.80, 0.01, 1.42, 1.23, 0.70, 1.72, 1.48, 0.86, 1.32, 1.30, 0.88, 1.63, 2.08, 0.82, 69.28, 1.19, 103.39, 1.50, -1.00, 0.90
56659, 0, 1.50, 0.50, -1.32, 0.11, 113.11, 0.31, 1.32, 52.80, 0.01, 1.42, 1.18, 0.33, 1.72, 1.56, 0.77, 1.32, 1.39, 0.70, 1.63, 1.34, 0.88, 66.24, 1.19, 106.80, 1.50, -1.00, 0.90
56672, 0, 1.50, 0.50, -1.66, 0.04, 116.86, 0.31, 1.32, 52.80, 0.01, 1.42, 1.13, 0.60, 1.73, 1.72, 1.05, 1.31, 1.28, 0.30, 1.65, 1.70, 1.23, 63.18, 1.19, 110.85, 1.50, -1.00, 0.90
56685, 0, 1.50, 0.50, -1.76, 0.20, 119.62, 0.31, 1.32, 52.80, 0.01, 1.42, 1.15, 0.56, 1.75, 1.59, 0.46, 1.31, 1.27, 0.33, 1.65, 1.44, 0.84, 60.10, 1.19, 113.97, 1.50, -1.00, 0.90
56699, 0, 1.50, 0.50, -1.80, 0.34, 123.80, 0.32, 1.32, 52.80, 0.01, 1.44, 1.18, 0.33, 1.76, 1.51, 0.89, 1.31, 1.30, 0.63, 1.65, 1.61, 1.21, 56.55, 1.18, 118.45, 1.50, -1.00, 0.90
56726, 0, 1.50, 0.50, -2.03, 0.70, 128.62, 0.33, 1.32, 52.80, 0.01, 1.44, 1.32, 0.89, 1.77, 1.69, 1.05, 1.30, 1.28, 0.74, 1.66, 1.69, 0.75, 53.55, 1.17, 123.65, 1.50, -1.00, 0.90
56739, 0, 1.50, 0.50, -2.25, 0.64, 132.28, 0.34, 1.32, 52.80, 0.01, 1.44, 1.48, 1.19, 1.79, 1.75, 1.11, 1.30, 1.18, 0.65, 1.66, 1.58, 0.74, 49.73, 1.16, 127.76, 1.50, -1.00, 0.90
56752, 0, 1.50, 0.50, -2.09, 0.37, 134.68, 0.34, 1.32, 52.80, 0.01, 1.44, 1.54, 0.53, 1.80, 1.58, 0.82, 1.28, 1.20, 0.88, 1.68, 1.59, 0.86, 45.20, 1.16, 130.55, 1.50, -1.00, 0.90
56766, 0, 1.50, 0.50, -1.53, 0.26, 96.41, 0.35, 1.32, 52.80, 0.01, 1.42, 1.41, 0.84, 1.68, 1.76, 1.09, 1.34, 1.20, 0.40, 1.62, 1.42, 0.53, 41.29, 1.15, 92.56, 1.50, -1.00, 0.90
56779, 0, 1.50, 0.50, -2.38, 0.39, 123.90, 0.35, 1.32, 52.80, 0.01, 1.44, 1.34, 0.68, 1.80, 1.59, 0.88, 1.28, 1.30, 0.98, 1.68, 1.66, 0.86, 38.43, 1.15, 130.34, 1.50, 1.00, 0.90
56792, 0, 1.50, 0.50, -2.11, 0.28, 134.23, 0.35, 1.32, 52.80, 0.01, 1.46, 1.32, 0.23, 1.51, 1.72, 0.95, 1.45, 1.18, 0.46, 1.51, 1.79, 0.65, 64.37, 1.15, 15.40, 1.50, -0.15, 0.90
56805, 0, 1.50, 0.50, -2.40, 0.06, 138.40, 0.36, 1.32, 52.80, 0.01, 1.45, 1.34, 0.56, 1.80, 1.55, 0.56, 1.28, 1.11, 0.61, 1.68, 1.66, 0.53, 52.90, 1.14, 134.17, 1.50, -1.00, 0.90
