timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
37902, 0, 1.50, 0.50, -0.54, -0.24, -0.28, -0.00, 1.32, 52.80, 0.01, 1.48, 1.00, 0.00, 1.48, 1.00, 0.00, 1.48, 1.00, 0.00, 1.48, 1.00, 0.00, 0.00, 1.50, 0.23, 1.50, 0.00, 0.00
37923, 0, 1.50, 0.50, -0.25, 0.91, 0.00, 0.01, 1.32, 52.80, 0.01, 1.48, 0.06, 2.12, 1.48, 0.31, 3.04, 1.48, 0.35, 2.02, 1.48, 0.17, 3.18, 171.89, 1.49, 0.46, 1.50, 0.00, 0.00
37934, 0, 1.50, 0.50, 0.19, 1.94, 2.18, 0.03, 1.32, 52.80, 0.01, 1.48, 0.38, 1.96, 1.48, 1.08, 2.61, 1.48, 0.79, 1.61, 1.48, 0.54, 2.68, 171.89, 1.47, 0.73, 1.50, 0.02, 0.00
37943, 0, 1.50, 0.50, 0.43, 2.40, 3.46, 0.07, 1.32, 52.80, 0.01, 1.48, 0.70, 1.77, 1.48, 1.27, 2.54, 1.48, 0.92, 1.60, 1.48, 0.83, 2.39, 171.89, 1.43, 1.08, 1.50, 0.05, 0.00
37956, 0, 1.50, 0.50, 0.05, 2.48, 5.64, 0.10, 1.32, 52.80, 0.01, 1.48, 1.06, 1.79, 1.48, 1.51, 1.04, 1.48, 1.51, 1.68, 1.48, 1.04, 1.96, 169.70, 1.40, 1.68, 1.50, 0.10, 0.00
37969, 0, 1.50, 0.50, 0.11, 1.78, 8.25, 0.12, 1.32, 52.80, 0.01, 1.48, 1.14, 1.09, 1.48, 1.56, 0.56, 1.48, 1.34, 0.88, 1.48, 1.10, 1.18, 168.42, 1.38, 2.73, 1.50, 0.17, 0.00
37982, 0, 1.50, 0.50, -0.11, 2.38, 11.21, 0.16, 1.32, 52.80, 0.01, 1.48, 1.24, 0.89, 1.48, 1.48, 0.21, 1.48, 1.75, 0.70, 1.48, 1.15, 0.98, 166.24, 1.34, 4.48, 1.50, 0.26, 0.00
37996, 0, 1.50, 0.50, -0.27, 2.53, 14.20, 0.19, 1.32, 52.80, 0.01, 1.46, 1.30, 0.84, 1.49, 1.46, 0.68, 1.46, 1.38, 0.70, 1.49, 1.18, 0.93, 163.64, 1.31, 7.12, 1.50, 0.38, 0.00
38009, 0, 1.50, 0.50, -0.35, 1.94, 16.94, 0.21, 1.32, 52.80, 0.01, 1.46, 1.38, 0.74, 1.49, 1.46, 0.58, 1.46, 1.75, 0.46, 1.49, 1.20, 0.88, 160.68, 1.29, 10.66, 1.50, 0.51, 0.00
38022, 0, 1.50, 0.50, -0.50, 1.27, 19.90, 0.23, 1.32, 52.80, 0.01, 1.46, 1.44, 0.75, 1.51, 1.32, 0.51, 1.45, 1.62, 0.79, 1.51, 1.13, 0.95, 157.69, 1.27, 15.51, 1.50, 0.67, 0.00
38036, 0, 1.50, 0.50, -0.52, 0.90, 23.30, 0.24, 1.32, 52.80, 0.01, 1.45, 1.49, 0.72, 1.52, 1.35, 0.82, 1.45, 1.14, 0.81, 1.51, 1.24, 0.82, 154.95, 1.26, 22.19, 1.50, 0.85, 0.00
