timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
234142, 0, 1.50, 0.50, -1.16, -0.87, 116.77, -13.43, 1.32, 52.80, 0.01, 1.61, 0.03, 0.00, 2.13, 0.11, 0.00, 1.15, 0.08, 0.00, 1.80, 0.08, 0.00, 32.16, 14.93, 221.92, 1.50, 0.19, 0.00
234161, 0, 1.50, 0.50, -0.95, -0.64, 57.45, -13.43, 1.32, 52.80, 0.01, 1.59, 0.03, 0.00, 2.10, 0.08, 0.02, 1.15, 0.08, 0.02, 1.80, 0.08, 0.00, 31.09, 14.93, 215.92, 1.50, 0.28, 0.00
234169, 0, 1.50, 0.50, -0.81, -0.44, 15.71, -13.44, 1.32, 52.80, 0.01, 1.56, 0.03, 0.00, 2.06, 0.08, 0.00, 1.17, 0.08, 0.00, 1.79, 0.08, 0.00, 55.12, 14.94, 205.03, 1.50, 0.32, 0.00
234182, 0, 1.50, 0.50, -0.75, -0.40, 4.76, -13.45, 1.32, 52.80, 0.01, 1.55, 0.03, 0.00, 2.04, 0.08, 0.00, 1.18, 0.08, 0.00, 1.77, 0.08, 0.00, 114.44, 14.95, 201.66, 1.50, 0.35, 0.00
234196, 0, 1.50, 0.50, -0.72, -0.40, 2.10, -13.45, 1.32, 52.80, 0.01, 1.55, 0.03, 0.00, 2.04, 0.08, 0.00, 1.18, 0.08, 0.00, 1.77, 0.08, 0.00, 156.17, 14.95, 200.76, 1.50, 0.36, 0.00
234209, 0, 1.50, 0.50, -0.69, -0.32, 1.09, -13.46, 1.32, 52.80, 0.01, 1.55, 0.03, 0.00, 2.04, 0.08, 0.00, 1.18, 0.08, 0.00, 1.77, 0.08, 0.00, 167.13, 14.96, 200.41, 1.50, 0.37, 0.00
234222, 0, 1.50, 0.50, -0.65, -0.27, 0.68, -13.46, 1.32, 52.80, 0.01, 1.55, 0.03, 0.00, 2.04, 0.08, 2.21, 1.18, 0.08, 0.00, 1.77, 0.08, 0.00, 169.79, 14.96, 200.26, 1.50, 0.38, 0.00
234236, 0, 1.50, 0.50, -0.63, -0.29, 0.43, -13.46, 1.32, 52.80, 0.01, 1.55, 0.03, 0.00, 2.04, 0.59, 2.70, 1.18, 0.08, 0.00, 1.77, 0.08, 0.75, 170.80, 14.96, 200.17, 1.50, 0.38, 0.00
234249, 0, 1.50, 0.50, -0.51, -0.23, 0.61, -13.47, 1.32, 52.80, 0.01, 1.55, 0.03, 0.44, 2.04, 1.04, 2.44, 1.18, 0.08, 0.00, 1.77, 0.17, 3.32, 171.21, 14.97, 200.24, 1.50, 0.39, 0.00
234262, 0, 1.50, 0.50, -0.52, 0.11, 1.82, -13.46, 1.32, 52.80, 0.01, 1.55, 0.06, 2.56, 2.04, 1.42, 2.14, 1.18, 0.08, 0.00, 1.77, 0.72, 2.63, 171.45, 14.96, 200.73, 1.50, 0.40, 0.00
234276, 0, 1.50, 0.50, -0.51, 0.25, 3.29, -13.46, 1.32, 52.80, 0.01, 1.55, 0.63, 1.75, 2.04, 1.69, 1.51, 1.18, 0.08, 0.00, 1.77, 1.00, 2.39, 171.27, 14.96, 201.42, 1.50, 0.43, 0.00
234289, 0, 1.50, 0.50, -0.47, 0.67, 5.49, -13.45, 1.32, 52.80, 0.01, 1.56, 0.96, 1.93, 2.06, 1.80, 1.35, 1.18, 0.08, 0.21, 1.77, 1.18, 0.84, 170.07, 14.95, 202.63, 1.50, 0.48, 0.00
234302, 0, 1.50, 0.50, -0.44, 0.55, 8.41, -13.45, 1.32, 52.80, 0.01, 1.56, 1.32, 1.51, 2.06, 1.99, 1.11, 1.17, 0.10, 2.35, 1.79, 1.30, 2.00, 168.60, 14.95, 204.62, 1.50, 0.55, 0.00
234316, 0, 1.50, 0.50, -0.55, 0.78, 12.22, -13.43, 1.32, 52.80, 0.01, 1.56, 1.55, 1.35, 2.07, 2.08, 1.16, 1.17, 0.80, 1.51, 1.79, 1.65, 1.53, 166.40, 14.93, 207.95, 1.50, 0.65, 0.00
234329, 0, 1.50, 0.50, -0.20, 0.92, 16.10, -13.42, 1.32, 52.80, 0.01, 1.58, 1.72, 1.09, 2.08, 2.01, 1.00, 1.17, 0.89, 1.37, 1.79, 1.82, 1.54, 163.48, 14.92, 212.59, 1.50, 0.78, 0.00
234342, 0, 1.50, 0.50, -0.25, 0.37, 19.88, -13.42, 1.32, 52.80, 0.01, 1.59, 1.85, 1.05, 2.11, 2.25, 1.18, 1.15, 0.93, 0.33, 1.80, 1.83, 1.32, 159.67, 14.92, 218.71, 1.50, 0.94, 0.00
234356, 0, 1.50, 0.50, -0.33, 0.29, 24.14, -13.41, 1.32, 52.80, 0.01, 1.61, 1.89, 0.89, 2.14, 2.28, 0.60, 1.14, 1.07, 0.93, 1.82, 1.89, 1.19, 155.79, 14.91, 224.14, 1.50, 1.00, 0.00
