timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
71537, 0, 1.50, 0.50, -0.55, -0.25, -0.34, -0.00, 1.32, 52.80, 0.01, 1.48, 1.00, 0.00, 1.48, 1.00, 0.00, 1.48, 1.00, 0.00, 1.48, 1.00, 0.00, 0.00, 1.50, 4.58, 1.50, 0.00, 0.00
71557, 0, 1.50, 0.50, -0.73, -0.08, -0.32, -0.00, 1.32, 52.80, 0.01, 1.46, 0.06, 2.30, 1.49, 0.30, 2.89, 1.46, 0.21, 1.98, 1.49, 0.28, 2.96, 171.89, 1.50, 9.17, 1.50, 0.00, 0.00
71567, 0, 1.50, 0.50, -0.77, 0.49, -0.26, 0.00, 1.32, 52.80, 0.01, 1.46, 0.37, 1.93, 1.51, 1.23, 2.30, 1.46, 0.83, 1.67, 1.49, 0.69, 2.70, 171.89, 1.50, 13.75, 1.50, 0.00, 0.00
71577, 0, 1.50, 0.50, -0.37, 0.23, -0.07, 0.01, 1.32, 52.80, 0.01, 1.45, 0.70, 1.74, 1.51, 1.31, 2.28, 1.45, 1.00, 1.58, 1.51, 0.93, 2.61, 171.89, 1.49, 18.33, 1.50, 0.00, 0.00
71590, 0, 1.50, 0.50, -0.61, 1.06, 1.37, 0.02, 1.32, 52.80, 0.01, 1.45, 0.94, 1.79, 1.52, 1.56, 1.04, 1.45, 1.28, 1.58, 1.51, 1.62, 1.58, 171.89, 1.48, 22.93, 1.50, 0.01, 0.00
71604, 0, 1.50, 0.50, -0.64, 1.48, 2.86, 0.04, 1.32, 52.80, 0.01, 1.45, 1.11, 1.19, 1.52, 1.54, 0.37, 1.44, 1.38, 0.91, 1.52, 1.13, 1.05, 171.89, 1.46, 27.57, 1.50, 0.04, 0.00
71617, 0, 1.50, 0.50, -0.39, 1.54, 4.78, 0.06, 1.32, 52.80, 0.01, 1.44, 1.25, 0.95, 1.54, 1.58, 0.49, 1.44, 1.45, 0.70, 1.52, 1.23, 0.89, 170.52, 1.44, 32.34, 1.50, 0.08, 0.00
71630, 0, 1.50, 0.50, -0.48, 1.49, 7.37, 0.08, 1.32, 52.80, 0.01, 1.44, 1.32, 0.72, 1.55, 1.56, 0.51, 1.42, 1.48, 0.65, 1.54, 1.24, 0.86, 169.03, 1.42, 37.46, 1.50, 0.14, 0.00
71644, 0, 1.50, 0.50, -0.36, 1.41, 10.24, 0.10, 1.32, 52.80, 0.01, 1.44, 1.37, 0.67, 1.56, 1.51, 0.37, 1.41, 1.45, 0.60, 1.55, 1.25, 0.89, 167.10, 1.40, 43.12, 1.50, 0.22, 0.00
71657, 0, 1.50, 0.50, -0.29, 0.98, 13.12, 0.11, 1.32, 52.80, 0.01, 1.42, 1.46, 0.75, 1.58, 1.54, 0.70, 1.41, 1.42, 0.56, 1.55, 1.25, 0.86, 164.52, 1.39, 49.49, 1.50, 0.33, 0.00
71670, 0, 1.50, 0.50, -0.22, 1.16, 18.05, 0.13, 1.32, 52.80, 0.01, 1.42, 1.51, 0.74, 1.59, 1.54, 0.35, 1.39, 1.37, 0.63, 1.56, 1.25, 0.86, 161.64, 1.37, 58.00, 1.50, 0.48, 0.00
71684, 0, 1.50, 0.50, -0.38, 1.04, 22.71, 0.14, 1.32, 52.80, 0.01, 1.42, 1.52, 0.58, 1.62, 1.55, 0.70, 1.38, 1.79, 0.53, 1.58, 1.25, 0.88, 158.77, 1.36, 68.43, 1.50, 0.66, 0.00
71697, 0, 1.50, 0.50, -0.41, 1.34, 27.06, 0.16, 1.32, 52.80, 0.01, 1.42, 1.54, 0.74, 1.65, 1.59, 0.54, 1.35, 1.24, 0.81, 1.61, 1.30, 0.95, 153.83, 1.34, 80.91, 1.50, 0.87, 0.00
71710, 0, 1.50, 0.50, -0.55, 1.46, 32.11, 0.18, 1.32, 52.80, 0.01, 1.42, 1.54, 0.75, 1.69, 1.56, 0.25, 1.34, 1.30, 0.44, 1.62, 1.30, 0.96, 149.17, 1.32, 93.42, 1.50, 1.00, 0.00
71724, 0, 1.50, 0.50, -0.55, 1.00, 36.04, 0.19, 1.32, 52.80, 0.01, 1.42, 1.55, 0.68, 1.70, 1.62, 0.67, 1.32, 1.30, 0.39, 1.63, 1.32, 1.04, 144.83, 1.31, 101.07, 1.50, 1.00, 0.00
71737, 0, 1.50, 0.50, -0.47, 2.16, 39.53, 0.22, 1.32, 52.80, 0.01, 1.42, 1.51, 0.63, 1.73, 1.68, 0.61, 1.32, 1.34, 0.47, 1.63, 1.31, 1.07, 139.77, 1.28, 108.18, 1.50, 1.00, 0.00
71750, 0, 1.50, 0.50, -0.81, 1.19, 43.65, 0.24, 1.32, 52.80, 0.01, 1.44, 1.59, 0.82, 1.75, 1.73, 0.54, 1.31, 1.08, 0.58, 1.65, 1.34, 0.98, 135.85, 1.26, 115.83, 1.50, 1.00, 0.00
71764, 0, 1.50, 0.50, -0.64, 1.27, 46.65, 0.25, 1.32, 52.80, 0.01, 1.44, 1.68, 0.77, 1.77, 1.72, 0.54, 1.30, 1.04, 0.54, 1.66, 1.38, 0.91, 132.36, 1.25, 122.25, 1.50, 1.00, 0.00
71777, 0, 1.50, 0.50, -0.69, 1.54, 49.55, 0.27, 1.32, 52.80, 0.01, 1.44, 1.58, 0.63, 1.79, 1.63, 0.46, 1.28, 1.03, 0.74, 1.68, 1.41, 1.05, 128.24, 1.23, 128.49, 1.50, 1.00, 0.00
71790, 0, 1.50, 0.50, -0.41, 1.17, 52.59, 0.29, 1.32, 52.80, 0.01, 1.45, 1.66, 0.67, 1.82, 1.66, 0.77, 1.28, 1.18, 1.16, 1.68, 1.55, 0.89, 125.24, 1.21, 134.79, 1.50, 1.00, 0.00
71804, 0, 1.50, 0.50, -0.47, 1.36, 55.77, 0.31, 1.32, 52.80, 0.01, 1.45, 1.58, 0.63, 1.83, 1.70, 0.58, 1.27, 1.18, 0.86, 1.69, 1.56, 0.86, 122.33, 1.19, 141.15, 1.50, 1.00, 0.00
71817, 0, 1.50, 0.50, -0.48, 1.33, 58.91, 0.33, 1.32, 52.80, 0.01, 1.46, 1.48, 0.70, 1.86, 1.68, 0.75, 1.25, 1.15, 0.58, 1.70, 1.31, 0.98, 119.30, 1.17, 147.39, 1.50, 1.00, 0.00
