timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
105577, 0, 1.50, 0.50, -1.48, -0.02, 168.45, 3.05, 1.32, 52.80, 0.01, 2.61, 0.01, 0.00, 3.34, 0.06, 0.00, 0.75, 0.01, 0.00, 2.21, 0.04, 0.00, -9.75, -1.55, 495.56, 1.50, -0.08, 0.00
105595, 0, 1.50, 0.50, -1.19, 0.02, 108.91, 3.05, 1.32, 52.80, 0.01, 2.59, 0.01, 0.00, 3.34, 0.06, 0.00, 0.75, 0.01, 0.00, 2.21, 0.03, 0.00, -9.84, -1.55, 494.76, 1.50, -0.14, 0.00
105604, 0, 1.50, 0.50, -1.00, 0.04, 31.29, 3.05, 1.32, 52.80, 0.01, 2.66, 0.01, 0.00, 3.39, 0.06, 0.00, 0.72, 0.01, 0.00, 2.24, 0.03, 0.00, 3.43, -1.55, 507.98, 1.50, -0.13, 0.00
105617, 0, 1.50, 0.50, -0.87, -0.10, 6.50, 3.05, 1.32, 52.80, 0.01, 2.69, 0.01, 0.00, 3.44, 0.06, 2.28, 0.72, 0.01, 0.00, 2.24, 0.03, 0.00, 62.98, -1.55, 516.96, 1.50, -0.11, 0.00
105630, 0, 1.50, 0.50, -0.83, -0.04, 2.71, 3.04, 1.32, 52.80, 0.01, 2.73, 0.01, 1.35, 3.48, 0.24, 2.12, 0.70, 0.01, 0.00, 2.25, 0.03, 0.00, 140.59, -1.54, 524.05, 1.50, -0.09, 0.00
105644, 0, 1.50, 0.50, -0.73, 0.07, 2.12, 3.05, 1.32, 52.80, 0.01, 2.76, 0.23, 2.19, 3.51, 0.75, 2.07, 0.69, 0.01, 0.00, 2.27, 0.03, 1.60, 165.38, -1.55, 530.90, 1.50, -0.07, 0.00
105657, 0, 1.50, 0.50, -0.66, 0.34, 2.48, 3.05, 1.32, 52.80, 0.01, 2.79, 0.63, 1.79, 3.54, 1.17, 2.39, 0.68, 0.01, 0.00, 2.28, 0.35, 2.84, 169.18, -1.55, 537.72, 1.50, -0.05, 0.00
105670, 0, 1.50, 0.50, -0.55, 0.33, 3.48, 3.05, 1.32, 52.80, 0.01, 2.82, 1.07, 1.68, 3.58, 1.54, 2.05, 0.68, 0.01, 0.00, 2.28, 0.77, 2.61, 169.77, -1.55, 544.55, 1.50, -0.02, 0.00
105684, 0, 1.50, 0.50, -0.51, 0.79, 5.20, 3.07, 1.32, 52.80, 0.01, 2.86, 1.14, 1.58, 0.00, 1.68, 1.75, 0.66, 0.01, 0.00, 2.30, 1.15, 2.33, 169.40, -1.57, 551.47, 1.50, 0.02, 0.00
105697, 0, 1.50, 0.50, -0.59, 1.33, 7.88, 3.08, 1.32, 52.80, 0.01, 2.89, 1.38, 1.54, 0.04, 1.87, 1.09, 0.65, 0.01, 0.00, 2.31, 1.46, 2.25, 168.41, -1.58, 558.72, 1.50, 0.09, 0.00
105710, 0, 1.50, 0.50, -0.70, 0.81, 10.99, 3.09, 1.32, 52.80, 0.01, 2.92, 1.59, 1.56, 0.07, 3.01, 1.26, 0.63, 0.01, 0.02, 2.32, 2.20, 1.51, 166.69, -1.59, 566.56, 1.50, 0.18, 0.00
