timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
59952, 0, 0.50, 0.50, -0.56, -0.27, -0.34, -0.00, 1.32, 52.80, 0.01, 2.17, 1.00, 0.00, 0.25, 1.00, 0.00, 1.13, 1.00, 0.00, 3.07, 1.00, 0.00, 0.00, 0.50, 5.73, 0.50, 0.00, 0.00
59977, 0, 0.50, 0.50, -0.13, 0.17, 0.15, -0.00, 1.32, 52.80, 0.01, 2.17, 0.27, 2.02, 0.25, 0.25, 1.16, 1.13, 0.58, 1.72, 3.07, 0.86, 2.82, 57.30, 0.50, 5.73, 0.50, 0.00, 0.00
59988, 0, 0.50, 0.50, -1.17, 0.99, 1.12, 0.01, 1.32, 52.80, 0.01, 2.15, 0.80, 1.81, 0.23, 0.45, 0.61, 1.11, 0.83, 1.67, 3.06, 1.11, 2.39, 57.30, 0.49, 5.71, 0.50, -0.00, 0.00
59996, 0, 0.50, 0.50, -0.58, 0.44, 1.99, 0.02, 1.32, 52.80, 0.01, 2.04, 1.00, 1.74, 0.08, 0.46, 0.30, 1.03, 1.17, 1.63, 2.93, 1.31, 2.25, 57.15, 0.48, 5.60, 0.50, -0.01, 0.00
60006, 0, 0.50, 0.50, -0.25, 1.29, 2.98, 0.04, 1.32, 52.80, 0.01, 1.92, 1.77, 1.47, 3.52, 0.44, 0.21, 0.92, 1.79, 1.42, 2.79, 1.39, 2.28, 56.17, 0.46, 5.48, 0.50, -0.02, 0.00
60019, 0, 0.50, 0.50, -0.67, 1.42, 4.46, 0.05, 1.32, 52.80, 0.01, 1.72, 1.46, 1.49, 3.27, 0.37, 2.84, 0.76, 1.21, 0.65, 2.55, 1.65, 2.02, 55.31, 0.45, 5.28, 0.50, -0.03, 0.00
60032, 0, 0.50, 0.50, -0.30, 1.69, 5.89, 0.08, 1.32, 52.80, 0.01, 1.32, 1.75, 1.63, 2.76, 0.75, 2.19, 0.44, 1.14, 0.60, 2.10, 1.82, 1.53, 54.32, 0.42, 4.89, 0.50, -0.07, 0.00
60046, 0, 0.50, 0.50, -0.20, 1.74, 8.12, 0.10, 1.32, 52.80, 0.01, 0.68, 1.96, 1.54, 1.92, 1.20, 2.35, 3.51, 0.90, 0.56, 1.34, 1.94, 1.53, 52.84, 0.40, 4.24, 0.50, -0.11, 0.00
60059, 0, 0.50, 0.50, -0.22, 1.41, 10.91, 0.12, 1.32, 52.80, 0.01, 2.73, 2.06, 1.11, 3.52, 1.54, 1.70, 2.24, 0.73, 2.28, 3.15, 2.07, 1.39, 51.40, 0.38, 2.72, 0.50, -0.20, 0.00
60072, 0, 0.50, 0.50, -0.26, 1.27, 14.09, 0.14, 1.32, 52.80, 0.01, 0.27, 2.23, 1.11, 0.35, 1.87, 1.49, 0.21, 1.13, 1.72, 0.31, 2.08, 1.07, 49.17, 0.36, 0.28, 0.50, -0.35, 0.00
60086, 0, 0.50, 0.50, -0.03, 1.02, 19.33, 0.15, 1.32, 52.80, 0.01, 3.34, 1.99, 0.82, 1.76, 2.00, 0.74, 2.08, 1.28, 0.84, 0.82, 2.03, 0.81, 46.38, 0.35, 6.88, 0.50, -0.58, 0.00
60099, 0, 0.50, 0.50, -0.16, 1.14, 24.67, 0.16, 1.32, 52.80, 0.01, 3.08, 1.83, 1.02, 2.00, 2.06, 0.88, 2.89, 1.42, 1.47, 2.77, 2.00, 0.88, 43.21, 0.34, 20.88, 0.50, -1.00, 0.00
60112, 0, 0.50, 0.50, -0.14, 0.82, 29.46, 0.18, 1.32, 52.80, 0.01, 1.27, 1.86, 0.74, 1.75, 2.10, 0.58, 0.10, 1.42, 1.12, 1.79, 2.30, 0.75, 37.96, 0.32, 26.20, 0.50, -1.00, 0.00
60126, 0, 0.50, 0.50, -0.27, 0.93, 33.72, 0.19, 1.32, 52.80, 0.01, 2.45, 1.90, 0.75, 0.70, 2.15, 0.70, 0.41, 1.45, 0.35, 0.11, 1.77, 0.72, 32.62, 0.31, 30.93, 0.50, -1.00, 0.00
60139, 0, 0.50, 0.50, -0.22, 0.68, 37.31, 0.20, 1.32, 52.80, 0.01, 2.92, 1.92, 0.82, 2.35, 2.08, 0.54, 0.14, 1.45, 0.44, 1.21, 2.10, 0.86, 27.83, 0.30, 34.95, 0.50, -1.00, 0.00
60152, 0, 0.50, 0.50, -0.25, 0.66, 40.81, 0.21, 1.32, 52.80, 0.01, 3.23, 2.00, 0.84, 0.18, 2.18, 0.89, 3.35, 1.20, 0.75, 2.13, 2.00, 0.84, 23.58, 0.29, 38.81, 0.50, -1.00, 0.00
60166, 0, 0.50, 0.50, -0.32, 0.68, 44.78, 0.21, 1.32, 52.80, 0.01, 0.38, 2.07, 0.89, 2.23, 2.20, 0.68, 3.32, 1.14, 1.67, 3.56, 2.34, 0.98, 19.98, 0.29, 43.13, 0.50, -1.00, 0.00
60179, 0, 0.50, 0.50, -0.37, 1.19, 48.52, 0.23, 1.32, 52.80, 0.01, 0.97, 2.08, 0.39, 0.41, 2.04, 0.81, 3.15, 1.42, 1.32, 1.20, 1.99, 0.88, 16.49, 0.27, 47.27, 0.50, -1.00, 0.00
60192, 0, 0.50, 0.50, -0.26, 1.60, 51.96, 0.25, 1.32, 52.80, 0.01, 1.23, 2.03, 0.65, 1.79, 1.94, 0.88, 2.72, 1.68, 1.14, 2.06, 1.69, 0.67, 12.52, 0.25, 51.09, 0.50, -1.00, 0.00
60206, 0, 0.50, 0.50, -0.23, 1.60, 55.83, 0.27, 1.32, 52.80, 0.01, 1.89, 2.06, 0.60, 0.07, 1.72, 0.89, 2.61, 1.76, 1.11, 3.38, 1.68, 0.95, 8.78, 0.23, 55.29, 0.50, -1.00, 0.00
60219, 0, 0.50, 0.50, -0.25, 1.21, 59.57, 0.29, 1.32, 52.80, 0.01, 2.46, 2.03, 0.60, 1.86, 1.62, 0.98, 2.42, 1.93, 0.89, 1.00, 1.77, 0.89, 5.33, 0.21, 59.42, 0.50, -1.00, 0.00
60232, 0, 0.50, 0.50, -0.33, 0.85, 62.60, 0.30, 1.32, 52.80, 0.01, 2.30, 2.11, 0.82, 2.70, 1.32, 0.58, 1.65, 2.03, 0.95, 1.38, 1.75, 0.82, 1.47, 0.20, 62.83, 0.50, -1.00, 0.00
60246, 0, 0.50, 0.50, -0.42, 0.61, 66.17, 0.31, 1.32, 52.80, 0.01, 2.62, 2.10, 0.61, 0.55, 1.45, 1.39, 1.25, 2.13, 0.61, 2.31, 1.79, 0.89, -2.27, 0.19, 66.70, 0.50, -1.00, 0.00
60259, 0, 0.50, 0.50, -0.44, 0.67, 69.79, 0.32, 1.32, 52.80, 0.01, 3.04, 2.11, 0.74, 2.14, 1.42, 0.74, 0.96, 2.13, 0.58, 3.35, 1.66, 0.86, -5.31, 0.18, 70.68, 0.50, -1.00, 0.00
