timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
85118, 0, 0.50, 0.50, -0.58, -0.27, -0.28, -0.00, 1.32, 52.80, 0.01, 0.56, 1.00, 0.00, 0.73, 1.00, 0.00, 0.45, 1.00, 0.00, 0.65, 1.00, 0.00, 0.00, 0.50, 0.57, 0.50, 0.00, 0.00
85137, 0, 0.50, 0.50, -0.34, -0.01, -0.27, -0.00, 1.32, 52.80, 0.01, 0.56, 0.13, 2.23, 0.73, 0.38, 3.02, 0.45, 0.08, 2.47, 0.65, 0.32, 2.53, 57.30, 0.50, 0.57, 0.50, 0.00, 0.00
85148, 0, 0.50, 0.50, -0.76, 0.74, 0.18, 0.01, 1.32, 52.80, 0.01, 0.56, 0.52, 1.54, 0.73, 0.87, 0.93, 0.45, 0.63, 1.68, 0.65, 0.90, 1.47, 57.30, 0.49, 0.57, 0.50, 0.00, 0.00
85158, 0, 0.50, 0.50, -0.55, 0.32, 0.84, 0.01, 1.32, 52.80, 0.01, 0.56, 0.86, 0.65, 0.72, 1.00, 0.61, 0.45, 0.66, 0.32, 0.65, 0.93, 0.42, 57.30, 0.49, 0.57, 0.50, -0.00, 0.00
85171, 0, 0.50, 0.50, -0.45, 1.43, 1.62, 0.03, 1.32, 52.80, 0.01, 0.55, 0.82, 0.26, 0.70, 0.89, 0.42, 0.44, 0.58, 0.14, 0.63, 0.75, 0.61, 57.11, 0.47, 0.56, 0.50, -0.00, 0.00
85184, 0, 0.50, 0.50, -0.40, 2.10, 3.41, 0.06, 1.32, 52.80, 0.01, 0.49, 0.62, 0.26, 0.63, 0.79, 0.49, 0.39, 0.44, 0.63, 0.58, 0.66, 1.02, 56.46, 0.44, 0.51, 0.50, -0.01, 0.00
85198, 0, 0.50, 0.50, -0.36, 2.47, 5.65, 0.09, 1.32, 52.80, 0.01, 0.23, 0.51, 0.40, 0.30, 0.69, 0.42, 0.18, 0.39, 0.70, 0.27, 0.65, 0.60, 55.67, 0.41, 0.24, 0.50, -0.05, 0.00
85211, 0, 0.50, 0.50, -0.37, 1.99, 8.42, 0.12, 1.32, 52.80, 0.01, 0.51, 0.42, 0.18, 0.66, 0.63, 0.32, 0.41, 0.39, 0.19, 0.59, 0.55, 0.25, 53.88, 0.38, 0.52, 0.50, -0.12, 0.00
85224, 0, 0.50, 0.50, -0.50, 1.86, 11.68, 0.14, 1.32, 52.80, 0.01, 2.38, 0.37, 1.11, 3.07, 0.46, 0.61, 1.94, 0.31, 0.84, 2.75, 0.46, 0.79, 51.65, 0.36, 2.36, 0.50, -0.24, 0.00
85238, 0, 0.50, 0.50, -0.51, 1.66, 14.95, 0.16, 1.32, 52.80, 0.01, 2.38, 0.32, 2.54, 0.52, 0.54, 3.09, 1.30, 0.34, 2.61, 3.31, 0.39, 3.11, 48.88, 0.34, 5.93, 0.50, -0.43, 0.00
85251, 0, 0.50, 0.50, -0.57, 2.19, 18.26, 0.19, 1.32, 52.80, 0.01, 0.77, 0.69, 1.79, 0.54, 0.99, 2.19, 2.28, 0.75, 1.96, 2.58, 0.77, 2.56, 45.61, 0.31, 11.47, 0.50, -0.65, 0.00
85264, 0, 0.50, 0.50, -0.51, 1.91, 22.41, 0.22, 1.32, 52.80, 0.01, 2.66, 1.01, 1.60, 1.44, 1.25, 0.58, 2.54, 1.13, 1.82, 2.27, 1.10, 2.18, 42.35, 0.28, 20.45, 0.50, -0.93, 0.00
85278, 0, 0.50, 0.50, -0.46, 1.99, 26.39, 0.24, 1.32, 52.80, 0.01, 1.10, 1.30, 1.56, 1.54, 1.27, 1.00, 3.56, 1.41, 1.93, 1.61, 1.34, 2.11, 39.03, 0.26, 26.04, 0.50, -1.00, 0.00
85291, 0, 0.50, 0.50, -0.41, 1.64, 30.10, 0.27, 1.32, 52.80, 0.01, 1.30, 1.58, 1.56, 2.83, 1.49, 1.26, 3.07, 1.73, 1.54, 2.38, 1.56, 1.18, 34.88, 0.23, 29.79, 0.50, -1.00, 0.00
