timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
143064, 0, 0.50, 0.50, -1.40, -0.95, 76.20, -1.31, 1.32, 52.80, 0.01, 1.01, 0.03, 0.00, 1.89, 0.07, 0.00, 1.83, 0.11, 0.00, 3.42, 0.07, 0.00, -46.99, 1.81, 15.27, 0.50, -0.19, 0.00
143087, 0, 0.50, 0.50, -1.15, -0.67, 31.37, -1.32, 1.32, 52.80, 0.01, 2.73, 0.03, 0.00, 0.49, 0.07, 0.04, 3.24, 0.08, 0.02, 1.80, 0.07, 0.02, -50.38, 1.82, 16.96, 0.50, 0.55, 0.00
143096, 0, 0.50, 0.50, -0.96, -0.51, 9.64, -1.32, 1.32, 52.80, 0.01, 1.52, 0.03, 0.12, 0.45, 0.07, 0.02, 3.55, 0.08, 0.18, 2.89, 0.07, 0.00, -18.91, 1.82, 8.65, 0.50, 0.87, 0.00
143106, 0, 0.50, 0.50, -0.90, -0.40, 4.02, -1.33, 1.32, 52.80, 0.01, 0.66, 0.03, 0.00, 1.92, 0.07, 0.00, 3.49, 0.08, 0.21, 1.34, 0.07, 0.12, 25.92, 1.83, 4.24, 0.50, 0.94, 0.00
143118, 0, 0.50, 0.50, -0.80, -0.43, 2.16, -1.33, 1.32, 52.80, 0.01, 2.59, 0.03, 0.00, 3.34, 0.07, 0.12, 2.11, 0.07, 2.02, 2.99, 0.07, 0.00, 47.66, 1.83, 2.57, 0.50, 0.95, 0.00
143131, 0, 0.50, 0.50, -0.71, -0.42, 1.39, -1.34, 1.32, 52.80, 0.01, 1.87, 0.03, 0.32, 2.42, 0.06, 0.28, 1.54, 0.44, 0.98, 2.17, 0.10, 2.82, 53.27, 1.84, 1.87, 0.50, 0.95, 0.00
143144, 0, 0.50, 0.50, -0.74, -0.29, 1.15, -1.34, 1.32, 52.80, 0.01, 1.65, 0.03, 0.00, 2.13, 0.06, 0.14, 1.35, 0.59, 0.23, 1.90, 0.61, 2.53, 55.14, 1.84, 1.65, 0.50, 0.95, 0.00
143158, 0, 0.50, 0.50, -0.29, -0.49, 1.39, -1.35, 1.32, 52.80, 0.01, 1.89, 0.03, 0.00, 2.44, 0.06, 2.51, 1.54, 0.61, 1.05, 2.17, 0.94, 2.37, 55.91, 1.85, 1.88, 0.50, 0.95, 0.00
143171, 0, 0.50, 0.50, -0.17, 0.12, 2.20, -1.35, 1.32, 52.80, 0.01, 2.65, 0.01, 2.28, 3.42, 0.86, 2.88, 2.17, 0.93, 2.04, 3.07, 1.23, 2.21, 56.15, 1.85, 2.64, 0.50, 0.95, 0.00
143184, 0, 0.50, 0.50, -0.23, 0.30, 3.46, -1.34, 1.32, 52.80, 0.01, 0.24, 0.31, 1.86, 1.37, 1.27, 2.46, 3.15, 1.21, 2.28, 0.85, 1.42, 1.98, 55.91, 1.84, 3.82, 0.50, 0.95, 0.00
143198, 0, 0.50, 0.50, -0.26, 0.69, 5.55, -1.34, 1.32, 52.80, 0.01, 2.21, 0.77, 0.49, 0.28, 1.52, 1.40, 1.15, 1.62, 1.84, 3.11, 1.56, 1.05, 55.10, 1.84, 5.76, 0.50, 0.94, 0.00
143211, 0, 0.50, 0.50, -0.44, 1.47, 7.81, -1.32, 1.32, 52.80, 0.01, 0.63, 0.66, 2.23, 2.90, 1.48, 0.67, 2.82, 1.83, 1.14, 1.85, 1.62, 1.89, 53.84, 1.82, 7.76, 0.50, 0.93, 0.00
143224, 0, 0.50, 0.50, -0.61, 1.50, 10.36, -1.30, 1.32, 52.80, 0.01, 2.82, 0.97, 1.54, 2.13, 1.44, 1.68, 1.00, 1.94, 1.11, 0.77, 1.68, 1.61, 51.74, 1.80, 9.93, 0.50, 0.91, 0.00
143238, 0, 0.50, 0.50, -0.52, 1.16, 14.14, -1.28, 1.32, 52.80, 0.01, 2.30, 1.13, 2.14, 2.49, 1.75, 1.56, 3.54, 1.87, 0.56, 0.73, 1.75, 1.23, 49.49, 1.78, 12.97, 0.50, 0.88, 0.00
143251, 0, 0.50, 0.50, -0.82, 0.90, 18.12, -1.27, 1.32, 52.80, 0.01, 1.27, 1.42, 1.49, 2.21, 1.99, 1.00, 2.04, 1.94, 1.25, 0.10, 1.73, 0.86, 46.94, 1.77, 15.51, 0.50, 0.83, 0.00
143270, 0, 0.50, 0.50, -0.80, 0.16, 22.97, -1.27, 1.32, 52.80, 0.01, 0.11, 1.69, 1.37, 1.76, 2.15, 0.86, 0.44, 2.00, 0.77, 2.93, 1.30, 0.98, 43.15, 1.77, 17.93, 0.50, 0.76, 0.00
143278, 0, 0.50, 0.50, -0.68, 0.51, 27.53, -1.26, 1.32, 52.80, 0.01, 0.79, 1.72, 0.70, 2.65, 2.21, 0.84, 1.00, 1.90, 0.63, 0.11, 1.24, 1.21, 39.17, 1.76, 18.61, 0.50, 0.66, 0.00
143291, 0, 0.50, 0.50, -0.64, 0.77, 31.96, -1.25, 1.32, 52.80, 0.01, 0.18, 1.46, 0.72, 1.86, 2.28, 0.88, 0.51, 1.94, 0.28, 3.01, 0.92, 0.49, 34.32, 1.75, 18.01, 0.50, 0.55, 0.00
143304, 0, 0.50, 0.50, -0.65, 1.48, 36.00, -1.23, 1.32, 52.80, 0.01, 1.66, 1.28, 0.61, 2.72, 2.32, 0.81, 2.37, 1.55, 0.74, 0.56, 0.90, 2.61, 29.76, 1.73, 15.90, 0.50, 0.43, 0.00
143318, 0, 0.50, 0.50, -0.59, 1.39, 41.20, -1.21, 1.32, 52.80, 0.01, 2.30, 1.08, 1.53, 2.49, 2.46, 0.60, 3.54, 1.55, 1.28, 0.73, 1.08, 1.98, 25.34, 1.71, 12.97, 0.50, 0.31, 0.00
143331, 0, 0.50, 0.50, -0.64, 1.88, 46.18, -1.19, 1.32, 52.80, 0.01, 2.59, 1.32, 1.46, 0.79, 2.46, 0.40, 1.48, 1.76, 0.93, 3.56, 1.11, 0.53, 21.29, 1.69, 6.15, 0.50, 0.13, 0.00
143344, 0, 0.50, 0.50, -0.58, 1.26, 50.46, -1.17, 1.32, 52.80, 0.01, 2.87, 1.48, 1.18, 0.10, 2.01, 0.74, 2.35, 1.70, 0.46, 3.32, 1.06, 1.65, 16.10, 1.67, 2.86, 0.50, -0.06, 0.00
