timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
176078, 0, 0.50, 0.50, -1.47, -0.80, 72.61, -2.11, 1.32, 52.80, 0.01, 2.99, 0.01, 0.00, 0.25, 0.06, 0.00, 2.44, 0.08, 0.00, 3.45, 0.01, 0.00, -31.18, 2.61, 2.97, 0.50, 0.04, 0.00
176097, 0, 0.50, 0.50, -1.09, -0.64, 42.31, -2.12, 1.32, 52.80, 0.01, 0.63, 0.01, 0.00, 3.49, 0.06, 0.00, 0.23, 0.06, 0.02, 0.49, 0.01, 0.00, -30.43, 2.62, 22.01, 0.50, 0.52, 0.00
176105, 0, 0.50, 0.50, -0.91, -0.52, 16.72, -2.12, 1.32, 52.80, 0.01, 0.82, 0.01, 0.00, 1.63, 0.06, 0.33, 1.68, 0.06, 0.00, 3.20, 0.01, 0.00, -15.32, 2.62, 15.07, 0.50, 0.90, 0.00
176118, 0, 0.50, 0.50, -0.80, -0.43, 6.39, -2.13, 1.32, 52.80, 0.01, 2.89, 0.01, 0.00, 1.17, 0.06, 0.00, 1.72, 0.06, 0.32, 0.30, 0.01, 0.23, 14.99, 2.63, 6.43, 0.50, 1.00, 0.00
176131, 0, 0.50, 0.50, -0.80, -0.30, 2.91, -2.13, 1.32, 52.80, 0.01, 2.99, 0.01, 0.16, 0.24, 0.06, 0.00, 2.44, 0.06, 0.00, 3.45, 0.01, 0.02, 40.58, 2.63, 2.96, 0.50, 1.00, 0.00
176144, 0, 0.50, 0.50, -0.68, -0.26, 1.83, -2.14, 1.32, 52.80, 0.01, 1.89, 0.06, 2.77, 2.44, 0.06, 0.00, 1.54, 0.06, 0.32, 2.18, 0.08, 2.98, 50.90, 2.64, 1.88, 0.50, 1.00, 0.00
176163, 0, 0.50, 0.50, -0.75, 0.09, 1.25, -2.14, 1.32, 52.80, 0.01, 1.30, 0.42, 2.12, 1.68, 0.06, 0.02, 1.06, 0.06, 0.00, 1.51, 0.73, 2.49, 54.38, 2.64, 1.30, 0.50, 1.00, 0.00
176171, 0, 0.50, 0.50, -0.66, 0.03, 1.23, -2.14, 1.32, 52.80, 0.01, 1.28, 0.69, 1.74, 1.65, 0.06, 0.00, 1.04, 0.06, 0.00, 1.48, 0.87, 2.32, 55.47, 2.64, 1.28, 0.50, 1.00, 0.00
176184, 0, 0.50, 0.50, -0.46, -0.04, 1.51, -2.14, 1.32, 52.80, 0.01, 1.56, 0.89, 2.05, 2.03, 0.06, 0.00, 1.28, 0.06, 0.00, 1.82, 1.32, 2.23, 56.05, 2.64, 1.57, 0.50, 1.00, 0.00
176198, 0, 0.50, 0.50, -0.30, -0.10, 2.24, -2.14, 1.32, 52.80, 0.01, 2.30, 1.08, 2.25, 2.97, 0.06, 2.53, 1.89, 0.10, 2.60, 2.66, 1.68, 2.09, 56.07, 2.64, 2.29, 0.50, 1.00, 0.00
176211, 0, 0.50, 0.50, -0.50, 0.21, 3.75, -2.14, 1.32, 52.80, 0.01, 0.21, 1.39, 1.96, 1.32, 0.90, 2.56, 3.13, 0.76, 2.07, 0.82, 1.39, 1.88, 55.79, 2.64, 3.79, 0.50, 1.00, 0.00
176224, 0, 0.50, 0.50, -0.25, 0.38, 5.58, -2.13, 1.32, 52.80, 0.01, 2.03, 1.42, 0.51, 0.07, 1.23, 1.86, 1.01, 1.15, 1.79, 2.92, 1.42, 1.19, 55.06, 2.63, 5.59, 0.50, 0.99, 0.00
176238, 0, 0.50, 0.50, -0.27, 0.54, 7.67, -2.12, 1.32, 52.80, 0.01, 0.44, 1.30, 1.89, 2.66, 1.24, 0.75, 2.66, 1.37, 1.44, 1.63, 1.28, 1.84, 53.55, 2.62, 7.57, 0.50, 0.98, 0.00
176251, 0, 0.50, 0.50, -0.13, 0.85, 11.39, -2.11, 1.32, 52.80, 0.01, 0.32, 1.44, 0.63, 3.55, 1.14, 1.95, 1.92, 1.72, 1.79, 2.06, 1.55, 0.98, 51.71, 2.61, 11.02, 0.50, 0.96, 0.00
176264, 0, 0.50, 0.50, -0.05, 0.71, 15.64, -2.10, 1.32, 52.80, 0.01, 0.15, 1.08, 0.77, 0.79, 1.51, 2.12, 1.13, 1.99, 1.28, 2.44, 1.63, 1.56, 49.62, 2.60, 14.42, 0.50, 0.92, 0.00
176278, 0, 0.50, 0.50, -0.32, 0.53, 20.45, -2.09, 1.32, 52.80, 0.01, 3.28, 0.89, 0.54, 1.20, 1.73, 0.77, 0.08, 2.08, 0.77, 2.42, 1.83, 1.49, 45.90, 2.59, 17.50, 0.50, 0.85, 0.00
176291, 0, 0.50, 0.50, 0.05, 0.45, 25.53, -2.09, 1.32, 52.80, 0.01, 1.68, 0.62, 2.32, 0.18, 1.56, 0.51, 1.73, 1.94, 1.18, 1.14, 1.90, 1.33, 41.65, 2.59, 19.49, 0.50, 0.76, 0.00
176304, 0, 0.50, 0.50, -0.72, 0.40, 30.56, -2.08, 1.32, 52.80, 0.01, 1.96, 0.82, 1.82, 0.54, 1.46, 0.65, 1.96, 1.80, 0.91, 1.46, 1.89, 0.91, 36.85, 2.58, 19.76, 0.50, 0.65, 0.00
176318, 0, 0.50, 0.50, -0.43, 0.46, 35.30, -2.08, 1.32, 52.80, 0.01, 0.30, 1.07, 1.75, 2.00, 1.21, 0.70, 0.59, 1.85, 1.28, 3.14, 2.00, 0.88, 31.77, 2.58, 18.11, 0.50, 0.51, 0.00
176331, 0, 0.50, 0.50, -0.26, 0.59, 40.60, -2.07, 1.32, 52.80, 0.01, 0.70, 1.21, 1.37, 1.48, 1.08, 0.75, 1.58, 1.83, 1.09, 3.06, 2.11, 1.26, 26.74, 2.57, 14.96, 0.50, 0.37, 0.00
176344, 0, 0.50, 0.50, -0.15, 0.77, 46.24, -2.06, 1.32, 52.80, 0.01, 1.41, 1.25, 1.11, 0.30, 1.11, 0.61, 3.45, 1.42, 0.74, 2.75, 2.20, 1.25, 21.99, 2.56, 8.53, 0.50, 0.18, 0.00
176358, 0, 0.50, 0.50, -0.38, 0.75, 51.16, -2.05, 1.32, 52.80, 0.01, 1.63, 1.39, 1.98, 2.11, 0.97, 0.63, 1.34, 1.79, 1.79, 1.90, 2.23, 1.05, 16.69, 2.55, 1.64, 0.50, -0.03, 0.00
176371, 0, 0.50, 0.50, -0.51, 0.50, 55.51, -2.04, 1.32, 52.80, 0.01, 2.49, 1.66, 1.28, 2.75, 0.92, 2.56, 0.08, 1.63, 0.75, 0.96, 2.28, 0.95, 11.06, 2.54, 13.17, 0.50, -0.24, 0.00
176384, 0, 0.50, 0.50, -0.10, 0.67, 59.13, -2.03, 1.32, 52.80, 0.01, 0.48, 1.85, 1.21, 0.72, 1.27, 2.14, 3.04, 1.49, 0.89, 0.87, 2.23, 0.70, 6.13, 2.53, 25.42, 0.50, -0.43, 0.00
176398, 0, 0.50, 0.50, 0.07, 0.38, 62.53, -2.03, 1.32, 52.80, 0.01, 1.89, 1.79, 0.75, 2.07, 1.41, 0.47, 2.25, 1.37, 1.65, 0.58, 2.24, 0.49, 1.79, 2.53, 37.49, 0.50, -0.60, 0.00
176411, 0, 0.50, 0.50, -0.11, 0.51, 66.20, -2.02, 1.32, 52.80, 0.01, 1.01, 1.69, 1.04, 1.52, 1.39, 1.86, 2.55, 1.61, 1.09, 1.82, 1.87, 0.95, -1.83, 2.52, 50.88, 0.50, -0.77, 0.00
176424, 0, 0.50, 0.50, -0.13, 0.37, 69.44, -2.02, 1.32, 52.80, 0.01, 2.56, 1.68, 0.72, 0.48, 1.46, 0.93, 1.21, 1.77, 1.51, 2.24, 1.30, 0.96, -5.23, 2.52, 66.64, 0.50, -0.96, 0.00
176438, 0, 0.50, 0.50, -0.39, 0.40, 72.18, -2.01, 1.32, 52.80, 0.01, 0.97, 1.61, 1.40, 0.51, 1.42, 0.70, 2.21, 1.58, 0.77, 1.52, 2.59, 1.25, -8.90, 2.51, 72.20, 0.50, -1.00, 0.00
176451, 0, 0.50, 0.50, -0.18, 0.46, 75.15, -2.01, 1.32, 52.80, 0.01, 0.37, 1.61, 0.61, 0.77, 1.07, 0.79, 1.07, 1.83, 1.11, 1.38, 1.92, 1.04, -12.15, 2.51, 75.16, 0.50, -1.00, 0.00
176464, 0, 0.50, 0.50, -0.41, 0.58, 78.50, -2.00, 1.32, 52.80, 0.01, 0.15, 1.23, 0.88, 1.55, 0.89, 0.49, 0.24, 1.86, 0.74, 1.70, 1.58, 0.79, -14.89, 2.50, 78.52, 0.50, -1.00, 0.00
