timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
55318, 0, 0.50, 0.50, -0.52, -0.11, -0.23, -0.00, 1.32, 52.80, 0.01, 0.76, 1.00, 0.00, 0.52, 1.00, 0.00, 2.28, 1.00, 0.00, 2.56, 1.00, 0.00, 0.00, 0.50, 1.00, 11.46, 0.40, 1.00
55386, 0, 0.50, 0.50, -0.44, 0.83, 6.27, 0.01, 1.32, 52.80, 0.01, 3.31, 1.08, 0.51, 0.20, 0.49, 0.60, 0.76, 1.52, 1.84, 1.90, 1.42, 2.00, 57.30, 0.49, 1.00, 13.97, 0.40, 1.00
55398, 0, 0.50, 0.50, -0.60, 2.02, 9.82, 0.04, 1.32, 52.80, 0.01, 2.48, 1.14, 1.70, 1.69, 0.44, 0.26, 0.73, 1.58, 1.28, 0.39, 1.89, 1.56, 57.30, 0.46, 1.00, 9.60, -0.06, 1.00
55477, 0, 0.50, 0.50, -0.84, 2.91, 19.17, 0.08, 1.32, 52.80, 0.01, 0.00, 1.70, 0.98, 0.00, 1.52, 1.18, 0.00, 1.39, 0.19, 0.00, 1.32, 0.35, 51.02, 0.42, 1.00, -1.45, -0.57, 1.00
55484, 0, 0.50, 0.50, -1.09, 1.71, 27.10, 0.10, 1.32, 52.80, 0.01, 0.00, 1.75, 0.93, 0.00, 1.87, 0.58, 0.00, 1.27, 0.77, 0.00, 1.07, 0.79, 47.48, 0.40, 1.00, -59.35, -2.47, 1.00
55492, 0, 0.50, 0.50, -1.16, 1.16, 32.77, 0.11, 1.32, 52.80, 0.01, 0.00, 1.77, 1.30, 0.00, 1.49, 0.30, 0.00, 1.04, 0.77, 0.00, 1.03, 0.67, 38.13, 0.39, 1.00, -92.26, -3.00, 1.00
55508, 0, 0.50, 0.50, -1.01, 1.09, 36.80, 0.13, 1.32, 52.80, 0.01, 0.00, 1.80, 0.51, 0.00, 1.20, 0.82, 0.00, 0.72, 0.53, 0.00, 0.62, 0.30, 30.20, 0.37, 1.00, -105.51, -3.00, 1.00
55518, 0, 0.50, 0.50, -1.03, 1.66, 39.85, 0.15, 1.32, 52.80, 0.01, 0.00, 1.59, 0.82, 0.00, 0.92, 0.70, 0.00, 0.58, 0.39, 0.00, 0.48, 0.30, 24.53, 0.35, 1.00, -115.45, -3.00, 1.00
55531, 0, 0.50, 0.50, -1.21, 1.25, 40.92, 0.17, 1.32, 52.80, 0.01, 0.00, 1.35, 0.61, 0.00, 0.68, 0.44, 0.00, 0.45, 0.26, 0.00, 0.41, 0.32, 20.49, 0.33, 1.00, -119.28, -3.00, 1.00
55569, 0, 0.50, 0.50, -1.28, 0.69, 40.30, 0.18, 1.32, 52.80, 0.01, 0.00, 0.59, 0.32, 0.00, 0.37, 0.25, 0.00, 0.28, 0.09, 0.00, 0.38, 0.30, 17.45, 0.32, 1.00, -117.64, -3.00, 1.00
55576, 0, 0.50, 0.50, -0.88, -0.13, 39.88, 0.17, 1.32, 52.80, 0.01, 0.00, 0.48, 0.25, 0.00, 0.32, 0.21, 0.00, 0.23, 0.07, 0.00, 0.41, 0.32, 16.37, 0.33, 1.00, -108.86, -2.82, 1.00
55585, 0, 0.50, 0.50, -0.46, -1.33, 40.24, 0.16, 1.32, 52.80, 0.01, 0.00, 0.44, 0.23, 0.00, 0.30, 0.21, 0.00, 0.20, 0.09, 0.00, 0.42, 0.33, 16.99, 0.34, 1.00, -104.59, -2.69, 1.00
55601, 0, 0.50, 0.50, -0.50, -2.20, 40.99, 0.13, 1.32, 52.80, 0.01, 0.00, 0.37, 0.23, 0.00, 0.27, 0.19, 0.00, 0.17, 0.16, 0.00, 0.42, 0.32, 17.42, 0.37, 1.00, -111.21, -2.80, 1.00
55611, 0, 0.50, 0.50, -0.58, -2.39, 41.15, 0.10, 1.32, 52.80, 0.01, 0.00, 0.35, 0.25, 0.00, 0.27, 0.23, 0.00, 0.17, 0.18, 0.00, 0.41, 0.30, 17.06, 0.40, 1.00, -120.18, -3.00, 1.00
55625, 0, 0.50, 0.50, -0.66, -2.64, 41.09, 0.06, 1.32, 52.80, 0.01, 0.00, 0.35, 0.21, 0.00, 0.27, 0.21, 0.00, 0.23, 0.23, 0.00, 0.37, 0.28, 16.31, 0.44, 1.00, -120.03, -3.00, 1.00
55641, 0, 0.50, 0.50, -0.65, -2.35, 40.24, 0.03, 1.32, 52.80, 0.01, 0.00, 0.32, 0.18, 0.00, 0.30, 0.25, 0.00, 0.25, 0.19, 0.00, 0.35, 0.26, 16.15, 0.47, 1.00, -116.74, -2.98, 1.00
55651, 0, 0.50, 0.50, -0.61, -2.02, 39.08, 0.00, 1.32, 52.80, 0.01, 0.00, 0.31, 0.19, 0.00, 0.30, 0.23, 0.00, 0.25, 0.18, 0.00, 0.34, 0.23, 16.21, 0.50, 1.00, -103.38, -2.73, 1.00
55668, 0, 0.50, 0.50, -0.55, -2.17, 37.79, -0.03, 1.32, 52.80, 0.01, 0.00, 0.27, 0.14, 0.00, 0.30, 0.23, 0.00, 0.23, 0.14, 0.00, 0.30, 0.21, 17.06, 0.53, 1.00, -87.23, -2.40, 1.00
55678, 0, 0.50, 0.50, -0.70, -2.05, 36.43, -0.05, 1.32, 52.80, 0.01, 0.00, 0.25, 0.16, 0.00, 0.28, 0.21, 0.00, 0.23, 0.11, 0.00, 0.28, 0.21, 18.22, 0.55, 1.00, -70.86, -2.05, 1.00
55691, 0, 0.50, 0.50, -0.53, -1.69, 34.27, -0.08, 1.32, 52.80, 0.01, 0.00, 0.24, 0.12, 0.00, 0.28, 0.19, 0.00, 0.21, 0.12, 0.00, 0.25, 0.18, 19.51, 0.58, 1.00, -54.15, -1.70, 1.00
55709, 0, 0.50, 0.50, -0.75, -1.84, 31.96, -0.10, 1.32, 52.80, 0.01, 0.00, 0.21, 0.11, 0.00, 0.25, 0.14, 0.00, 0.17, 0.11, 0.00, 0.24, 0.16, 20.87, 0.60, 1.00, -33.25, -1.18, 1.00
55718, 0, 0.50, 0.50, -0.75, -1.80, 29.44, -0.13, 1.32, 52.80, 0.01, 0.00, 0.20, 0.11, 0.00, 0.24, 0.18, 0.00, 0.15, 0.11, 0.00, 0.24, 0.14, 23.03, 0.63, 1.00, -14.83, -0.68, 1.00
