timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
56095, 0, 0.50, 0.50, -0.52, -0.12, -0.28, -0.00, 1.32, 52.80, 0.01, 2.17, 0.00, 0.00, 0.25, 1.00, 0.00, 1.13, 1.00, 0.00, 3.07, 0.00, 0.00, 0.00, 0.50, 1.00, 5.73, 0.50, 0.50
56136, 0, 0.50, 0.50, -0.99, 0.40, 3.02, 0.00, 1.32, 52.80, 0.01, 0.10, 0.73, 1.89, 2.23, 0.48, 0.26, 2.38, 0.90, 1.72, 1.24, 0.68, 2.33, 57.30, 0.50, 1.00, 7.24, 0.50, 0.50
56154, 0, 0.50, 0.50, -0.43, 0.42, 6.18, 0.01, 1.32, 52.80, 0.01, 1.38, 1.13, 1.72, 0.27, 0.58, 3.02, 3.44, 1.66, 2.09, 2.72, 1.07, 2.46, 57.30, 0.49, 1.00, 8.51, 0.50, 0.50
56162, 0, 0.50, 0.50, -0.94, 0.76, 8.64, 0.02, 1.32, 52.80, 0.01, 2.28, 1.75, 1.74, 1.44, 0.89, 2.12, 0.56, 1.51, 1.93, 0.15, 1.56, 2.09, 54.27, 0.48, 1.00, 9.40, 0.50, 0.50
56175, 0, 0.50, 0.50, -0.85, 1.13, 10.49, 0.03, 1.32, 52.80, 0.01, 2.94, 1.66, 1.32, 2.30, 1.17, 1.74, 1.11, 1.70, 0.82, 0.93, 1.63, 1.23, 51.12, 0.47, 1.00, 10.05, 0.49, 0.50
56193, 0, 0.50, 0.50, -0.61, 1.39, 12.20, 0.05, 1.32, 52.80, 0.01, 0.00, 1.83, 0.70, 3.13, 1.41, 1.07, 1.65, 1.62, 0.79, 1.68, 1.77, 0.72, 48.66, 0.45, 1.00, 10.69, 0.49, 0.50
56202, 0, 0.50, 0.50, -0.44, 1.56, 13.37, 0.07, 1.32, 52.80, 0.01, 0.38, 1.86, 0.40, 0.01, 1.46, 0.98, 1.96, 1.55, 0.72, 2.13, 1.61, 0.67, 46.81, 0.43, 1.00, 11.08, 0.49, 0.50
56218, 0, 0.50, 0.50, -0.56, 1.54, 14.55, 0.09, 1.32, 52.80, 0.01, 0.83, 1.86, 0.44, 0.61, 1.52, 0.61, 2.32, 1.56, 1.00, 2.65, 1.89, 0.68, 45.10, 0.41, 1.00, 11.52, 0.49, 0.50
56228, 0, 0.50, 0.50, -0.45, 1.66, 15.74, 0.12, 1.32, 52.80, 0.01, 1.28, 1.77, 0.51, 1.18, 1.37, 0.61, 2.70, 1.49, 0.91, 3.17, 1.75, 0.77, 43.93, 0.38, 1.00, 11.97, 0.49, 0.50
56242, 0, 0.50, 0.50, -0.51, 1.44, 17.23, 0.14, 1.32, 52.80, 0.01, 1.86, 1.66, 0.42, 1.94, 1.41, 1.21, 3.18, 1.55, 1.18, 0.24, 1.82, 0.72, 42.75, 0.36, 1.00, 12.55, 0.49, 0.50
56258, 0, 0.50, 0.50, -0.60, 1.91, 19.25, 0.16, 1.32, 52.80, 0.01, 2.68, 1.70, 0.86, 2.97, 1.55, 0.77, 0.24, 1.51, 0.95, 1.17, 1.93, 0.58, 41.55, 0.34, 1.00, 13.34, 0.48, 0.50
56268, 0, 0.50, 0.50, -0.32, 1.32, 21.54, 0.18, 1.32, 52.80, 0.01, 3.52, 1.79, 0.75, 0.46, 1.63, 0.88, 0.93, 1.63, 0.70, 2.14, 1.76, 0.61, 40.07, 0.32, 1.00, 14.18, 0.48, 0.50
56282, 0, 0.50, 0.50, -0.40, 1.07, 24.21, 0.19, 1.32, 52.80, 0.01, 0.89, 1.85, 0.75, 1.72, 1.56, 0.61, 1.72, 1.83, 0.91, 3.27, 1.92, 0.65, 38.04, 0.31, 1.00, 15.13, 0.48, 0.50
56299, 0, 0.50, 0.50, -0.29, 0.62, 27.42, 0.20, 1.32, 52.80, 0.01, 2.01, 1.94, 0.75, 3.17, 1.42, 0.86, 2.65, 1.72, 0.98, 0.96, 1.90, 0.72, 35.75, 0.30, 1.00, 16.25, 0.47, 0.50
56308, 0, 0.50, 0.50, -0.39, 1.11, 30.65, 0.22, 1.32, 52.80, 0.01, 3.00, 2.00, 0.60, 0.85, 1.52, 1.12, 3.46, 1.96, 0.89, 2.11, 2.03, 0.49, 33.08, 0.28, 1.00, 17.23, 0.46, 0.50
56322, 0, 0.50, 0.50, -0.35, 1.00, 33.26, 0.23, 1.32, 52.80, 0.01, 0.03, 2.10, 0.63, 1.65, 1.52, 0.54, 0.37, 2.04, 0.95, 2.83, 2.07, 0.61, 29.87, 0.27, 1.00, 17.85, 0.46, 0.50
56339, 0, 0.50, 0.50, -0.51, 0.80, 35.78, 0.24, 1.32, 52.80, 0.01, 0.68, 1.87, 0.93, 2.49, 1.59, 0.88, 0.90, 1.52, 1.11, 3.58, 2.14, 0.67, 26.64, 0.26, 1.00, 18.49, 0.45, 0.50
56348, 0, 0.50, 0.50, -1.17, 0.94, 37.69, 0.25, 1.32, 52.80, 0.01, 1.01, 1.62, 0.75, 2.93, 1.68, 1.02, 1.18, 1.56, 1.07, 0.37, 2.18, 0.67, 24.03, 0.25, 1.00, 18.82, 0.44, 0.50
56362, 0, 0.50, 0.50, -1.06, 0.74, 38.49, 0.26, 1.32, 52.80, 0.01, 0.96, 1.39, 0.77, 2.86, 1.82, 1.05, 1.14, 1.63, 1.00, 0.31, 1.89, 0.68, 21.51, 0.24, 1.00, 18.78, 0.44, 0.50
56378, 0, 0.50, 0.50, -0.79, 0.80, 40.76, 0.27, 1.32, 52.80, 0.01, 1.79, 0.97, 0.47, 0.31, 2.14, 0.95, 1.82, 1.90, 0.81, 1.27, 2.69, 0.79, 19.61, 0.23, 1.00, 19.59, 0.43, 0.50
56388, 0, 0.50, 0.50, -0.43, 1.00, 43.63, 0.29, 1.32, 52.80, 0.01, 2.49, 0.90, 1.35, 1.23, 2.11, 0.46, 2.39, 1.90, 0.84, 2.07, 2.07, 0.65, 18.80, 0.21, 1.00, 20.28, 0.43, 0.50
56402, 0, 0.50, 0.50, -0.37, 0.79, 47.09, 0.30, 1.32, 52.80, 0.01, 3.21, 1.08, 1.70, 2.15, 2.06, 0.54, 2.99, 1.87, 0.81, 2.92, 1.66, 0.65, 16.54, 0.20, 1.00, 21.00, 0.42, 0.50
56439, 0, 0.50, 0.50, -0.11, 0.66, 52.96, 0.31, 1.32, 52.80, 0.01, 1.00, 1.69, 0.95, 0.35, 2.15, 0.58, 0.52, 1.86, 0.70, 0.92, 2.06, 0.60, 13.67, 0.19, 1.00, 22.37, 0.40, 0.50
56448, 0, 0.50, 0.50, -0.05, 0.63, 58.68, 0.31, 1.32, 52.80, 0.01, 1.20, 1.75, 0.74, 0.61, 2.08, 0.81, 0.69, 1.97, 0.47, 1.14, 1.99, 0.47, 10.21, 0.19, 1.00, 22.57, 0.38, 0.50
56456, 0, 0.50, 0.50, -0.38, 0.58, 62.85, 0.32, 1.32, 52.80, 0.01, 0.49, 1.79, 0.65, 3.31, 1.90, 0.81, 0.11, 1.89, 0.72, 0.34, 1.85, 0.81, 4.33, 0.18, 1.00, 21.88, 0.35, 0.50
56473, 0, 0.50, 0.50, -0.13, 0.48, 67.06, 0.33, 1.32, 52.80, 0.01, 0.14, 1.89, 1.09, 2.86, 1.96, 1.18, 3.42, 1.63, 0.84, 3.54, 2.01, 0.79, -1.38, 0.17, 1.00, 21.53, 0.33, 0.50
56482, 0, 0.50, 0.50, 0.04, 0.39, 69.81, 0.33, 1.32, 52.80, 0.01, 2.69, 1.89, 0.89, 1.48, 2.03, 1.04, 2.55, 1.54, 1.18, 2.31, 1.97, 0.98, -5.56, 0.17, 1.00, 20.48, 0.31, 0.50
56495, 0, 0.50, 0.50, -0.50, 0.64, 73.61, 0.34, 1.32, 52.80, 0.01, 2.45, 1.82, 1.12, 1.18, 2.06, 0.56, 2.37, 1.61, 1.21, 2.03, 1.93, 0.72, -9.76, 0.16, 1.00, 20.25, 0.29, 0.50
56511, 0, 0.50, 0.50, -0.34, 0.18, 76.96, 0.34, 1.32, 52.80, 0.01, 1.35, 1.92, 0.91, 3.37, 2.08, 0.54, 1.46, 1.79, 1.07, 0.76, 2.03, 0.74, -12.52, 0.16, 1.00, 19.16, 0.27, 0.50
