timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
164442, 0, 0.50, 0.50, -0.18, -0.97, -1.35, -7.98, 1.32, 52.80, 0.01, 2.17, 0.13, 0.00, 0.25, 0.11, 0.00, 1.13, 0.08, 0.00, 3.07, 0.10, 0.00, 57.30, 8.48, 1.00, 5.73, 0.47, 0.50
164466, 0, 0.50, 0.50, -0.26, -0.56, -1.28, -7.99, 1.32, 52.80, 0.01, 2.17, 0.10, 0.00, 0.25, 0.11, 0.00, 1.13, 0.08, 0.00, 3.07, 0.10, 0.00, 57.30, 8.49, 1.00, 5.73, 0.47, 0.50
164474, 0, 0.50, 0.50, -0.30, -0.45, -1.19, -7.99, 1.32, 52.80, 0.01, 2.17, 0.10, 0.00, 0.25, 0.11, 0.00, 1.13, 0.08, 0.00, 3.07, 0.10, 0.00, 57.30, 8.49, 1.00, 5.73, 0.47, 0.50
164487, 0, 0.50, 0.50, -0.35, -0.46, -1.15, -8.00, 1.32, 52.80, 0.01, 2.17, 0.10, 0.00, 0.25, 0.11, 0.00, 1.13, 0.08, 0.00, 3.07, 0.07, 1.19, 57.30, 8.50, 1.00, 5.73, 0.47, 0.50
164495, 0, 0.50, 0.50, -0.32, -0.39, -1.10, -8.01, 1.32, 52.80, 0.01, 2.17, 0.10, 0.00, 0.25, 0.11, 0.00, 1.13, 0.08, 0.00, 3.07, 0.10, 3.28, 57.30, 8.51, 1.00, 5.73, 0.47, 0.50
164508, 0, 0.50, 0.50, -0.35, -0.01, -1.00, -8.01, 1.32, 52.80, 0.01, 2.17, 0.10, 0.00, 0.25, 0.11, 0.00, 1.13, 0.08, 0.00, 3.07, 0.76, 2.98, 57.30, 8.51, 1.00, 5.73, 0.47, 0.50
164522, 0, 0.50, 0.50, -0.40, -0.03, -0.88, -8.01, 1.32, 52.80, 0.01, 2.17, 0.10, 1.61, 0.25, 0.11, 0.00, 1.13, 0.08, 0.00, 3.07, 1.03, 2.53, 57.30, 8.51, 1.00, 5.73, 0.47, 0.50
164535, 0, 0.50, 0.50, -0.43, 0.41, -0.59, -8.00, 1.32, 52.80, 0.01, 2.17, 0.11, 2.14, 0.25, 0.11, 0.00, 1.13, 0.08, 0.00, 3.07, 1.25, 2.19, 57.30, 8.50, 1.00, 5.73, 0.47, 0.50
164562, 0, 0.50, 0.50, -0.43, 0.62, -0.08, -7.99, 1.32, 52.80, 0.01, 2.17, 0.80, 1.81, 0.25, 0.08, 0.00, 1.13, 0.08, 0.00, 3.07, 1.59, 1.77, 57.30, 8.49, 1.00, 5.73, 0.47, 0.50
164575, 0, 0.50, 0.50, -0.46, 0.41, 0.61, -7.99, 1.32, 52.80, 0.01, 2.46, 1.06, 1.81, 0.63, 0.08, 0.02, 1.37, 0.08, 0.00, 3.42, 1.86, 1.56, 57.30, 8.49, 1.00, 6.02, 0.47, 0.50
164588, 0, 0.50, 0.50, -0.47, -0.17, 1.39, -7.99, 1.32, 52.80, 0.01, 2.79, 1.32, 1.51, 1.03, 0.08, 0.05, 1.63, 0.07, 0.35, 0.17, 2.01, 1.39, 57.30, 8.49, 1.00, 6.33, 0.47, 0.50
164603, 0, 0.50, 0.50, -0.48, 0.30, 2.25, -7.98, 1.32, 52.80, 0.01, 3.11, 1.62, 1.49, 1.46, 0.07, 0.05, 1.90, 0.28, 2.47, 0.56, 2.13, 1.00, 56.68, 8.48, 1.00, 6.66, 0.47, 0.50
164615, 0, 0.50, 0.50, -0.34, 0.26, 3.21, -7.98, 1.32, 52.80, 0.01, 3.49, 1.85, 1.68, 1.94, 0.06, 0.09, 2.21, 0.87, 1.84, 0.99, 2.21, 0.93, 55.90, 8.48, 1.00, 7.03, 0.47, 0.50
164628, 0, 0.50, 0.50, -0.31, 0.05, 4.26, -7.98, 1.32, 52.80, 0.01, 0.30, 2.07, 1.39, 2.46, 0.07, 0.07, 2.54, 1.07, 1.84, 1.46, 2.24, 0.82, 55.04, 8.48, 1.00, 7.43, 0.47, 0.50
164642, 0, 0.50, 0.50, -0.29, 0.19, 5.03, -7.98, 1.32, 52.80, 0.01, 0.55, 2.10, 0.96, 2.82, 0.08, 0.30, 2.76, 1.62, 2.11, 1.76, 2.30, 1.05, 54.09, 8.48, 1.00, 7.69, 0.47, 0.50
164655, 0, 0.50, 0.50, -0.32, 0.18, 5.87, -7.98, 1.32, 52.80, 0.01, 0.89, 2.13, 0.96, 3.24, 0.20, 2.28, 3.03, 1.58, 1.89, 2.14, 2.23, 0.86, 53.04, 8.48, 1.00, 8.01, 0.47, 0.50
164668, 0, 0.50, 0.50, -0.35, 0.19, 7.03, -7.97, 1.32, 52.80, 0.01, 1.35, 2.08, 0.67, 0.24, 0.96, 2.88, 3.41, 1.66, 1.40, 2.69, 2.13, 1.23, 52.27, 8.47, 1.00, 8.48, 0.47, 0.50
164682, 0, 0.50, 0.50, -0.49, 0.10, 8.69, -7.97, 1.32, 52.80, 0.01, 2.03, 2.24, 1.19, 1.11, 1.08, 0.61, 0.37, 2.00, 1.12, 3.46, 2.13, 1.28, 51.42, 8.47, 1.00, 9.15, 0.47, 0.50
164695, 0, 0.50, 0.50, -0.68, 0.39, 11.33, -7.97, 1.32, 52.80, 0.01, 3.13, 2.31, 0.79, 2.54, 0.92, 0.49, 1.27, 2.04, 0.53, 1.14, 2.20, 1.12, 50.26, 8.47, 1.00, 10.24, 0.47, 0.50
164708, 0, 0.50, 0.50, -0.69, 0.27, 14.30, -7.96, 1.32, 52.80, 0.01, 0.69, 2.45, 0.81, 0.42, 0.76, 2.49, 2.21, 1.76, 0.81, 2.48, 2.35, 0.93, 48.61, 8.46, 1.00, 11.38, 0.47, 0.50
164722, 0, 0.50, 0.50, -0.73, 0.53, 17.53, -7.96, 1.32, 52.80, 0.01, 1.93, 2.31, 1.11, 2.01, 1.15, 0.63, 3.23, 2.31, 0.82, 0.31, 2.34, 1.02, 45.97, 8.46, 1.00, 12.61, 0.47, 0.50
164735, 0, 0.50, 0.50, -0.68, 0.77, 20.65, -7.95, 1.32, 52.80, 0.01, 3.08, 2.08, 0.86, 3.51, 0.85, 2.40, 0.58, 2.35, 0.88, 1.65, 2.14, 0.47, 42.99, 8.45, 1.00, 13.75, 0.47, 0.50
164748, 0, 0.50, 0.50, -0.57, 0.69, 23.68, -7.94, 1.32, 52.80, 0.01, 0.61, 2.24, 0.89, 1.35, 1.28, 2.46, 1.49, 2.23, 0.54, 2.94, 2.32, 1.16, 39.76, 8.44, 1.00, 14.86, 0.47, 0.50
164762, 0, 0.50, 0.50, -0.72, 0.34, 26.74, -7.93, 1.32, 52.80, 0.01, 1.75, 2.04, 1.05, 2.83, 1.66, 1.75, 2.44, 2.06, 0.75, 0.66, 2.30, 1.14, 36.65, 8.43, 1.00, 15.99, 0.47, 0.50
164775, 0, 0.50, 0.50, -0.48, -0.22, 30.28, -7.93, 1.32, 52.80, 0.01, 3.10, 1.77, 0.65, 0.97, 1.97, 1.63, 3.55, 2.18, 0.86, 2.23, 1.90, 0.72, 33.61, 8.43, 1.00, 17.33, 0.47, 0.50
164788, 0, 0.50, 0.50, -0.93, -0.10, 33.60, -7.94, 1.32, 52.80, 0.01, 0.70, 1.96, 1.42, 2.52, 2.06, 0.63, 0.93, 2.28, 1.02, 0.01, 1.76, 1.04, 30.56, 8.44, 1.00, 18.52, 0.47, 0.50
164802, 0, 0.50, 0.50, -0.77, 0.04, 36.44, -7.94, 1.32, 52.80, 0.01, 1.68, 1.97, 0.79, 0.18, 2.18, 1.23, 1.73, 2.13, 0.74, 1.14, 1.72, 1.05, 27.02, 8.44, 1.00, 19.48, 0.47, 0.50
164815, 0, 0.50, 0.50, -0.69, -0.48, 39.24, -7.94, 1.32, 52.80, 0.01, 2.69, 1.75, 0.26, 1.49, 2.01, 1.07, 2.56, 2.10, 0.84, 2.31, 1.38, 0.54, 23.69, 8.44, 1.00, 20.48, 0.47, 0.50
164828, 0, 0.50, 0.50, -1.00, 0.08, 41.48, -7.94, 1.32, 52.80, 0.01, 3.44, 1.86, 1.53, 2.45, 1.75, 0.82, 3.17, 2.20, 1.00, 3.17, 1.32, 1.58, 20.86, 8.44, 1.00, 21.22, 0.47, 0.50
164842, 0, 0.50, 0.50, -0.95, 0.83, 42.85, -7.93, 1.32, 52.80, 0.01, 0.23, 2.08, 1.07, 2.96, 1.85, 1.19, 3.49, 2.25, 1.14, 0.01, 1.55, 1.75, 18.06, 8.43, 1.00, 21.61, 0.47, 0.50
