timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
66467, 0, 0.50, 0.50, -0.50, -0.08, -0.23, -0.00, 1.32, 52.80, 0.01, 2.17, 1.00, 0.00, 0.25, 1.00, 0.00, 1.13, 1.00, 0.00, 3.07, 1.00, 0.00, 0.00, 0.50, 1.00, 5.73, 0.50, 0.50
66493, 0, 0.50, 0.50, -0.46, 1.62, 0.21, 0.02, 1.32, 52.80, 0.01, 2.28, 0.27, 1.91, 0.38, 0.13, 1.61, 1.21, 0.28, 1.86, 3.20, 0.28, 2.67, 57.30, 0.48, 1.00, 5.83, 0.50, 0.50
66501, 0, 0.50, 0.50, -0.56, 1.99, 1.66, 0.05, 1.32, 52.80, 0.01, 3.00, 0.70, 1.82, 1.31, 0.37, 1.19, 1.80, 0.61, 1.75, 0.42, 0.77, 2.47, 57.30, 0.45, 1.00, 6.54, 0.50, 0.50
66517, 0, 0.50, 0.50, -0.40, 2.04, 4.09, 0.07, 1.32, 52.80, 0.01, 0.46, 1.03, 1.60, 2.70, 0.76, 2.96, 2.69, 0.96, 1.86, 1.66, 1.04, 2.44, 57.09, 0.43, 1.00, 7.61, 0.50, 0.50
66526, 0, 0.50, 0.50, -0.29, 2.06, 5.77, 0.10, 1.32, 52.80, 0.01, 1.07, 1.24, 1.40, 3.48, 1.08, 2.74, 3.18, 1.39, 1.93, 2.37, 1.28, 2.37, 55.63, 0.40, 1.00, 8.20, 0.50, 0.50
66534, 0, 0.50, 0.50, -0.30, 2.30, 7.86, 0.13, 1.32, 52.80, 0.01, 1.96, 1.62, 1.75, 1.01, 1.31, 2.09, 0.30, 1.39, 1.84, 3.38, 1.41, 1.70, 53.21, 0.37, 1.00, 9.07, 0.50, 0.50
66551, 0, 0.50, 0.50, -0.39, 2.36, 11.27, 0.16, 1.32, 52.80, 0.01, 3.45, 1.51, 1.05, 2.94, 1.28, 0.88, 1.54, 1.42, 1.02, 1.51, 1.51, 0.98, 51.53, 0.34, 1.00, 10.56, 0.50, 0.50
66561, 0, 0.50, 0.50, -0.45, 1.95, 15.14, 0.19, 1.32, 52.80, 0.01, 1.42, 1.56, 0.84, 1.37, 1.45, 0.98, 2.82, 1.63, 0.86, 3.34, 1.52, 0.74, 49.43, 0.31, 1.00, 12.11, 0.50, 0.50
66574, 0, 0.50, 0.50, -0.55, 2.57, 18.88, 0.22, 1.32, 52.80, 0.01, 2.86, 1.58, 0.61, 3.23, 1.45, 0.79, 0.39, 1.83, 0.77, 1.38, 1.54, 0.77, 46.02, 0.28, 1.00, 13.53, 0.49, 0.50
66592, 0, 0.50, 0.50, -0.56, 2.47, 23.22, 0.26, 1.32, 52.80, 0.01, 0.96, 1.66, 0.67, 1.82, 1.51, 0.81, 1.79, 1.49, 0.79, 3.35, 1.56, 0.77, 42.15, 0.24, 1.00, 15.21, 0.49, 0.50
