timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
67105, 0, 0.50, 0.50, -0.53, -0.09, -0.23, -0.00, 1.32, 52.80, 0.01, 3.58, 1.00, 0.00, 3.58, 1.00, 0.00, 3.58, 1.00, 0.00, 3.58, 1.00, 0.00, 0.00, 0.50, 1.00, 5.73, 0.50, 0.50
67146, 0, 0.50, 0.50, 0.02, 0.06, 2.63, -0.00, 1.32, 52.80, 0.01, 3.58, 0.89, 1.65, 3.58, 1.32, 2.37, 3.58, 0.97, 1.72, 3.58, 1.11, 2.37, 57.30, 0.50, 1.00, 7.05, 0.50, 0.50
67164, 0, 0.50, 0.50, 0.05, -0.26, 5.56, -0.00, 1.32, 52.80, 0.01, 3.58, 1.24, 1.11, 3.58, 1.56, 0.77, 3.58, 1.17, 1.07, 3.58, 1.68, 1.00, 57.30, 0.50, 1.00, 8.24, 0.50, 0.50
67173, 0, 0.50, 0.50, 0.14, 1.17, 8.17, 0.01, 1.32, 52.80, 0.01, 3.58, 1.72, 0.91, 3.58, 1.85, 0.61, 3.58, 1.54, 0.88, 3.58, 1.23, 0.84, 54.66, 0.49, 1.00, 9.25, 0.50, 0.50
67185, 0, 0.50, 0.50, -0.33, 1.45, 10.82, 0.03, 1.32, 52.80, 0.01, 3.58, 1.37, 0.75, 3.58, 1.62, 0.56, 3.58, 1.42, 0.74, 3.58, 1.38, 0.75, 51.73, 0.47, 1.00, 10.29, 0.50, 0.50
67203, 0, 0.50, 0.50, -0.33, 1.33, 14.25, 0.05, 1.32, 52.80, 0.01, 3.58, 1.44, 0.72, 3.58, 1.62, 0.54, 3.58, 1.37, 0.72, 3.58, 1.52, 0.77, 49.13, 0.45, 1.00, 11.72, 0.50, 0.50
67212, 0, 0.50, 0.50, -0.40, 1.70, 17.32, 0.07, 1.32, 52.80, 0.01, 3.58, 2.25, 0.68, 3.58, 1.68, 0.53, 3.58, 1.77, 0.70, 3.58, 1.39, 0.79, 46.48, 0.43, 1.00, 12.86, 0.49, 0.50
67228, 0, 0.50, 0.50, -0.49, 1.68, 20.19, 0.09, 1.32, 52.80, 0.01, 3.58, 1.49, 0.72, 3.58, 1.65, 0.54, 3.58, 1.46, 0.68, 3.58, 1.06, 0.82, 43.04, 0.41, 1.00, 13.92, 0.49, 0.50
67238, 0, 0.50, 0.50, -0.48, 1.86, 23.20, 0.12, 1.32, 52.80, 0.01, 3.58, 1.58, 0.72, 3.58, 1.69, 0.51, 3.58, 1.51, 0.68, 3.58, 1.23, 0.81, 39.98, 0.38, 1.00, 15.05, 0.49, 0.50
67252, 0, 0.50, 0.50, -0.46, 2.03, 26.42, 0.15, 1.32, 52.80, 0.01, 3.58, 1.55, 0.67, 3.58, 1.72, 0.53, 3.58, 1.52, 0.72, 3.58, 1.32, 0.79, 37.11, 0.35, 1.00, 16.25, 0.49, 0.50
67268, 0, 0.50, 0.50, -0.59, 1.61, 29.44, 0.17, 1.32, 52.80, 0.01, 3.58, 1.58, 0.67, 3.58, 1.72, 0.56, 3.58, 1.38, 0.68, 3.58, 1.45, 0.77, 34.10, 0.33, 1.00, 17.29, 0.48, 0.50
67278, 0, 0.50, 0.50, -0.72, 1.68, 31.98, 0.19, 1.32, 52.80, 0.01, 3.58, 1.61, 0.67, 3.58, 1.72, 0.56, 3.58, 1.52, 0.74, 3.58, 1.31, 0.75, 30.88, 0.31, 1.00, 18.10, 0.48, 0.50
67292, 0, 0.50, 0.50, -0.92, 1.66, 33.66, 0.21, 1.32, 52.80, 0.01, 3.58, 1.62, 0.68, 3.58, 1.75, 0.56, 3.58, 1.51, 0.77, 3.58, 1.48, 0.79, 27.85, 0.29, 1.00, 18.54, 0.48, 0.50
67309, 0, 0.50, 0.50, -0.72, 1.79, 35.25, 0.24, 1.32, 52.80, 0.01, 3.58, 1.63, 0.70, 3.58, 1.79, 0.54, 3.58, 1.59, 0.72, 3.58, 1.42, 0.81, 25.32, 0.26, 1.00, 19.05, 0.47, 0.50
67318, 0, 0.50, 0.50, -0.58, 1.65, 36.82, 0.26, 1.32, 52.80, 0.01, 3.58, 1.65, 0.70, 3.58, 1.80, 0.54, 3.58, 1.55, 0.74, 3.58, 1.45, 0.79, 23.64, 0.24, 1.00, 19.55, 0.47, 0.50
67332, 0, 0.50, 0.50, -0.61, 1.06, 39.30, 0.27, 1.32, 52.80, 0.01, 3.58, 1.68, 0.68, 3.58, 1.86, 0.53, 3.58, 1.97, 0.67, 3.58, 1.52, 0.77, 22.05, 0.23, 1.00, 20.48, 0.47, 0.50
67350, 0, 0.50, 0.50, -0.46, 1.37, 42.04, 0.29, 1.32, 52.80, 0.01, 3.58, 1.76, 0.68, 3.58, 1.85, 0.51, 3.58, 1.75, 0.67, 3.58, 1.48, 0.82, 20.48, 0.21, 1.00, 21.35, 0.47, 0.50
