timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
42615, 0, 0.50, 0.50, -0.50, -0.09, -0.28, -0.00, 1.32, 52.80, 0.01, 0.56, 0.01, 0.00, 0.73, 0.10, 0.00, 0.45, 0.03, 0.00, 0.65, 0.07, 0.00, 0.00, 0.50, 1.00, 0.57, 0.50, 0.50
42657, 0, 0.50, 0.50, -0.51, -0.09, -0.32, -0.00, 1.32, 52.80, 0.01, 0.56, 0.01, 0.00, 0.73, 0.10, 0.00, 0.45, 0.03, 0.00, 0.65, 0.07, 0.00, 57.30, 0.50, 1.00, 0.57, 0.50, 0.50
42675, 0, 0.50, 0.50, -0.51, -0.09, -0.30, -0.00, 1.32, 52.80, 0.01, 0.56, 0.01, 0.00, 0.73, 0.10, 0.00, 0.45, 0.03, 0.00, 0.65, 0.07, 0.00, 57.30, 0.50, 1.00, 0.57, 0.50, 0.50
42683, 0, 0.50, 0.50, -0.52, -0.10, -0.28, -0.00, 1.32, 52.80, 0.01, 0.56, 0.01, 0.00, 0.73, 0.10, 0.00, 0.45, 0.03, 0.00, 0.65, 0.07, 0.00, 57.30, 0.50, 1.00, 0.57, 0.50, 0.50
42699, 0, 0.50, 0.50, -0.52, -0.09, -0.29, -0.01, 1.32, 52.80, 0.01, 0.56, 0.01, 0.00, 0.73, 0.10, 0.00, 0.45, 0.03, 0.00, 0.65, 0.07, 0.00, 57.30, 0.51, 1.00, 0.57, 0.50, 0.50
42708, 0, 0.50, 0.50, -0.52, -0.09, -0.29, -0.01, 1.32, 52.80, 0.01, 0.56, 0.01, 0.00, 0.73, 0.10, 0.00, 0.45, 0.03, 0.00, 0.65, 0.07, 0.00, 57.30, 0.51, 1.00, 0.57, 0.50, 0.50
42721, 0, 0.50, 0.50, -0.51, -0.09, -0.28, -0.01, 1.32, 52.80, 0.01, 0.56, 0.01, 0.00, 0.73, 0.10, 0.00, 0.45, 0.03, 0.00, 0.65, 0.07, 0.00, 57.30, 0.51, 1.00, 0.57, 0.50, 0.50
42737, 0, 0.50, 0.50, -0.51, -0.09, -0.28, -0.01, 1.32, 52.80, 0.01, 0.56, 0.01, 0.00, 0.73, 0.10, 0.00, 0.45, 0.03, 0.00, 0.65, 0.07, 0.00, 57.30, 0.51, 1.00, 0.57, 0.50, 0.50
42748, 0, 0.50, 0.50, -0.51, -0.09, -0.28, -0.01, 1.32, 52.80, 0.01, 0.56, 0.01, 0.00, 0.73, 0.10, 0.00, 0.45, 0.03, 0.00, 0.65, 0.07, 0.00, 57.30, 0.51, 1.00, 0.57, 0.50, 0.50
42761, 0, 0.50, 0.50, -0.51, -0.09, -0.28, -0.01, 1.32, 52.80, 0.01, 0.56, 0.01, 0.00, 0.73, 0.10, 0.00, 0.45, 0.03, 0.00, 0.65, 0.07, 0.00, 57.30, 0.51, 1.00, 0.57, 0.50, 0.50
