timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
47361, 0, 0.50, 0.50, -0.55, -0.15, -0.23, -0.00, 1.32, 52.80, 0.01, 3.58, 0.01, 0.00, 3.58, 0.04, 0.00, 3.58, 0.04, 0.00, 3.58, 0.03, 0.00, 0.00, 0.50, 1.00, 57.30, 0.50, 0.50
47382, 0, 0.50, 0.50, -0.60, 0.17, -0.18, 0.00, 1.32, 52.80, 0.01, 3.58, 0.01, 0.00, 3.58, 0.04, 0.00, 3.58, 0.04, 0.00, 3.58, 0.03, 0.00, 57.30, 0.50, 1.00, 57.30, 0.50, 0.50
47390, 0, 0.50, 0.50, -0.51, 0.03, 0.02, 0.00, 1.32, 52.80, 0.01, 3.58, 0.01, 0.00, 3.58, 0.04, 0.00, 3.58, 0.04, 0.05, 3.58, 0.03, 0.12, 57.30, 0.50, 1.00, 57.31, 0.50, 0.50
47401, 0, 0.50, 0.50, -0.56, -0.46, -0.12, -0.01, 1.32, 52.80, 0.01, 3.58, 0.01, 2.14, 3.58, 0.04, 2.47, 3.58, 0.04, 2.19, 3.58, 0.03, 2.60, 57.30, 0.51, 1.00, 57.27, 0.50, 0.50
47417, 0, 0.50, 0.50, -0.53, 0.96, 0.93, 0.01, 1.32, 52.80, 0.01, 3.58, 0.37, 1.88, 3.58, 0.32, 3.05, 3.58, 0.34, 1.75, 3.58, 0.46, 3.19, 57.27, 0.49, 1.00, 57.76, 0.50, 0.50
47427, 0, 0.50, 0.50, -0.49, 1.77, 2.44, 0.03, 1.32, 52.80, 0.01, 3.58, 0.79, 1.75, 3.58, 0.99, 2.68, 3.58, 0.68, 1.79, 3.58, 0.89, 2.74, 57.30, 0.47, 1.00, 57.58, 0.50, 0.50
47441, 0, 0.50, 0.50, -0.39, 2.08, 4.67, 0.06, 1.32, 52.80, 0.01, 3.58, 1.01, 1.40, 3.58, 1.17, 1.26, 3.58, 0.93, 1.39, 3.58, 1.10, 1.32, 56.36, 0.44, 1.00, 57.19, 0.50, 0.50
47454, 0, 0.50, 0.50, -0.50, 2.23, 7.38, 0.09, 1.32, 52.80, 0.01, 3.58, 1.11, 0.86, 3.58, 1.24, 0.72, 3.58, 1.01, 0.89, 3.58, 1.14, 0.82, 54.86, 0.41, 1.00, 56.31, 0.50, 0.50
47467, 0, 0.50, 0.50, -0.31, 1.96, 11.41, 0.11, 1.32, 52.80, 0.01, 3.58, 1.18, 0.75, 3.58, 1.25, 0.63, 3.58, 1.03, 0.77, 3.58, 1.14, 0.72, 52.63, 0.39, 1.00, 55.59, 0.50, 0.50
47481, 0, 0.50, 0.50, -0.48, 2.19, 16.17, 0.14, 1.32, 52.80, 0.01, 3.58, 1.24, 0.67, 3.58, 1.25, 0.61, 3.58, 1.10, 0.77, 3.58, 1.34, 0.72, 49.91, 0.36, 1.00, 53.90, 0.50, 0.50
47494, 0, 0.50, 0.50, -0.43, 2.36, 20.60, 0.18, 1.32, 52.80, 0.01, 3.58, 1.23, 0.65, 3.58, 1.24, 0.61, 3.58, 1.03, 0.75, 3.58, 1.07, 0.74, 45.88, 0.32, 1.00, 51.25, 0.49, 0.50
47507, 0, 0.50, 0.50, -0.40, 2.26, 25.41, 0.21, 1.32, 52.80, 0.01, 3.58, 1.23, 0.65, 3.58, 1.25, 0.60, 3.58, 1.11, 0.72, 3.58, 1.14, 0.72, 41.12, 0.29, 1.00, 49.09, 0.49, 0.50
47521, 0, 0.50, 0.50, -0.52, 2.41, 29.91, 0.24, 1.32, 52.80, 0.01, 3.58, 1.24, 0.65, 3.58, 1.28, 0.60, 3.58, 1.17, 0.72, 3.58, 1.01, 0.79, 36.70, 0.26, 1.00, 46.30, 0.48, 0.50
47534, 0, 0.50, 0.50, -0.35, 2.62, 34.17, 0.27, 1.32, 52.80, 0.01, 3.58, 1.21, 0.68, 3.58, 1.32, 0.58, 3.58, 1.20, 0.68, 3.58, 1.04, 0.84, 31.88, 0.23, 1.00, 43.66, 0.48, 0.50
47547, 0, 0.50, 0.50, -0.51, 2.22, 39.25, 0.30, 1.32, 52.80, 0.01, 3.58, 1.20, 0.70, 3.58, 1.31, 0.56, 3.58, 1.24, 0.65, 3.58, 1.15, 0.82, 27.38, 0.20, 1.00, 41.58, 0.47, 0.50
47561, 0, 0.50, 0.50, -0.44, 2.66, 43.81, 0.34, 1.32, 52.80, 0.01, 3.58, 1.18, 0.72, 3.58, 1.32, 0.58, 3.58, 1.25, 0.63, 3.58, 0.93, 0.93, 23.13, 0.16, 1.00, 38.27, 0.46, 0.50
47574, 0, 0.50, 0.50, -0.44, 2.76, 47.92, 0.37, 1.32, 52.80, 0.01, 3.58, 1.21, 0.70, 3.58, 1.34, 0.53, 3.58, 1.27, 0.65, 3.58, 0.90, 0.89, 18.05, 0.13, 1.00, 35.22, 0.45, 0.50
47587, 0, 0.50, 0.50, -0.48, 2.37, 52.27, 0.41, 1.32, 52.80, 0.01, 3.58, 1.21, 0.72, 3.58, 1.30, 0.58, 3.58, 1.31, 0.61, 3.58, 0.94, 0.89, 13.49, 0.09, 1.00, 32.67, 0.45, 0.50
47601, 0, 0.50, 0.50, -0.58, 2.60, 56.51, 0.44, 1.32, 52.80, 0.01, 3.58, 1.24, 0.70, 3.58, 1.31, 0.60, 3.58, 1.27, 0.65, 3.58, 0.96, 0.88, 9.38, 0.06, 1.00, 29.68, 0.44, 0.50
47614, 0, 0.50, 0.50, -0.76, 2.46, 59.98, 0.47, 1.32, 52.80, 0.01, 3.58, 1.28, 0.67, 3.58, 1.31, 0.60, 3.58, 1.23, 0.67, 3.58, 0.96, 0.82, 5.03, 0.03, 1.00, 26.38, 0.43, 0.50
47627, 0, 0.50, 0.50, -0.92, 2.50, 63.44, 0.51, 1.32, 52.80, 0.01, 3.58, 1.28, 0.65, 3.58, 1.28, 0.61, 3.58, 1.20, 0.70, 3.58, 1.04, 0.84, 0.78, -0.01, 1.00, 23.87, 0.42, 0.50
47641, 0, 0.50, 0.50, -0.96, 2.54, 66.40, 0.54, 1.32, 52.80, 0.01, 3.58, 1.35, 0.61, 3.58, 1.28, 0.65, 3.58, 1.24, 0.68, 3.58, 1.08, 0.82, -2.68, -0.04, 1.00, 21.07, 0.41, 0.50
47654, 0, 0.50, 0.50, -1.21, 2.74, 68.71, 0.58, 1.32, 52.80, 0.01, 3.58, 1.38, 0.61, 3.58, 1.28, 0.63, 3.58, 1.49, 0.72, 3.58, 1.10, 0.81, -6.15, -0.08, 1.00, 18.54, 0.40, 0.50
47667, 0, 0.50, 0.50, -1.37, 2.59, 71.52, 0.61, 1.32, 52.80, 0.01, 3.58, 1.41, 0.60, 3.58, 1.30, 0.63, 3.58, 1.30, 0.77, 3.58, 1.10, 0.84, -9.10, -0.11, 1.00, 16.91, 0.40, 0.50
47681, 0, 0.50, 0.50, -1.27, 2.55, 74.09, 0.65, 1.32, 52.80, 0.01, 3.58, 1.45, 0.58, 3.58, 1.34, 0.65, 3.58, 1.18, 0.70, 3.58, 1.11, 0.82, -11.42, -0.15, 1.00, 14.53, 0.39, 0.50
47694, 0, 0.50, 0.50, -1.47, 2.81, 76.40, 0.68, 1.32, 52.80, 0.01, 3.58, 1.41, 0.61, 3.58, 1.35, 0.63, 3.58, 1.30, 0.68, 3.58, 1.13, 0.82, -14.23, -0.18, 1.00, 12.31, 0.38, 0.50
47707, 0, 0.50, 0.50, -1.54, 2.92, 78.99, 0.72, 1.32, 52.80, 0.01, 3.58, 1.38, 0.63, 3.58, 1.35, 0.65, 3.58, 1.37, 0.70, 3.58, 1.13, 0.82, -16.79, -0.22, 1.00, 10.44, 0.37, 0.50
47724, 0, 0.50, 0.50, -1.68, 2.63, 81.58, 0.76, 1.32, 52.80, 0.01, 3.58, 1.39, 0.65, 3.58, 1.39, 0.61, 3.58, 1.35, 0.67, 3.58, 1.18, 0.84, -19.11, -0.26, 1.00, 8.17, 0.37, 0.50
47734, 0, 0.50, 0.50, -1.75, 2.79, 83.87, 0.79, 1.32, 52.80, 0.01, 3.58, 1.39, 0.67, 3.58, 1.38, 0.63, 3.58, 1.32, 0.63, 3.58, 1.32, 0.81, -21.69, -0.29, 1.00, 5.74, 0.36, 0.50
47747, 0, 0.50, 0.50, -1.88, 2.84, 86.24, 0.83, 1.32, 52.80, 0.01, 3.58, 1.44, 0.65, 3.58, 1.37, 0.65, 3.01, 1.25, 0.67, 3.58, 1.15, 0.81, -24.29, -0.33, 1.00, 3.66, 0.35, 0.50
47761, 0, 0.50, 0.50, -1.87, 2.37, 88.43, 0.86, 1.32, 52.80, 0.01, 1.35, 1.46, 0.65, 1.76, 1.37, 0.67, 1.11, 1.21, 0.68, 1.56, 1.28, 0.74, -26.57, -0.36, 1.00, 1.36, 0.34, 0.50
47774, 0, 0.50, 0.50, -1.96, 2.56, 90.64, 0.90, 1.32, 52.80, 0.01, 0.00, 1.52, 0.51, 0.00, 1.37, 0.65, 0.00, 1.34, 0.61, 0.00, 1.24, 0.68, -28.95, -0.40, 1.00, -0.75, 0.34, 0.50
47787, 0, 0.50, 0.50, -2.00, 2.74, 92.94, 0.93, 1.32, 52.80, 0.01, 0.00, 1.58, 0.56, 0.00, 1.38, 0.75, 0.00, 1.31, 0.65, 0.00, 1.35, 0.81, -31.14, -0.43, 1.00, -2.91, 0.33, 0.50
47801, 0, 0.50, 0.50, -2.11, 2.57, 95.10, 0.97, 1.32, 52.80, 0.01, 0.00, 1.70, 0.56, 0.00, 1.41, 0.77, 0.00, 1.32, 0.86, 0.00, 1.44, 0.70, -33.35, -0.47, 1.00, -5.28, 0.32, 0.50
47814, 0, 0.50, 0.50, -2.23, 2.30, 96.73, 1.00, 1.32, 52.80, 0.01, 0.00, 1.75, 0.54, 0.00, 1.44, 0.65, 0.00, 1.32, 0.84, 0.00, 1.45, 0.68, -35.65, -0.50, 1.00, -7.67, 0.31, 0.50
47827, 0, 0.50, 0.50, -2.29, 1.70, 98.09, 1.02, 1.32, 52.80, 0.01, 0.00, 1.77, 0.47, 0.00, 1.45, 0.68, 0.00, 1.28, 0.88, 0.00, 1.49, 0.68, -37.80, -0.52, 1.00, -9.47, 0.31, 0.50
47841, 0, 0.50, 0.50, -2.05, 1.38, 99.53, 1.04, 1.32, 52.80, 0.01, 0.00, 1.80, 0.42, 0.00, 1.49, 0.51, 0.00, 1.37, 0.86, 0.00, 1.59, 0.68, -39.44, -0.54, 1.00, -10.89, 0.30, 0.50
