timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
59219, 0, 0.50, 0.50, -0.97, -0.46, 6.33, -2.09, 1.32, 52.80, 0.01, 3.58, 0.10, 0.00, 3.58, 0.11, 0.00, 3.58, 0.08, 0.00, 3.58, 0.10, 0.00, 49.01, 2.59, 1.00, 26.51, 0.26, 0.50
59244, 0, 0.50, 0.50, -0.87, -0.36, 5.23, -2.10, 1.32, 52.80, 0.01, 3.58, 0.10, 0.00, 3.58, 0.11, 0.00, 3.58, 0.08, 0.00, 3.58, 0.10, 0.00, 49.75, 2.60, 1.00, 26.83, 0.26, 0.50
59256, 0, 0.50, 0.50, -0.78, -0.27, 4.29, -2.10, 1.32, 52.80, 0.01, 3.58, 0.07, 1.81, 3.58, 0.08, 1.79, 3.58, 0.08, 1.14, 3.58, 0.07, 1.79, 50.96, 2.60, 1.00, 27.14, 0.26, 0.50
59265, 0, 0.50, 0.50, -0.69, -0.07, 3.55, -2.10, 1.32, 52.80, 0.01, 3.58, 0.10, 2.25, 3.58, 0.14, 3.40, 3.58, 0.23, 2.61, 3.58, 0.14, 3.37, 52.06, 2.60, 1.00, 27.42, 0.26, 0.50
59273, 0, 0.50, 0.50, -0.64, 0.57, 3.41, -2.10, 1.32, 52.80, 0.01, 3.58, 0.24, 1.82, 3.58, 0.63, 2.84, 3.58, 0.63, 1.91, 3.58, 0.63, 2.93, 53.01, 2.60, 1.00, 27.75, 0.26, 0.50
59300, 0, 0.50, 0.50, -0.72, 0.11, 4.09, -2.09, 1.32, 52.80, 0.01, 3.58, 1.10, 1.46, 3.58, 1.45, 1.23, 3.58, 1.15, 1.37, 3.58, 1.87, 1.19, 53.74, 2.59, 1.00, 28.00, 0.26, 0.50
59312, 0, 0.50, 0.50, -0.65, 0.76, 5.16, -2.08, 1.32, 52.80, 0.01, 3.58, 1.24, 0.93, 3.58, 1.54, 0.68, 3.58, 1.23, 0.84, 3.58, 1.46, 0.82, 53.89, 2.58, 1.00, 27.94, 0.26, 0.50
59326, 0, 0.50, 0.50, -0.62, 1.27, 6.70, -2.07, 1.32, 52.80, 0.01, 3.58, 1.30, 0.77, 3.58, 1.59, 0.54, 3.58, 1.27, 0.82, 3.58, 1.68, 0.81, 53.21, 2.57, 1.00, 27.80, 0.26, 0.50
59341, 0, 0.50, 0.50, -0.52, 1.47, 8.58, -2.05, 1.32, 52.80, 0.01, 3.58, 1.37, 0.72, 3.58, 1.63, 0.51, 3.58, 1.28, 0.75, 3.58, 1.21, 0.81, 52.13, 2.55, 1.00, 27.51, 0.26, 0.50
59352, 0, 0.50, 0.50, -0.63, 0.99, 11.50, -2.03, 1.32, 52.80, 0.01, 3.58, 1.41, 0.68, 3.58, 1.62, 0.51, 3.58, 1.31, 0.75, 3.58, 1.17, 0.84, 50.60, 2.53, 1.00, 27.32, 0.26, 0.50
59366, 0, 0.50, 0.50, -0.37, 1.36, 14.87, -2.02, 1.32, 52.80, 0.01, 3.58, 1.49, 0.61, 3.58, 1.63, 0.49, 3.58, 1.34, 0.74, 3.58, 1.38, 0.84, 48.72, 2.52, 1.00, 26.70, 0.26, 0.50
59379, 0, 0.50, 0.50, -0.33, 1.30, 18.55, -2.00, 1.32, 52.80, 0.01, 3.58, 1.49, 0.63, 3.58, 1.59, 0.54, 3.58, 1.37, 0.77, 3.58, 1.70, 0.79, 45.80, 2.50, 1.00, 25.91, 0.25, 0.50
59392, 0, 0.50, 0.50, -0.44, 1.37, 22.83, -1.98, 1.32, 52.80, 0.01, 3.58, 1.59, 0.60, 3.58, 1.63, 0.54, 3.58, 1.34, 0.75, 3.58, 1.18, 0.81, 42.43, 2.48, 1.00, 25.08, 0.25, 0.50
59406, 0, 0.50, 0.50, -0.26, 1.25, 26.47, -1.96, 1.32, 52.80, 0.01, 3.58, 1.61, 0.60, 3.58, 1.62, 0.58, 3.58, 1.35, 0.79, 3.58, 1.28, 0.79, 38.74, 2.46, 1.00, 23.74, 0.25, 0.50
