timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
41006, 0, 0.50, 0.50, -0.51, -0.14, -0.23, -0.00, 1.32, 52.80, 0.01, 3.58, 0.04, 0.00, 3.58, 0.06, 0.00, 3.58, 0.08, 0.00, 3.58, 0.08, 0.00, 0.00, 0.50, 1.00, 5.73, 0.10, 0.10
41053, 0, 0.50, 0.50, -0.38, -0.65, -0.38, -0.01, 1.32, 52.80, 0.01, 3.58, 0.08, 2.23, 3.58, 0.17, 3.42, 3.58, 0.20, 2.21, 3.58, 0.15, 3.39, 57.30, 0.51, 1.00, 5.73, 0.10, 0.10
41070, 0, 0.50, 0.50, 0.16, 0.62, 2.47, -0.00, 1.32, 52.80, 0.01, 3.58, 0.65, 1.77, 3.58, 1.07, 2.63, 3.58, 0.86, 1.81, 3.58, 0.82, 2.81, 57.30, 0.50, 1.00, 5.98, 0.10, 0.10
41078, 0, 0.50, 0.50, -0.17, 0.72, 5.37, 0.01, 1.32, 52.80, 0.01, 3.58, 0.96, 1.84, 3.58, 1.10, 1.75, 3.58, 1.14, 1.74, 3.58, 1.25, 1.96, 57.30, 0.49, 1.00, 6.02, 0.10, 0.10
41087, 0, 0.50, 0.50, -0.49, 1.39, 7.84, 0.03, 1.32, 52.80, 0.01, 3.58, 0.99, 1.37, 3.58, 2.30, 0.75, 3.58, 1.24, 1.11, 3.58, 1.27, 1.26, 54.82, 0.47, 1.00, 5.97, 0.10, 0.10
41105, 0, 0.50, 0.50, -0.64, 1.73, 10.22, 0.05, 1.32, 52.80, 0.01, 3.58, 1.10, 0.91, 3.58, 1.49, 0.58, 3.58, 1.23, 0.75, 3.58, 1.15, 0.84, 51.93, 0.45, 1.00, 5.94, 0.10, 0.10
41113, 0, 0.50, 0.50, -0.61, 2.14, 12.64, 0.08, 1.32, 52.80, 0.01, 3.58, 1.45, 0.86, 3.58, 1.21, 0.51, 3.58, 1.37, 0.72, 3.58, 1.18, 0.84, 49.45, 0.42, 1.00, 5.93, 0.10, 0.10
41131, 0, 0.50, 0.50, -0.43, 1.93, 15.97, 0.10, 1.32, 52.80, 0.01, 3.58, 1.17, 0.79, 3.58, 1.56, 0.46, 3.58, 1.25, 0.61, 3.58, 1.15, 0.82, 47.08, 0.40, 1.00, 5.99, 0.10, 0.10
41140, 0, 0.50, 0.50, -0.39, 2.37, 19.34, 0.13, 1.32, 52.80, 0.01, 3.58, 1.54, 0.82, 3.58, 1.23, 0.51, 3.58, 1.10, 0.63, 3.58, 1.15, 0.86, 44.66, 0.37, 1.00, 5.93, 0.09, 0.10
41152, 0, 0.50, 0.50, -0.20, 1.85, 22.91, 0.16, 1.32, 52.80, 0.01, 3.58, 1.28, 0.74, 3.58, 1.54, 0.51, 3.58, 1.37, 0.63, 3.58, 1.14, 0.86, 41.33, 0.34, 1.00, 5.85, 0.09, 0.10
41169, 0, 0.50, 0.50, -0.51, 1.45, 27.69, 0.18, 1.32, 52.80, 0.01, 3.58, 1.35, 0.70, 3.58, 1.49, 0.54, 3.58, 1.32, 0.65, 3.58, 1.23, 0.81, 37.96, 0.32, 1.00, 5.82, 0.09, 0.10
41179, 0, 0.50, 0.50, -0.79, 1.92, 31.98, 0.20, 1.32, 52.80, 0.01, 3.58, 1.41, 0.67, 3.58, 1.55, 0.58, 3.58, 1.58, 0.70, 3.58, 1.41, 0.81, 34.39, 0.30, 1.00, 5.53, 0.08, 0.10
41192, 0, 0.50, 0.50, -0.74, 1.90, 35.44, 0.23, 1.32, 52.80, 0.01, 3.58, 1.45, 0.65, 3.58, 1.48, 0.63, 3.58, 1.41, 0.75, 3.58, 1.25, 0.77, 29.61, 0.27, 1.00, 5.18, 0.07, 0.10
41209, 0, 0.50, 0.50, -0.74, 1.90, 38.82, 0.26, 1.32, 52.80, 0.01, 3.58, 1.51, 0.61, 3.58, 1.49, 0.63, 3.58, 1.35, 0.74, 3.58, 1.04, 0.74, 25.31, 0.24, 1.00, 4.89, 0.07, 0.10
41219, 0, 0.50, 0.50, -0.80, 1.89, 41.68, 0.28, 1.32, 52.80, 0.01, 3.58, 1.54, 0.61, 3.58, 1.52, 0.60, 3.58, 1.32, 0.74, 3.58, 1.35, 0.75, 21.86, 0.22, 1.00, 4.53, 0.06, 0.10
41232, 0, 0.50, 0.50, -0.89, 1.79, 44.18, 0.30, 1.32, 52.80, 0.01, 3.58, 1.56, 0.61, 3.58, 1.56, 0.61, 3.46, 1.28, 0.75, 3.58, 1.32, 0.75, 18.47, 0.20, 1.00, 4.20, 0.06, 0.10
41250, 0, 0.50, 0.50, -0.83, 1.58, 47.22, 0.33, 1.32, 52.80, 0.01, 3.58, 1.54, 0.63, 3.58, 1.59, 0.60, 3.23, 1.99, 0.70, 3.58, 1.37, 0.79, 15.62, 0.17, 1.00, 3.92, 0.06, 0.10
41259, 0, 0.50, 0.50, -0.79, 1.50, 50.30, 0.35, 1.32, 52.80, 0.01, 3.52, 1.55, 0.68, 3.58, 1.63, 0.58, 2.87, 1.41, 0.70, 3.58, 1.10, 0.81, 13.11, 0.15, 1.00, 3.49, 0.05, 0.10
41272, 0, 0.50, 0.50, -0.90, 1.46, 53.27, 0.36, 1.32, 52.80, 0.01, 3.03, 1.56, 0.70, 3.58, 1.69, 0.60, 2.48, 1.48, 0.56, 3.49, 1.76, 0.86, 10.07, 0.14, 1.00, 3.01, 0.04, 0.10
41290, 0, 0.50, 0.50, -0.30, 1.13, 56.50, 0.38, 1.32, 52.80, 0.01, 2.51, 1.54, 0.70, 3.24, 1.69, 0.54, 2.04, 1.55, 0.67, 2.90, 1.24, 0.82, 7.00, 0.12, 1.00, 2.49, 0.04, 0.10
41299, 0, 0.50, 0.50, -0.33, 1.60, 59.81, 0.40, 1.32, 52.80, 0.01, 1.86, 1.58, 0.68, 2.41, 1.72, 0.58, 1.52, 1.59, 0.70, 2.15, 1.35, 0.82, 4.02, 0.10, 1.00, 1.86, 0.03, 0.10
41312, 0, 0.50, 0.50, -0.78, 1.41, 63.05, 0.42, 1.32, 52.80, 0.01, 1.13, 1.63, 0.65, 1.45, 1.65, 0.61, 0.92, 1.59, 0.70, 1.31, 1.55, 0.84, 0.80, 0.08, 1.00, 1.13, 0.02, 0.10
41349, 0, 0.50, 0.50, -0.67, 2.23, 67.70, 0.45, 1.32, 52.80, 0.01, 0.34, 1.80, 0.56, 0.44, 1.62, 0.68, 0.27, 1.90, 0.77, 0.39, 1.54, 0.75, -2.51, 0.05, 1.00, 0.35, 0.01, 0.10
41357, 0, 0.50, 0.50, -0.70, 1.47, 71.88, 0.47, 1.32, 52.80, 0.01, 0.00, 1.83, 0.58, 0.00, 1.58, 0.65, 0.00, 1.55, 0.74, 0.00, 1.59, 0.72, -5.76, 0.03, 1.00, -0.96, 0.00, 0.10
41366, 0, 0.50, 0.50, -0.88, 0.94, 75.61, 0.48, 1.32, 52.80, 0.01, 0.00, 1.86, 0.56, 0.00, 1.62, 0.72, 0.00, 1.56, 0.79, 0.00, 1.68, 0.74, -10.41, 0.02, 1.00, -2.26, -0.01, 0.10
41383, 0, 0.50, 0.50, -1.21, 0.57, 78.54, 0.49, 1.32, 52.80, 0.01, 0.00, 1.85, 0.60, 0.00, 1.66, 0.72, 0.00, 1.62, 0.79, 0.00, 1.44, 0.77, -14.58, 0.01, 1.00, -3.53, -0.02, 0.10
41392, 0, 0.50, 0.50, -0.77, 0.97, 81.40, 0.50, 1.32, 52.80, 0.01, 0.00, 1.85, 0.46, 0.00, 1.73, 0.67, 0.00, 1.68, 0.72, 0.00, 1.48, 0.75, -18.32, -0.00, 1.00, -4.61, -0.03, 0.10
41406, 0, 0.50, 0.50, -1.01, 1.82, 84.57, 0.53, 1.32, 52.80, 0.01, 0.00, 1.79, 0.39, 0.00, 1.73, 0.44, 0.00, 1.73, 0.74, 0.00, 1.52, 0.84, -21.24, -0.03, 1.00, -5.76, -0.04, 0.10
41422, 0, 0.50, 0.50, -0.73, 1.68, 87.66, 0.55, 1.32, 52.80, 0.01, 0.00, 1.66, 0.67, 0.00, 1.70, 0.39, 0.00, 1.70, 0.30, 0.00, 1.49, 0.89, -24.10, -0.05, 1.00, -7.12, -0.05, 0.10
41432, 0, 0.50, 0.50, -0.87, 1.81, 90.84, 0.57, 1.32, 52.80, 0.01, 0.00, 1.38, 0.89, 0.00, 1.52, 0.67, 0.00, 1.46, 0.81, 0.00, 1.54, 0.77, -27.28, -0.07, 1.00, -8.54, -0.06, 0.10
41446, 0, 0.50, 0.50, -1.16, 1.75, 94.54, 0.60, 1.32, 52.80, 0.01, 0.00, 1.06, 0.75, 0.00, 1.25, 0.61, 0.00, 1.18, 0.61, 0.00, 1.23, 0.86, -30.36, -0.10, 1.00, -10.15, -0.07, 0.10
41462, 0, 0.50, 0.50, -2.02, 1.04, 97.69, 0.61, 1.32, 52.80, 0.01, 0.00, 0.87, 0.54, 0.00, 1.01, 0.77, 0.00, 0.90, 0.63, 0.00, 0.94, 0.56, -33.54, -0.11, 1.00, -12.07, -0.09, 0.10
41472, 0, 0.50, 0.50, -2.53, 0.52, 99.78, 0.62, 1.32, 52.80, 0.01, 0.00, 0.68, 0.51, 0.00, 0.87, 0.70, 0.00, 0.79, 0.49, 0.00, 1.04, 0.61, -37.25, -0.12, 1.00, -13.74, -0.10, 0.10
