timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
44640, 0, 0.50, 0.50, -0.56, -0.17, -0.23, -0.00, 1.32, 52.80, 0.01, 0.04, 1.00, 0.00, 0.06, 1.00, 0.00, 0.03, 1.00, 0.00, 0.04, 1.00, 0.00, 0.00, 0.50, 1.00, 0.06, 0.10, 0.10
44686, 0, 0.50, 0.50, -0.41, 0.61, 1.36, 0.01, 1.32, 52.80, 0.01, 0.17, 0.00, 0.70, 0.23, 0.00, 1.07, 0.14, 0.01, 0.37, 0.21, 0.00, 0.82, 57.30, 0.49, 1.00, 0.19, 0.10, 0.10
44702, 0, 0.50, 0.50, -0.52, 0.89, 2.94, 0.02, 1.32, 52.80, 0.01, 0.34, 0.00, 1.54, 0.44, 0.08, 1.72, 0.27, 0.10, 0.84, 0.39, 0.01, 1.98, 57.30, 0.48, 1.00, 0.35, 0.10, 0.10
44710, 0, 0.50, 0.50, -0.47, 1.15, 4.33, 0.03, 1.32, 52.80, 0.01, 0.46, 0.14, 1.81, 0.62, 0.28, 1.53, 0.38, 0.24, 0.88, 0.55, 0.17, 1.96, 55.93, 0.47, 1.00, 0.49, 0.10, 0.10
44720, 0, 0.50, 0.50, -0.43, 1.49, 5.95, 0.05, 1.32, 52.80, 0.01, 0.63, 0.32, 1.63, 0.82, 0.63, 1.19, 0.51, 0.39, 1.05, 0.73, 0.52, 1.40, 54.35, 0.45, 1.00, 0.64, 0.10, 0.10
44737, 0, 0.50, 0.50, -0.45, 1.82, 8.32, 0.08, 1.32, 52.80, 0.01, 0.86, 0.70, 1.18, 1.11, 0.77, 1.12, 0.70, 0.49, 0.74, 1.00, 0.72, 1.26, 52.96, 0.42, 1.00, 0.87, 0.10, 0.10
44746, 0, 0.50, 0.50, -0.52, 2.00, 10.44, 0.10, 1.32, 52.80, 0.01, 1.06, 0.82, 0.81, 1.38, 0.93, 1.63, 0.87, 0.54, 1.26, 1.23, 0.85, 1.77, 51.34, 0.40, 1.00, 1.07, 0.10, 0.10
44764, 0, 0.50, 0.50, -0.52, 2.02, 12.56, 0.13, 1.32, 52.80, 0.01, 1.25, 1.06, 1.74, 1.63, 1.20, 1.40, 1.03, 0.86, 1.74, 1.45, 1.08, 1.25, 48.98, 0.37, 1.00, 1.26, 0.10, 0.10
44773, 0, 0.50, 0.50, -0.64, 2.21, 15.18, 0.16, 1.32, 52.80, 0.01, 1.49, 1.37, 0.96, 1.93, 1.72, 1.81, 1.23, 1.00, 1.40, 1.73, 1.44, 1.88, 46.86, 0.34, 1.00, 1.50, 0.10, 0.10
44786, 0, 0.50, 0.50, -0.49, 2.21, 18.43, 0.19, 1.32, 52.80, 0.01, 1.77, 1.35, 1.68, 2.30, 1.52, 1.58, 1.45, 1.06, 1.12, 2.06, 1.39, 1.77, 44.74, 0.31, 1.00, 1.77, 0.09, 0.10
