timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
37861, 0, 0.50, 0.50, -0.49, -0.13, -0.28, -0.00, 1.32, 52.80, 0.01, 0.04, 1.00, 0.00, 0.06, 1.00, 0.00, 0.03, 1.00, 0.00, 0.04, 1.00, 0.00, 0.00, 0.50, 1.00, 0.06, 0.05, 0.05
37904, 0, 0.50, 0.50, -0.68, 0.57, 1.54, 0.01, 1.32, 52.80, 0.01, 0.11, 0.00, 0.67, 0.15, 0.00, 0.95, 0.08, 0.01, 0.46, 0.14, 0.00, 0.79, 57.30, 0.49, 1.00, 0.13, 0.05, 0.05
37922, 0, 0.50, 0.50, -0.32, 1.44, 3.64, 0.03, 1.32, 52.80, 0.01, 0.23, 0.01, 1.30, 0.28, 0.04, 1.42, 0.17, 0.11, 0.53, 0.25, 0.00, 1.51, 57.30, 0.47, 1.00, 0.24, 0.05, 0.05
37930, 0, 0.50, 0.50, -0.11, 1.91, 4.78, 0.05, 1.32, 52.80, 0.01, 0.27, 0.07, 1.61, 0.35, 0.20, 1.40, 0.23, 0.15, 0.70, 0.32, 0.03, 1.91, 55.75, 0.45, 1.00, 0.29, 0.05, 0.05
37941, 0, 0.50, 0.50, -0.09, 2.25, 6.59, 0.08, 1.32, 52.80, 0.01, 0.37, 0.23, 1.44, 0.46, 0.45, 1.26, 0.30, 0.20, 1.02, 0.42, 0.28, 2.09, 53.66, 0.42, 1.00, 0.38, 0.05, 0.05
37958, 0, 0.50, 0.50, -0.32, 2.20, 9.33, 0.11, 1.32, 52.80, 0.01, 0.49, 0.52, 0.23, 0.63, 0.52, 0.72, 0.39, 0.25, 1.00, 0.56, 0.59, 0.47, 52.52, 0.39, 1.00, 0.50, 0.05, 0.05
37967, 0, 0.50, 0.50, -0.36, 2.42, 12.18, 0.14, 1.32, 52.80, 0.01, 0.61, 0.49, 0.54, 0.79, 0.51, 1.30, 0.49, 0.28, 1.37, 0.70, 0.56, 0.89, 50.71, 0.36, 1.00, 0.62, 0.05, 0.05
37984, 0, 0.50, 0.50, -0.36, 2.44, 16.02, 0.17, 1.32, 52.80, 0.01, 0.76, 0.51, 1.81, 0.99, 0.76, 1.32, 0.62, 0.56, 0.95, 0.89, 0.69, 1.72, 47.96, 0.33, 1.00, 0.77, 0.05, 0.05
37994, 0, 0.50, 0.50, -0.40, 2.43, 19.99, 0.21, 1.32, 52.80, 0.01, 0.89, 0.80, 1.32, 1.14, 0.87, 1.56, 0.72, 0.62, 1.18, 1.03, 0.77, 1.95, 45.12, 0.29, 1.00, 0.89, 0.04, 0.05
38007, 0, 0.50, 0.50, -0.41, 2.56, 23.94, 0.24, 1.32, 52.80, 0.01, 0.96, 0.82, 1.56, 1.25, 1.04, 0.47, 0.79, 0.69, 1.23, 1.11, 0.97, 2.02, 41.28, 0.26, 1.00, 0.97, 0.04, 0.05
38024, 0, 0.50, 0.50, -0.40, 2.80, 28.81, 0.28, 1.32, 52.80, 0.01, 1.03, 0.99, 0.96, 1.34, 1.23, 1.61, 0.85, 0.83, 1.00, 1.20, 1.17, 1.67, 37.30, 0.22, 1.00, 1.04, 0.03, 0.05
38034, 0, 0.50, 0.50, -0.40, 2.55, 33.31, 0.31, 1.32, 52.80, 0.01, 0.97, 1.15, 0.81, 1.27, 1.41, 1.40, 0.80, 0.87, 0.86, 1.13, 1.24, 0.75, 33.36, 0.19, 1.00, 0.99, 0.03, 0.05
38047, 0, 0.50, 0.50, -0.42, 2.53, 37.32, 0.35, 1.32, 52.80, 0.01, 0.85, 1.01, 0.49, 1.10, 1.39, 0.44, 0.69, 0.87, 0.44, 0.99, 1.00, 1.65, 28.49, 0.15, 1.00, 0.86, 0.02, 0.05
38065, 0, 0.50, 0.50, -0.48, 2.67, 42.23, 0.38, 1.32, 52.80, 0.01, 0.69, 0.77, 0.26, 0.89, 1.45, 0.70, 0.56, 0.77, 0.26, 0.80, 1.14, 1.54, 23.99, 0.12, 1.00, 0.70, 0.02, 0.05
38074, 0, 0.50, 0.50, -0.51, 2.69, 46.70, 0.42, 1.32, 52.80, 0.01, 0.35, 0.76, 0.61, 0.45, 1.77, 0.86, 0.28, 0.70, 0.19, 0.41, 1.34, 0.68, 19.97, 0.08, 1.00, 0.36, 0.01, 0.05
38087, 0, 0.50, 0.50, -0.52, 2.29, 50.34, 0.45, 1.32, 52.80, 0.01, 0.00, 0.69, 0.28, 0.00, 1.00, 0.63, 0.00, 0.56, 0.39, 0.00, 0.86, 0.39, 15.06, 0.05, 1.00, -0.04, -0.00, 0.05
38104, 0, 0.50, 0.50, -0.90, 1.43, 54.55, 0.47, 1.32, 52.80, 0.01, 0.00, 0.46, 0.30, 0.00, 0.72, 0.53, 0.00, 0.42, 0.26, 0.00, 0.56, 0.42, 10.59, 0.03, 1.00, -0.45, -0.01, 0.05
38114, 0, 0.50, 0.50, -0.91, -0.53, 56.08, 0.46, 1.32, 52.80, 0.01, 0.00, 0.44, 0.33, 0.00, 0.55, 0.40, 0.00, 0.39, 0.19, 0.00, 0.51, 0.39, 6.96, 0.04, 1.00, -0.96, -0.02, 0.05
38127, 0, 0.50, 0.50, -0.88, -1.51, 55.99, 0.44, 1.32, 52.80, 0.01, 0.00, 0.44, 0.30, 0.00, 0.46, 0.35, 0.00, 0.31, 0.16, 0.00, 0.52, 0.40, 2.75, 0.06, 1.00, -1.14, -0.02, 0.05
38143, 0, 0.50, 0.50, -1.12, -2.21, 55.03, 0.41, 1.32, 52.80, 0.01, 0.00, 0.42, 0.28, 0.00, 0.42, 0.33, 0.00, 0.27, 0.11, 0.00, 0.51, 0.37, 1.21, 0.09, 1.00, -1.11, -0.02, 0.05
38154, 0, 0.50, 0.50, -1.27, -1.77, 53.64, 0.39, 1.32, 52.80, 0.01, 0.00, 0.42, 0.28, 0.00, 0.41, 0.33, 0.00, 0.23, 0.07, 0.00, 0.44, 0.37, 1.31, 0.11, 1.00, -0.98, -0.02, 0.05
38167, 0, 0.50, 0.50, -1.20, -2.23, 51.97, 0.36, 1.32, 52.80, 0.01, 0.00, 0.39, 0.28, 0.00, 0.39, 0.30, 0.00, 0.23, 0.09, 0.00, 0.42, 0.35, 2.27, 0.14, 1.00, -0.81, -0.02, 0.05
38225, 0, 0.50, 0.50, -1.08, -2.19, 47.76, 0.33, 1.32, 52.80, 0.01, 0.00, 0.28, 0.19, 0.00, 0.32, 0.26, 0.00, 0.11, 0.09, 0.00, 0.32, 0.26, 3.65, 0.17, 1.00, -0.60, -0.01, 0.05
38234, 0, 0.50, 0.50, -0.92, -2.18, 42.45, 0.30, 1.32, 52.80, 0.01, 0.00, 0.27, 0.14, 0.00, 0.31, 0.23, 0.00, 0.11, 0.09, 0.00, 0.31, 0.23, 5.33, 0.20, 1.00, -0.24, -0.01, 0.05
38247, 0, 0.50, 0.50, -0.78, -2.08, 37.19, 0.27, 1.32, 52.80, 0.01, 0.04, 0.24, 0.14, 0.07, 0.28, 0.21, 0.04, 0.11, 0.09, 0.06, 0.28, 0.19, 9.54, 0.23, 1.00, 0.07, 0.00, 0.05
38265, 0, 0.50, 0.50, -0.75, -1.87, 32.80, 0.25, 1.32, 52.80, 0.01, 0.27, 0.23, 0.12, 0.35, 0.27, 0.21, 0.21, 0.11, 0.07, 0.31, 0.25, 0.18, 14.85, 0.25, 1.00, 0.28, 0.01, 0.05
38274, 0, 0.50, 0.50, -0.65, -1.89, 29.14, 0.22, 1.32, 52.80, 0.01, 0.38, 0.21, 0.11, 0.49, 0.25, 0.18, 0.31, 0.11, 0.09, 0.44, 0.24, 0.16, 20.11, 0.28, 1.00, 0.40, 0.01, 0.05
38287, 0, 0.50, 0.50, -0.57, -1.83, 26.41, 0.20, 1.32, 52.80, 0.01, 0.45, 0.20, 0.09, 0.58, 0.24, 0.14, 0.37, 0.13, 0.09, 0.52, 0.23, 0.16, 24.49, 0.30, 1.00, 0.46, 0.02, 0.05
38303, 0, 0.50, 0.50, -0.54, -1.78, 23.30, 0.17, 1.32, 52.80, 0.01, 0.45, 0.18, 0.09, 0.59, 0.21, 0.16, 0.37, 0.13, 0.09, 0.52, 0.18, 0.12, 28.16, 0.33, 1.00, 0.47, 0.02, 0.05
38314, 0, 0.50, 0.50, -0.45, -1.71, 20.93, 0.15, 1.32, 52.80, 0.01, 0.46, 0.17, 0.05, 0.61, 0.18, 0.12, 0.38, 0.13, 0.07, 0.54, 0.17, 0.11, 30.88, 0.35, 1.00, 0.48, 0.02, 0.05
38327, 0, 0.50, 0.50, -0.54, -1.63, 19.12, 0.13, 1.32, 52.80, 0.01, 0.46, 0.15, 0.05, 0.59, 0.17, 0.11, 0.37, 0.11, 0.04, 0.54, 0.17, 0.09, 34.00, 0.37, 1.00, 0.47, 0.02, 0.05
38341, 0, 0.50, 0.50, -0.53, -1.59, 17.47, 0.11, 1.32, 52.80, 0.01, 0.44, 0.13, 0.05, 0.58, 0.17, 0.07, 0.37, 0.10, 0.04, 0.52, 0.15, 0.09, 36.37, 0.39, 1.00, 0.46, 0.02, 0.05
