timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
36327, 0, 0.50, 0.50, -0.55, -0.14, -0.28, -0.00, 1.32, 52.80, 0.01, 0.04, 0.00, 0.00, 0.06, 0.00, 0.00, 0.03, 1.00, 0.00, 0.04, 1.00, 0.00, 0.00, 0.50, 1.00, 0.06, 0.09, 0.09
36375, 0, 0.50, 0.50, -0.55, 0.53, 0.56, 0.01, 1.32, 52.80, 0.01, 0.08, 0.00, 0.74, 0.11, 0.00, 1.02, 0.07, 0.01, 0.40, 0.10, 0.00, 0.79, 57.30, 0.49, 1.00, 0.11, 0.09, 0.09
36392, 0, 0.50, 0.50, -0.51, 0.94, 2.26, 0.02, 1.32, 52.80, 0.01, 0.23, 0.01, 1.37, 0.31, 0.04, 1.60, 0.18, 0.08, 0.56, 0.27, 0.01, 1.40, 57.30, 0.48, 1.00, 0.25, 0.08, 0.09
36401, 0, 0.50, 0.50, -0.46, 1.36, 4.20, 0.04, 1.32, 52.80, 0.01, 0.39, 0.06, 1.58, 0.52, 0.11, 1.53, 0.32, 0.14, 1.02, 0.46, 0.06, 1.79, 56.73, 0.46, 1.00, 0.41, 0.08, 0.09
36409, 0, 0.50, 0.50, -0.50, 1.58, 6.39, 0.06, 1.32, 52.80, 0.01, 0.58, 0.13, 1.79, 0.75, 0.31, 1.88, 0.46, 0.30, 1.07, 0.68, 0.21, 2.42, 55.03, 0.44, 1.00, 0.59, 0.08, 0.09
36427, 0, 0.50, 0.50, -0.59, 1.49, 8.53, 0.08, 1.32, 52.80, 0.01, 0.75, 0.72, 1.00, 0.97, 0.83, 1.19, 0.61, 0.49, 0.79, 0.87, 0.82, 1.07, 53.10, 0.42, 1.00, 0.76, 0.08, 0.09
36435, 0, 0.50, 0.50, -0.67, 1.61, 10.36, 0.10, 1.32, 52.80, 0.01, 0.90, 0.75, 0.96, 1.15, 0.87, 1.40, 0.73, 0.45, 1.09, 1.04, 0.86, 1.16, 50.91, 0.40, 1.00, 0.91, 0.08, 0.09
36452, 0, 0.50, 0.50, -0.57, 1.99, 12.59, 0.12, 1.32, 52.80, 0.01, 1.07, 0.92, 0.89, 1.38, 1.21, 1.23, 0.87, 0.65, 1.84, 1.24, 1.10, 1.68, 48.77, 0.38, 1.00, 1.08, 0.08, 0.09
36461, 0, 0.50, 0.50, -0.66, 1.74, 14.90, 0.15, 1.32, 52.80, 0.01, 1.24, 0.96, 1.46, 1.61, 1.72, 0.61, 1.01, 0.83, 0.82, 1.44, 1.27, 1.18, 46.93, 0.35, 1.00, 1.25, 0.08, 0.09
36474, 0, 0.50, 0.50, -0.57, 1.28, 16.95, 0.17, 1.32, 52.80, 0.01, 1.38, 1.10, 0.54, 1.79, 1.04, 0.25, 1.13, 0.94, 1.65, 1.59, 1.15, 0.96, 44.70, 0.33, 1.00, 1.38, 0.08, 0.09
36490, 0, 0.50, 0.50, -0.67, 1.70, 20.28, 0.19, 1.32, 52.80, 0.01, 1.61, 1.24, 1.51, 2.08, 1.32, 2.23, 1.32, 1.01, 0.67, 1.86, 1.20, 1.37, 42.40, 0.31, 1.00, 1.61, 0.08, 0.09
