timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
41009, 0, 0.50, 0.50, -0.50, -0.15, -0.23, -0.00, 1.32, 52.80, 0.01, 0.04, 1.00, 0.00, 0.06, 1.00, 0.00, 0.03, 1.00, 0.00, 0.04, 1.00, 0.00, 0.00, 0.50, 1.00, 0.06, 0.08, 0.08
41057, 0, 0.50, 0.50, -0.49, 0.53, 1.04, 0.00, 1.32, 52.80, 0.01, 0.13, 0.00, 0.77, 0.17, 0.00, 1.05, 0.10, 0.00, 0.49, 0.14, 0.00, 0.82, 57.30, 0.50, 1.00, 0.14, 0.08, 0.08
41074, 0, 0.50, 0.50, -0.57, 1.16, 3.42, 0.02, 1.32, 52.80, 0.01, 0.31, 0.04, 1.28, 0.41, 0.06, 1.56, 0.25, 0.14, 0.68, 0.37, 0.01, 1.68, 57.30, 0.48, 1.00, 0.33, 0.08, 0.08
41082, 0, 0.50, 0.50, -0.48, 1.66, 5.72, 0.04, 1.32, 52.80, 0.01, 0.49, 0.11, 1.51, 0.65, 0.23, 1.81, 0.39, 0.20, 0.86, 0.58, 0.06, 2.25, 56.26, 0.46, 1.00, 0.51, 0.08, 0.08
41091, 0, 0.50, 0.50, -0.42, 1.91, 7.19, 0.07, 1.32, 52.80, 0.01, 0.61, 0.31, 1.95, 0.79, 0.58, 1.68, 0.49, 0.34, 0.91, 0.70, 0.38, 2.82, 53.87, 0.43, 1.00, 0.62, 0.08, 0.08
41108, 0, 0.50, 0.50, -0.43, 2.26, 9.86, 0.10, 1.32, 52.80, 0.01, 0.82, 0.69, 0.84, 1.06, 0.83, 0.91, 0.66, 0.44, 1.18, 0.94, 0.75, 1.09, 51.58, 0.40, 1.00, 0.82, 0.08, 0.08
41117, 0, 0.50, 0.50, -0.44, 2.37, 12.63, 0.13, 1.32, 52.80, 0.01, 1.01, 0.76, 0.74, 1.31, 0.89, 1.18, 0.83, 0.56, 1.40, 1.17, 0.87, 1.54, 50.10, 0.37, 1.00, 1.02, 0.08, 0.08
41133, 0, 0.50, 0.50, -0.47, 2.56, 16.40, 0.16, 1.32, 52.80, 0.01, 1.27, 0.89, 1.56, 1.65, 1.23, 2.09, 1.04, 0.73, 1.42, 1.48, 1.14, 2.14, 47.44, 0.34, 1.00, 1.28, 0.08, 0.08
41142, 0, 0.50, 0.50, -0.42, 2.58, 20.14, 0.20, 1.32, 52.80, 0.01, 1.49, 1.28, 1.49, 1.93, 1.39, 1.82, 1.23, 1.03, 1.86, 1.73, 2.11, 1.09, 44.66, 0.30, 1.00, 1.50, 0.07, 0.08
41156, 0, 0.50, 0.50, -0.42, 2.43, 23.83, 0.23, 1.32, 52.80, 0.01, 1.68, 1.35, 2.05, 2.17, 1.52, 0.68, 1.38, 1.07, 1.21, 1.94, 1.17, 2.04, 40.90, 0.27, 1.00, 1.68, 0.07, 0.08
41172, 0, 0.50, 0.50, -0.47, 2.37, 28.21, 0.26, 1.32, 52.80, 0.01, 1.87, 1.65, 1.65, 2.42, 1.80, 1.75, 1.54, 1.01, 0.96, 2.17, 1.52, 1.68, 37.16, 0.24, 1.00, 1.87, 0.07, 0.08
41182, 0, 0.50, 0.50, -0.46, 2.21, 32.28, 0.29, 1.32, 52.80, 0.01, 1.96, 1.66, 0.91, 2.54, 2.01, 1.35, 1.61, 1.54, 1.88, 2.27, 1.62, 1.68, 33.46, 0.21, 1.00, 1.96, 0.06, 0.08
41196, 0, 0.50, 0.50, -0.34, 1.93, 35.99, 0.32, 1.32, 52.80, 0.01, 1.99, 1.63, 1.18, 2.56, 2.14, 1.05, 1.62, 1.27, 1.02, 2.30, 1.75, 1.46, 29.09, 0.18, 1.00, 1.98, 0.05, 0.08
41213, 0, 0.50, 0.50, -0.41, 1.79, 40.80, 0.34, 1.32, 52.80, 0.01, 2.01, 1.72, 1.44, 2.61, 2.39, 0.89, 1.65, 1.45, 1.16, 2.32, 2.06, 1.46, 25.02, 0.16, 1.00, 2.01, 0.05, 0.08
41222, 0, 0.50, 0.50, -0.60, 1.98, 45.14, 0.37, 1.32, 52.80, 0.01, 1.85, 1.86, 1.25, 2.39, 2.46, 0.84, 1.51, 1.49, 1.39, 2.14, 1.82, 1.47, 21.31, 0.13, 1.00, 1.84, 0.04, 0.08
41236, 0, 0.50, 0.50, -0.21, 0.74, 48.31, 0.38, 1.32, 52.80, 0.01, 1.59, 1.94, 1.16, 2.06, 2.52, 0.68, 1.30, 1.42, 0.77, 1.85, 1.94, 1.19, 16.49, 0.12, 1.00, 1.59, 0.03, 0.08
41253, 0, 0.50, 0.50, -0.34, -0.11, 52.74, 0.38, 1.32, 52.80, 0.01, 1.39, 1.90, 0.67, 1.80, 2.52, 0.86, 1.14, 1.35, 0.46, 1.62, 1.93, 1.37, 12.16, 0.12, 1.00, 1.40, 0.03, 0.08
41262, 0, 0.50, 0.50, -0.28, 1.09, 56.89, 0.39, 1.32, 52.80, 0.01, 0.96, 1.85, 0.33, 1.24, 2.49, 0.74, 0.79, 1.28, 0.46, 1.11, 2.10, 0.89, 8.98, 0.11, 1.00, 0.97, 0.02, 0.08
41276, 0, 0.50, 0.50, -0.20, 1.71, 60.43, 0.41, 1.32, 52.80, 0.01, 0.44, 1.58, 0.63, 0.58, 2.15, 0.84, 0.35, 0.93, 0.60, 0.51, 2.54, 0.98, 4.55, 0.09, 1.00, 0.46, 0.01, 0.08
