timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
33459, 0, 0.50, 0.50, -0.51, -0.20, -0.17, -0.00, 1.32, 52.80, 0.01, 0.04, 1.00, 0.00, 0.06, 1.00, 0.00, 0.03, 1.00, 0.00, 0.04, 1.00, 0.00, 0.00, 0.50, 1.00, 0.06, 0.08, 0.08
33509, 0, 0.50, 0.50, -0.54, 0.32, 1.48, 0.00, 1.32, 52.80, 0.01, 0.15, 0.00, 0.75, 0.20, 0.00, 1.19, 0.11, 0.00, 0.53, 0.17, 0.00, 0.89, 57.30, 0.50, 1.00, 0.17, 0.08, 0.08
33526, 0, 0.50, 0.50, -0.42, 0.63, 3.28, 0.01, 1.32, 52.80, 0.01, 0.28, 0.01, 1.47, 0.37, 0.11, 1.68, 0.23, 0.08, 0.91, 0.34, 0.01, 1.74, 57.30, 0.49, 1.00, 0.30, 0.07, 0.08
33539, 0, 0.50, 0.50, -0.22, 1.43, 5.36, 0.03, 1.32, 52.80, 0.01, 0.44, 0.25, 1.42, 0.58, 0.37, 1.39, 0.35, 0.24, 0.89, 0.51, 0.24, 2.25, 55.82, 0.47, 1.00, 0.45, 0.07, 0.08
33553, 0, 0.50, 0.50, -0.24, 1.80, 9.29, 0.05, 1.32, 52.80, 0.01, 0.72, 0.54, 0.77, 0.94, 0.56, 1.51, 0.59, 0.35, 1.09, 0.85, 0.62, 1.33, 54.02, 0.45, 1.00, 0.74, 0.07, 0.08
33570, 0, 0.50, 0.50, -0.29, 2.56, 13.34, 0.09, 1.32, 52.80, 0.01, 1.00, 0.65, 1.26, 1.30, 0.79, 2.39, 0.82, 0.45, 2.25, 1.15, 0.75, 2.46, 51.93, 0.41, 1.00, 1.01, 0.07, 0.08
33579, 0, 0.50, 0.50, -0.43, 2.57, 17.26, 0.12, 1.32, 52.80, 0.01, 1.23, 0.79, 1.54, 1.59, 1.13, 2.00, 1.00, 0.75, 1.75, 1.42, 1.00, 1.88, 48.01, 0.38, 1.00, 1.24, 0.07, 0.08
33596, 0, 0.50, 0.50, -0.46, 2.49, 21.49, 0.15, 1.32, 52.80, 0.01, 1.45, 1.21, 1.28, 1.89, 1.35, 1.72, 1.18, 1.04, 1.51, 1.69, 1.24, 2.35, 43.96, 0.35, 1.00, 1.46, 0.07, 0.08
33606, 0, 0.50, 0.50, -0.52, 2.32, 25.53, 0.19, 1.32, 52.80, 0.01, 1.62, 1.32, 1.58, 2.08, 1.59, 1.96, 1.32, 1.13, 0.75, 1.87, 1.37, 0.91, 40.03, 0.31, 1.00, 1.62, 0.06, 0.08
33619, 0, 0.50, 0.50, -0.40, 2.40, 29.39, 0.22, 1.32, 52.80, 0.01, 1.72, 1.54, 1.61, 2.23, 1.79, 1.37, 1.41, 1.11, 1.12, 1.99, 1.30, 2.05, 35.80, 0.28, 1.00, 1.72, 0.06, 0.08
