timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
23688, 0, 0.50, 0.50, -0.56, -0.13, -0.23, -0.00, 1.32, 52.80, 0.01, 0.04, 0.00, 0.00, 0.06, 0.00, 0.00, 0.03, 1.00, 0.00, 0.04, 0.00, 0.00, 0.00, 0.50, 1.00, 0.06, 0.07, 0.07
23740, 0, 0.50, 0.50, -0.36, 0.23, 1.01, 0.00, 1.32, 52.80, 0.01, 0.11, 0.00, 0.86, 0.15, 0.00, 1.09, 0.08, 0.00, 0.58, 0.13, 0.00, 0.02, 57.30, 0.50, 1.00, 0.13, 0.07, 0.07
23757, 0, 0.50, 0.50, -0.23, 0.59, 2.26, 0.01, 1.32, 52.80, 0.01, 0.20, 0.00, 1.51, 0.27, 0.03, 1.70, 0.17, 0.06, 0.79, 0.24, 0.01, 0.42, 57.30, 0.49, 1.00, 0.22, 0.07, 0.07
23768, 0, 0.50, 0.50, -0.39, 0.79, 3.67, 0.02, 1.32, 52.80, 0.01, 0.31, 0.07, 1.58, 0.39, 0.15, 1.67, 0.24, 0.10, 1.14, 0.35, 0.01, 1.25, 56.29, 0.48, 1.00, 0.32, 0.07, 0.07
23781, 0, 0.50, 0.50, -0.59, 1.74, 4.83, 0.04, 1.32, 52.80, 0.01, 0.39, 0.44, 1.53, 0.51, 0.51, 1.19, 0.31, 0.27, 1.18, 0.45, 0.10, 2.05, 55.03, 0.46, 1.00, 0.40, 0.07, 0.07
23798, 0, 0.50, 0.50, -0.48, 2.38, 6.98, 0.07, 1.32, 52.80, 0.01, 0.55, 0.55, 0.12, 0.70, 0.61, 0.42, 0.44, 0.34, 0.79, 0.63, 0.49, 1.37, 53.63, 0.43, 1.00, 0.56, 0.07, 0.07
23808, 0, 0.50, 0.50, -0.49, 2.53, 9.59, 0.11, 1.32, 52.80, 0.01, 0.72, 0.49, 0.70, 0.94, 0.59, 1.00, 0.59, 0.38, 1.18, 0.85, 0.61, 1.51, 52.46, 0.39, 1.00, 0.74, 0.07, 0.07
23825, 0, 0.50, 0.50, -0.51, 2.76, 13.15, 0.15, 1.32, 52.80, 0.01, 0.96, 0.61, 2.00, 1.24, 0.94, 1.79, 0.79, 0.61, 1.09, 1.11, 0.90, 1.70, 50.31, 0.35, 1.00, 0.97, 0.07, 0.07
23834, 0, 0.50, 0.50, -0.50, 2.52, 17.11, 0.18, 1.32, 52.80, 0.01, 1.20, 1.06, 0.82, 1.55, 1.08, 1.67, 0.97, 0.68, 1.30, 1.39, 1.15, 1.05, 47.70, 0.32, 1.00, 1.20, 0.07, 0.07
23848, 0, 0.50, 0.50, -0.47, 2.57, 20.91, 0.21, 1.32, 52.80, 0.01, 1.39, 0.86, 2.04, 1.80, 1.35, 1.33, 1.14, 0.86, 2.00, 1.61, 1.13, 2.46, 44.15, 0.29, 1.00, 1.39, 0.06, 0.07
23864, 0, 0.50, 0.50, -0.53, 2.28, 25.32, 0.24, 1.32, 52.80, 0.01, 1.58, 1.20, 1.56, 2.04, 1.32, 1.32, 1.30, 1.17, 1.40, 1.83, 1.44, 2.00, 40.19, 0.26, 1.00, 1.58, 0.06, 0.07
23874, 0, 0.50, 0.50, -0.44, 2.36, 29.50, 0.28, 1.32, 52.80, 0.01, 1.69, 1.41, 0.77, 2.18, 1.52, 1.56, 1.38, 1.17, 1.46, 1.96, 1.61, 1.37, 36.39, 0.22, 1.00, 1.69, 0.06, 0.07
23888, 0, 0.50, 0.50, -0.31, 1.97, 33.29, 0.30, 1.32, 52.80, 0.01, 1.73, 1.49, 1.16, 2.24, 1.59, 0.81, 1.41, 1.20, 0.61, 2.00, 1.45, 1.25, 31.98, 0.20, 1.00, 1.73, 0.05, 0.07
23904, 0, 0.50, 0.50, -0.33, 1.62, 37.63, 0.32, 1.32, 52.80, 0.01, 1.75, 1.56, 1.11, 2.25, 1.82, 1.30, 1.42, 1.41, 1.07, 2.01, 2.13, 1.07, 27.80, 0.18, 1.00, 1.74, 0.05, 0.07
23914, 0, 0.50, 0.50, -0.42, 1.96, 41.78, 0.35, 1.32, 52.80, 0.01, 1.65, 1.69, 0.81, 2.13, 1.94, 1.49, 1.34, 1.45, 1.12, 1.90, 2.66, 0.88, 24.01, 0.15, 1.00, 1.64, 0.04, 0.07
23928, 0, 0.50, 0.50, -0.45, 0.75, 45.95, 0.36, 1.32, 52.80, 0.01, 1.46, 1.56, 0.91, 1.90, 2.04, 0.75, 1.20, 1.34, 0.70, 1.70, 1.89, 0.96, 19.66, 0.14, 1.00, 1.47, 0.03, 0.07
23945, 0, 0.50, 0.50, -0.51, 0.94, 50.26, 0.37, 1.32, 52.80, 0.01, 1.21, 1.41, 0.42, 1.56, 2.08, 1.16, 0.99, 1.20, 0.42, 1.39, 1.79, 1.16, 15.51, 0.13, 1.00, 1.21, 0.02, 0.07
23954, 0, 0.50, 0.50, -0.42, 1.42, 54.44, 0.39, 1.32, 52.80, 0.01, 0.82, 1.42, 0.56, 1.06, 2.13, 0.67, 0.66, 1.48, 0.58, 0.94, 1.93, 0.44, 11.35, 0.11, 1.00, 0.83, 0.02, 0.07
23968, 0, 0.50, 0.50, -0.61, 1.76, 58.48, 0.41, 1.32, 52.80, 0.01, 0.34, 1.03, 0.33, 0.44, 1.92, 0.93, 0.27, 1.15, 0.53, 0.38, 1.79, 0.60, 7.03, 0.09, 1.00, 0.35, 0.01, 0.07
23985, 0, 0.50, 0.50, -0.65, 1.53, 62.89, 0.43, 1.32, 52.80, 0.01, 0.00, 0.69, 0.44, 0.00, 1.49, 1.04, 0.00, 0.58, 0.39, 0.00, 1.06, 0.53, 2.85, 0.07, 1.00, -0.23, -0.00, 0.07
23994, 0, 0.50, 0.50, -0.76, 1.24, 67.69, 0.45, 1.32, 52.80, 0.01, 0.00, 0.55, 0.37, 0.00, 1.70, 0.89, 0.00, 0.49, 0.33, 0.00, 0.80, 0.63, -1.19, 0.05, 1.00, -1.01, -0.01, 0.07
