timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
24902, 0, 0.50, 0.50, -0.49, -0.14, -0.23, -0.00, 1.32, 52.80, 0.01, 0.04, 1.00, 0.00, 0.06, 1.00, 0.00, 0.03, 1.00, 0.00, 0.04, 1.00, 0.00, 0.00, 0.50, 1.00, 0.06, 0.07, 0.07
24974, 0, 0.50, 0.50, -0.39, 0.91, 3.76, 0.01, 1.32, 52.80, 0.01, 0.31, 0.00, 1.09, 0.41, 0.04, 1.00, 0.25, 0.07, 0.16, 0.35, 0.01, 1.05, 57.30, 0.49, 1.00, 0.32, 0.07, 0.07
24991, 0, 0.50, 0.50, -0.42, 1.28, 6.71, 0.03, 1.32, 52.80, 0.01, 0.51, 0.14, 2.16, 0.66, 0.18, 2.77, 0.41, 0.17, 1.07, 0.59, 0.10, 2.81, 57.30, 0.47, 1.00, 0.52, 0.07, 0.07
24999, 0, 0.50, 0.50, -0.29, 2.11, 9.06, 0.06, 1.32, 52.80, 0.01, 0.66, 0.32, 1.49, 0.86, 0.35, 2.12, 0.54, 0.31, 1.11, 0.77, 0.28, 2.60, 53.54, 0.44, 1.00, 0.68, 0.07, 0.07
25009, 0, 0.50, 0.50, -0.19, 2.32, 11.90, 0.09, 1.32, 52.80, 0.01, 0.85, 0.59, 1.32, 1.10, 0.76, 2.32, 0.69, 0.44, 1.12, 0.99, 0.70, 2.74, 50.59, 0.41, 1.00, 0.86, 0.07, 0.07
25026, 0, 0.50, 0.50, -0.14, 2.94, 15.88, 0.13, 1.32, 52.80, 0.01, 1.08, 0.92, 1.47, 1.41, 1.08, 0.84, 0.89, 0.68, 1.28, 1.27, 0.92, 2.88, 48.24, 0.37, 1.00, 1.10, 0.07, 0.07
25035, 0, 0.50, 0.50, -0.27, 2.12, 19.85, 0.15, 1.32, 52.80, 0.01, 1.30, 1.08, 0.98, 1.68, 1.35, 1.42, 1.06, 0.80, 1.46, 1.49, 1.21, 2.21, 45.40, 0.35, 1.00, 1.30, 0.06, 0.07
25049, 0, 0.50, 0.50, -0.29, 2.58, 23.68, 0.19, 1.32, 52.80, 0.01, 1.45, 1.14, 1.91, 1.87, 1.42, 1.70, 1.18, 0.96, 1.96, 1.68, 1.34, 1.70, 41.42, 0.31, 1.00, 1.45, 0.06, 0.07
25066, 0, 0.50, 0.50, -0.30, 2.42, 27.86, 0.22, 1.32, 52.80, 0.01, 1.59, 1.46, 1.49, 2.06, 1.80, 1.39, 1.30, 0.94, 0.95, 1.83, 1.63, 1.79, 37.45, 0.28, 1.00, 1.59, 0.06, 0.07
25075, 0, 0.50, 0.50, -0.23, 2.31, 31.97, 0.25, 1.32, 52.80, 0.01, 1.65, 1.87, 1.12, 2.14, 1.97, 1.44, 1.35, 1.27, 1.26, 1.92, 1.58, 0.93, 33.62, 0.25, 1.00, 1.65, 0.05, 0.07
