timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
15447, 0, 0.50, 0.50, -0.53, -0.11, -0.17, -0.00, 1.32, 52.80, 0.01, 0.04, 1.00, 0.00, 0.06, 1.00, 0.00, 0.03, 1.00, 0.00, 0.04, 1.00, 0.00, 0.00, 0.50, 1.00, 0.06, 0.07, 0.07
15500, 0, 0.50, 0.50, -0.27, 0.71, 0.86, 0.01, 1.32, 52.80, 0.01, 0.10, 0.00, 0.86, 0.13, 0.00, 1.16, 0.07, 0.06, 0.25, 0.11, 0.00, 0.88, 57.30, 0.49, 1.00, 0.12, 0.07, 0.07
15578, 0, 0.50, 0.50, -0.30, -0.24, 5.52, 0.00, 1.32, 52.80, 0.01, 0.42, 0.21, 0.05, 0.56, 0.20, 0.11, 0.35, 0.17, 0.00, 0.49, 0.23, 0.12, 57.30, 0.50, 1.00, 0.44, 0.07, 0.07
15587, 0, 0.50, 0.50, -0.17, -0.86, 8.55, -0.01, 1.32, 52.80, 0.01, 0.63, 0.20, 0.77, 0.82, 0.20, 0.82, 0.51, 0.17, 0.42, 0.73, 0.20, 0.84, 56.44, 0.51, 1.00, 0.64, 0.07, 0.07
15595, 0, 0.50, 0.50, -0.31, -0.82, 10.90, -0.02, 1.32, 52.80, 0.01, 0.77, 0.21, 1.95, 1.00, 0.20, 2.14, 0.63, 0.14, 1.00, 0.90, 0.31, 2.42, 51.78, 0.52, 1.00, 0.79, 0.07, 0.07
15611, 0, 0.50, 0.50, -0.32, 0.35, 13.01, -0.01, 1.32, 52.80, 0.01, 0.90, 0.69, 1.53, 1.17, 0.85, 1.72, 0.73, 0.55, 1.79, 1.04, 0.72, 2.26, 48.74, 0.51, 1.00, 0.91, 0.07, 0.07
15620, 0, 0.50, 0.50, -0.29, 1.42, 15.69, 0.01, 1.32, 52.80, 0.01, 1.06, 0.76, 1.35, 1.37, 1.14, 1.44, 0.86, 0.72, 0.75, 1.23, 1.10, 1.77, 46.40, 0.49, 1.00, 1.07, 0.07, 0.07
15633, 0, 0.50, 0.50, -0.13, 1.68, 18.74, 0.03, 1.32, 52.80, 0.01, 1.23, 0.97, 1.18, 1.58, 1.24, 1.96, 1.00, 0.79, 1.23, 1.42, 1.14, 2.16, 44.28, 0.47, 1.00, 1.23, 0.06, 0.07
15650, 0, 0.50, 0.50, -0.32, 1.90, 22.79, 0.05, 1.32, 52.80, 0.01, 1.42, 1.18, 1.58, 1.83, 1.55, 1.23, 1.15, 0.89, 1.28, 1.65, 1.18, 1.32, 41.61, 0.45, 1.00, 1.42, 0.06, 0.07
15660, 0, 0.50, 0.50, -0.61, 2.08, 27.06, 0.08, 1.32, 52.80, 0.01, 1.56, 1.28, 0.75, 2.03, 1.65, 1.18, 1.28, 0.99, 1.75, 1.82, 1.35, 2.05, 38.55, 0.42, 1.00, 1.57, 0.06, 0.07
15673, 0, 0.50, 0.50, -0.50, 2.26, 30.68, 0.11, 1.32, 52.80, 0.01, 1.62, 1.27, 1.25, 2.08, 1.83, 1.28, 1.32, 1.10, 0.96, 1.87, 1.52, 1.51, 34.50, 0.39, 1.00, 1.62, 0.05, 0.07
15711, 0, 0.50, 0.50, -0.52, 2.45, 36.56, 0.14, 1.32, 52.80, 0.01, 1.73, 1.83, 0.68, 2.24, 2.23, 1.23, 1.42, 1.45, 0.86, 2.01, 1.87, 1.39, 30.23, 0.36, 1.00, 1.74, 0.05, 0.07
15719, 0, 0.50, 0.50, -0.45, 1.59, 42.35, 0.17, 1.32, 52.80, 0.01, 1.61, 1.82, 0.42, 2.07, 2.17, 0.91, 1.31, 1.41, 0.51, 1.86, 1.97, 0.84, 26.61, 0.33, 1.00, 1.60, 0.04, 0.07
15728, 0, 0.50, 0.50, -0.41, 2.26, 47.55, 0.20, 1.32, 52.80, 0.01, 1.30, 1.82, 0.30, 1.68, 2.06, 0.89, 1.06, 1.23, 0.39, 1.51, 1.94, 0.93, 20.73, 0.30, 1.00, 1.30, 0.03, 0.07
15771, 0, 0.50, 0.50, -0.55, 2.18, 55.20, 0.22, 1.32, 52.80, 0.01, 0.90, 1.15, 0.74, 1.17, 1.72, 0.49, 0.73, 1.07, 0.74, 1.04, 1.20, 0.74, 14.94, 0.28, 1.00, 0.91, 0.02, 0.07
15780, 0, 0.50, 0.50, -0.61, 2.24, 61.80, 0.25, 1.32, 52.80, 0.01, 0.00, 1.15, 0.74, 0.00, 1.63, 0.39, 0.00, 1.00, 0.42, 0.00, 1.37, 0.54, 9.74, 0.25, 1.00, -0.09, -0.00, 0.07
15793, 0, 0.50, 0.50, -0.87, 2.41, 67.18, 0.29, 1.32, 52.80, 0.01, 0.00, 0.86, 0.54, 0.00, 1.28, 0.93, 0.00, 0.79, 0.53, 0.00, 1.13, 0.65, 2.09, 0.21, 1.00, -1.22, -0.02, 0.07
15811, 0, 0.50, 0.50, -1.09, 2.32, 72.35, 0.32, 1.32, 52.80, 0.01, 0.00, 0.59, 0.42, 0.00, 0.89, 0.67, 0.00, 0.51, 0.33, 0.00, 0.76, 0.58, -4.50, 0.18, 1.00, -2.37, -0.03, 0.07
15820, 0, 0.50, 0.50, -1.27, 1.32, 76.18, 0.34, 1.32, 52.80, 0.01, 0.00, 0.54, 0.37, 0.00, 0.77, 0.54, 0.00, 0.46, 0.30, 0.00, 0.72, 0.51, -9.88, 0.16, 1.00, -3.63, -0.05, 0.07
15833, 0, 0.50, 0.50, -1.15, -0.21, 78.59, 0.33, 1.32, 52.80, 0.01, 0.00, 0.52, 0.35, 0.00, 0.66, 0.53, 0.00, 0.35, 0.23, 0.00, 0.58, 0.47, -15.05, 0.17, 1.00, -4.63, -0.06, 0.07
15851, 0, 0.50, 0.50, -1.44, -1.84, 76.05, 0.31, 1.32, 52.80, 0.01, 0.00, 0.45, 0.30, 0.00, 0.66, 0.49, 0.00, 0.31, 0.14, 0.00, 0.51, 0.40, -18.89, 0.19, 1.00, -5.01, -0.07, 0.07
15860, 0, 0.50, 0.50, -1.99, -2.16, 72.44, 0.28, 1.32, 52.80, 0.01, 0.00, 0.44, 0.30, 0.00, 0.61, 0.47, 0.00, 0.27, 0.12, 0.00, 0.49, 0.42, -21.29, 0.22, 1.00, -4.27, -0.06, 0.07
15873, 0, 0.50, 0.50, -1.65, -2.92, 68.02, 0.24, 1.32, 52.80, 0.01, 0.00, 0.41, 0.28, 0.00, 0.62, 0.44, 0.00, 0.20, 0.12, 0.00, 0.46, 0.33, -18.75, 0.26, 1.00, -3.38, -0.05, 0.07
15889, 0, 0.50, 0.50, -1.44, -3.20, 63.19, 0.20, 1.32, 52.80, 0.01, 0.00, 0.37, 0.26, 0.00, 0.55, 0.44, 0.00, 0.20, 0.14, 0.00, 0.44, 0.39, -15.14, 0.30, 1.00, -2.47, -0.04, 0.07
15900, 0, 0.50, 0.50, -1.43, -3.40, 58.72, 0.15, 1.32, 52.80, 0.01, 0.00, 0.37, 0.23, 0.00, 0.54, 0.40, 0.00, 0.20, 0.18, 0.00, 0.46, 0.39, -10.72, 0.35, 1.00, -1.67, -0.03, 0.07
15913, 0, 0.50, 0.50, -1.38, -3.15, 54.86, 0.11, 1.32, 52.80, 0.01, 0.00, 0.35, 0.25, 0.00, 0.51, 0.40, 0.00, 0.21, 0.18, 0.00, 0.48, 0.37, -5.89, 0.39, 1.00, -1.05, -0.02, 0.07
15929, 0, 0.50, 0.50, -1.22, -3.00, 50.54, 0.07, 1.32, 52.80, 0.01, 0.00, 0.32, 0.23, 0.00, 0.48, 0.39, 0.00, 0.21, 0.19, 0.00, 0.39, 0.33, -1.43, 0.43, 1.00, -0.60, -0.01, 0.07
15940, 0, 0.50, 0.50, -1.06, -3.05, 47.12, 0.03, 1.32, 52.80, 0.01, 0.00, 0.32, 0.23, 0.00, 0.45, 0.35, 0.00, 0.23, 0.18, 0.00, 0.39, 0.32, 2.43, 0.47, 1.00, -0.19, -0.00, 0.07
15957, 0, 0.50, 0.50, -1.05, -2.91, 44.19, -0.01, 1.32, 52.80, 0.01, 0.06, 0.31, 0.21, 0.07, 0.42, 0.32, 0.04, 0.25, 0.21, 0.07, 0.35, 0.30, 6.76, 0.51, 1.00, 0.07, 0.00, 0.07
15967, 0, 0.50, 0.50, -1.03, -2.80, 41.28, -0.05, 1.32, 52.80, 0.01, 0.24, 0.30, 0.18, 0.32, 0.38, 0.28, 0.20, 0.25, 0.18, 0.28, 0.34, 0.26, 10.17, 0.55, 1.00, 0.26, 0.01, 0.07
15980, 0, 0.50, 0.50, -1.00, -2.51, 38.38, -0.08, 1.32, 52.80, 0.01, 0.39, 0.28, 0.18, 0.51, 0.34, 0.26, 0.31, 0.25, 0.16, 0.45, 0.32, 0.23, 13.11, 0.58, 1.00, 0.41, 0.01, 0.07
15998, 0, 0.50, 0.50, -0.89, -2.41, 35.21, -0.11, 1.32, 52.80, 0.01, 0.49, 0.27, 0.16, 0.65, 0.30, 0.23, 0.41, 0.23, 0.12, 0.58, 0.28, 0.21, 16.02, 0.61, 1.00, 0.51, 0.01, 0.07
16007, 0, 0.50, 0.50, -0.89, -2.22, 32.30, -0.14, 1.32, 52.80, 0.01, 0.59, 0.25, 0.14, 0.76, 0.28, 0.19, 0.48, 0.21, 0.14, 0.68, 0.27, 0.21, 18.92, 0.64, 1.00, 0.60, 0.02, 0.07
16020, 0, 0.50, 0.50, -0.81, -2.10, 29.72, -0.17, 1.32, 52.80, 0.01, 0.63, 0.23, 0.14, 0.83, 0.25, 0.23, 0.52, 0.20, 0.09, 0.75, 0.25, 0.18, 22.09, 0.67, 1.00, 0.65, 0.02, 0.07
16054, 0, 0.50, 0.50, -0.70, -1.83, 25.86, -0.19, 1.32, 52.80, 0.01, 0.62, 0.18, 0.09, 0.82, 0.21, 0.16, 0.51, 0.17, 0.09, 0.72, 0.21, 0.12, 25.00, 0.69, 1.00, 0.64, 0.02, 0.07
16062, 0, 0.50, 0.50, -0.58, -1.59, 22.84, -0.22, 1.32, 52.80, 0.01, 0.63, 0.18, 0.07, 0.82, 0.20, 0.12, 0.52, 0.15, 0.09, 0.73, 0.20, 0.11, 27.57, 0.72, 1.00, 0.65, 0.03, 0.07
16073, 0, 0.50, 0.50, -0.59, -1.74, 20.35, -0.24, 1.32, 52.80, 0.01, 0.62, 0.17, 0.07, 0.80, 0.20, 0.12, 0.51, 0.15, 0.05, 0.72, 0.18, 0.09, 31.44, 0.74, 1.00, 0.63, 0.03, 0.07
16089, 0, 0.50, 0.50, -0.47, -1.70, 17.80, -0.26, 1.32, 52.80, 0.01, 0.58, 0.14, 0.05, 0.75, 0.17, 0.09, 0.46, 0.13, 0.05, 0.66, 0.15, 0.09, 34.46, 0.76, 1.00, 0.59, 0.03, 0.07
16100, 0, 0.50, 0.50, -0.52, -1.67, 16.08, -0.28, 1.32, 52.80, 0.01, 0.55, 0.14, 0.05, 0.70, 0.17, 0.09, 0.45, 0.11, 0.05, 0.63, 0.15, 0.05, 36.95, 0.78, 1.00, 0.56, 0.03, 0.07
16113, 0, 0.50, 0.50, -0.63, -1.64, 14.55, -0.31, 1.32, 52.80, 0.01, 0.51, 0.11, 0.04, 0.66, 0.14, 0.05, 0.42, 0.11, 0.02, 0.59, 0.14, 0.05, 39.50, 0.81, 1.00, 0.53, 0.03, 0.07
16127, 0, 0.50, 0.50, -0.62, -1.50, 12.82, -0.33, 1.32, 52.80, 0.01, 0.46, 0.11, 0.02, 0.61, 0.14, 0.04, 0.38, 0.11, 0.02, 0.54, 0.14, 0.05, 41.22, 0.83, 1.00, 0.48, 0.03, 0.07
16140, 0, 0.50, 0.50, -0.64, -1.41, 11.26, -0.34, 1.32, 52.80, 0.01, 0.42, 0.11, 0.00, 0.55, 0.13, 0.02, 0.34, 0.10, 0.00, 0.49, 0.11, 0.04, 42.75, 0.84, 1.00, 0.44, 0.03, 0.07
16153, 0, 0.50, 0.50, -0.56, -1.48, 9.79, -0.36, 1.32, 52.80, 0.01, 0.38, 0.11, 0.00, 0.49, 0.13, 0.02, 0.31, 0.10, 0.00, 0.44, 0.11, 0.02, 44.48, 0.86, 1.00, 0.39, 0.04, 0.07
16230, 0, 0.50, 0.50, -0.41, -0.88, 7.77, -0.38, 1.32, 52.80, 0.01, 0.31, 0.10, 1.51, 0.41, 0.13, 0.65, 0.25, 0.42, 0.14, 0.37, 0.11, 0.02, 46.03, 0.88, 1.00, 0.33, 0.04, 0.07
16238, 0, 0.50, 0.50, -0.59, -0.41, 6.05, -0.38, 1.32, 52.80, 0.01, 0.25, 0.15, 1.28, 0.32, 0.08, 0.98, 0.20, 0.42, 0.14, 0.30, 0.11, 0.16, 47.50, 0.88, 1.00, 0.27, 0.04, 0.07
16247, 0, 0.50, 0.50, -0.67, 0.23, 4.32, -0.38, 1.32, 52.80, 0.01, 0.20, 0.30, 0.68, 0.25, 0.08, 1.26, 0.15, 0.42, 0.04, 0.23, 0.11, 0.18, 49.52, 0.88, 1.00, 0.21, 0.04, 0.07
16260, 0, 0.50, 0.50, -0.57, 0.72, 3.60, -0.37, 1.32, 52.80, 0.01, 0.17, 0.44, 0.19, 0.23, 0.10, 1.35, 0.13, 0.42, 0.00, 0.20, 0.08, 0.28, 51.24, 0.87, 1.00, 0.19, 0.04, 0.07
16273, 0, 0.50, 0.50, -0.67, 0.64, 3.83, -0.36, 1.32, 52.80, 0.01, 0.18, 0.41, 0.07, 0.24, 0.15, 1.25, 0.14, 0.42, 0.00, 0.21, 0.07, 0.54, 52.97, 0.86, 1.00, 0.19, 0.04, 0.07
16287, 0, 0.50, 0.50, -0.68, 0.73, 4.84, -0.35, 1.32, 52.80, 0.01, 0.21, 0.35, 0.02, 0.28, 0.25, 1.04, 0.17, 0.42, 0.00, 0.25, 0.07, 1.07, 53.70, 0.85, 1.00, 0.23, 0.04, 0.07
16300, 0, 0.50, 0.50, -0.56, 0.73, 5.61, -0.34, 1.32, 52.80, 0.01, 0.24, 0.35, 0.05, 0.31, 0.32, 0.61, 0.20, 0.42, 0.00, 0.28, 0.10, 1.54, 53.47, 0.84, 1.00, 0.26, 0.04, 0.07
16313, 0, 0.50, 0.50, -0.50, 0.80, 6.50, -0.33, 1.32, 52.80, 0.01, 0.27, 0.28, 0.12, 0.35, 0.34, 0.75, 0.23, 0.42, 0.00, 0.31, 0.28, 1.56, 52.46, 0.83, 1.00, 0.29, 0.04, 0.07
16327, 0, 0.50, 0.50, -0.51, 0.77, 7.78, -0.32, 1.32, 52.80, 0.01, 0.31, 0.18, 0.16, 0.41, 0.34, 1.07, 0.25, 0.42, 0.00, 0.37, 0.44, 0.65, 51.69, 0.82, 1.00, 0.33, 0.04, 0.07
16340, 0, 0.50, 0.50, -0.59, 0.86, 9.12, -0.31, 1.32, 52.80, 0.01, 0.37, 0.14, 0.14, 0.46, 0.39, 1.19, 0.30, 0.42, 0.00, 0.42, 0.41, 0.63, 50.80, 0.81, 1.00, 0.38, 0.04, 0.07
16353, 0, 0.50, 0.50, -0.67, 0.89, 10.41, -0.30, 1.32, 52.80, 0.01, 0.39, 0.13, 0.79, 0.52, 0.49, 1.04, 0.32, 0.42, 0.00, 0.46, 0.37, 1.21, 49.51, 0.80, 1.00, 0.41, 0.04, 0.07
16367, 0, 0.50, 0.50, -0.63, 0.97, 12.26, -0.28, 1.32, 52.80, 0.01, 0.45, 0.18, 1.05, 0.59, 0.59, 0.58, 0.37, 0.32, 0.00, 0.54, 0.41, 1.44, 48.17, 0.78, 1.00, 0.47, 0.03, 0.07
16380, 0, 0.50, 0.50, -0.47, 1.16, 14.54, -0.27, 1.32, 52.80, 0.01, 0.52, 0.34, 1.23, 0.68, 0.55, 0.82, 0.42, 0.32, 0.04, 0.61, 0.55, 1.19, 46.88, 0.77, 1.00, 0.53, 0.03, 0.07
16393, 0, 0.50, 0.50, -0.28, 1.06, 17.87, -0.25, 1.32, 52.80, 0.01, 0.61, 0.52, 0.88, 0.79, 0.52, 1.53, 0.49, 0.24, 0.07, 0.70, 0.63, 1.21, 45.04, 0.75, 1.00, 0.62, 0.03, 0.07
16421, 0, 0.50, 0.50, -0.47, 1.22, 24.33, -0.24, 1.32, 52.80, 0.01, 0.73, 0.62, 0.75, 0.96, 0.86, 1.11, 0.59, 0.13, 0.11, 0.85, 0.70, 0.84, 42.76, 0.74, 1.00, 0.75, 0.03, 0.07
16433, 0, 0.50, 0.50, -0.45, 1.24, 31.49, -0.22, 1.32, 52.80, 0.01, 0.69, 0.70, 1.02, 0.90, 0.90, 1.09, 0.56, 0.10, 0.39, 0.80, 0.85, 1.07, 39.42, 0.72, 1.00, 0.71, 0.02, 0.07
16447, 0, 0.50, 0.50, -0.76, 1.47, 38.66, -0.20, 1.32, 52.80, 0.01, 0.44, 0.66, 0.96, 0.56, 0.94, 0.30, 0.35, 0.21, 0.88, 0.51, 0.80, 1.12, 32.97, 0.70, 1.00, 0.45, 0.01, 0.07
16461, 0, 0.50, 0.50, -0.81, 1.78, 43.81, -0.18, 1.32, 52.80, 0.01, 0.00, 0.68, 0.40, 0.00, 0.85, 0.42, 0.00, 0.37, 0.23, 0.00, 0.73, 0.28, 25.81, 0.68, 1.00, -0.01, -0.00, 0.07
16473, 0, 0.50, 0.50, -0.93, 1.75, 47.64, -0.15, 1.32, 52.80, 0.01, 0.00, 0.51, 0.26, 0.00, 0.66, 0.46, 0.00, 0.37, 0.19, 0.00, 0.56, 0.32, 18.64, 0.65, 1.00, -0.46, -0.01, 0.07
16487, 0, 0.50, 0.50, -1.26, 1.35, 48.35, -0.14, 1.32, 52.80, 0.01, 0.00, 0.37, 0.21, 0.00, 0.51, 0.33, 0.00, 0.35, 0.12, 0.00, 0.44, 0.30, 13.49, 0.64, 1.00, -0.81, -0.02, 0.07
16500, 0, 0.50, 0.50, -1.22, -0.34, 46.03, -0.14, 1.32, 52.80, 0.01, 0.00, 0.31, 0.23, 0.00, 0.39, 0.30, 0.00, 0.27, 0.11, 0.00, 0.35, 0.30, 9.65, 0.64, 1.00, -0.82, -0.02, 0.07
16513, 0, 0.50, 0.50, -0.94, -1.35, 43.04, -0.16, 1.32, 52.80, 0.01, 0.00, 0.31, 0.19, 0.00, 0.35, 0.30, 0.00, 0.18, 0.14, 0.00, 0.37, 0.30, 8.95, 0.66, 1.00, -0.61, -0.01, 0.07
16527, 0, 0.50, 0.50, -0.81, -2.27, 40.62, -0.19, 1.32, 52.80, 0.01, 0.00, 0.30, 0.21, 0.00, 0.35, 0.28, 0.00, 0.18, 0.16, 0.00, 0.34, 0.25, 11.26, 0.69, 1.00, -0.38, -0.01, 0.07
16540, 0, 0.50, 0.50, -0.69, -2.12, 38.53, -0.22, 1.32, 52.80, 0.01, 0.00, 0.28, 0.18, 0.00, 0.34, 0.25, 0.00, 0.18, 0.12, 0.00, 0.31, 0.25, 14.26, 0.72, 1.00, -0.23, -0.01, 0.07
16553, 0, 0.50, 0.50, -0.76, -1.92, 36.34, -0.24, 1.32, 52.80, 0.01, 0.00, 0.25, 0.14, 0.00, 0.31, 0.21, 0.00, 0.20, 0.14, 0.00, 0.28, 0.23, 16.68, 0.74, 1.00, -0.11, -0.00, 0.07
16567, 0, 0.50, 0.50, -0.68, -1.99, 33.20, -0.27, 1.32, 52.80, 0.01, 0.00, 0.23, 0.14, 0.00, 0.27, 0.19, 0.00, 0.20, 0.12, 0.00, 0.25, 0.21, 18.77, 0.77, 1.00, -0.00, -0.00, 0.07
16580, 0, 0.50, 0.50, -0.61, -1.93, 30.38, -0.30, 1.32, 52.80, 0.01, 0.08, 0.21, 0.12, 0.13, 0.25, 0.16, 0.07, 0.18, 0.09, 0.11, 0.24, 0.18, 20.96, 0.80, 1.00, 0.11, 0.00, 0.07
16593, 0, 0.50, 0.50, -0.61, -1.86, 28.09, -0.32, 1.32, 52.80, 0.01, 0.17, 0.18, 0.09, 0.23, 0.24, 0.16, 0.14, 0.15, 0.09, 0.20, 0.21, 0.14, 24.10, 0.82, 1.00, 0.19, 0.01, 0.07
16607, 0, 0.50, 0.50, -0.60, -1.86, 25.57, -0.35, 1.32, 52.80, 0.01, 0.21, 0.17, 0.07, 0.28, 0.21, 0.16, 0.17, 0.15, 0.07, 0.25, 0.20, 0.14, 26.92, 0.85, 1.00, 0.23, 0.01, 0.07
16620, 0, 0.50, 0.50, -0.60, -1.72, 23.14, -0.37, 1.32, 52.80, 0.01, 0.25, 0.17, 0.05, 0.32, 0.20, 0.12, 0.20, 0.14, 0.07, 0.30, 0.18, 0.09, 29.20, 0.87, 1.00, 0.27, 0.01, 0.07
16633, 0, 0.50, 0.50, -0.59, -1.62, 20.72, -0.39, 1.32, 52.80, 0.01, 0.27, 0.17, 0.07, 0.35, 0.18, 0.11, 0.21, 0.13, 0.07, 0.31, 0.15, 0.11, 31.72, 0.89, 1.00, 0.28, 0.01, 0.07
16647, 0, 0.50, 0.50, -0.56, -1.43, 18.09, -0.41, 1.32, 52.80, 0.01, 0.27, 0.14, 0.05, 0.35, 0.15, 0.09, 0.21, 0.13, 0.04, 0.31, 0.15, 0.05, 34.16, 0.91, 1.00, 0.28, 0.01, 0.07
16660, 0, 0.50, 0.50, -0.57, -1.41, 15.79, -0.43, 1.32, 52.80, 0.01, 0.27, 0.14, 0.04, 0.34, 0.15, 0.09, 0.21, 0.11, 0.02, 0.31, 0.14, 0.05, 36.58, 0.93, 1.00, 0.28, 0.02, 0.07
16673, 0, 0.50, 0.50, -0.54, -1.50, 13.57, -0.45, 1.32, 52.80, 0.01, 0.25, 0.13, 0.02, 0.32, 0.14, 0.05, 0.20, 0.11, 0.02, 0.28, 0.14, 0.04, 39.21, 0.95, 1.00, 0.26, 0.02, 0.07
16687, 0, 0.50, 0.50, -0.53, -1.44, 11.57, -0.47, 1.32, 52.80, 0.01, 0.23, 0.13, 0.02, 0.30, 0.14, 0.02, 0.18, 0.11, 0.02, 0.27, 0.13, 0.02, 41.51, 0.97, 1.00, 0.25, 0.02, 0.07
16700, 0, 0.50, 0.50, -0.55, -1.32, 9.95, -0.48, 1.32, 52.80, 0.01, 0.21, 0.13, 0.00, 0.27, 0.11, 0.02, 0.17, 0.08, 0.02, 0.24, 0.13, 0.00, 43.72, 0.98, 1.00, 0.23, 0.02, 0.07
16713, 0, 0.50, 0.50, -0.54, -1.33, 8.51, -0.50, 1.32, 52.80, 0.01, 0.18, 0.10, 0.00, 0.25, 0.11, 0.00, 0.15, 0.08, 0.00, 0.23, 0.13, 0.00, 45.73, 1.00, 1.00, 0.21, 0.02, 0.07
