timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
30523, 0, 0.50, 0.50, -0.54, -0.18, -0.23, -0.00, 1.32, 52.80, 0.01, 0.56, 1.00, 0.00, 0.73, 1.00, 0.00, 0.45, 1.00, 0.00, 0.65, 1.00, 0.00, 0.00, 0.50, 1.00, 0.57, 0.07, 0.07
30608, 0, 0.50, 0.50, -0.62, 1.23, 10.89, 0.01, 1.32, 52.80, 0.01, 1.32, 0.66, 0.49, 1.72, 0.82, 0.47, 1.08, 0.38, 1.25, 1.54, 0.70, 0.77, 57.30, 0.49, 1.00, 1.34, 0.07, 0.07
30636, 0, 0.50, 0.50, -0.63, 2.35, 20.85, 0.05, 1.32, 52.80, 0.01, 1.75, 1.04, 1.60, 2.25, 1.39, 2.14, 1.42, 1.23, 1.96, 2.03, 1.04, 2.58, 57.30, 0.45, 1.00, 1.75, 0.06, 0.07
30644, 0, 0.50, 0.50, -0.42, 1.92, 27.27, 0.07, 1.32, 52.80, 0.01, 1.76, 1.30, 1.46, 2.28, 1.63, 2.05, 1.44, 1.23, 1.40, 2.04, 1.23, 2.49, 46.41, 0.43, 1.00, 1.76, 0.05, 0.07
30656, 0, 0.50, 0.50, -0.41, 2.18, 31.91, 0.10, 1.32, 52.80, 0.01, 1.69, 1.31, 1.02, 2.18, 1.77, 1.23, 1.38, 1.27, 0.75, 1.96, 1.72, 1.70, 36.45, 0.40, 1.00, 1.69, 0.04, 0.07
30674, 0, 0.50, 0.50, -0.55, 2.18, 36.76, 0.13, 1.32, 52.80, 0.01, 1.62, 1.58, 1.32, 2.10, 1.92, 1.46, 1.32, 1.39, 1.42, 1.87, 1.76, 1.82, 30.03, 0.37, 1.00, 1.62, 0.04, 0.07
30683, 0, 0.50, 0.50, -0.67, 2.18, 39.72, 0.16, 1.32, 52.80, 0.01, 1.39, 1.69, 1.18, 1.80, 2.04, 1.28, 1.14, 1.45, 1.51, 1.62, 1.79, 1.16, 25.39, 0.34, 1.00, 1.40, 0.03, 0.07
30699, 0, 0.50, 0.50, -0.74, 2.13, 42.46, 0.19, 1.32, 52.80, 0.01, 1.24, 1.59, 0.53, 1.61, 2.00, 1.40, 1.01, 1.42, 0.68, 1.44, 2.01, 1.33, 20.54, 0.31, 1.00, 1.25, 0.03, 0.07
30709, 0, 0.50, 0.50, -0.55, 2.15, 45.11, 0.22, 1.32, 52.80, 0.01, 1.07, 1.55, 0.61, 1.39, 2.07, 0.81, 0.87, 1.27, 0.61, 1.24, 1.89, 1.02, 17.58, 0.28, 1.00, 1.08, 0.02, 0.07
30723, 0, 0.50, 0.50, -0.47, 2.29, 47.83, 0.25, 1.32, 52.80, 0.01, 0.87, 1.37, 0.60, 1.13, 2.10, 0.67, 0.70, 0.90, 0.23, 1.01, 1.83, 0.82, 14.84, 0.25, 1.00, 0.88, 0.02, 0.07
30739, 0, 0.50, 0.50, -0.61, 1.75, 51.25, 0.27, 1.32, 52.80, 0.01, 0.63, 1.14, 0.49, 0.82, 1.77, 0.77, 0.51, 0.75, 0.21, 0.73, 1.72, 1.02, 12.18, 0.23, 1.00, 0.64, 0.01, 0.07
30749, 0, 0.50, 0.50, -0.92, 1.73, 54.56, 0.29, 1.32, 52.80, 0.01, 0.24, 0.93, 0.58, 0.32, 1.54, 0.72, 0.20, 0.56, 0.26, 0.28, 1.31, 0.98, 9.46, 0.21, 1.00, 0.26, 0.00, 0.07
30763, 0, 0.50, 0.50, -1.37, 2.00, 57.27, 0.32, 1.32, 52.80, 0.01, 0.00, 0.73, 0.47, 0.00, 1.20, 0.86, 0.00, 0.42, 0.28, 0.00, 1.00, 0.67, 6.04, 0.18, 1.00, -0.17, -0.00, 0.07
30780, 0, 0.50, 0.50, -1.23, 1.54, 61.14, 0.34, 1.32, 52.80, 0.01, 0.00, 0.51, 0.35, 0.00, 0.79, 0.61, 0.00, 0.34, 0.19, 0.00, 0.65, 0.47, 2.73, 0.16, 1.00, -0.59, -0.01, 0.07
30789, 0, 0.50, 0.50, -1.73, 0.87, 64.83, 0.35, 1.32, 52.80, 0.01, 0.00, 0.46, 0.33, 0.00, 0.68, 0.49, 0.00, 0.30, 0.12, 0.00, 0.59, 0.42, 0.02, 0.15, 1.00, -1.27, -0.02, 0.07
30803, 0, 0.50, 0.50, -1.90, -1.10, 65.88, 0.34, 1.32, 52.80, 0.01, 0.00, 0.45, 0.35, 0.00, 0.62, 0.47, 0.00, 0.24, 0.14, 0.00, 0.54, 0.39, -3.84, 0.16, 1.00, -1.93, -0.03, 0.07
30820, 0, 0.50, 0.50, -1.41, -1.73, 64.25, 0.31, 1.32, 52.80, 0.01, 0.00, 0.42, 0.30, 0.00, 0.55, 0.44, 0.00, 0.21, 0.16, 0.00, 0.44, 0.33, -7.53, 0.19, 1.00, -2.06, -0.03, 0.07
30829, 0, 0.50, 0.50, -1.30, -2.23, 62.81, 0.28, 1.32, 52.80, 0.01, 0.00, 0.42, 0.28, 0.00, 0.51, 0.40, 0.00, 0.20, 0.18, 0.00, 0.42, 0.35, -8.58, 0.22, 1.00, -1.76, -0.03, 0.07
30843, 0, 0.50, 0.50, -1.32, -2.95, 61.13, 0.24, 1.32, 52.80, 0.01, 0.00, 0.39, 0.26, 0.00, 0.48, 0.39, 0.00, 0.21, 0.14, 0.00, 0.42, 0.33, -6.95, 0.26, 1.00, -1.50, -0.02, 0.07
30859, 0, 0.50, 0.50, -1.28, -3.24, 58.53, 0.20, 1.32, 52.80, 0.01, 0.00, 0.39, 0.28, 0.00, 0.45, 0.37, 0.00, 0.21, 0.14, 0.00, 0.41, 0.32, -5.51, 0.30, 1.00, -1.20, -0.02, 0.07
30869, 0, 0.50, 0.50, -1.29, -3.17, 56.11, 0.16, 1.32, 52.80, 0.01, 0.00, 0.39, 0.26, 0.00, 0.44, 0.39, 0.00, 0.21, 0.16, 0.00, 0.39, 0.32, -3.84, 0.34, 1.00, -0.82, -0.01, 0.07
30883, 0, 0.50, 0.50, -1.34, -3.11, 53.86, 0.12, 1.32, 52.80, 0.01, 0.00, 0.37, 0.25, 0.00, 0.42, 0.35, 0.00, 0.20, 0.18, 0.00, 0.38, 0.32, -1.23, 0.38, 1.00, -0.50, -0.01, 0.07
30920, 0, 0.50, 0.50, -1.21, -2.85, 49.20, 0.08, 1.32, 52.80, 0.01, 0.00, 0.30, 0.21, 0.00, 0.35, 0.30, 0.00, 0.20, 0.16, 0.00, 0.34, 0.26, 1.18, 0.42, 1.00, -0.23, -0.01, 0.07
30927, 0, 0.50, 0.50, -1.05, -2.68, 44.20, 0.04, 1.32, 52.80, 0.01, 0.17, 0.28, 0.18, 0.23, 0.34, 0.28, 0.13, 0.18, 0.11, 0.20, 0.30, 0.23, 3.43, 0.46, 1.00, 0.19, 0.00, 0.07
30936, 0, 0.50, 0.50, -0.98, -2.52, 39.36, 0.01, 1.32, 52.80, 0.01, 0.49, 0.27, 0.16, 0.65, 0.32, 0.23, 0.41, 0.18, 0.12, 0.58, 0.30, 0.21, 8.10, 0.49, 1.00, 0.51, 0.01, 0.07
30953, 0, 0.50, 0.50, -0.95, -2.43, 35.23, -0.02, 1.32, 52.80, 0.01, 0.73, 0.24, 0.16, 0.96, 0.30, 0.21, 0.61, 0.17, 0.07, 0.86, 0.28, 0.19, 13.10, 0.52, 1.00, 0.75, 0.02, 0.07
30963, 0, 0.50, 0.50, -0.96, -2.27, 31.94, -0.05, 1.32, 52.80, 0.01, 0.89, 0.23, 0.12, 1.14, 0.28, 0.18, 0.72, 0.15, 0.14, 1.03, 0.27, 0.18, 17.93, 0.55, 1.00, 0.89, 0.02, 0.07
