timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
24512, 0, 0.50, 0.50, -0.54, -0.15, -0.17, -0.00, 1.32, 52.80, 0.01, 0.56, 1.00, 0.00, 0.73, 1.00, 0.00, 0.45, 1.00, 0.00, 0.65, 1.00, 0.00, 0.00, 0.50, 1.00, 0.57, 0.06, 0.06
24562, 0, 0.50, 0.50, -0.56, 0.79, 5.03, 0.01, 1.32, 52.80, 0.01, 0.86, 0.76, 0.46, 1.13, 1.00, 0.37, 0.70, 0.54, 0.33, 1.00, 0.75, 0.68, 57.30, 0.49, 1.00, 0.87, 0.06, 0.06
24580, 0, 0.50, 0.50, -0.45, 1.61, 8.81, 0.03, 1.32, 52.80, 0.01, 1.03, 0.77, 1.49, 1.34, 1.07, 1.46, 0.85, 0.56, 2.11, 1.20, 0.97, 1.89, 57.30, 0.47, 1.00, 1.04, 0.06, 0.06
24592, 0, 0.50, 0.50, -0.52, 1.87, 11.52, 0.06, 1.32, 52.80, 0.01, 1.13, 1.11, 1.11, 1.46, 1.25, 1.18, 0.93, 0.85, 1.37, 1.31, 1.03, 1.67, 52.27, 0.44, 1.00, 1.14, 0.06, 0.06
24605, 0, 0.50, 0.50, -0.47, 1.98, 14.10, 0.08, 1.32, 52.80, 0.01, 1.23, 0.97, 0.96, 1.59, 1.30, 0.79, 1.00, 1.01, 0.77, 1.42, 1.04, 0.72, 48.49, 0.42, 1.00, 1.24, 0.06, 0.06
24623, 0, 0.50, 0.50, -0.46, 2.12, 16.52, 0.11, 1.32, 52.80, 0.01, 1.31, 1.15, 1.35, 1.70, 1.23, 1.40, 1.07, 0.93, 1.53, 1.52, 1.01, 1.35, 45.77, 0.39, 1.00, 1.32, 0.05, 0.06
24632, 0, 0.50, 0.50, -0.55, 1.89, 19.10, 0.13, 1.32, 52.80, 0.01, 1.39, 1.30, 1.32, 1.80, 1.55, 2.05, 1.14, 1.10, 1.46, 1.62, 1.32, 2.04, 43.20, 0.37, 1.00, 1.40, 0.05, 0.06
24648, 0, 0.50, 0.50, -0.59, 2.06, 22.14, 0.16, 1.32, 52.80, 0.01, 1.48, 1.49, 1.19, 1.92, 1.77, 1.61, 1.21, 1.14, 0.96, 1.72, 1.54, 2.00, 40.78, 0.34, 1.00, 1.48, 0.05, 0.06
24658, 0, 0.50, 0.50, -0.56, 1.56, 25.28, 0.18, 1.32, 52.80, 0.01, 1.54, 1.48, 0.72, 1.99, 1.94, 1.16, 1.25, 1.41, 0.82, 1.77, 1.32, 0.91, 38.19, 0.32, 1.00, 1.54, 0.05, 0.06
24672, 0, 0.50, 0.50, -0.53, 1.70, 28.25, 0.21, 1.32, 52.80, 0.01, 1.55, 1.56, 1.16, 2.00, 2.04, 1.04, 1.27, 1.11, 0.63, 1.79, 1.77, 1.35, 35.16, 0.29, 1.00, 1.55, 0.04, 0.06
