timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
47361, 0, 0.50, 0.50, -0.54, -0.00, 2.54, -1.89, 1.32, 52.80, 0.01, 1.55, 0.15, 0.00, 2.00, 0.37, 0.00, 1.27, 0.20, 0.00, 1.79, 0.06, 0.00, 55.13, 2.39, 1.00, 1.55, 0.00000, 0.00000
47385, 0, 0.50, 0.50, -0.57, 0.01, 2.35, -1.89, 1.32, 52.80, 0.01, 1.55, 0.15, 0.00, 2.01, 0.37, 0.00, 1.27, 0.20, 0.02, 1.80, 0.06, 0.00, 54.49, 2.39, 1.00, 1.55, 0.00000, 0.00000
47394, 0, 0.50, 0.50, -0.55, -0.03, 2.11, -1.89, 1.32, 52.80, 0.01, 1.55, 0.08, 0.00, 2.01, 0.37, 0.00, 1.27, 0.20, 0.00, 1.80, 0.06, 0.00, 54.75, 2.39, 1.00, 1.56, 0.00000, 0.00000
47405, 0, 0.50, 0.50, -0.49, -0.10, 1.89, -1.89, 1.32, 52.80, 0.01, 1.56, 0.08, 0.00, 2.01, 0.37, 0.00, 1.27, 0.20, 0.00, 1.80, 0.06, 0.00, 54.95, 2.39, 1.00, 1.56, 0.00000, 0.00000
47414, 0, 0.50, 0.50, -0.56, -0.14, 1.76, -1.89, 1.32, 52.80, 0.01, 1.56, 0.08, 0.00, 2.01, 0.37, 0.00, 1.28, 0.20, 0.00, 1.80, 0.06, 0.00, 55.19, 2.39, 1.00, 1.56, 0.00000, 0.00000
47428, 0, 0.50, 0.50, -0.54, -0.14, 1.56, -1.90, 1.32, 52.80, 0.01, 1.56, 0.08, 0.00, 2.03, 0.37, 0.00, 1.28, 0.20, 0.00, 1.82, 0.06, 0.00, 55.41, 2.40, 1.00, 1.57, 0.00000, 0.00000
47441, 0, 0.50, 0.50, -0.51, -0.11, 1.42, -1.90, 1.32, 52.80, 0.01, 1.56, 0.08, 0.00, 2.03, 0.37, 0.00, 1.28, 0.20, 0.00, 1.82, 0.06, 0.00, 55.54, 2.40, 1.00, 1.57, 0.00000, 0.00000
47454, 0, 0.50, 0.50, -0.49, -0.18, 1.28, -1.90, 1.32, 52.80, 0.01, 1.56, 0.08, 0.00, 2.03, 0.37, 0.49, 1.28, 0.20, 0.00, 1.82, 0.04, 1.68, 55.73, 2.40, 1.00, 1.57, 0.00000, 0.00000
47532, 0, 0.50, 0.50, -0.48, -0.25, 2.34, -1.90, 1.32, 52.80, 0.01, 1.58, 1.25, 1.51, 2.03, 2.10, 1.35, 1.28, 0.55, 2.04, 1.82, 2.14, 1.60, 55.87, 2.40, 1.00, 1.57, 0.00000, 0.00000
47540, 0, 0.50, 0.50, -0.60, 0.06, 3.85, -1.90, 1.32, 52.80, 0.01, 1.56, 1.37, 1.47, 2.03, 2.21, 0.93, 1.28, 0.86, 1.35, 1.82, 1.70, 0.79, 56.01, 2.40, 1.00, 1.57, 0.00000, 0.00000
