timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
132781, 2, 100.00, 2.00, -0.35, -0.56, -0.05, 5.00, 0.00, 0.00, 100.00, 16.00, 2.74, 100.00, 16.00, 3.35, 100.00, 24.00, 2.77, 100.00, 12.00, 3.23
132810, 2, 100.00, 2.00, -0.41, 6.30, -0.25, 5.00, 0.00, 0.00, 100.00, 124.00, 0.21, 100.00, 152.00, 0.30, 100.00, 96.00, 1.44, 100.00, 96.00, 0.53
132824, 2, 100.00, 2.00, -0.11, 4.00, -0.42, 5.00, 0.00, 0.00, 100.00, 112.00, 0.02, 100.00, 124.00, 0.11, 100.00, 100.00, 0.07, 100.00, 112.00, 0.11
132831, 2, 100.00, 2.00, -0.17, 1.91, -0.39, 5.00, 0.00, 0.00, 100.00, 112.00, 0.05, 100.00, 124.00, 0.07, 100.00, 100.00, 0.00, 100.00, 100.00, 0.07
132841, 2, 100.00, 2.00, 0.46, -3.44, -0.18, 5.00, 0.00, 0.00, 100.00, 92.00, 0.14, 100.00, 100.00, 0.11, 100.00, 88.00, 0.37, 100.00, 100.00, 0.09
132851, 2, 100.00, 2.00, -1.14, -3.84, -0.06, 5.00, 0.00, 0.00, 100.00, 76.00, 1.14, 100.00, 80.00, 1.05, 100.00, 76.00, 0.68, 100.00, 84.00, 0.96
132865, 2, 100.00, 2.00, -0.03, 0.10, -0.34, 5.00, 0.00, 0.00, 100.00, 96.00, 1.61, 100.00, 96.00, 1.67, 100.00, 72.00, 1.91, 100.00, 64.00, 2.02
132871, 2, 100.00, 2.00, -0.16, 6.35, -0.32, 5.00, 0.00, 0.00, 100.00, 96.00, 0.21, 100.00, 112.00, 0.19, 100.00, 84.00, 1.88, 100.00, 76.00, 1.91
132881, 2, 100.00, 2.00, -0.18, 7.09, -0.28, 5.00, 0.00, 0.00, 100.00, 96.00, 0.11, 100.00, 120.00, 0.21, 100.00, 96.00, 0.07, 100.00, 96.00, 0.33
132895, 2, 100.00, 2.00, 0.43, 0.29, -0.14, 5.00, 0.00, 0.00, 100.00, 88.00, 0.44, 100.00, 104.00, 0.16, 100.00, 92.00, 0.19, 100.00, 88.00, 0.16
132901, 2, 100.00, 2.00, -0.64, -3.71, 0.08, 5.00, 0.00, 0.00, 100.00, 80.00, 0.74, 100.00, 88.00, 0.21, 100.00, 84.00, 0.42, 100.00, 88.00, 0.51
132911, 2, 100.00, 2.00, -1.77, -2.11, -0.09, 5.00, 0.00, 0.00, 100.00, 96.00, 0.65, 100.00, 76.00, 1.04, 100.00, 80.00, 0.95, 100.00, 80.00, 0.95
132921, 2, 100.00, 2.00, 0.01, 1.58, -0.68, 5.00, 0.00, 0.00, 100.00, 104.00, 0.09, 100.00, 100.00, 0.32, 100.00, 92.00, 0.81, 100.00, 88.00, 0.82
132934, 2, 100.00, 2.00, 0.62, 4.45, -0.52, 5.00, 0.00, 0.00, 100.00, 92.00, 0.12, 100.00, 112.00, 0.19, 100.00, 96.00, 0.02, 100.00, 92.00, 0.12
132941, 2, 100.00, 2.00, 0.99, -1.91, -0.09, 5.00, 0.00, 0.00, 100.00, 84.00, 0.19, 100.00, 104.00, 0.16, 100.00, 96.00, 0.00, 100.00, 92.00, 0.12
132951, 2, 100.00, 2.00, -0.76, -3.05, 0.36, 5.00, 0.00, 0.00, 100.00, 84.00, 0.79, 100.00, 92.00, 0.16, 100.00, 84.00, 0.28, 100.00, 88.00, 0.49
132964, 2, 100.00, 2.00, -2.30, -0.59, 0.02, 5.00, 0.00, 0.00, 100.00, 104.00, 0.12, 100.00, 88.00, 0.86, 100.00, 92.00, 0.86, 100.00, 88.00, 0.54
132971, 2, 100.00, 2.00, -0.10, 1.75, -0.65, 5.00, 0.00, 0.00, 100.00, 100.00, 0.09, 100.00, 100.00, 0.12, 100.00, 100.00, 0.04, 100.00, 88.00, 0.63
132981, 2, 100.00, 2.00, 0.80, 1.06, -0.46, 5.00, 0.00, 0.00, 100.00, 92.00, 0.09, 100.00, 100.00, 0.18, 100.00, 104.00, 0.07, 100.00, 92.00, 0.35
132991, 2, 100.00, 2.00, 0.62, -1.55, 0.14, 5.00, 0.00, 0.00, 100.00, 80.00, 0.72, 100.00, 92.00, 0.09, 100.00, 100.00, 0.05, 100.00, 92.00, 0.21
133005, 2, 100.00, 2.00, -1.24, -1.80, 0.43, 5.00, 0.00, 0.00, 100.00, 104.00, 0.11, 100.00, 84.00, 0.88, 100.00, 76.00, 0.96, 100.00, 88.00, 0.26
