timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
236191, 2, 100.00, 2.00, -0.33, -0.31, -0.04, 4.00, 0.00, 0.00, 100.00, 20.00, 2.79, 100.00, 4.00, 3.12, 100.00, 24.00, 2.58, 100.00, 72.00, 1.18
236212, 2, 100.00, 2.00, -0.89, 5.48, -0.29, 4.00, 0.00, 0.00, 100.00, 56.00, 2.12, 100.00, 140.00, 0.32, 100.00, 56.00, 1.74, 100.00, 52.00, 2.39
236221, 2, 100.00, 2.00, -0.41, 7.93, -0.52, 4.00, 0.00, 0.00, 100.00, 108.00, 0.58, 100.00, 148.00, 0.33, 100.00, 68.00, 1.82, 100.00, 68.00, 1.88
236231, 2, 100.00, 2.00, -0.19, 4.12, -0.64, 4.00, 0.00, 0.00, 100.00, 124.00, 0.19, 100.00, 124.00, 0.18, 100.00, 88.00, 0.40, 100.00, 108.00, 0.23
236241, 2, 100.00, 2.00, 0.14, 4.08, -0.68, 4.00, 0.00, 0.00, 100.00, 112.00, 0.05, 100.00, 124.00, 0.09, 100.00, 76.00, 0.51, 100.00, 112.00, 0.09
236251, 2, 100.00, 2.00, 0.58, -2.26, -0.41, 4.00, 0.00, 0.00, 100.00, 92.00, 0.09, 100.00, 100.00, 0.18, 100.00, 72.00, 1.07, 100.00, 100.00, 0.07
236261, 2, 100.00, 2.00, -1.01, -3.93, -0.10, 4.00, 0.00, 0.00, 100.00, 76.00, 0.33, 100.00, 64.00, 0.96, 100.00, 72.00, 1.23, 100.00, 88.00, 0.18
236271, 2, 100.00, 2.00, -1.66, 1.23, -0.57, 4.00, 0.00, 0.00, 100.00, 68.00, 1.21, 100.00, 72.00, 1.67, 100.00, 72.00, 1.40, 100.00, 72.00, 0.70
236281, 2, 100.00, 2.00, 0.56, 3.19, -0.88, 4.00, 0.00, 0.00, 100.00, 80.00, 1.26, 100.00, 104.00, 0.14, 100.00, 76.00, 1.28, 100.00, 64.00, 1.54
236291, 2, 100.00, 2.00, 1.38, 5.43, -0.66, 4.00, 0.00, 0.00, 100.00, 100.00, 0.09, 100.00, 104.00, 0.14, 100.00, 72.00, 1.05, 100.00, 96.00, 0.96
236301, 2, 100.00, 2.00, 0.68, 1.57, -0.05, 4.00, 0.00, 0.00, 100.00, 96.00, 0.04, 100.00, 96.00, 0.11, 100.00, 80.00, 1.02, 100.00, 100.00, 0.12
236311, 2, 100.00, 2.00, -1.92, -1.45, 0.28, 4.00, 0.00, 0.00, 100.00, 84.00, 0.39, 100.00, 84.00, 0.39, 100.00, 88.00, 0.40, 100.00, 96.00, 0.07
236321, 2, 100.00, 2.00, -1.50, -2.11, -0.36, 4.00, 0.00, 0.00, 100.00, 80.00, 0.81, 100.00, 76.00, 0.96, 100.00, 88.00, 0.09, 100.00, 80.00, 0.49
236331, 2, 100.00, 2.00, -0.02, 0.04, -0.69, 4.00, 0.00, 0.00, 100.00, 100.00, 0.16, 100.00, 112.00, 0.18, 100.00, 84.00, 0.37, 100.00, 80.00, 0.93
236341, 2, 100.00, 2.00, 1.25, 1.55, -0.38, 4.00, 0.00, 0.00, 100.00, 104.00, 0.11, 100.00, 108.00, 0.21, 100.00, 76.00, 0.79, 100.00, 88.00, 0.53
236351, 2, 100.00, 2.00, 0.72, 0.22, 0.26, 4.00, 0.00, 0.00, 100.00, 92.00, 0.09, 100.00, 96.00, 0.14, 100.00, 84.00, 0.72, 100.00, 100.00, 0.11
236361, 2, 100.00, 2.00, -2.00, -2.29, 0.51, 4.00, 0.00, 0.00, 100.00, 80.00, 0.28, 100.00, 84.00, 0.32, 100.00, 104.00, 0.09, 100.00, 96.00, 0.02
236371, 2, 100.00, 2.00, -1.73, -0.35, -0.24, 4.00, 0.00, 0.00, 100.00, 76.00, 1.07, 100.00, 72.00, 1.09, 100.00, 100.00, 0.05, 100.00, 84.00, 0.51
