timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
283411, 2, 100.00, 2.00, -0.34, -0.27, -0.05, 3.00, 0.00, 0.00, 100.00, 28.00, 2.49, 100.00, 24.00, 2.14, 100.00, 20.00, 2.70, 100.00, 24.00, 2.32
283431, 2, 100.00, 2.00, -0.62, 5.17, -0.21, 3.00, 0.00, 0.00, 100.00, 72.00, 1.68, 100.00, 116.00, 0.68, 100.00, 32.00, 1.89, 100.00, 72.00, 1.58
283441, 2, 100.00, 2.00, -0.25, 7.00, -0.30, 3.00, 0.00, 0.00, 100.00, 128.00, 0.21, 100.00, 156.00, 0.35, 100.00, 44.00, 1.86, 100.00, 120.00, 0.21
283451, 2, 100.00, 2.00, -0.35, 5.00, -0.24, 3.00, 0.00, 0.00, 100.00, 124.00, 0.12, 100.00, 132.00, 0.18, 100.00, 76.00, 1.09, 100.00, 116.00, 0.11
283461, 2, 100.00, 2.00, -0.82, 3.68, -0.40, 3.00, 0.00, 0.00, 100.00, 124.00, 0.07, 100.00, 132.00, 0.09, 100.00, 84.00, 0.28, 100.00, 96.00, 0.07
283471, 2, 100.00, 2.00, -0.80, 0.28, -0.78, 3.00, 0.00, 0.00, 100.00, 104.00, 0.12, 100.00, 104.00, 0.12, 100.00, 80.00, 0.32, 100.00, 96.00, 0.09
283481, 2, 100.00, 2.00, 0.77, -4.43, -0.88, 3.00, 0.00, 0.00, 100.00, 84.00, 0.35, 100.00, 80.00, 0.37, 100.00, 76.00, 0.53, 100.00, 64.00, 0.75
283491, 2, 100.00, 2.00, 0.55, -1.61, -0.40, 3.00, 0.00, 0.00, 100.00, 60.00, 1.18, 100.00, 64.00, 1.21, 100.00, 64.00, 0.95, 100.00, 60.00, 1.30
283501, 2, 100.00, 2.00, 0.65, 1.99, -0.06, 3.00, 0.00, 0.00, 100.00, 64.00, 1.39, 100.00, 64.00, 1.33, 100.00, 56.00, 1.33, 100.00, 72.00, 1.58
283511, 2, 100.00, 2.00, 0.08, 5.30, 0.27, 3.00, 0.00, 0.00, 100.00, 80.00, 0.95, 100.00, 92.00, 0.21, 100.00, 60.00, 1.42, 100.00, 76.00, 0.98
283521, 2, 100.00, 2.00, -1.52, 3.84, 0.37, 3.00, 0.00, 0.00, 100.00, 80.00, 0.49, 100.00, 100.00, 0.18, 100.00, 72.00, 1.09, 100.00, 80.00, 0.58
283531, 2, 100.00, 2.00, -1.39, 1.97, -0.14, 3.00, 0.00, 0.00, 100.00, 80.00, 0.42, 100.00, 92.00, 0.09, 100.00, 88.00, 0.39, 100.00, 80.00, 0.58
283541, 2, 100.00, 2.00, 0.16, -0.13, -0.59, 3.00, 0.00, 0.00, 100.00, 84.00, 0.33, 100.00, 84.00, 0.33, 100.00, 88.00, 0.12, 100.00, 84.00, 0.47
283551, 2, 100.00, 2.00, 0.31, -0.56, -0.56, 3.00, 0.00, 0.00, 100.00, 88.00, 0.14, 100.00, 76.00, 0.63, 100.00, 84.00, 0.25, 100.00, 84.00, 0.46
283561, 2, 100.00, 2.00, 0.68, -0.31, -0.32, 3.00, 0.00, 0.00, 100.00, 88.00, 0.07, 100.00, 92.00, 0.11, 100.00, 80.00, 0.44, 100.00, 84.00, 0.33
283571, 2, 100.00, 2.00, 0.40, -0.06, 0.13, 3.00, 0.00, 0.00, 100.00, 88.00, 0.25, 100.00, 104.00, 0.21, 100.00, 84.00, 0.28, 100.00, 84.00, 0.30
283581, 2, 100.00, 2.00, -0.97, -0.10, 0.50, 3.00, 0.00, 0.00, 100.00, 84.00, 0.30, 100.00, 96.00, 0.12, 100.00, 88.00, 0.11, 100.00, 88.00, 0.16
283591, 2, 100.00, 2.00, -1.60, -0.21, 0.15, 3.00, 0.00, 0.00, 100.00, 92.00, 0.16, 100.00, 88.00, 0.18, 100.00, 88.00, 0.07, 100.00, 88.00, 0.16
283601, 2, 100.00, 2.00, -0.97, -1.70, -0.46, 3.00, 0.00, 0.00, 100.00, 92.00, 0.04, 100.00, 76.00, 0.58, 100.00, 84.00, 0.19, 100.00, 84.00, 0.32
