timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
52585, 2, 100.00, 2.00, -0.33, -0.27, -0.04, 2.50, 0.00, 0.00, 100.00, 0.00, 2.39, 100.00, 0.00, 2.77, 100.00, 0.00, 2.14, 100.00, 0.00, 2.56
52614, 2, 100.00, 2.00, -0.46, 7.54, -0.11, 2.50, 0.00, 0.00, 100.00, 120.00, 0.23, 100.00, 140.00, 0.25, 100.00, 44.00, 1.77, 100.00, 52.00, 1.98
52619, 2, 100.00, 2.00, -0.31, 4.68, -0.24, 2.50, 0.00, 0.00, 100.00, 120.00, 0.14, 100.00, 144.00, 0.33, 100.00, 64.00, 1.74, 100.00, 76.00, 1.07
52645, 2, 100.00, 2.00, -0.25, 1.76, -0.12, 2.50, 0.00, 0.00, 100.00, 80.00, 0.02, 100.00, 96.00, 0.11, 100.00, 76.00, 0.54, 100.00, 88.00, 0.11
52655, 2, 100.00, 2.00, -0.90, -4.85, -0.21, 2.50, 0.00, 0.00, 100.00, 68.00, 0.58, 100.00, 76.00, 0.14, 100.00, 72.00, 0.74, 100.00, 76.00, 0.23
52665, 2, 100.00, 2.00, -1.81, -1.66, -0.54, 2.50, 0.00, 0.00, 100.00, 68.00, 0.96, 100.00, 64.00, 0.84, 100.00, 64.00, 0.95, 100.00, 68.00, 0.70
52679, 2, 100.00, 2.00, 1.96, 3.04, -0.44, 2.50, 0.00, 0.00, 100.00, 80.00, 0.51, 100.00, 80.00, 0.74, 100.00, 64.00, 1.16, 100.00, 64.00, 1.19
52685, 2, 100.00, 2.00, 1.96, 3.04, -0.44, 2.50, 0.00, 0.00, 100.00, 80.00, 0.47, 100.00, 88.00, 0.39, 100.00, 68.00, 1.09, 100.00, 72.00, 0.98
52695, 2, 100.00, 2.00, 1.01, 3.43, 0.43, 2.50, 0.00, 0.00, 100.00, 76.00, 0.53, 100.00, 88.00, 0.12, 100.00, 72.00, 0.88, 100.00, 80.00, 0.54
52705, 2, 100.00, 2.00, -1.49, 0.98, 0.59, 2.50, 0.00, 0.00, 100.00, 80.00, 0.53, 100.00, 84.00, 0.25, 100.00, 80.00, 0.58, 100.00, 80.00, 0.37
52719, 2, 100.00, 2.00, -1.15, 0.71, -0.59, 2.50, 0.00, 0.00, 100.00, 92.00, 0.09, 100.00, 80.00, 0.42, 100.00, 80.00, 0.33, 100.00, 80.00, 0.44
52725, 2, 100.00, 2.00, -1.15, 0.71, -0.59, 2.50, 0.00, 0.00, 100.00, 92.00, 0.02, 100.00, 84.00, 0.32, 100.00, 84.00, 0.28, 100.00, 80.00, 0.39
52735, 2, 100.00, 2.00, 0.26, -0.86, -0.63, 2.50, 0.00, 0.00, 100.00, 88.00, 0.09, 100.00, 92.00, 0.00, 100.00, 88.00, 0.16, 100.00, 84.00, 0.28
52748, 2, 100.00, 2.00, -0.27, -0.75, 0.36, 2.50, 0.00, 0.00, 100.00, 80.00, 0.39, 100.00, 92.00, 0.02, 100.00, 84.00, 0.14, 100.00, 88.00, 0.14
52755, 2, 100.00, 2.00, -0.27, -0.75, 0.36, 2.50, 0.00, 0.00, 100.00, 80.00, 0.40, 100.00, 88.00, 0.14, 100.00, 84.00, 0.14, 100.00, 88.00, 0.11
52765, 2, 100.00, 2.00, -0.72, -1.07, 0.21, 2.50, 0.00, 0.00, 100.00, 88.00, 0.09, 100.00, 80.00, 0.37, 100.00, 84.00, 0.19, 100.00, 84.00, 0.14
52775, 2, 100.00, 2.00, -1.17, -0.54, -0.19, 2.50, 0.00, 0.00, 100.00, 92.00, 0.00, 100.00, 88.00, 0.25, 100.00, 84.00, 0.19, 100.00, 84.00, 0.21
52788, 2, 100.00, 2.00, 0.43, 0.41, -0.34, 2.50, 0.00, 0.00, 100.00, 88.00, 0.16, 100.00, 92.00, 0.02, 100.00, 84.00, 0.16, 100.00, 80.00, 0.35
52795, 2, 100.00, 2.00, 0.43, 0.41, -0.34, 2.50, 0.00, 0.00, 100.00, 80.00, 0.30, 100.00, 88.00, 0.04, 100.00, 84.00, 0.18, 100.00, 84.00, 0.33
52805, 2, 100.00, 2.00, -0.22, -0.99, 0.01, 2.50, 0.00, 0.00, 100.00, 76.00, 0.44, 100.00, 84.00, 0.16, 100.00, 84.00, 0.21, 100.00, 84.00, 0.26
52819, 2, 100.00, 2.00, -0.95, 0.32, -0.30, 2.50, 0.00, 0.00, 100.00, 88.00, 0.18, 100.00, 80.00, 0.44, 100.00, 80.00, 0.30, 100.00, 84.00, 0.32
52825, 2, 100.00, 2.00, -0.95, 0.32, -0.30, 2.50, 0.00, 0.00, 100.00, 88.00, 0.09, 100.00, 88.00, 0.23, 100.00, 80.00, 0.30, 100.00, 80.00, 0.33
52835, 2, 100.00, 2.00, 0.14, 0.17, -0.57, 2.50, 0.00, 0.00, 100.00, 84.00, 0.16, 100.00, 92.00, 0.02, 100.00, 80.00, 0.28, 100.00, 80.00, 0.40
52845, 2, 100.00, 2.00, 0.20, -0.04, -0.29, 2.50, 0.00, 0.00, 100.00, 80.00, 0.33, 100.00, 88.00, 0.09, 100.00, 84.00, 0.28, 100.00, 84.00, 0.33
52859, 2, 100.00, 2.00, -0.80, -0.27, 0.02, 2.50, 0.00, 0.00, 100.00, 88.00, 0.26, 100.00, 76.00, 0.42, 100.00, 84.00, 0.23, 100.00, 84.00, 0.30
52865, 2, 100.00, 2.00, -0.80, -0.27, 0.02, 2.50, 0.00, 0.00, 100.00, 92.00, 0.12, 100.00, 80.00, 0.51, 100.00, 84.00, 0.26, 100.00, 84.00, 0.32
