timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
13970, 2, 100.00, 2.00, -0.34, -0.29, -0.04, 2.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.12, 100.00, 0.00, 0.00
13999, 2, 100.00, 2.00, -0.65, 7.59, -0.02, 2.00, 0.00, 0.00, 100.00, 124.00, 0.14, 100.00, 72.00, 1.42, 100.00, 56.00, 1.51, 100.00, 56.00, 1.56
14004, 2, 100.00, 2.00, -0.65, 7.59, -0.02, 2.00, 0.00, 0.00, 100.00, 132.00, 0.25, 100.00, 128.00, 0.19, 100.00, 68.00, 1.07, 100.00, 76.00, 0.75
14018, 2, 100.00, 2.00, 0.10, 2.63, -0.14, 2.00, 0.00, 0.00, 100.00, 112.00, 0.11, 100.00, 128.00, 0.11, 100.00, 80.00, 0.40, 100.00, 92.00, 0.05
14023, 2, 100.00, 2.00, 0.10, 2.63, -0.14, 2.00, 0.00, 0.00, 100.00, 112.00, 0.09, 100.00, 112.00, 0.09, 100.00, 80.00, 0.33, 100.00, 92.00, 0.02
14030, 2, 100.00, 2.00, -0.63, -0.19, -0.07, 2.00, 0.00, 0.00, 100.00, 112.00, 0.05, 100.00, 112.00, 0.09, 100.00, 72.00, 0.53, 100.00, 80.00, 0.05
14044, 2, 100.00, 2.00, -1.13, -3.71, -0.17, 2.00, 0.00, 0.00, 100.00, 72.00, 0.19, 100.00, 92.00, 0.00, 100.00, 60.00, 0.93, 100.00, 68.00, 0.53
14050, 2, 100.00, 2.00, -1.06, -0.42, -0.55, 2.00, 0.00, 0.00, 100.00, 72.00, 0.58, 100.00, 72.00, 0.35, 100.00, 56.00, 1.02, 100.00, 64.00, 0.67
14060, 2, 100.00, 2.00, 0.72, 1.65, -0.73, 2.00, 0.00, 0.00, 100.00, 56.00, 0.96, 100.00, 60.00, 0.93, 100.00, 60.00, 1.07, 100.00, 60.00, 1.16
14074, 2, 100.00, 2.00, 0.97, 3.64, -0.25, 2.00, 0.00, 0.00, 100.00, 72.00, 0.70, 100.00, 72.00, 0.88, 100.00, 60.00, 0.98, 100.00, 64.00, 0.98
