timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
18022, 2, 100.00, 2.00, -0.33, -0.29, -0.05, 2.20, 0.00, 0.00, 100.00, 0.00, 0.12, 100.00, 0.00, 0.12, 100.00, 0.00, 0.49, 100.00, 0.00, 0.12
18051, 2, 100.00, 2.00, -0.16, 7.26, -0.07, 2.20, 0.00, 0.00, 100.00, 100.00, 0.56, 100.00, 128.00, 0.26, 100.00, 44.00, 1.91, 100.00, 80.00, 0.98
18057, 2, 100.00, 2.00, -0.16, 7.26, -0.07, 2.20, 0.00, 0.00, 100.00, 132.00, 0.25, 100.00, 140.00, 0.30, 100.00, 64.00, 1.47, 100.00, 104.00, 0.21
18082, 2, 100.00, 2.00, -0.90, 0.62, -0.29, 2.20, 0.00, 0.00, 100.00, 104.00, 0.07, 100.00, 116.00, 0.11, 100.00, 76.00, 0.46, 100.00, 88.00, 0.09
18092, 2, 100.00, 2.00, -0.09, -5.56, -0.43, 2.20, 0.00, 0.00, 100.00, 84.00, 0.12, 100.00, 92.00, 0.05, 100.00, 68.00, 0.68, 100.00, 76.00, 0.26
18102, 2, 100.00, 2.00, -0.14, -0.92, -0.30, 2.20, 0.00, 0.00, 100.00, 68.00, 0.53, 100.00, 72.00, 0.72, 100.00, 64.00, 0.82, 100.00, 68.00, 0.82
18116, 2, 100.00, 2.00, 0.50, 1.92, -0.09, 2.20, 0.00, 0.00, 100.00, 56.00, 1.09, 100.00, 64.00, 1.16, 100.00, 56.00, 1.25, 100.00, 56.00, 1.33
18122, 2, 100.00, 2.00, 0.48, 4.46, 0.14, 2.20, 0.00, 0.00, 100.00, 68.00, 0.98, 100.00, 72.00, 1.00, 100.00, 56.00, 1.21, 100.00, 56.00, 1.28
18132, 2, 100.00, 2.00, -1.18, 2.65, 0.27, 2.20, 0.00, 0.00, 100.00, 76.00, 0.65, 100.00, 76.00, 0.60, 100.00, 64.00, 1.04, 100.00, 68.00, 0.96
18142, 2, 100.00, 2.00, -0.80, 2.48, -0.10, 2.20, 0.00, 0.00, 100.00, 80.00, 0.40, 100.00, 76.00, 0.47, 100.00, 68.00, 0.84, 100.00, 72.00, 0.72
18156, 2, 100.00, 2.00, -0.37, 0.71, -0.30, 2.20, 0.00, 0.00, 100.00, 80.00, 0.30, 100.00, 80.00, 0.46, 100.00, 80.00, 0.37, 100.00, 80.00, 0.40
18162, 2, 100.00, 2.00, -0.17, 0.60, -0.41, 2.20, 0.00, 0.00, 100.00, 84.00, 0.25, 100.00, 80.00, 0.39, 100.00, 80.00, 0.30, 100.00, 80.00, 0.30
18172, 2, 100.00, 2.00, -0.04, -0.33, -0.32, 2.20, 0.00, 0.00, 100.00, 88.00, 0.09, 100.00, 84.00, 0.21, 100.00, 84.00, 0.21, 100.00, 80.00, 0.28
18185, 2, 100.00, 2.00, 0.07, -0.50, -0.11, 2.20, 0.00, 0.00, 100.00, 84.00, 0.02, 100.00, 84.00, 0.11, 100.00, 84.00, 0.16, 100.00, 84.00, 0.18
