timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
33025, 2, 100.00, 2.00, -0.34, -0.30, -0.04, 1.32, 52.80, 0.01, 100.00, 0.00, 0.32, 100.00, 0.00, 0.54, 100.00, 0.00, 0.49, 100.00, 0.00, 0.53
33054, 2, 100.00, 2.00, 0.29, 5.73, 0.01, 1.32, 52.80, 0.01, 100.00, 8.00, 1.14, 100.00, 0.00, 1.42, 100.00, 4.00, 1.23, 100.00, 4.00, 1.21
33059, 2, 100.00, 2.00, -0.50, 3.68, 0.26, 1.32, 52.80, 0.01, 100.00, 8.00, 1.14, 100.00, 4.00, 1.49, 100.00, 4.00, 1.21, 100.00, 4.00, 1.21
33073, 2, 100.00, 2.00, -1.18, 1.99, 0.13, 1.32, 52.80, 0.01, 100.00, 28.00, 0.70, 100.00, 12.00, 1.16, 100.00, 12.00, 0.98, 100.00, 16.00, 1.11
33078, 2, 100.00, 2.00, -1.18, 1.99, 0.13, 1.32, 52.80, 0.01, 100.00, 28.00, 0.58, 100.00, 12.00, 1.12, 100.00, 20.00, 0.91, 100.00, 24.00, 1.04
33085, 2, 100.00, 2.00, -0.39, 3.86, -0.18, 1.32, 52.80, 0.01, 100.00, 40.00, 0.46, 100.00, 20.00, 0.84, 100.00, 20.00, 0.74, 100.00, 24.00, 0.79
33099, 2, 100.00, 2.00, 0.05, 0.61, -0.10, 1.32, 52.80, 0.01, 100.00, 48.00, 0.18, 100.00, 32.00, 0.58, 100.00, 44.00, 0.33, 100.00, 44.00, 0.42
33105, 2, 100.00, 2.00, 0.05, 0.61, -0.10, 1.32, 52.80, 0.01, 100.00, 52.00, 0.09, 100.00, 44.00, 0.37, 100.00, 44.00, 0.25, 100.00, 44.00, 0.25
33115, 2, 100.00, 2.00, -0.35, 0.25, -0.08, 1.32, 52.80, 0.01, 100.00, 52.00, 0.09, 100.00, 52.00, 0.18, 100.00, 52.00, 0.16, 100.00, 48.00, 0.18
33125, 2, 100.00, 2.00, -0.47, -0.54, -0.11, 1.32, 52.80, 0.01, 100.00, 56.00, 0.05, 100.00, 56.00, 0.09, 100.00, 56.00, 0.05, 100.00, 52.00, 0.09
