timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
45601, 2, 100.00, 2.00, -0.34, -0.26, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45642, 2, 100.00, 2.00, -0.36, -0.28, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45651, 2, 100.00, 2.00, -0.35, -0.26, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45677, 2, 100.00, 2.00, -0.35, -0.28, -0.04, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45682, 2, 100.00, 2.00, -0.35, -0.28, -0.04, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45691, 2, 100.00, 2.00, -0.35, -0.28, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45705, 2, 100.00, 2.00, -0.34, -0.29, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45711, 2, 100.00, 2.00, -0.35, -0.28, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45721, 2, 100.00, 2.00, -0.35, -0.28, -0.04, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45731, 2, 100.00, 2.00, -0.33, -0.27, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45744, 2, 100.00, 2.00, -0.34, -0.29, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45751, 2, 100.00, 2.00, -0.35, -0.27, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45761, 2, 100.00, 2.00, -0.36, -0.27, -0.04, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45774, 2, 100.00, 2.00, -0.36, -0.29, -0.04, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45781, 2, 100.00, 2.00, -0.34, -0.28, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45791, 2, 100.00, 2.00, -0.36, -0.27, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45801, 2, 100.00, 2.00, -0.37, -0.27, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45815, 2, 100.00, 2.00, -0.37, -0.28, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45821, 2, 100.00, 2.00, -0.35, -0.26, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45831, 2, 100.00, 2.00, -0.36, -0.26, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45845, 2, 100.00, 2.00, -0.35, -0.26, -0.04, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45851, 2, 100.00, 2.00, -0.36, -0.28, -0.03, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45861, 2, 100.00, 2.00, -0.35, -0.27, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45871, 2, 100.00, 2.00, -0.35, -0.27, -0.04, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45884, 2, 100.00, 2.00, -0.35, -0.26, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45891, 2, 100.00, 2.00, -0.36, -0.27, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45901, 2, 100.00, 2.00, -0.36, -0.26, -0.04, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45914, 2, 100.00, 2.00, -0.36, -0.27, -0.04, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45921, 2, 100.00, 2.00, -0.36, -0.27, -0.04, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45931, 2, 100.00, 2.00, -0.35, -0.27, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45941, 2, 100.00, 2.00, -0.35, -0.27, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
45955, 2, 100.00, 2.00, -0.35, -0.27, -0.05, 0.73, 29.04, 0.01, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00, 100.00, 0.00, 0.00
