timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
35727, 0, 0.36, 2.00, -0.20, -0.20, -0.05, 1.32, 52.80, 0.01, 0.34, 0.00, 2.09, 0.34, 0.00, 2.19, 0.34, 1.00, 1.93, 0.34, 1.00, 1.96
35756, 0, 0.36, 2.00, -0.24, 6.79, -0.14, 1.32, 52.80, 0.01, 0.34, 0.54, 0.33, 0.34, 0.51, 1.02, 0.34, 0.28, 1.60, 0.34, 0.44, 1.11
35762, 0, 0.36, 2.00, -0.32, 4.42, -0.11, 1.32, 52.80, 0.01, 0.34, 0.55, 0.11, 0.34, 0.55, 0.18, 0.34, 0.41, 1.12, 0.34, 0.51, 0.39
35775, 0, 0.36, 2.00, -0.08, 3.39, -0.23, 1.32, 52.80, 0.01, 0.34, 0.48, 0.14, 0.34, 0.51, 0.21, 0.34, 0.42, 1.25, 0.34, 0.49, 0.46
35781, 0, 0.36, 2.00, -0.35, 5.47, -0.27, 1.32, 52.80, 0.01, 0.34, 0.42, 0.35, 0.34, 0.44, 0.32, 0.34, 0.41, 1.32, 0.34, 0.44, 0.61
35787, 0, 0.36, 2.00, -0.20, 2.66, -0.24, 1.32, 52.80, 0.01, 0.34, 0.37, 0.12, 0.34, 0.44, 0.23, 0.34, 0.38, 1.51, 0.34, 0.38, 0.65
35797, 0, 0.36, 2.00, -0.31, 0.61, -0.39, 1.32, 52.80, 0.01, 0.34, 0.31, 0.75, 0.34, 0.31, 0.67, 0.34, 0.34, 1.54, 0.34, 0.32, 1.18
35811, 0, 0.36, 2.00, 0.30, 2.72, -0.43, 1.32, 52.80, 0.01, 0.34, 0.30, 0.70, 0.34, 0.28, 1.09, 0.34, 0.37, 1.35, 0.34, 0.31, 1.00
35817, 0, 0.36, 2.00, 0.05, 3.88, -0.22, 1.32, 52.80, 0.01, 0.34, 0.32, 0.49, 0.34, 0.32, 0.86, 0.34, 0.38, 1.23, 0.34, 0.34, 0.86
35827, 0, 0.36, 2.00, -0.24, 3.07, -0.07, 1.32, 52.80, 0.01, 0.34, 0.35, 0.42, 0.34, 0.35, 0.68, 0.34, 0.38, 1.25, 0.34, 0.37, 0.82
35841, 0, 0.36, 2.00, -0.27, 0.28, -0.05, 1.32, 52.80, 0.01, 0.34, 0.37, 0.25, 0.34, 0.38, 0.49, 0.34, 0.38, 1.07, 0.34, 0.38, 0.60
35847, 0, 0.36, 2.00, -0.56, 1.63, -0.11, 1.32, 52.80, 0.01, 0.34, 0.38, 0.18, 0.34, 0.38, 0.42, 0.34, 0.39, 0.89, 0.34, 0.39, 0.47
35857, 0, 0.36, 2.00, -0.53, 1.12, -0.21, 1.32, 52.80, 0.01, 0.34, 0.39, 0.05, 0.34, 0.39, 0.18, 0.34, 0.41, 0.79, 0.34, 0.41, 0.25
35867, 0, 0.36, 2.00, -0.43, -0.49, -0.32, 1.32, 52.80, 0.01, 0.34, 0.39, 0.00, 0.34, 0.39, 0.11, 0.34, 0.41, 0.63, 0.34, 0.41, 0.16
35880, 0, 0.36, 2.00, -0.15, -1.04, -0.30, 1.32, 52.80, 0.01, 0.34, 0.38, 0.02, 0.34, 0.39, 0.02, 0.34, 0.41, 0.40, 0.34, 0.41, 0.02
