timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
40188, 0, 0.50, 2.00, -0.30, -0.26, -0.05, 500.00, 0.00, 0.00, 0.49, 0.00, 0.00, 0.49, 0.00, 0.00, 0.49, 0.00, 0.00, 0.49, 0.00, 0.00
40216, 0, 0.50, 2.00, 0.02, 3.81, 0.01, 500.00, 0.00, 0.00, 0.49, 0.34, 1.30, 0.49, 0.51, 1.02, 0.49, 0.34, 1.42, 0.49, 0.31, 1.89
40221, 0, 0.50, 2.00, 0.26, 5.95, 0.17, 500.00, 0.00, 0.00, 0.49, 0.51, 0.19, 0.49, 0.55, 0.25, 0.49, 0.45, 0.39, 0.49, 0.39, 1.21
40236, 0, 0.50, 2.00, -0.18, 3.86, 0.37, 500.00, 0.00, 0.00, 0.49, 0.45, 0.25, 0.49, 0.46, 0.23, 0.49, 0.46, 0.05, 0.49, 0.41, 0.30
40241, 0, 0.50, 2.00, 0.15, 2.62, 0.41, 500.00, 0.00, 0.00, 0.49, 0.45, 0.05, 0.49, 0.46, 0.04, 0.49, 0.42, 0.07, 0.49, 0.38, 0.51
40248, 0, 0.50, 2.00, -0.96, 2.88, 0.41, 500.00, 0.00, 0.00, 0.49, 0.45, 0.09, 0.49, 0.46, 0.11, 0.49, 0.42, 0.30, 0.49, 0.34, 0.67
40258, 0, 0.50, 2.00, -1.18, -1.53, 0.00, 500.00, 0.00, 0.00, 0.49, 0.38, 0.68, 0.49, 0.37, 0.82, 0.49, 0.35, 0.91, 0.49, 0.30, 1.05
40272, 0, 0.50, 2.00, -0.22, -0.11, -0.36, 500.00, 0.00, 0.00, 0.49, 0.25, 1.39, 0.49, 0.24, 1.51, 0.49, 0.24, 1.40, 0.49, 0.25, 1.42
40278, 0, 0.50, 2.00, -0.07, 4.77, -0.32, 500.00, 0.00, 0.00, 0.49, 0.27, 1.37, 0.49, 0.28, 1.47, 0.49, 0.24, 1.51, 0.49, 0.25, 1.51
40288, 0, 0.50, 2.00, -0.28, 4.28, -0.21, 500.00, 0.00, 0.00, 0.49, 0.39, 0.63, 0.49, 0.39, 0.58, 0.49, 0.30, 1.30, 0.49, 0.31, 1.19
