timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
14377, 0, 0.50, 2.00, -0.36, -0.36, -0.05, 550.00, 0.00, 0.00, 0.49, 0.00, 2.00, 0.49, 0.00, 3.04, 0.49, 0.00, 2.49, 0.49, 0.00, 3.32
14405, 0, 0.50, 2.00, 0.13, 5.14, 0.30, 550.00, 0.00, 0.00, 0.49, 0.52, 0.35, 0.49, 0.56, 0.28, 0.49, 0.51, 0.30, 0.49, 0.39, 1.53
14410, 0, 0.50, 2.00, 0.13, 5.14, 0.30, 550.00, 0.00, 0.00, 0.49, 0.52, 0.26, 0.49, 0.56, 0.37, 0.49, 0.52, 0.26, 0.49, 0.42, 0.58
14436, 0, 0.50, 2.00, -1.25, -0.71, 0.44, 550.00, 0.00, 0.00, 0.49, 0.34, 0.47, 0.49, 0.37, 0.70, 0.49, 0.39, 0.63, 0.49, 0.34, 0.77
14441, 0, 0.50, 2.00, -1.25, -0.71, 0.44, 550.00, 0.00, 0.00, 0.49, 0.34, 1.05, 0.49, 0.30, 0.84, 0.49, 0.31, 0.61, 0.49, 0.30, 1.04
14447, 0, 0.50, 2.00, -0.83, -1.28, -0.06, 550.00, 0.00, 0.00, 0.49, 0.28, 1.25, 0.49, 0.27, 1.37, 0.49, 0.31, 1.11, 0.49, 0.30, 1.19
14457, 0, 0.50, 2.00, 0.53, 2.83, -0.18, 550.00, 0.00, 0.00, 0.49, 0.27, 1.42, 0.49, 0.28, 1.68, 0.49, 0.25, 1.46, 0.49, 0.24, 1.67
14471, 0, 0.50, 2.00, -0.30, 4.26, 0.12, 550.00, 0.00, 0.00, 0.49, 0.45, 0.11, 0.49, 0.35, 1.02, 0.49, 0.37, 0.98, 0.49, 0.34, 1.09
14477, 0, 0.50, 2.00, -0.13, 5.13, 0.24, 550.00, 0.00, 0.00, 0.49, 0.46, 0.05, 0.49, 0.38, 0.72, 0.49, 0.38, 0.68, 0.49, 0.37, 0.93
14487, 0, 0.50, 2.00, -0.45, 2.45, 0.24, 550.00, 0.00, 0.00, 0.49, 0.42, 0.05, 0.49, 0.38, 0.68, 0.49, 0.37, 0.60, 0.49, 0.38, 0.56
14501, 0, 0.50, 2.00, -0.25, 0.82, 0.14, 550.00, 0.00, 0.00, 0.49, 0.34, 0.77, 0.49, 0.37, 0.79, 0.49, 0.35, 0.82, 0.49, 0.37, 0.67
14507, 0, 0.50, 2.00, -0.19, -0.13, -0.01, 550.00, 0.00, 0.00, 0.49, 0.35, 0.84, 0.49, 0.37, 0.79, 0.49, 0.35, 0.84, 0.49, 0.37, 0.74
14517, 0, 0.50, 2.00, -0.93, 1.84, -0.21, 550.00, 0.00, 0.00, 0.49, 0.42, 0.42, 0.49, 0.38, 0.68, 0.49, 0.38, 0.63, 0.49, 0.38, 0.65
14527, 0, 0.50, 2.00, -0.44, 1.82, -0.46, 550.00, 0.00, 0.00, 0.49, 0.45, 0.00, 0.49, 0.38, 0.58, 0.49, 0.39, 0.44, 0.49, 0.39, 0.42
14540, 0, 0.50, 2.00, 0.09, 0.14, -0.40, 550.00, 0.00, 0.00, 0.49, 0.39, 0.30, 0.49, 0.41, 0.42, 0.49, 0.41, 0.32, 0.49, 0.41, 0.32
