timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
14143, 0, 0.50, 2.00, -0.31, -0.31, -0.04, 550.00, 0.00, 0.00, 0.49, 0.00, 1.82, 0.49, 0.00, 1.98, 0.49, 0.00, 2.02, 0.49, 0.00, 2.19
14171, 0, 0.50, 2.00, -0.66, 7.24, -0.24, 550.00, 0.00, 0.00, 0.49, 0.45, 0.74, 0.49, 0.54, 0.26, 0.49, 0.18, 1.67, 0.49, 0.37, 1.51
14176, 0, 0.50, 2.00, -0.66, 7.24, -0.24, 550.00, 0.00, 0.00, 0.49, 0.54, 0.25, 0.49, 0.55, 0.39, 0.49, 0.24, 1.81, 0.49, 0.39, 0.63
14191, 0, 0.50, 2.00, -0.39, 3.94, -0.52, 550.00, 0.00, 0.00, 0.49, 0.46, 0.04, 0.49, 0.45, 0.21, 0.49, 0.34, 1.05, 0.49, 0.38, 0.63
14196, 0, 0.50, 2.00, -0.39, 3.94, -0.52, 550.00, 0.00, 0.00, 0.49, 0.46, 0.00, 0.49, 0.45, 0.11, 0.49, 0.34, 1.07, 0.49, 0.35, 0.67
14203, 0, 0.50, 2.00, 0.05, 1.91, -0.47, 550.00, 0.00, 0.00, 0.49, 0.38, 0.58, 0.49, 0.37, 0.46, 0.49, 0.32, 1.07, 0.49, 0.31, 0.96
14213, 0, 0.50, 2.00, 0.18, -0.37, -0.37, 550.00, 0.00, 0.00, 0.49, 0.28, 1.07, 0.49, 0.31, 1.16, 0.49, 0.30, 1.16, 0.49, 0.30, 1.25
14227, 0, 0.50, 2.00, 0.20, 1.50, -0.04, 550.00, 0.00, 0.00, 0.49, 0.37, 1.05, 0.49, 0.38, 1.11, 0.49, 0.28, 1.28, 0.49, 0.32, 1.30
14233, 0, 0.50, 2.00, -0.28, 4.77, 0.16, 550.00, 0.00, 0.00, 0.49, 0.42, 0.51, 0.49, 0.44, 0.33, 0.49, 0.28, 1.42, 0.49, 0.35, 1.14
14243, 0, 0.50, 2.00, -0.45, 3.90, 0.14, 550.00, 0.00, 0.00, 0.49, 0.44, 0.05, 0.49, 0.46, 0.18, 0.49, 0.32, 1.18, 0.49, 0.35, 0.86
14256, 0, 0.50, 2.00, -0.99, 0.46, -0.01, 550.00, 0.00, 0.00, 0.49, 0.38, 0.49, 0.49, 0.39, 0.37, 0.49, 0.37, 0.79, 0.49, 0.35, 0.84
14263, 0, 0.50, 2.00, -0.49, 0.55, -0.40, 550.00, 0.00, 0.00, 0.49, 0.34, 0.75, 0.49, 0.34, 0.75, 0.49, 0.38, 0.61, 0.49, 0.38, 0.68
14273, 0, 0.50, 2.00, 0.01, 0.51, -0.41, 550.00, 0.00, 0.00, 0.49, 0.39, 0.63, 0.49, 0.38, 0.82, 0.49, 0.38, 0.54, 0.49, 0.38, 0.53
14283, 0, 0.50, 2.00, 0.42, 1.59, -0.25, 550.00, 0.00, 0.00, 0.49, 0.45, 0.04, 0.49, 0.46, 0.05, 0.49, 0.38, 0.53, 0.49, 0.37, 0.61
14296, 0, 0.50, 2.00, -0.16, 0.00, -0.11, 550.00, 0.00, 0.00, 0.49, 0.41, 0.12, 0.49, 0.41, 0.04, 0.49, 0.41, 0.32, 0.49, 0.41, 0.40
14303, 0, 0.50, 2.00, -0.21, -0.33, -0.16, 550.00, 0.00, 0.00, 0.49, 0.38, 0.37, 0.49, 0.37, 0.40, 0.49, 0.41, 0.23, 0.49, 0.41, 0.30
14313, 0, 0.50, 2.00, -0.80, -1.04, -0.24, 550.00, 0.00, 0.00, 0.49, 0.37, 0.63, 0.49, 0.37, 0.77, 0.49, 0.41, 0.23, 0.49, 0.41, 0.25
14323, 0, 0.50, 2.00, -0.23, 0.10, -0.30, 550.00, 0.00, 0.00, 0.49, 0.45, 0.09, 0.49, 0.46, 0.14, 0.49, 0.39, 0.37, 0.49, 0.39, 0.42
14337, 0, 0.50, 2.00, -0.21, 0.99, -0.21, 550.00, 0.00, 0.00, 0.49, 0.42, 0.02, 0.49, 0.45, 0.05, 0.49, 0.39, 0.39, 0.49, 0.39, 0.42
14343, 0, 0.50, 2.00, -0.61, -1.30, -0.16, 550.00, 0.00, 0.00, 0.49, 0.39, 0.19, 0.49, 0.41, 0.19, 0.49, 0.41, 0.32, 0.49, 0.39, 0.40
14353, 0, 0.50, 2.00, -0.70, -0.18, -0.24, 550.00, 0.00, 0.00, 0.49, 0.37, 0.58, 0.49, 0.37, 0.72, 0.49, 0.41, 0.18, 0.49, 0.41, 0.23
14363, 0, 0.50, 2.00, -0.26, -0.02, -0.31, 550.00, 0.00, 0.00, 0.49, 0.41, 0.39, 0.49, 0.42, 0.42, 0.49, 0.39, 0.25, 0.49, 0.39, 0.30
