timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
16970, 0, 0.50, 2.00, -0.33, -0.24, -0.05, 5.00, 0.00, 0.00, 0.48, 0.00, 1.67, 0.48, 0.00, 2.74, 0.48, 0.00, 2.33, 0.48, 0.00, 2.53
16999, 0, 0.50, 2.00, -0.41, 6.78, 0.08, 5.00, 0.00, 0.00, 0.48, 0.49, 0.40, 0.48, 0.51, 0.61, 0.48, 0.38, 1.14, 0.48, 0.34, 1.32
17005, 0, 0.50, 2.00, -0.41, 6.78, 0.08, 5.00, 0.00, 0.00, 0.48, 0.54, 0.32, 0.48, 0.54, 0.33, 0.48, 0.38, 0.58, 0.48, 0.38, 0.61
17019, 0, 0.50, 2.00, -0.34, 4.74, -0.06, 5.00, 0.00, 0.00, 0.48, 0.46, 0.05, 0.48, 0.46, 0.16, 0.48, 0.35, 0.93, 0.48, 0.38, 0.77
17024, 0, 0.50, 2.00, -0.34, 4.74, -0.06, 5.00, 0.00, 0.00, 0.48, 0.46, 0.02, 0.48, 0.46, 0.00, 0.48, 0.31, 0.84, 0.48, 0.34, 0.82
17030, 0, 0.50, 2.00, -0.19, 1.44, -0.08, 5.00, 0.00, 0.00, 0.48, 0.38, 0.33, 0.48, 0.38, 0.09, 0.48, 0.31, 1.12, 0.48, 0.34, 1.04
17040, 0, 0.50, 2.00, -0.31, -1.62, -0.11, 5.00, 0.00, 0.00, 0.48, 0.31, 0.79, 0.48, 0.31, 0.70, 0.48, 0.27, 1.19, 0.48, 0.28, 1.23
17054, 0, 0.50, 2.00, -0.36, 2.05, -0.22, 5.00, 0.00, 0.00, 0.48, 0.30, 1.26, 0.48, 0.31, 1.33, 0.48, 0.30, 1.42, 0.48, 0.27, 1.30
17060, 0, 0.50, 2.00, -0.15, 4.42, -0.29, 5.00, 0.00, 0.00, 0.48, 0.35, 0.88, 0.48, 0.37, 0.96, 0.48, 0.30, 1.30, 0.48, 0.32, 1.26
17070, 0, 0.50, 2.00, 0.27, 3.68, -0.29, 5.00, 0.00, 0.00, 0.48, 0.45, 0.02, 0.48, 0.45, 0.02, 0.48, 0.31, 1.07, 0.48, 0.32, 1.04
