timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
17957, 0, 0.50, 2.00, -0.31, -0.31, -0.04, 4.50, 0.00, 0.00, 0.48, 0.00, 2.60, 0.48, 0.00, 3.25, 0.48, 0.00, 2.51, 0.48, 0.00, 2.63
17985, 0, 0.50, 2.00, 0.09, 5.83, 0.17, 4.50, 0.00, 0.00, 0.48, 0.52, 0.25, 0.48, 0.52, 0.25, 0.48, 0.39, 1.32, 0.48, 0.44, 1.07
17991, 0, 0.50, 2.00, 0.09, 5.83, 0.17, 4.50, 0.00, 0.00, 0.48, 0.52, 0.28, 0.48, 0.54, 0.35, 0.48, 0.39, 0.44, 0.48, 0.45, 0.05
18025, 0, 0.50, 2.00, -0.70, -1.64, -0.34, 4.50, 0.00, 0.00, 0.48, 0.28, 0.89, 0.48, 0.34, 0.95, 0.48, 0.27, 1.04, 0.48, 0.28, 1.02
18030, 0, 0.50, 2.00, -0.70, -1.64, -0.34, 4.50, 0.00, 0.00, 0.48, 0.25, 1.12, 0.48, 0.25, 1.02, 0.48, 0.24, 1.23, 0.48, 0.25, 1.23
18037, 0, 0.50, 2.00, 0.02, 2.46, -0.50, 4.50, 0.00, 0.00, 0.48, 0.28, 1.23, 0.48, 0.25, 1.26, 0.48, 0.24, 1.39, 0.48, 0.24, 1.42
18047, 0, 0.50, 2.00, 0.29, 4.63, -0.28, 4.50, 0.00, 0.00, 0.48, 0.38, 0.65, 0.48, 0.37, 0.84, 0.48, 0.27, 1.46, 0.48, 0.27, 1.25
18061, 0, 0.50, 2.00, 0.17, 3.86, -0.12, 4.50, 0.00, 0.00, 0.48, 0.41, 0.28, 0.48, 0.42, 0.09, 0.48, 0.32, 0.98, 0.48, 0.31, 0.98
18067, 0, 0.50, 2.00, 0.00, 2.69, -0.08, 4.50, 0.00, 0.00, 0.48, 0.37, 0.37, 0.48, 0.39, 0.19, 0.48, 0.34, 0.88, 0.48, 0.32, 0.89
18077, 0, 0.50, 2.00, -0.48, 0.24, -0.10, 4.50, 0.00, 0.00, 0.48, 0.35, 0.54, 0.48, 0.35, 0.47, 0.48, 0.35, 0.67, 0.48, 0.35, 0.70
18087, 0, 0.50, 2.00, -0.87, 1.10, -0.17, 4.50, 0.00, 0.00, 0.48, 0.35, 0.58, 0.48, 0.35, 0.67, 0.48, 0.35, 0.58, 0.48, 0.37, 0.51
