timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
14204, 1, 50.00, 2.00, -0.32, -0.22, -0.04, 5.00, 0.00, 0.00, 50.00, 0.00, 0.00, 50.00, 0.00, 0.00, 50.00, 0.00, 0.00, 50.00, 0.00, 0.00
14232, 1, 50.00, 2.00, -0.03, 3.52, -0.14, 5.00, 0.00, 0.00, 50.00, 100.00, 1.02, 50.00, 82.00, 0.84, 50.00, 68.00, 0.68, 50.00, 82.00, 0.84
14237, 1, 50.00, 2.00, 0.59, 2.77, 0.02, 5.00, 0.00, 0.00, 50.00, 36.00, 0.37, 50.00, 84.00, 0.86, 50.00, 88.00, 0.89, 50.00, 96.00, 0.96
14260, 1, 50.00, 2.00, -0.48, 1.82, -0.23, 5.00, 0.00, 0.00, 50.00, 48.00, 0.49, 50.00, 88.00, 0.89, 50.00, 88.00, 0.91, 50.00, 88.00, 0.89
14266, 1, 50.00, 2.00, 0.09, 2.12, -0.24, 5.00, 0.00, 0.00, 50.00, 44.00, 0.46, 50.00, 32.00, 0.33, 50.00, 54.00, 0.54, 50.00, 76.00, 0.79
14274, 1, 50.00, 2.00, -0.21, 1.21, -0.08, 5.00, 0.00, 0.00, 50.00, 46.00, 0.46, 50.00, 36.00, 0.37, 50.00, 76.00, 0.79, 50.00, 42.00, 0.42
14288, 1, 50.00, 2.00, -0.38, 1.63, -0.09, 5.00, 0.00, 0.00, 50.00, 100.00, 1.04, 50.00, 22.00, 0.23, 50.00, 56.00, 0.58, 50.00, 52.00, 0.54
14294, 1, 50.00, 2.00, 0.01, 2.43, -0.15, 5.00, 0.00, 0.00, 50.00, 78.00, 0.81, 50.00, 74.00, 0.75, 50.00, 38.00, 0.39, 50.00, 36.00, 0.37
14304, 1, 50.00, 2.00, -0.23, 1.22, -0.06, 5.00, 0.00, 0.00, 50.00, 80.00, 0.82, 50.00, 22.00, 0.23, 50.00, 52.00, 0.54, 50.00, 34.00, 0.35
14314, 1, 50.00, 2.00, -0.02, 1.75, -0.15, 5.00, 0.00, 0.00, 50.00, 24.00, 0.25, 50.00, 82.00, 0.84, 50.00, 72.00, 0.74, 50.00, 84.00, 0.84
14327, 1, 50.00, 2.00, -0.20, 1.54, -0.07, 5.00, 0.00, 0.00, 50.00, 82.00, 0.84, 50.00, 44.00, 0.44, 50.00, 84.00, 0.84, 50.00, 32.00, 0.33
14334, 1, 50.00, 2.00, -0.57, 1.36, -0.05, 5.00, 0.00, 0.00, 50.00, 82.00, 0.84, 50.00, 36.00, 0.39, 50.00, 46.00, 0.88, 50.00, 38.00, 0.39
14344, 1, 50.00, 2.00, -0.40, 1.57, -0.14, 5.00, 0.00, 0.00, 50.00, 74.00, 0.75, 50.00, 72.00, 0.74, 50.00, 76.00, 0.77, 50.00, 34.00, 0.35
14354, 1, 50.00, 2.00, -0.34, 1.99, -0.13, 5.00, 0.00, 0.00, 50.00, 38.00, 0.39, 50.00, 80.00, 0.82, 50.00, 32.00, 0.33, 50.00, 78.00, 0.81
14367, 1, 50.00, 2.00, -0.50, 0.99, -0.11, 5.00, 0.00, 0.00, 50.00, 18.00, 0.19, 50.00, 68.00, 0.70, 50.00, 78.00, 0.81, 50.00, 70.00, 0.72
14374, 1, 50.00, 2.00, -0.31, 1.13, -0.16, 5.00, 0.00, 0.00, 50.00, 70.00, 0.72, 50.00, 86.00, 0.88, 50.00, 88.00, 0.89, 50.00, 16.00, 0.16
14384, 1, 50.00, 2.00, -0.21, 1.75, -0.24, 5.00, 0.00, 0.00, 50.00, 20.00, 0.21, 50.00, 50.00, 0.53, 50.00, 36.00, 0.35, 50.00, 60.00, 0.61
14398, 1, 50.00, 2.00, 0.06, 0.80, -0.22, 5.00, 0.00, 0.00, 50.00, 22.00, 0.21, 50.00, 72.00, 0.74, 50.00, 56.00, 0.56, 50.00, 86.00, 0.88
14404, 1, 50.00, 2.00, -0.21, 1.05, -0.09, 5.00, 0.00, 0.00, 50.00, 68.00, 0.70, 50.00, 82.00, 0.84, 50.00, 74.00, 0.77, 50.00, 26.00, 0.28
14414, 1, 50.00, 2.00, -0.07, 1.70, -0.14, 5.00, 0.00, 0.00, 50.00, 24.00, 0.25, 50.00, 54.00, 0.56, 50.00, 24.00, 0.25, 50.00, 80.00, 0.82
14424, 1, 50.00, 2.00, -0.38, 0.79, 0.00, 5.00, 0.00, 0.00, 50.00, 84.00, 0.86, 50.00, 20.00, 0.19, 50.00, 92.00, 0.93, 50.00, 62.00, 0.63
14438, 1, 50.00, 2.00, -0.84, 0.96, 0.03, 5.00, 0.00, 0.00, 50.00, 70.00, 0.72, 50.00, 26.00, 0.26, 50.00, 82.00, 0.84, 50.00, 76.00, 0.77
14444, 1, 50.00, 2.00, -0.53, 1.31, -0.23, 5.00, 0.00, 0.00, 50.00, 22.00, 0.23, 50.00, 58.00, 0.60, 50.00, 22.00, 0.23, 50.00, 70.00, 0.72
14454, 1, 50.00, 2.00, -0.32, 1.23, -0.37, 5.00, 0.00, 0.00, 50.00, 78.00, 0.81, 50.00, 36.00, 0.39, 50.00, 78.00, 0.79, 50.00, 74.00, 0.75
14467, 1, 50.00, 2.00, -0.13, 0.94, -0.30, 5.00, 0.00, 0.00, 50.00, 18.00, 0.18, 50.00, 38.00, 0.39, 50.00, 40.00, 0.40, 50.00, 72.00, 0.74
14474, 1, 50.00, 2.00, -0.22, 0.66, -0.24, 5.00, 0.00, 0.00, 50.00, 20.00, 0.21, 50.00, 32.00, 0.33, 50.00, 30.00, 0.32, 50.00, 70.00, 0.72
14484, 1, 50.00, 2.00, -0.41, 0.67, -0.27, 5.00, 0.00, 0.00, 50.00, 86.00, 0.88, 50.00, 46.00, 0.47, 50.00, 56.00, 0.58, 50.00, 52.00, 0.53
14494, 1, 50.00, 2.00, -0.41, 1.32, -0.28, 5.00, 0.00, 0.00, 50.00, 66.00, 0.68, 50.00, 68.00, 0.68, 50.00, 78.00, 0.79, 50.00, 26.00, 0.26
14507, 1, 50.00, 2.00, -0.31, 0.70, -0.34, 5.00, 0.00, 0.00, 50.00, 64.00, 0.67, 50.00, 62.00, 0.65, 50.00, 68.00, 0.70, 50.00, 26.00, 0.26
14514, 1, 50.00, 2.00, -0.08, 0.41, -0.43, 5.00, 0.00, 0.00, 50.00, 70.00, 0.72, 50.00, 72.00, 0.74, 50.00, 70.00, 0.70, 50.00, 64.00, 0.67
14524, 1, 50.00, 2.00, -0.39, 0.71, -0.42, 5.00, 0.00, 0.00, 50.00, 70.00, 0.72, 50.00, 86.00, 0.88, 50.00, 80.00, 0.81, 50.00, 40.00, 0.40
14534, 1, 50.00, 2.00, -0.33, 0.97, -0.34, 5.00, 0.00, 0.00, 50.00, 24.00, 0.25, 50.00, 60.00, 0.61, 50.00, 38.00, 0.39, 50.00, 68.00, 0.70
14548, 1, 50.00, 2.00, -0.53, 0.65, -0.27, 5.00, 0.00, 0.00, 50.00, 18.00, 0.19, 50.00, 68.00, 0.70, 50.00, 46.00, 0.47, 50.00, 62.00, 0.65
14554, 1, 50.00, 2.00, -0.21, 0.05, -0.30, 5.00, 0.00, 0.00, 50.00, 78.00, 0.79, 50.00, 68.00, 0.70, 50.00, 68.00, 0.68, 50.00, 42.00, 0.44
14564, 1, 50.00, 2.00, -0.44, 0.17, -0.36, 5.00, 0.00, 0.00, 50.00, 26.00, 0.26, 50.00, 64.00, 0.65, 50.00, 28.00, 0.28, 50.00, 90.00, 0.91
14578, 1, 50.00, 2.00, 0.08, 0.49, -0.49, 5.00, 0.00, 0.00, 50.00, 32.00, 0.32, 50.00, 56.00, 0.58, 50.00, 26.00, 0.26, 50.00, 64.00, 0.65
14584, 1, 50.00, 2.00, 0.65, 0.72, -0.29, 5.00, 0.00, 0.00, 50.00, 60.00, 0.61, 50.00, 72.00, 0.74, 50.00, 70.00, 0.72, 50.00, 46.00, 0.47
14594, 1, 50.00, 2.00, -0.88, 0.69, -0.16, 5.00, 0.00, 0.00, 50.00, 36.00, 0.35, 50.00, 76.00, 0.77, 50.00, 26.00, 0.28, 50.00, 76.00, 0.77
14604, 1, 50.00, 2.00, -0.27, 0.48, -0.42, 5.00, 0.00, 0.00, 50.00, 56.00, 0.56, 50.00, 20.00, 0.21, 50.00, 50.00, 0.61, 50.00, 58.00, 0.60
14617, 1, 50.00, 2.00, 0.33, -0.48, -0.46, 5.00, 0.00, 0.00, 50.00, 26.00, 0.28, 50.00, 36.00, 0.37, 50.00, 48.00, 0.49, 50.00, 78.00, 0.79
14624, 1, 50.00, 2.00, -0.25, 0.37, -0.32, 5.00, 0.00, 0.00, 50.00, 24.00, 0.26, 50.00, 56.00, 0.58, 50.00, 22.00, 0.23, 50.00, 70.00, 0.72
14634, 1, 50.00, 2.00, 0.02, 1.16, -0.18, 5.00, 0.00, 0.00, 50.00, 44.00, 0.44, 50.00, 26.00, 0.26, 50.00, 62.00, 0.63, 50.00, 64.00, 0.65
14644, 1, 50.00, 2.00, -0.51, 0.08, -0.04, 5.00, 0.00, 0.00, 50.00, 72.00, 0.74, 50.00, 70.00, 0.72, 50.00, 60.00, 0.61, 50.00, 30.00, 0.32
14657, 1, 50.00, 2.00, -0.74, -0.41, -0.14, 5.00, 0.00, 0.00, 50.00, 48.00, 0.49, 50.00, 30.00, 0.32, 50.00, 60.00, 0.61, 50.00, 36.00, 0.37
14664, 1, 50.00, 2.00, -0.50, 0.48, -0.22, 5.00, 0.00, 0.00, 50.00, 54.00, 0.56, 50.00, 32.00, 0.33, 50.00, 58.00, 0.60, 50.00, 64.00, 0.67
14674, 1, 50.00, 2.00, -1.64, -1.43, -0.34, 5.00, 0.00, 0.00, 50.00, 58.00, 0.51, 50.00, 68.00, 0.70, 50.00, 34.00, 0.35, 50.00, 30.00, 0.30
14688, 1, 50.00, 2.00, -0.15, -1.22, -0.39, 5.00, 0.00, 0.00, 50.00, 72.00, 0.74, 50.00, 48.00, 0.49, 50.00, 44.00, 0.46, 50.00, 34.00, 0.35
