timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
13826, 1, 50.00, 2.00, -0.31, -0.30, -0.04, 3.00, 0.00, 0.00, 50.00, 118.00, 1.19, 50.00, 78.00, 0.81, 50.00, 96.00, 0.98, 50.00, 92.00, 0.95
13856, 1, 50.00, 2.00, 0.37, 1.09, 0.37, 3.00, 0.00, 0.00, 50.00, 80.00, 0.81, 50.00, 74.00, 0.75, 50.00, 94.00, 0.96, 50.00, 70.00, 0.70
13866, 1, 50.00, 2.00, -1.78, 1.13, 0.41, 3.00, 0.00, 0.00, 50.00, 82.00, 0.82, 50.00, 48.00, 0.47, 50.00, 50.00, 0.53, 50.00, 82.00, 0.84
13879, 1, 50.00, 2.00, -0.87, 1.52, -0.21, 3.00, 0.00, 0.00, 50.00, 70.00, 0.72, 50.00, 80.00, 0.82, 50.00, 90.00, 0.91, 50.00, 66.00, 0.67
13886, 1, 50.00, 2.00, -0.46, 1.33, -0.44, 3.00, 0.00, 0.00, 50.00, 36.00, 0.37, 50.00, 40.00, 0.42, 50.00, 38.00, 0.40, 50.00, 40.00, 0.40
13896, 1, 50.00, 2.00, 0.70, 1.66, -0.47, 3.00, 0.00, 0.00, 50.00, 72.00, 0.72, 50.00, 84.00, 0.84, 50.00, 84.00, 0.86, 50.00, 70.00, 0.70
13910, 1, 50.00, 2.00, 0.32, 1.02, 0.02, 3.00, 0.00, 0.00, 50.00, 72.00, 0.74, 50.00, 58.00, 0.60, 50.00, 60.00, 0.61, 50.00, 64.00, 0.65
13916, 1, 50.00, 2.00, -0.75, 1.22, 0.08, 3.00, 0.00, 0.00, 50.00, 26.00, 0.28, 50.00, 18.00, 0.19, 50.00, 22.00, 0.21, 50.00, 22.00, 0.23
13926, 1, 50.00, 2.00, 0.11, 1.48, -0.11, 3.00, 0.00, 0.00, 50.00, 76.00, 0.77, 50.00, 58.00, 0.60, 50.00, 44.00, 0.46, 50.00, 72.00, 0.74
13936, 1, 50.00, 2.00, -0.70, 0.79, -0.04, 3.00, 0.00, 0.00, 50.00, 88.00, 0.89, 50.00, 84.00, 0.84, 50.00, 74.00, 0.75, 50.00, 90.00, 0.93
13950, 1, 50.00, 2.00, -0.26, 1.56, -0.15, 3.00, 0.00, 0.00, 50.00, 90.00, 0.91, 50.00, 68.00, 0.70, 50.00, 72.00, 0.74, 50.00, 60.00, 0.61
13956, 1, 50.00, 2.00, -0.28, 1.65, -0.09, 3.00, 0.00, 0.00, 50.00, 20.00, 0.21, 50.00, 16.00, 0.18, 50.00, 18.00, 0.18, 50.00, 20.00, 0.21
13966, 1, 50.00, 2.00, -0.80, 1.08, -0.16, 3.00, 0.00, 0.00, 50.00, 66.00, 0.68, 50.00, 62.00, 0.65, 50.00, 40.00, 0.40, 50.00, 66.00, 0.67
13976, 1, 50.00, 2.00, -0.00, 1.09, -0.30, 3.00, 0.00, 0.00, 50.00, 64.00, 0.67, 50.00, 90.00, 0.91, 50.00, 86.00, 0.88, 50.00, 84.00, 0.86
13989, 1, 50.00, 2.00, -0.12, 1.10, -0.17, 3.00, 0.00, 0.00, 50.00, 86.00, 0.88, 50.00, 16.00, 0.16, 50.00, 16.00, 0.18, 50.00, 48.00, 0.47
13996, 1, 50.00, 2.00, -0.14, 1.16, -0.09, 3.00, 0.00, 0.00, 50.00, 34.00, 0.35, 50.00, 18.00, 0.19, 50.00, 22.00, 0.21, 50.00, 26.00, 0.26
14006, 1, 50.00, 2.00, -0.23, 1.19, -0.14, 3.00, 0.00, 0.00, 50.00, 80.00, 0.81, 50.00, 42.00, 0.42, 50.00, 24.00, 0.25, 50.00, 70.00, 0.72
14019, 1, 50.00, 2.00, -0.04, 0.75, -0.08, 3.00, 0.00, 0.00, 50.00, 28.00, 0.28, 50.00, 28.00, 0.28, 50.00, 22.00, 0.23, 50.00, 24.00, 0.25
14026, 1, 50.00, 2.00, -0.49, 0.72, -0.02, 3.00, 0.00, 0.00, 50.00, 24.00, 0.25, 50.00, 68.00, 0.70, 50.00, 70.00, 0.72, 50.00, 20.00, 0.19
