timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
12573, 1, 50.00, 2.00, -0.37, -0.21, -0.05, 3.00, 0.00, 0.00, 50.00, 0.00, 0.00, 50.00, 0.00, 0.00, 50.00, 0.00, 0.00, 50.00, 0.00, 0.00
12602, 1, 50.00, 2.00, 0.42, 2.96, 0.04, 3.00, 0.00, 0.00, 50.00, 16.00, 0.18, 50.00, 24.00, 0.25, 50.00, 44.00, 0.46, 50.00, 24.00, 0.25
12607, 1, 50.00, 2.00, 0.42, 2.96, 0.04, 3.00, 0.00, 0.00, 50.00, 70.00, 0.72, 50.00, 68.00, 0.68, 50.00, 68.00, 0.70, 50.00, 64.00, 0.65
12620, 1, 50.00, 2.00, -1.29, -0.35, 0.20, 3.00, 0.00, 0.00, 50.00, 66.00, 0.67, 50.00, 66.00, 0.67, 50.00, 64.00, 0.67, 50.00, 72.00, 0.74
12626, 1, 50.00, 2.00, -0.70, 0.68, -0.19, 3.00, 0.00, 0.00, 50.00, 60.00, 0.61, 50.00, 50.00, 0.51, 50.00, 28.00, 0.28, 50.00, 36.00, 0.37
12633, 1, 50.00, 2.00, -0.22, 2.30, -0.24, 3.00, 0.00, 0.00, 50.00, 64.00, 0.67, 50.00, 68.00, 0.68, 50.00, 64.00, 0.65, 50.00, 62.00, 0.63
12647, 1, 50.00, 2.00, -0.12, 1.15, -0.17, 3.00, 0.00, 0.00, 50.00, 70.00, 0.72, 50.00, 62.00, 0.63, 50.00, 68.00, 0.68, 50.00, 68.00, 0.70
12653, 1, 50.00, 2.00, -0.00, 0.77, -0.08, 3.00, 0.00, 0.00, 50.00, 52.00, 0.53, 50.00, 50.00, 0.53, 50.00, 28.00, 0.28, 50.00, 36.00, 0.37
12663, 1, 50.00, 2.00, -0.42, 0.22, -0.01, 3.00, 0.00, 0.00, 50.00, 66.00, 0.67, 50.00, 62.00, 0.63, 50.00, 66.00, 0.68, 50.00, 64.00, 0.67
12673, 1, 50.00, 2.00, -0.30, 1.63, -0.11, 3.00, 0.00, 0.00, 50.00, 62.00, 0.63, 50.00, 62.00, 0.63, 50.00, 68.00, 0.68, 50.00, 60.00, 0.61
12687, 1, 50.00, 2.00, -0.39, 1.43, -0.11, 3.00, 0.00, 0.00, 50.00, 64.00, 0.65, 50.00, 62.00, 0.63, 50.00, 58.00, 0.60, 50.00, 64.00, 0.65
12693, 1, 50.00, 2.00, -0.19, 0.07, -0.14, 3.00, 0.00, 0.00, 50.00, 56.00, 0.56, 50.00, 38.00, 0.39, 50.00, 34.00, 0.33, 50.00, 36.00, 0.37
12703, 1, 50.00, 2.00, -0.27, 0.81, 0.01, 3.00, 0.00, 0.00, 50.00, 60.00, 0.60, 50.00, 58.00, 0.60, 50.00, 62.00, 0.63, 50.00, 60.00, 0.61
12713, 1, 50.00, 2.00, -0.94, 1.16, -0.02, 3.00, 0.00, 0.00, 50.00, 58.00, 0.60, 50.00, 66.00, 0.67, 50.00, 62.00, 0.63, 50.00, 54.00, 0.56
12726, 1, 50.00, 2.00, -0.22, 1.07, -0.23, 3.00, 0.00, 0.00, 50.00, 56.00, 0.56, 50.00, 62.00, 0.63, 50.00, 62.00, 0.63, 50.00, 60.00, 0.61
12733, 1, 50.00, 2.00, -0.32, -0.10, -0.20, 3.00, 0.00, 0.00, 50.00, 46.00, 0.47, 50.00, 38.00, 0.39, 50.00, 18.00, 0.19, 50.00, 28.00, 0.28
12743, 1, 50.00, 2.00, -0.04, 0.51, -0.15, 3.00, 0.00, 0.00, 50.00, 58.00, 0.60, 50.00, 58.00, 0.60, 50.00, 58.00, 0.58, 50.00, 58.00, 0.60
12756, 1, 50.00, 2.00, -0.29, 1.07, -0.02, 3.00, 0.00, 0.00, 50.00, 60.00, 0.61, 50.00, 54.00, 0.56, 50.00, 64.00, 0.65, 50.00, 60.00, 0.61
12763, 1, 50.00, 2.00, -0.74, 0.86, -0.08, 3.00, 0.00, 0.00, 50.00, 22.00, 0.23, 50.00, 40.00, 0.42, 50.00, 54.00, 0.54, 50.00, 42.00, 0.44
12773, 1, 50.00, 2.00, -0.26, -0.04, -0.28, 3.00, 0.00, 0.00, 50.00, 50.00, 0.51, 50.00, 30.00, 0.32, 50.00, 22.00, 0.23, 50.00, 28.00, 0.28
12783, 1, 50.00, 2.00, -0.30, -0.00, -0.25, 3.00, 0.00, 0.00, 50.00, 56.00, 0.58, 50.00, 54.00, 0.56, 50.00, 54.00, 0.54, 50.00, 52.00, 0.53
12797, 1, 50.00, 2.00, -0.06, 0.83, -0.20, 3.00, 0.00, 0.00, 50.00, 60.00, 0.60, 50.00, 54.00, 0.56, 50.00, 50.00, 0.51, 50.00, 46.00, 0.46
12803, 1, 50.00, 2.00, -0.54, 0.92, -0.11, 3.00, 0.00, 0.00, 50.00, 20.00, 0.21, 50.00, 40.00, 0.40, 50.00, 50.00, 0.51, 50.00, 54.00, 0.56
12813, 1, 50.00, 2.00, -0.48, -0.44, -0.19, 3.00, 0.00, 0.00, 50.00, 48.00, 0.49, 50.00, 32.00, 0.32, 50.00, 22.00, 0.23, 50.00, 18.00, 0.26
12827, 1, 50.00, 2.00, -0.12, 0.19, -0.21, 3.00, 0.00, 0.00, 50.00, 36.00, 0.37, 50.00, 20.00, 0.21, 50.00, 22.00, 0.23, 50.00, 40.00, 0.42
12833, 1, 50.00, 2.00, -0.34, 0.87, -0.21, 3.00, 0.00, 0.00, 50.00, 56.00, 0.58, 50.00, 58.00, 0.60, 50.00, 54.00, 0.56, 50.00, 50.00, 0.51
12843, 1, 50.00, 2.00, -0.40, 0.41, -0.21, 3.00, 0.00, 0.00, 50.00, 34.00, 0.33, 50.00, 40.00, 0.40, 50.00, 50.00, 0.51, 50.00, 58.00, 0.58
12853, 1, 50.00, 2.00, -0.45, 0.11, -0.20, 3.00, 0.00, 0.00, 50.00, 48.00, 0.49, 50.00, 30.00, 0.30, 50.00, 22.00, 0.23, 50.00, 28.00, 0.30
12866, 1, 50.00, 2.00, -0.07, 0.03, -0.24, 3.00, 0.00, 0.00, 50.00, 48.00, 0.49, 50.00, 28.00, 0.30, 50.00, 22.00, 0.21, 50.00, 30.00, 0.32
12873, 1, 50.00, 2.00, -0.34, 0.48, -0.15, 3.00, 0.00, 0.00, 50.00, 60.00, 0.61, 50.00, 48.00, 0.49, 50.00, 52.00, 0.54, 50.00, 52.00, 0.53
12883, 1, 50.00, 2.00, -0.55, 0.49, -0.22, 3.00, 0.00, 0.00, 50.00, 40.00, 0.40, 50.00, 56.00, 0.56, 50.00, 54.00, 0.54, 50.00, 54.00, 0.56
12893, 1, 50.00, 2.00, 0.18, 0.26, -0.30, 3.00, 0.00, 0.00, 50.00, 48.00, 0.49, 50.00, 24.00, 0.23, 50.00, 20.00, 0.21, 50.00, 32.00, 0.33
12906, 1, 50.00, 2.00, -0.51, -0.48, -0.13, 3.00, 0.00, 0.00, 50.00, 44.00, 0.32, 50.00, 30.00, 0.30, 50.00, 22.00, 0.23, 50.00, 34.00, 0.35
12913, 1, 50.00, 2.00, -0.56, 0.29, -0.18, 3.00, 0.00, 0.00, 50.00, 54.00, 0.54, 50.00, 50.00, 0.53, 50.00, 52.00, 0.53, 50.00, 54.00, 0.54
12923, 1, 50.00, 2.00, -0.04, 1.13, -0.19, 3.00, 0.00, 0.00, 50.00, 40.00, 0.42, 50.00, 54.00, 0.56, 50.00, 50.00, 0.53, 50.00, 52.00, 0.53
12937, 1, 50.00, 2.00, -0.84, -0.54, -0.08, 3.00, 0.00, 0.00, 50.00, 56.00, 0.56, 50.00, 52.00, 0.54, 50.00, 50.00, 0.51, 50.00, 52.00, 0.53
12943, 1, 50.00, 2.00, -0.21, -0.28, -0.24, 3.00, 0.00, 0.00, 50.00, 52.00, 0.54, 50.00, 44.00, 0.46, 50.00, 30.00, 0.32, 50.00, 32.00, 0.33
12953, 1, 50.00, 2.00, -0.41, 0.56, -0.15, 3.00, 0.00, 0.00, 50.00, 54.00, 0.54, 50.00, 52.00, 0.53, 50.00, 50.00, 0.51, 50.00, 50.00, 0.51
12963, 1, 50.00, 2.00, -0.62, -0.21, -0.24, 3.00, 0.00, 0.00, 50.00, 50.00, 0.51, 50.00, 48.00, 0.49, 50.00, 48.00, 0.49, 50.00, 52.00, 0.53
12977, 1, 50.00, 2.00, -0.07, 0.06, -0.36, 3.00, 0.00, 0.00, 50.00, 54.00, 0.54, 50.00, 50.00, 0.53, 50.00, 54.00, 0.56, 50.00, 50.00, 0.51
12983, 1, 50.00, 2.00, 0.55, 0.69, -0.26, 3.00, 0.00, 0.00, 50.00, 50.00, 0.51, 50.00, 30.00, 0.30, 50.00, 24.00, 0.25, 50.00, 24.00, 0.25
12993, 1, 50.00, 2.00, -0.25, 0.06, 0.02, 3.00, 0.00, 0.00, 50.00, 52.00, 0.53, 50.00, 48.00, 0.49, 50.00, 46.00, 0.46, 50.00, 42.00, 0.44
13003, 1, 50.00, 2.00, -0.41, -0.46, 0.01, 3.00, 0.00, 0.00, 50.00, 52.00, 0.53, 50.00, 50.00, 0.51, 50.00, 48.00, 0.49, 50.00, 56.00, 0.56
13016, 1, 50.00, 2.00, -0.50, 0.97, -0.05, 3.00, 0.00, 0.00, 50.00, 50.00, 0.51, 50.00, 50.00, 0.51, 50.00, 54.00, 0.56, 50.00, 50.00, 0.51
13023, 1, 50.00, 2.00, -0.96, -0.08, -0.20, 3.00, 0.00, 0.00, 50.00, 38.00, 0.39, 50.00, 26.00, 0.26, 50.00, 30.00, 0.32, 50.00, 24.00, 0.26
13033, 1, 50.00, 2.00, -0.03, -0.75, -0.44, 3.00, 0.00, 0.00, 50.00, 52.00, 0.54, 50.00, 38.00, 0.39, 50.00, 38.00, 0.39, 50.00, 38.00, 0.39
13046, 1, 50.00, 2.00, 0.38, 0.31, -0.35, 3.00, 0.00, 0.00, 50.00, 50.00, 0.51, 50.00, 38.00, 0.39, 50.00, 32.00, 0.32, 50.00, 40.00, 0.40
13053, 1, 50.00, 2.00, 0.12, 0.48, -0.02, 3.00, 0.00, 0.00, 50.00, 38.00, 0.39, 50.00, 50.00, 0.51, 50.00, 50.00, 0.51, 50.00, 50.00, 0.51
13063, 1, 50.00, 2.00, -0.95, 0.05, -0.01, 3.00, 0.00, 0.00, 50.00, 34.00, 0.35, 50.00, 50.00, 0.51, 50.00, 52.00, 0.53, 50.00, 42.00, 0.42
13073, 1, 50.00, 2.00, -0.27, -0.38, -0.39, 3.00, 0.00, 0.00, 50.00, 42.00, 0.44, 50.00, 28.00, 0.30, 50.00, 22.00, 0.23, 50.00, 26.00, 0.26
