timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
12591, 1, 50.00, 2.00, -0.35, -0.25, -0.05, 1.50, 0.00, 0.00, 50.00, 34.00, 0.35, 50.00, 48.00, 0.49, 50.00, 44.00, 0.46, 50.00, 42.00, 0.44
12620, 1, 50.00, 2.00, -0.07, 0.61, -0.21, 1.50, 0.00, 0.00, 50.00, 50.00, 0.51, 50.00, 50.00, 0.51, 50.00, 50.00, 0.51, 50.00, 50.00, 0.51
12625, 1, 50.00, 2.00, -0.07, 0.61, -0.21, 1.50, 0.00, 0.00, 50.00, 34.00, 0.33, 50.00, 28.00, 0.28, 50.00, 32.00, 0.32, 50.00, 40.00, 0.40
12639, 1, 50.00, 2.00, 0.06, 0.12, -0.07, 1.50, 0.00, 0.00, 50.00, 32.00, 0.32, 50.00, 26.00, 0.28, 50.00, 32.00, 0.32, 50.00, 38.00, 0.39
12644, 1, 50.00, 2.00, -0.39, 1.07, 0.06, 1.50, 0.00, 0.00, 50.00, 42.00, 0.44, 50.00, 48.00, 0.49, 50.00, 44.00, 0.46, 50.00, 36.00, 0.37
12651, 1, 50.00, 2.00, -0.36, -0.11, 0.09, 1.50, 0.00, 0.00, 50.00, 34.00, 0.35, 50.00, 34.00, 0.35, 50.00, 36.00, 0.37, 50.00, 40.00, 0.42
12665, 1, 50.00, 2.00, -0.90, 0.36, 0.01, 1.50, 0.00, 0.00, 50.00, 28.00, 0.30, 50.00, 28.00, 0.28, 50.00, 30.00, 0.32, 50.00, 32.00, 0.33
12671, 1, 50.00, 2.00, -0.35, 0.97, -0.19, 1.50, 0.00, 0.00, 50.00, 46.00, 0.47, 50.00, 50.00, 0.51, 50.00, 46.00, 0.47, 50.00, 42.00, 0.42
12681, 1, 50.00, 2.00, -0.31, -0.04, -0.20, 1.50, 0.00, 0.00, 50.00, 30.00, 0.30, 50.00, 40.00, 0.40, 50.00, 34.00, 0.35, 50.00, 28.00, 0.30
12691, 1, 50.00, 2.00, -0.01, 0.34, -0.20, 1.50, 0.00, 0.00, 50.00, 30.00, 0.30, 50.00, 26.00, 0.28, 50.00, 30.00, 0.32, 50.00, 32.00, 0.33
