timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
17640, 1, 50.00, 2.00, -0.37, -0.21, -0.05, 1.20, 0.00, 0.00, 50.00, 28.00, 0.30, 50.00, 32.00, 0.32, 50.00, 30.00, 0.30, 50.00, 40.00, 0.42
17668, 1, 50.00, 2.00, -0.60, 1.63, -0.03, 1.20, 0.00, 0.00, 50.00, 44.00, 0.46, 50.00, 44.00, 0.44, 50.00, 38.00, 0.39, 50.00, 44.00, 0.46
17674, 1, 50.00, 2.00, -0.60, 1.63, -0.03, 1.20, 0.00, 0.00, 50.00, 40.00, 0.40, 50.00, 44.00, 0.44, 50.00, 42.00, 0.44, 50.00, 40.00, 0.40
17688, 1, 50.00, 2.00, -0.70, 1.16, -0.02, 1.20, 0.00, 0.00, 50.00, 34.00, 0.35, 50.00, 32.00, 0.33, 50.00, 36.00, 0.37, 50.00, 34.00, 0.35
17694, 1, 50.00, 2.00, -0.70, 1.16, -0.02, 1.20, 0.00, 0.00, 50.00, 34.00, 0.35, 50.00, 38.00, 0.39, 50.00, 32.00, 0.33, 50.00, 34.00, 0.35
17700, 1, 50.00, 2.00, -0.16, 0.31, -0.13, 1.20, 0.00, 0.00, 50.00, 42.00, 0.42, 50.00, 42.00, 0.42, 50.00, 40.00, 0.40, 50.00, 42.00, 0.44
17714, 1, 50.00, 2.00, -0.26, 0.29, -0.01, 1.20, 0.00, 0.00, 50.00, 36.00, 0.37, 50.00, 36.00, 0.37, 50.00, 38.00, 0.39, 50.00, 36.00, 0.35
17720, 1, 50.00, 2.00, -0.46, 0.88, 0.00, 1.20, 0.00, 0.00, 50.00, 36.00, 0.37, 50.00, 32.00, 0.33, 50.00, 32.00, 0.33, 50.00, 34.00, 0.35
17730, 1, 50.00, 2.00, -0.42, -0.12, -0.06, 1.20, 0.00, 0.00, 50.00, 32.00, 0.33, 50.00, 32.00, 0.33, 50.00, 34.00, 0.35, 50.00, 30.00, 0.32
17740, 1, 50.00, 2.00, -0.36, 0.49, -0.12, 1.20, 0.00, 0.00, 50.00, 36.00, 0.37, 50.00, 40.00, 0.40, 50.00, 38.00, 0.39, 50.00, 38.00, 0.40
17753, 1, 50.00, 2.00, -0.32, 0.87, -0.13, 1.20, 0.00, 0.00, 50.00, 38.00, 0.39, 50.00, 40.00, 0.40, 50.00, 38.00, 0.40, 50.00, 38.00, 0.40
17760, 1, 50.00, 2.00, -0.21, 0.52, -0.11, 1.20, 0.00, 0.00, 50.00, 36.00, 0.37, 50.00, 34.00, 0.35, 50.00, 32.00, 0.33, 50.00, 34.00, 0.35
17770, 1, 50.00, 2.00, -0.28, 0.07, -0.02, 1.20, 0.00, 0.00, 50.00, 32.00, 0.32, 50.00, 34.00, 0.35, 50.00, 34.00, 0.35, 50.00, 32.00, 0.33
17783, 1, 50.00, 2.00, -0.49, 0.71, -0.03, 1.20, 0.00, 0.00, 50.00, 34.00, 0.35, 50.00, 34.00, 0.35, 50.00, 34.00, 0.33, 50.00, 34.00, 0.35
17790, 1, 50.00, 2.00, -0.27, 0.78, -0.14, 1.20, 0.00, 0.00, 50.00, 40.00, 0.40, 50.00, 38.00, 0.40, 50.00, 38.00, 0.39, 50.00, 40.00, 0.42
17800, 1, 50.00, 2.00, -0.12, 0.60, -0.08, 1.20, 0.00, 0.00, 50.00, 36.00, 0.37, 50.00, 36.00, 0.37, 50.00, 36.00, 0.37, 50.00, 36.00, 0.35
17810, 1, 50.00, 2.00, -0.69, -0.07, -0.02, 1.20, 0.00, 0.00, 50.00, 36.00, 0.35, 50.00, 34.00, 0.35, 50.00, 32.00, 0.33, 50.00, 30.00, 0.32
17824, 1, 50.00, 2.00, -0.23, 0.68, -0.18, 1.20, 0.00, 0.00, 50.00, 34.00, 0.35, 50.00, 34.00, 0.33, 50.00, 32.00, 0.32, 50.00, 32.00, 0.33
17830, 1, 50.00, 2.00, -0.10, 0.54, -0.11, 1.20, 0.00, 0.00, 50.00, 38.00, 0.39, 50.00, 38.00, 0.39, 50.00, 36.00, 0.39, 50.00, 38.00, 0.39
17840, 1, 50.00, 2.00, -0.54, 0.21, -0.07, 1.20, 0.00, 0.00, 50.00, 38.00, 0.39, 50.00, 34.00, 0.35, 50.00, 36.00, 0.37, 50.00, 36.00, 0.37
17850, 1, 50.00, 2.00, -0.27, 0.68, -0.15, 1.20, 0.00, 0.00, 50.00, 32.00, 0.33, 50.00, 36.00, 0.37, 50.00, 32.00, 0.33, 50.00, 32.00, 0.33
17864, 1, 50.00, 2.00, -0.48, 0.19, -0.11, 1.20, 0.00, 0.00, 50.00, 34.00, 0.35, 50.00, 32.00, 0.33, 50.00, 32.00, 0.33, 50.00, 34.00, 0.35
17870, 1, 50.00, 2.00, -0.17, 0.61, -0.17, 1.20, 0.00, 0.00, 50.00, 38.00, 0.39, 50.00, 36.00, 0.37, 50.00, 36.00, 0.37, 50.00, 38.00, 0.39
17880, 1, 50.00, 2.00, -0.09, 0.21, -0.06, 1.20, 0.00, 0.00, 50.00, 36.00, 0.37, 50.00, 34.00, 0.35, 50.00, 34.00, 0.35, 50.00, 36.00, 0.37
17893, 1, 50.00, 2.00, -0.48, 0.47, -0.06, 1.20, 0.00, 0.00, 50.00, 34.00, 0.35, 50.00, 34.00, 0.35, 50.00, 34.00, 0.35, 50.00, 34.00, 0.35
17900, 1, 50.00, 2.00, -0.27, 0.38, -0.12, 1.20, 0.00, 0.00, 50.00, 34.00, 0.33, 50.00, 36.00, 0.37, 50.00, 34.00, 0.35, 50.00, 34.00, 0.35
17910, 1, 50.00, 2.00, -0.74, 0.67, -0.12, 1.20, 0.00, 0.00, 50.00, 34.00, 0.35, 50.00, 36.00, 0.35, 50.00, 36.00, 0.35, 50.00, 36.00, 0.37
17920, 1, 50.00, 2.00, -0.50, 0.08, -0.22, 1.20, 0.00, 0.00, 50.00, 36.00, 0.37, 50.00, 34.00, 0.35, 50.00, 34.00, 0.33, 50.00, 36.00, 0.37
17933, 1, 50.00, 2.00, -0.13, 0.67, -0.24, 1.20, 0.00, 0.00, 50.00, 36.00, 0.37, 50.00, 34.00, 0.35, 50.00, 34.00, 0.35, 50.00, 36.00, 0.35
17940, 1, 50.00, 2.00, -0.05, 0.33, -0.20, 1.20, 0.00, 0.00, 50.00, 34.00, 0.35, 50.00, 36.00, 0.37, 50.00, 32.00, 0.33, 50.00, 32.00, 0.33
17950, 1, 50.00, 2.00, 0.03, 0.42, -0.18, 1.20, 0.00, 0.00, 50.00, 34.00, 0.35, 50.00, 34.00, 0.35, 50.00, 34.00, 0.33, 50.00, 36.00, 0.37
