timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
15937, 1, 50.00, 2.00, -0.29, -0.24, -0.05, 0.90, 36.00, 0.01, 50.00, 12.00, 0.12, 50.00, 14.00, 0.14, 50.00, 18.00, 0.19, 50.00, 12.00, 0.11
15968, 1, 50.00, 2.00, -0.27, 2.86, -0.02, 0.90, 36.00, 0.01, 50.00, 48.00, 0.49, 50.00, 46.00, 0.47, 50.00, 44.00, 0.46, 50.00, 48.00, 0.49
15977, 1, 50.00, 2.00, -0.05, 0.98, 0.01, 0.90, 36.00, 0.01, 50.00, 44.00, 0.46, 50.00, 46.00, 0.47, 50.00, 48.00, 0.49, 50.00, 44.00, 0.44
15990, 1, 50.00, 2.00, -0.40, 0.77, 0.09, 0.90, 36.00, 0.01, 50.00, 54.00, 0.54, 50.00, 44.00, 0.46, 50.00, 50.00, 0.51, 50.00, 50.00, 0.51
15997, 1, 50.00, 2.00, -0.65, 1.19, -0.05, 0.90, 36.00, 0.01, 50.00, 52.00, 0.53, 50.00, 48.00, 0.49, 50.00, 50.00, 0.51, 50.00, 48.00, 0.49
16007, 1, 50.00, 2.00, -0.22, 0.54, -0.25, 0.90, 36.00, 0.01, 50.00, 48.00, 0.49, 50.00, 48.00, 0.49, 50.00, 46.00, 0.47, 50.00, 48.00, 0.49
16020, 1, 50.00, 2.00, -0.03, 0.60, -0.24, 0.90, 36.00, 0.01, 50.00, 52.00, 0.54, 50.00, 44.00, 0.46, 50.00, 46.00, 0.47, 50.00, 50.00, 0.51
16027, 1, 50.00, 2.00, 0.28, 1.44, -0.11, 0.90, 36.00, 0.01, 50.00, 44.00, 0.46, 50.00, 46.00, 0.47, 50.00, 50.00, 0.53, 50.00, 44.00, 0.46
16037, 1, 50.00, 2.00, -0.36, 0.86, 0.07, 0.90, 36.00, 0.01, 50.00, 48.00, 0.49, 50.00, 42.00, 0.44, 50.00, 46.00, 0.47, 50.00, 46.00, 0.46
16047, 1, 50.00, 2.00, -0.44, 0.76, -0.02, 0.90, 36.00, 0.01, 50.00, 50.00, 0.51, 50.00, 44.00, 0.46, 50.00, 48.00, 0.49, 50.00, 52.00, 0.53
16061, 1, 50.00, 2.00, -0.42, 0.78, -0.08, 0.90, 36.00, 0.01, 50.00, 50.00, 0.51, 50.00, 50.00, 0.51, 50.00, 44.00, 0.46, 50.00, 50.00, 0.51
16067, 1, 50.00, 2.00, -0.47, 1.17, -0.09, 0.90, 36.00, 0.01, 50.00, 44.00, 0.46, 50.00, 46.00, 0.47, 50.00, 50.00, 0.53, 50.00, 46.00, 0.47
16077, 1, 50.00, 2.00, -0.21, 0.36, -0.12, 0.90, 36.00, 0.01, 50.00, 48.00, 0.49, 50.00, 46.00, 0.47, 50.00, 52.00, 0.53, 50.00, 50.00, 0.51
16091, 1, 50.00, 2.00, -0.22, 1.22, -0.12, 0.90, 36.00, 0.01, 50.00, 44.00, 0.44, 50.00, 46.00, 0.47, 50.00, 50.00, 0.51, 50.00, 48.00, 0.49
16097, 1, 50.00, 2.00, 0.11, 0.97, -0.14, 0.90, 36.00, 0.01, 50.00, 46.00, 0.47, 50.00, 46.00, 0.47, 50.00, 48.00, 0.49, 50.00, 48.00, 0.49
16107, 1, 50.00, 2.00, -0.25, 0.97, -0.05, 0.90, 36.00, 0.01, 50.00, 52.00, 0.54, 50.00, 50.00, 0.51, 50.00, 46.00, 0.47, 50.00, 46.00, 0.47
16117, 1, 50.00, 2.00, -0.47, 0.94, -0.05, 0.90, 36.00, 0.01, 50.00, 52.00, 0.54, 50.00, 50.00, 0.51, 50.00, 46.00, 0.47, 50.00, 52.00, 0.53
16130, 1, 50.00, 2.00, -0.30, 0.97, -0.09, 0.90, 36.00, 0.01, 50.00, 44.00, 0.46, 50.00, 44.00, 0.46, 50.00, 48.00, 0.47, 50.00, 50.00, 0.51
16137, 1, 50.00, 2.00, -0.29, 1.03, -0.12, 0.90, 36.00, 0.01, 50.00, 50.00, 0.51, 50.00, 46.00, 0.47, 50.00, 46.00, 0.47, 50.00, 50.00, 0.51
16147, 1, 50.00, 2.00, -0.03, 0.91, -0.15, 0.90, 36.00, 0.01, 50.00, 46.00, 0.46, 50.00, 52.00, 0.54, 50.00, 44.00, 0.46, 50.00, 48.00, 0.49
16157, 1, 50.00, 2.00, -0.18, 0.88, -0.07, 0.90, 36.00, 0.01, 50.00, 48.00, 0.49, 50.00, 50.00, 0.51, 50.00, 52.00, 0.53, 50.00, 44.00, 0.46
16170, 1, 50.00, 2.00, -0.38, 0.79, -0.08, 0.90, 36.00, 0.01, 50.00, 48.00, 0.49, 50.00, 46.00, 0.46, 50.00, 46.00, 0.47, 50.00, 50.00, 0.53
16177, 1, 50.00, 2.00, -0.13, 0.93, -0.17, 0.90, 36.00, 0.01, 50.00, 50.00, 0.53, 50.00, 44.00, 0.44, 50.00, 46.00, 0.46, 50.00, 48.00, 0.49
16187, 1, 50.00, 2.00, -0.37, 0.95, -0.14, 0.90, 36.00, 0.01, 50.00, 48.00, 0.49, 50.00, 50.00, 0.51, 50.00, 50.00, 0.53, 50.00, 50.00, 0.53
16201, 1, 50.00, 2.00, -0.30, 0.98, -0.17, 0.90, 36.00, 0.01, 50.00, 44.00, 0.44, 50.00, 48.00, 0.49, 50.00, 50.00, 0.51, 50.00, 48.00, 0.49
16207, 1, 50.00, 2.00, -0.21, 0.63, -0.14, 0.90, 36.00, 0.01, 50.00, 52.00, 0.54, 50.00, 50.00, 0.51, 50.00, 46.00, 0.47, 50.00, 48.00, 0.49
