timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
645781, 0, 0.50, 0.50, -0.64, -0.37, 31.20, -9.48, 1.32, 52.80, 0.01, 0.31, 0.11, 0.00, 0.41, 0.10, 0.00, 0.25, 0.10, 0.00, 0.37, 0.11, 0.00, 24.22, 9.98, 1.00, 0.33, 0.00000, 0.00000
645807, 0, 0.50, 0.50, -0.62, -0.35, 27.83, -9.48, 1.32, 52.80, 0.01, 0.34, 0.11, 0.00, 0.45, 0.10, 0.00, 0.28, 0.10, 0.00, 0.39, 0.11, 0.00, 24.28, 9.98, 1.00, 0.36, 0.00000, 0.00000
645821, 0, 0.50, 0.50, -0.60, -0.34, 22.62, -9.49, 1.32, 52.80, 0.01, 0.39, 0.11, 0.00, 0.51, 0.10, 0.00, 0.31, 0.10, 0.00, 0.45, 0.11, 0.00, 26.10, 9.99, 1.00, 0.41, 0.00000, 0.00000
645834, 0, 0.50, 0.50, -0.58, -0.33, 16.42, -9.49, 1.32, 52.80, 0.01, 0.46, 0.11, 0.00, 0.61, 0.10, 0.00, 0.38, 0.10, 0.00, 0.54, 0.11, 0.00, 29.46, 9.99, 1.00, 0.48, 0.00000, 0.00000
645847, 0, 0.50, 0.50, -0.57, -0.32, 10.92, -9.50, 1.32, 52.80, 0.01, 0.55, 0.11, 0.00, 0.72, 0.10, 0.00, 0.45, 0.10, 0.00, 0.63, 0.11, 0.00, 34.67, 10.00, 1.00, 0.56, 0.00000, 0.00000
645861, 0, 0.50, 0.50, -0.56, -0.31, 7.09, -9.50, 1.32, 52.80, 0.01, 0.62, 0.11, 0.00, 0.82, 0.10, 0.00, 0.51, 0.10, 0.00, 0.72, 0.11, 0.00, 40.88, 10.00, 1.00, 0.64, 0.00000, 0.00000
645887, 0, 0.50, 0.50, -0.55, -0.30, 4.71, -9.51, 1.32, 52.80, 0.01, 0.68, 0.11, 0.00, 0.89, 0.10, 0.00, 0.55, 0.10, 0.00, 0.79, 0.11, 0.00, 46.37, 10.01, 1.00, 0.69, 0.00000, 0.00000
645895, 0, 0.50, 0.50, -0.55, -0.30, 3.27, -9.51, 1.32, 52.80, 0.01, 0.70, 0.11, 0.00, 0.93, 0.10, 0.00, 0.58, 0.10, 0.00, 0.83, 0.11, 0.00, 50.20, 10.01, 1.00, 0.72, 0.00000, 0.00000
645915, 0, 0.50, 0.50, -0.54, -0.29, 2.37, -9.51, 1.32, 52.80, 0.01, 0.73, 0.11, 0.00, 0.94, 0.10, 0.00, 0.59, 0.10, 0.00, 0.85, 0.11, 0.00, 52.59, 10.01, 1.00, 0.74, 0.00000, 0.00000
645927, 0, 0.50, 0.50, -0.53, -0.28, 1.79, -9.52, 1.32, 52.80, 0.01, 0.75, 0.11, 0.00, 0.97, 0.10, 0.00, 0.61, 0.10, 0.00, 0.86, 0.11, 0.00, 54.03, 10.02, 1.00, 0.76, 0.00000, 0.00000
645941, 0, 0.50, 0.50, -0.53, -0.28, 1.39, -9.52, 1.32, 52.80, 0.01, 0.75, 0.11, 0.00, 0.97, 0.10, 0.00, 0.61, 0.10, 0.00, 0.87, 0.11, 0.00, 54.92, 10.02, 1.00, 0.76, 0.00000, 0.00000
645954, 0, 0.50, 0.50, -0.52, -0.28, 1.10, -9.52, 1.32, 52.80, 0.01, 0.76, 0.11, 0.00, 0.99, 0.10, 0.00, 0.62, 0.10, 0.00, 0.87, 0.11, 0.00, 55.51, 10.02, 1.00, 0.77, 0.00000, 0.00000
645967, 0, 0.50, 0.50, -0.52, -0.28, 0.88, -9.53, 1.32, 52.80, 0.01, 0.76, 0.11, 0.00, 0.99, 0.10, 0.00, 0.62, 0.10, 0.00, 0.89, 0.11, 0.00, 55.91, 10.03, 1.00, 0.77, 0.00000, 0.00000
645981, 0, 0.50, 0.50, -0.52, -0.27, 0.71, -9.53, 1.32, 52.80, 0.01, 0.76, 0.11, 0.00, 0.99, 0.10, 0.00, 0.62, 0.10, 0.00, 0.89, 0.11, 0.00, 56.20, 10.03, 1.00, 0.78, 0.00000, 0.00000
645994, 0, 0.50, 0.50, -0.51, -0.27, 0.59, -9.54, 1.32, 52.80, 0.01, 0.76, 0.11, 0.00, 1.00, 0.10, 0.00, 0.62, 0.10, 0.00, 0.89, 0.11, 0.00, 56.42, 10.04, 1.00, 0.78, 0.00000, 0.00000
646007, 0, 0.50, 0.50, -0.51, -0.27, 0.49, -9.54, 1.32, 52.80, 0.01, 0.77, 0.11, 0.00, 1.00, 0.10, 0.00, 0.62, 0.10, 0.00, 0.89, 0.11, 0.00, 56.58, 10.04, 1.00, 0.78, 0.00000, 0.00000
646021, 0, 0.50, 0.50, -0.51, -0.27, 0.41, -9.54, 1.32, 52.80, 0.01, 0.77, 0.11, 0.00, 1.00, 0.10, 0.67, 0.63, 0.10, 0.00, 0.89, 0.11, 0.00, 56.71, 10.04, 1.00, 0.78, 0.00000, 0.00000
646034, 0, 0.50, 0.50, -0.50, -0.27, 0.35, -9.55, 1.32, 52.80, 0.01, 0.77, 0.11, 0.00, 1.00, 0.13, 2.56, 0.63, 0.10, 0.00, 0.89, 0.11, 0.00, 56.80, 10.05, 1.00, 0.78, 0.00000, 0.00000
646047, 0, 0.50, 0.50, -0.50, -0.25, 0.24, -9.55, 1.32, 52.80, 0.01, 0.77, 0.11, 0.00, 1.00, 0.90, 0.74, 0.63, 0.10, 0.00, 0.90, 0.11, 0.02, 56.88, 10.05, 1.00, 0.78, 0.00000, 0.00000
646061, 0, 0.50, 0.50, -0.52, -0.30, 0.34, -9.55, 1.32, 52.80, 0.01, 0.77, 0.11, 0.00, 1.00, 0.83, 1.12, 0.63, 0.10, 0.00, 0.90, 0.08, 1.44, 56.95, 10.05, 1.00, 0.78, 0.00000, 0.00000
646074, 0, 0.50, 0.50, -0.46, -0.24, 0.46, -9.56, 1.32, 52.80, 0.01, 0.77, 0.11, 0.00, 1.00, 0.92, 0.98, 0.63, 0.10, 0.00, 0.90, 0.21, 2.91, 57.06, 10.06, 1.00, 0.78, 0.00000, 0.00000
646087, 0, 0.50, 0.50, -0.47, -0.13, 0.84, -9.56, 1.32, 52.80, 0.01, 0.77, 0.11, 0.00, 1.00, 0.96, 0.96, 0.63, 0.10, 0.00, 0.89, 0.75, 1.46, 56.96, 10.06, 1.00, 0.78, 0.00000, 0.00000
646101, 0, 0.50, 0.50, -0.44, -0.02, 1.19, -9.56, 1.32, 52.80, 0.01, 0.76, 0.07, 0.58, 0.99, 1.32, 0.56, 0.62, 0.10, 0.00, 0.89, 0.82, 1.39, 56.84, 10.06, 1.00, 0.78, 0.00000, 0.00000
646114, 0, 0.50, 0.50, -0.41, -0.00, 1.68, -9.56, 1.32, 52.80, 0.01, 0.76, 0.11, 1.88, 0.99, 0.77, 1.42, 0.62, 0.10, 0.00, 0.89, 0.80, 1.32, 56.46, 10.06, 1.00, 0.77, 0.00000, 0.00000
646127, 0, 0.50, 0.50, -0.39, 0.12, 2.81, -9.56, 1.32, 52.80, 0.01, 0.75, 0.41, 1.53, 0.97, 0.93, 0.68, 0.62, 0.07, 0.00, 0.87, 0.82, 0.47, 56.11, 10.06, 1.00, 0.76, 0.00000, 0.00000
