timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
26573, 0, 0.50, 0.50, -0.46, -0.21, -0.28, -0.00, 1.32, 52.80, 0.01, 0.35, 1.00, 0.00, 0.46, 1.00, 0.00, 0.30, 1.00, 0.00, 0.42, 1.00, 0.00, 0.00, 0.50, 1.00, 0.38, 0.00000, 0.00000
26665, 0, 0.50, 0.50, -0.75, 0.71, 8.98, 0.01, 1.32, 52.80, 0.01, 0.38, 0.30, 0.42, 0.49, 0.42, 1.11, 0.31, 0.21, 1.04, 0.44, 0.37, 1.25, 57.30, 0.49, 1.00, 0.40, 0.00000, 0.00000
26683, 0, 0.50, 0.50, -0.49, 2.32, 16.37, 0.04, 1.32, 52.80, 0.01, 0.34, 0.24, 1.14, 0.45, 0.48, 1.19, 0.28, 0.20, 1.40, 0.39, 0.49, 0.56, 57.30, 0.46, 1.00, 0.36, 0.00000, 0.00000
26693, 0, 0.50, 0.50, -0.64, 2.63, 21.44, 0.07, 1.32, 52.80, 0.01, 0.31, 0.30, 0.93, 0.41, 0.61, 0.46, 0.25, 0.32, 0.89, 0.37, 0.46, 0.26, 48.32, 0.43, 1.00, 0.33, 0.00000, 0.00000
26710, 0, 0.50, 0.50, -0.92, 2.63, 25.83, 0.11, 1.32, 52.80, 0.01, 0.30, 0.37, 0.32, 0.38, 0.48, 0.35, 0.24, 0.38, 0.07, 0.34, 0.39, 0.47, 40.92, 0.39, 1.00, 0.31, 0.00000, 0.00000
26719, 0, 0.50, 0.50, -0.77, 1.95, 28.16, 0.13, 1.32, 52.80, 0.01, 0.27, 0.35, 0.25, 0.35, 0.42, 0.28, 0.23, 0.34, 0.05, 0.32, 0.39, 0.28, 35.86, 0.37, 1.00, 0.29, 0.00000, 0.00000
26733, 0, 0.50, 0.50, -0.86, 1.04, 29.83, 0.15, 1.32, 52.80, 0.01, 0.27, 0.34, 0.11, 0.35, 0.39, 0.05, 0.21, 0.30, 0.16, 0.31, 0.38, 0.07, 31.47, 0.35, 1.00, 0.29, 0.00000, 0.00000
26749, 0, 0.50, 0.50, -0.81, 0.36, 30.47, 0.15, 1.32, 52.80, 0.01, 0.27, 0.34, 0.16, 0.35, 0.37, 0.14, 0.21, 0.24, 0.12, 0.31, 0.37, 0.09, 29.14, 0.35, 1.00, 0.29, 0.00000, 0.00000
26759, 0, 0.50, 0.50, -0.54, -0.35, 30.94, 0.15, 1.32, 52.80, 0.01, 0.27, 0.31, 0.12, 0.35, 0.37, 0.04, 0.23, 0.21, 0.19, 0.32, 0.37, 0.16, 27.46, 0.35, 1.00, 0.29, 0.00000, 0.00000
26773, 0, 0.50, 0.50, -0.60, -0.80, 31.31, 0.14, 1.32, 52.80, 0.01, 0.28, 0.30, 0.14, 0.37, 0.35, 0.11, 0.23, 0.17, 0.37, 0.32, 0.37, 0.14, 26.82, 0.36, 1.00, 0.30, 0.00000, 0.00000
26789, 0, 0.50, 0.50, -0.52, -0.77, 31.35, 0.13, 1.32, 52.80, 0.01, 0.28, 0.30, 0.12, 0.38, 0.34, 0.32, 0.23, 0.20, 0.49, 0.34, 0.35, 0.19, 26.35, 0.37, 1.00, 0.30, 0.00000, 0.00000
26799, 0, 0.50, 0.50, -0.67, -0.83, 31.25, 0.12, 1.32, 52.80, 0.01, 0.30, 0.28, 0.11, 0.39, 0.35, 0.42, 0.24, 0.23, 0.32, 0.34, 0.34, 0.11, 25.98, 0.38, 1.00, 0.31, 0.00000, 0.00000
26813, 0, 0.50, 0.50, -0.81, -0.90, 30.91, 0.10, 1.32, 52.80, 0.01, 0.31, 0.27, 0.09, 0.39, 0.41, 0.18, 0.25, 0.28, 0.16, 0.35, 0.32, 0.09, 25.95, 0.40, 1.00, 0.32, 0.00000, 0.00000
26830, 0, 0.50, 0.50, -0.73, -0.74, 30.69, 0.09, 1.32, 52.80, 0.01, 0.32, 0.27, 0.23, 0.41, 0.42, 0.09, 0.25, 0.30, 0.02, 0.37, 0.31, 0.32, 26.05, 0.41, 1.00, 0.33, 0.00000, 0.00000
26839, 0, 0.50, 0.50, -0.79, -0.56, 30.46, 0.09, 1.32, 52.80, 0.01, 0.32, 0.28, 0.39, 0.42, 0.38, 0.30, 0.27, 0.28, 0.05, 0.38, 0.31, 0.33, 26.39, 0.41, 1.00, 0.34, 0.00000, 0.00000
26853, 0, 0.50, 0.50, -0.65, -0.16, 30.17, 0.08, 1.32, 52.80, 0.01, 0.34, 0.28, 0.53, 0.44, 0.38, 0.65, 0.27, 0.24, 0.25, 0.39, 0.32, 0.75, 26.61, 0.42, 1.00, 0.36, 0.00000, 0.00000
26870, 0, 0.50, 0.50, -0.76, 0.07, 30.33, 0.09, 1.32, 52.80, 0.01, 0.35, 0.27, 0.98, 0.46, 0.45, 0.39, 0.28, 0.23, 0.46, 0.41, 0.32, 1.09, 26.83, 0.41, 1.00, 0.37, 0.00000, 0.00000
26879, 0, 0.50, 0.50, -0.67, 0.68, 30.50, 0.09, 1.32, 52.80, 0.01, 0.35, 0.30, 1.02, 0.46, 0.45, 0.46, 0.30, 0.27, 0.53, 0.42, 0.34, 1.18, 27.12, 0.41, 1.00, 0.38, 0.00000, 0.00000
26896, 0, 0.50, 0.50, -0.65, 1.23, 30.83, 0.11, 1.32, 52.80, 0.01, 0.37, 0.34, 0.93, 0.48, 0.46, 0.46, 0.30, 0.30, 0.40, 0.42, 0.38, 1.19, 26.96, 0.39, 1.00, 0.38, 0.00000, 0.00000
26906, 0, 0.50, 0.50, -0.61, 1.59, 31.37, 0.13, 1.32, 52.80, 0.01, 0.38, 0.35, 0.93, 0.49, 0.49, 0.46, 0.31, 0.31, 0.40, 0.44, 0.41, 1.02, 26.80, 0.37, 1.00, 0.39, 0.00000, 0.00000
26919, 0, 0.50, 0.50, -0.60, 1.44, 32.46, 0.15, 1.32, 52.80, 0.01, 0.38, 0.38, 0.98, 0.49, 0.52, 0.42, 0.31, 0.31, 0.39, 0.44, 0.44, 1.05, 26.47, 0.35, 1.00, 0.40, 0.00000, 0.00000
26956, 0, 0.50, 0.50, -0.72, 0.99, 34.12, 0.16, 1.32, 52.80, 0.01, 0.38, 0.42, 0.58, 0.49, 0.52, 0.23, 0.31, 0.32, 0.14, 0.45, 0.49, 0.70, 25.93, 0.34, 1.00, 0.40, 0.00000, 0.00000
26965, 0, 0.50, 0.50, -0.81, 0.85, 35.94, 0.18, 1.32, 52.80, 0.01, 0.38, 0.45, 0.39, 0.49, 0.52, 0.21, 0.31, 0.34, 0.16, 0.44, 0.52, 0.46, 24.83, 0.32, 1.00, 0.40, 0.00000, 0.00000
26973, 0, 0.50, 0.50, -0.67, 0.68, 37.78, 0.18, 1.32, 52.80, 0.01, 0.38, 0.45, 0.26, 0.49, 0.56, 0.11, 0.31, 0.34, 0.04, 0.44, 0.51, 0.25, 23.18, 0.32, 1.00, 0.39, 0.00000, 0.00000
26990, 0, 0.50, 0.50, -0.84, 0.28, 39.72, 0.19, 1.32, 52.80, 0.01, 0.37, 0.42, 0.28, 0.49, 0.46, 0.18, 0.30, 0.34, 0.02, 0.44, 0.48, 0.32, 21.36, 0.31, 1.00, 0.39, 0.00000, 0.00000
26999, 0, 0.50, 0.50, -0.81, 0.35, 40.95, 0.19, 1.32, 52.80, 0.01, 0.37, 0.44, 0.07, 0.48, 0.46, 0.86, 0.30, 0.32, 0.04, 0.42, 0.49, 0.16, 19.52, 0.31, 1.00, 0.38, 0.00000, 0.00000
27013, 0, 0.50, 0.50, -0.61, -0.05, 41.93, 0.19, 1.32, 52.80, 0.01, 0.37, 0.42, 0.05, 0.48, 0.54, 0.12, 0.30, 0.30, 0.07, 0.42, 0.48, 0.07, 17.58, 0.31, 1.00, 0.38, 0.00000, 0.00000
27029, 0, 0.50, 0.50, -0.75, -0.35, 42.77, 0.19, 1.32, 52.80, 0.01, 0.37, 0.41, 0.14, 0.48, 0.46, 0.16, 0.30, 0.28, 0.19, 0.42, 0.46, 0.18, 16.35, 0.31, 1.00, 0.38, 0.00000, 0.00000
27039, 0, 0.50, 0.50, -0.81, -0.76, 42.89, 0.18, 1.32, 52.80, 0.01, 0.37, 0.42, 0.19, 0.48, 0.45, 0.18, 0.30, 0.30, 0.16, 0.42, 0.45, 0.23, 15.36, 0.32, 1.00, 0.38, 0.00000, 0.00000
27053, 0, 0.50, 0.50, -0.66, -1.15, 42.66, 0.16, 1.32, 52.80, 0.01, 0.37, 0.41, 0.18, 0.48, 0.48, 0.16, 0.30, 0.31, 0.05, 0.42, 0.45, 0.30, 14.53, 0.34, 1.00, 0.38, 0.00000, 0.00000
27070, 0, 0.50, 0.50, -0.72, -1.43, 41.98, 0.14, 1.32, 52.80, 0.01, 0.38, 0.35, 0.09, 0.49, 0.46, 0.26, 0.31, 0.32, 0.02, 0.44, 0.42, 0.28, 14.41, 0.36, 1.00, 0.39, 0.00000, 0.00000
27079, 0, 0.50, 0.50, -0.86, -1.34, 41.15, 0.13, 1.32, 52.80, 0.01, 0.38, 0.35, 0.14, 0.51, 0.51, 0.18, 0.31, 0.31, 0.09, 0.45, 0.41, 0.09, 14.63, 0.37, 1.00, 0.40, 0.00000, 0.00000
27097, 0, 0.50, 0.50, -0.80, -1.25, 40.19, 0.11, 1.32, 52.80, 0.01, 0.39, 0.35, 0.16, 0.52, 0.49, 0.18, 0.32, 0.28, 0.30, 0.46, 0.41, 0.21, 15.32, 0.39, 1.00, 0.41, 0.00000, 0.00000
