timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current
189726, 2, 1.20, 0.50, -1.92, -0.29, 104.33, 1.32, 52.80, 0.01, 340.00, 16.00, 0.00, 440.00, 28.00, 0.00, 276.00, 20.00, 0.00, 392.00, 16.00, 0.00
189749, 2, 1.20, 0.50, -1.48, -0.11, 80.24, 1.32, 52.80, 0.01, 340.00, 16.00, 0.00, 440.00, 28.00, 0.00, 276.00, 20.00, 0.00, 392.00, 16.00, 0.00
189756, 2, 1.20, 0.50, -1.03, -0.16, 38.39, 1.32, 52.80, 0.01, 340.00, 16.00, 0.00, 440.00, 28.00, 0.00, 276.00, 20.00, 0.00, 392.00, 16.00, 0.00
189766, 2, 1.20, 0.50, -0.94, -0.33, 12.53, 1.32, 52.80, 0.01, 340.00, 16.00, 0.00, 440.00, 28.00, 0.00, 276.00, 20.00, 0.00, 392.00, 16.00, 0.00
189776, 2, 1.20, 0.50, -0.80, -0.31, 4.57, 1.32, 52.80, 0.01, 340.00, 16.00, 0.00, 440.00, 28.00, 0.00, 276.00, 20.00, 0.00, 392.00, 16.00, 0.00
189822, 2, 1.20, 0.50, -0.74, -0.30, 2.26, 1.32, 52.80, 0.01, 340.00, 16.00, 0.00, 440.00, 28.00, 0.00, 276.00, 20.00, 0.00, 392.00, 16.00, 0.00
189828, 2, 1.20, 0.50, -0.69, -0.29, 1.35, 1.32, 52.80, 0.01, 340.00, 16.00, 0.00, 440.00, 28.00, 0.16, 276.00, 20.00, 0.00, 392.00, 16.00, 0.00
189836, 2, 1.20, 0.50, -0.68, -0.26, 0.81, 1.32, 52.80, 0.01, 340.00, 16.00, 0.00, 440.00, 20.00, 1.65, 276.00, 20.00, 0.00, 392.00, 16.00, 0.00
189846, 2, 1.20, 0.50, -0.66, -0.21, 0.63, 1.32, 52.80, 0.01, 340.00, 16.00, 0.00, 440.00, 52.00, 3.35, 276.00, 20.00, 0.00, 392.00, 16.00, 0.89
189856, 2, 1.20, 0.50, -0.62, -0.13, 1.02, 1.32, 52.80, 0.01, 340.00, 16.00, 0.00, 440.00, 196.00, 2.63, 276.00, 20.00, 0.00, 392.00, 8.00, 3.11
189866, 2, 1.20, 0.50, -0.66, 0.16, 1.68, 1.32, 52.80, 0.01, 340.00, 8.00, 0.60, 440.00, 308.00, 2.37, 276.00, 20.00, 0.00, 392.00, 84.00, 2.82
189876, 2, 1.20, 0.50, -0.61, 0.40, 2.11, 1.32, 52.80, 0.01, 340.00, 16.00, 2.42, 440.00, 392.00, 1.88, 276.00, 20.00, 0.00, 392.00, 224.00, 2.58
189886, 2, 1.20, 0.50, -0.67, 0.72, 2.76, 1.32, 52.80, 0.01, 340.00, 64.00, 2.09, 440.00, 460.00, 1.32, 276.00, 20.00, 0.00, 392.00, 292.00, 2.53
189896, 2, 1.20, 0.50, -0.68, 0.94, 3.66, 1.32, 52.80, 0.01, 340.00, 184.00, 1.70, 440.00, 468.00, 0.86, 276.00, 20.00, 0.00, 392.00, 360.00, 2.16
189906, 2, 1.20, 0.50, -0.70, 1.13, 4.76, 1.32, 52.80, 0.01, 340.00, 244.00, 1.81, 440.00, 468.00, 0.53, 276.00, 20.00, 0.05, 392.00, 400.00, 2.00
189916, 2, 1.20, 0.50, -0.66, 1.13, 6.40, 1.32, 52.80, 0.01, 340.00, 288.00, 1.68, 440.00, 472.00, 0.44, 276.00, 20.00, 1.25, 392.00, 432.00, 1.56
189926, 2, 1.20, 0.50, -0.61, 1.26, 8.67, 1.32, 52.80, 0.01, 340.00, 336.00, 1.53, 440.00, 460.00, 0.46, 276.00, 32.00, 2.49, 392.00, 440.00, 1.25
