timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
37835, 0, 0.50, 0.50, -0.47, -0.24, -0.17, -0.00, 1.32, 52.80, 0.01, 0.35, 0.08, 0.00, 0.46, 0.11, 0.00, 0.30, 0.00, 0.00, 0.42, 0.07, 0.00, 0.00, 0.50, 1.00, 0.38, 0.00000, 0.00000
37867, 0, 0.50, 0.50, -0.47, -0.25, -0.24, -0.01, 1.32, 52.80, 0.01, 0.38, 0.08, 0.00, 0.49, 0.11, 0.00, 0.31, 0.00, 0.00, 0.44, 0.07, 0.00, 57.30, 0.51, 1.00, 0.40, 0.00000, 0.00000
37888, 0, 0.50, 0.50, -0.48, -0.25, -0.26, -0.01, 1.32, 52.80, 0.01, 0.39, 0.08, 0.00, 0.52, 0.11, 0.00, 0.32, 0.00, 0.00, 0.46, 0.07, 0.00, 57.30, 0.51, 1.00, 0.42, 0.00000, 0.00000
37896, 0, 0.50, 0.50, -0.48, -0.24, -0.25, -0.01, 1.32, 52.80, 0.01, 0.42, 0.08, 0.00, 0.55, 0.11, 0.00, 0.34, 0.00, 0.00, 0.49, 0.07, 0.00, 57.30, 0.51, 1.00, 0.44, 0.00000, 0.00000
37913, 0, 0.50, 0.50, -0.48, -0.25, -0.26, -0.02, 1.32, 52.80, 0.01, 0.44, 0.08, 0.00, 0.58, 0.11, 0.00, 0.35, 0.00, 0.00, 0.51, 0.07, 0.00, 57.30, 0.52, 1.00, 0.46, 0.00000, 0.00000
37921, 0, 0.50, 0.50, -0.48, -0.25, -0.27, -0.02, 1.32, 52.80, 0.01, 0.46, 0.08, 0.00, 0.61, 0.11, 0.00, 0.38, 0.00, 0.00, 0.54, 0.07, 0.00, 57.30, 0.52, 1.00, 0.48, 0.00000, 0.00000
37929, 0, 0.50, 0.50, -0.48, -0.25, -0.27, -0.02, 1.32, 52.80, 0.01, 0.48, 0.08, 0.00, 0.63, 0.11, 0.00, 0.39, 0.00, 0.00, 0.56, 0.07, 0.00, 57.30, 0.52, 1.00, 0.50, 0.00000, 0.00000
37946, 0, 0.50, 0.50, -0.48, -0.25, -0.27, -0.03, 1.32, 52.80, 0.01, 0.51, 0.08, 0.00, 0.65, 0.11, 0.00, 0.41, 0.00, 0.00, 0.58, 0.07, 0.00, 57.30, 0.53, 1.00, 0.52, 0.00000, 0.00000
37955, 0, 0.50, 0.50, -0.48, -0.25, -0.27, -0.03, 1.32, 52.80, 0.01, 0.52, 0.08, 0.00, 0.68, 0.11, 0.00, 0.42, 0.00, 0.00, 0.61, 0.07, 0.00, 57.30, 0.53, 1.00, 0.54, 0.00000, 0.00000
37968, 0, 0.50, 0.50, -0.48, -0.25, -0.27, -0.03, 1.32, 52.80, 0.01, 0.55, 0.08, 0.00, 0.70, 0.11, 0.00, 0.44, 0.00, 0.00, 0.63, 0.07, 0.00, 57.30, 0.53, 1.00, 0.56, 0.00000, 0.00000
37984, 0, 0.50, 0.50, -0.48, -0.25, -0.26, -0.04, 1.32, 52.80, 0.01, 0.56, 0.08, 0.00, 0.73, 0.11, 0.00, 0.45, 0.00, 0.00, 0.65, 0.07, 0.00, 57.30, 0.54, 1.00, 0.58, 0.00000, 0.00000
37995, 0, 0.50, 0.50, -0.48, -0.25, -0.26, -0.04, 1.32, 52.80, 0.01, 0.58, 0.08, 0.00, 0.76, 0.11, 0.00, 0.48, 0.00, 0.00, 0.68, 0.07, 0.00, 57.30, 0.54, 1.00, 0.60, 0.00000, 0.00000
38008, 0, 0.50, 0.50, -0.48, -0.24, -0.26, -0.04, 1.32, 52.80, 0.01, 0.61, 0.08, 0.00, 0.79, 0.11, 0.00, 0.49, 0.00, 0.00, 0.70, 0.07, 0.00, 57.30, 0.54, 1.00, 0.62, 0.00000, 0.00000
38024, 0, 0.50, 0.50, -0.48, -0.25, -0.27, -0.05, 1.32, 52.80, 0.01, 0.62, 0.08, 0.00, 0.82, 0.11, 0.00, 0.51, 0.00, 0.00, 0.72, 0.07, 0.00, 57.30, 0.55, 1.00, 0.64, 0.00000, 0.00000
38035, 0, 0.50, 0.50, -0.48, -0.25, -0.27, -0.05, 1.32, 52.80, 0.01, 0.65, 0.08, 0.00, 0.83, 0.11, 0.00, 0.52, 0.00, 0.00, 0.75, 0.07, 0.00, 57.30, 0.55, 1.00, 0.66, 0.00000, 0.00000
