timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
127982, 0, 0.50, 0.50, -0.31, 0.82, 27.29, -6.12, 1.32, 52.80, 0.01, 3.58, 0.03, 0.00, 3.58, 0.04, 0.00, 3.58, 0.06, 0.00, 3.58, 0.03, 0.00, 22.66, 6.62, 1.00, 31.89, 0.99668, 1.00000
128021, 0, 0.50, 0.50, -0.29, 0.07, 16.07, -6.12, 1.32, 52.80, 0.01, 3.58, 0.01, 2.23, 3.58, 0.10, 2.82, 3.58, 0.04, 2.47, 3.58, 0.01, 2.63, 19.02, 6.62, 1.00, 21.00, 1.00651, 1.00000
128030, 0, 0.50, 0.50, -0.34, 0.65, 8.88, -6.11, 1.32, 52.80, 0.01, 3.58, 0.10, 2.25, 3.58, 0.35, 3.16, 3.58, 0.41, 2.23, 3.58, 0.15, 3.12, 30.00, 6.61, 1.00, 13.70, 1.01235, 1.00000
128044, 0, 0.50, 0.50, -0.12, 0.64, 6.87, -6.10, 1.32, 52.80, 0.01, 3.58, 0.79, 1.68, 3.58, 1.18, 2.63, 3.58, 0.82, 1.77, 3.58, 0.96, 2.65, 41.22, 6.60, 1.00, 11.48, 1.01559, 1.00000
128052, 0, 0.50, 0.50, 0.16, 0.39, 7.18, -6.10, 1.32, 52.80, 0.01, 3.58, 1.14, 1.68, 3.58, 1.31, 2.19, 3.58, 1.00, 1.82, 3.58, 1.23, 2.39, 48.42, 6.60, 1.00, 11.70, 1.01721, 1.00000
128062, 0, 0.50, 0.50, -0.29, 1.24, 8.34, -6.08, 1.32, 52.80, 0.01, 3.58, 1.24, 1.51, 3.58, 1.62, 1.19, 3.58, 1.44, 1.54, 3.58, 1.30, 1.46, 50.42, 6.58, 1.00, 12.85, 1.01818, 1.00000
128075, 0, 0.50, 0.50, -0.27, 1.66, 9.52, -6.06, 1.32, 52.80, 0.01, 3.58, 1.35, 0.88, 3.58, 1.59, 0.67, 3.58, 1.69, 0.95, 3.58, 1.24, 0.91, 50.12, 6.56, 1.00, 14.07, 1.01889, 1.00000
128088, 0, 0.50, 0.50, -0.37, 1.72, 11.58, -6.04, 1.32, 52.80, 0.01, 3.58, 1.44, 0.72, 3.58, 1.62, 0.58, 3.58, 1.35, 0.79, 3.58, 1.35, 0.79, 48.96, 6.54, 1.00, 16.15, 1.01971, 1.00000
128102, 0, 0.50, 0.50, -0.53, 1.65, 13.81, -6.02, 1.32, 52.80, 0.01, 3.58, 1.48, 0.68, 3.58, 1.62, 0.54, 3.58, 1.41, 0.72, 3.58, 1.35, 0.75, 47.78, 6.52, 1.00, 18.41, 1.02004, 1.00000
128115, 0, 0.50, 0.50, -0.41, 1.67, 15.91, -5.99, 1.32, 52.80, 0.01, 3.58, 1.49, 0.63, 3.58, 1.62, 0.54, 3.58, 1.46, 0.74, 3.58, 1.31, 0.84, 45.71, 6.49, 1.00, 20.56, 1.02022, 1.00000
128128, 0, 0.50, 0.50, -0.53, 2.01, 19.79, -5.97, 1.32, 52.80, 0.01, 3.58, 1.52, 0.67, 3.58, 1.65, 0.54, 3.58, 1.66, 0.70, 3.58, 1.28, 0.84, 43.49, 6.47, 1.00, 24.44, 1.02044, 1.00000
128142, 0, 0.50, 0.50, -0.63, 1.71, 24.04, -5.94, 1.32, 52.80, 0.01, 3.58, 1.52, 0.68, 3.58, 1.69, 0.53, 3.58, 1.93, 0.61, 3.58, 1.27, 0.88, 41.39, 6.44, 1.00, 28.70, 1.01850, 1.00000
