timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
387288, 0, 0.50, 0.50, -0.49, -0.81, -10.74, -13.60, 1.32, 52.80, 0.01, 3.58, 0.06, 0.00, 3.58, 0.01, 0.00, 3.58, 0.03, 0.00, 3.58, 0.01, 0.00, 57.30, 14.10, 1.00, 8.55, 0.00000, 0.00000
387313, 0, 0.50, 0.50, -0.50, -0.52, -9.64, -13.61, 1.32, 52.80, 0.01, 3.58, 0.06, 0.00, 3.58, 0.01, 0.00, 3.58, 0.03, 0.02, 3.58, 0.01, 0.00, 57.30, 14.11, 1.00, 8.57, 0.00000, 0.00000
387363, 0, 0.50, 0.50, -0.27, -0.78, -7.04, -13.62, 1.32, 52.80, 0.01, 3.58, 1.03, 1.54, 3.58, 1.07, 1.63, 3.58, 1.03, 1.53, 3.58, 1.18, 1.47, 57.30, 14.12, 1.00, 8.59, 0.00000, 0.00000
387372, 0, 0.50, 0.50, -0.28, 0.42, -3.13, -13.61, 1.32, 52.80, 0.01, 3.58, 1.18, 1.04, 3.58, 1.11, 1.02, 3.58, 1.06, 1.09, 3.58, 2.39, 0.75, 57.30, 14.11, 1.00, 8.61, 0.00000, 0.00000
387383, 0, 0.50, 0.50, -0.23, 1.18, 1.90, -13.60, 1.32, 52.80, 0.01, 3.58, 1.30, 0.74, 3.58, 1.17, 0.86, 3.58, 1.03, 0.84, 3.58, 1.59, 0.74, 57.30, 14.10, 1.00, 8.63, 0.00003, 0.00000
387395, 0, 0.50, 0.50, -0.32, 1.89, 7.34, -13.57, 1.32, 52.80, 0.01, 3.58, 1.35, 0.63, 3.58, 1.20, 0.75, 3.58, 1.15, 0.79, 3.58, 1.18, 0.70, 57.30, 14.07, 1.00, 8.64, 0.00007, 0.00000
387408, 0, 0.50, 0.50, -0.35, 2.23, 13.21, -13.54, 1.32, 52.80, 0.01, 3.58, 1.42, 0.58, 3.58, 1.20, 0.74, 3.58, 1.15, 0.79, 3.58, 1.20, 0.67, 55.40, 14.04, 1.00, 8.62, -0.00009, 0.00000
387422, 0, 0.50, 0.50, -0.40, 1.96, 18.26, -13.51, 1.32, 52.80, 0.01, 3.58, 1.49, 0.53, 3.58, 1.20, 0.75, 3.58, 1.11, 0.82, 3.58, 1.32, 0.63, 49.96, 14.01, 1.00, 8.59, -0.00037, 0.00000
387435, 0, 0.50, 0.50, -0.51, 1.91, 22.12, -13.49, 1.32, 52.80, 0.01, 3.58, 1.56, 0.49, 3.58, 1.20, 0.77, 3.58, 1.11, 0.82, 3.58, 1.30, 0.58, 44.08, 13.99, 1.00, 8.57, -0.00066, 0.00000
387448, 0, 0.50, 0.50, -0.57, 2.27, 25.21, -13.46, 1.32, 52.80, 0.01, 3.58, 1.62, 0.49, 3.58, 1.15, 0.82, 3.58, 1.08, 0.91, 3.58, 1.49, 0.58, 39.04, 13.96, 1.00, 8.55, -0.00088, 0.00000
387512, 0, 0.50, 0.50, -0.63, 2.07, 30.76, -13.43, 1.32, 52.80, 0.01, 3.58, 1.72, 0.44, 3.58, 1.21, 0.84, 3.58, 1.13, 0.86, 3.58, 1.59, 0.58, 35.18, 13.93, 1.00, 8.53, -0.00106, 0.00000
387521, 0, 0.50, 0.50, -0.54, 2.10, 35.89, -13.40, 1.32, 52.80, 0.01, 3.58, 1.75, 0.44, 3.58, 1.23, 0.82, 3.58, 1.14, 0.89, 3.58, 1.51, 0.58, 32.09, 13.90, 1.00, 8.48, -0.00173, 0.00000
387529, 0, 0.50, 0.50, -0.75, 2.16, 40.33, -13.37, 1.32, 52.80, 0.01, 3.58, 1.75, 0.46, 3.58, 1.56, 0.82, 3.58, 1.17, 0.88, 3.58, 1.62, 0.58, 26.54, 13.87, 1.00, 8.42, -0.00246, 0.00000
