timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
242229, 0, 0.90, 0.50, -1.38, -0.70, 69.85, -6.52, 1.32, 52.80, 0.01, 1.06, 0.08, 0.00, 1.37, 0.11, 0.00, 0.86, 0.10, 0.00, 1.23, 0.13, 0.00, 0.01, 7.42, 1.00, 1.07, -0.00589, 0.05000
242256, 0, 0.90, 0.50, -1.15, -0.45, 47.56, -6.53, 1.32, 52.80, 0.01, 1.25, 0.08, 0.00, 1.62, 0.11, 0.00, 1.03, 0.10, 0.00, 1.45, 0.08, 0.00, 23.51, 7.43, 1.00, 1.26, -0.00538, 0.05000
242269, 0, 0.90, 0.50, -0.97, -0.41, 22.57, -6.53, 1.32, 52.80, 0.01, 1.48, 0.08, 0.00, 1.92, 0.11, 0.00, 1.21, 0.10, 0.00, 1.72, 0.08, 0.00, 33.28, 7.43, 1.00, 1.48, -0.00484, 0.05000
242282, 0, 0.90, 0.50, -0.87, -0.50, 9.00, -6.54, 1.32, 52.80, 0.01, 1.65, 0.08, 0.00, 2.13, 0.11, 0.00, 1.34, 0.10, 0.00, 1.90, 0.08, 0.00, 55.57, 7.44, 1.00, 1.64, -0.00459, 0.05000
242296, 0, 0.90, 0.50, -0.79, -0.35, 4.19, -6.55, 1.32, 52.80, 0.01, 1.73, 0.08, 0.00, 2.23, 0.11, 0.00, 1.41, 0.10, 0.00, 2.00, 0.08, 0.00, 80.56, 7.45, 1.00, 1.73, -0.00452, 0.05000
242309, 0, 0.90, 0.50, -0.73, -0.28, 2.36, -6.55, 1.32, 52.80, 0.01, 1.76, 0.08, 0.00, 2.28, 0.11, 0.00, 1.45, 0.10, 0.00, 2.04, 0.08, 0.00, 94.13, 7.45, 1.00, 1.77, -0.00450, 0.05000
242322, 0, 0.90, 0.50, -0.67, -0.35, 1.56, -6.55, 1.32, 52.80, 0.01, 1.79, 0.08, 0.00, 2.32, 0.11, 2.04, 1.46, 0.10, 0.00, 2.07, 0.08, 0.98, 98.94, 7.45, 1.00, 1.79, -0.00449, 0.05000
242336, 0, 0.90, 0.50, -0.57, 0.00, 1.61, -6.55, 1.32, 52.80, 0.01, 1.82, 0.08, 0.39, 2.35, 0.20, 2.42, 1.48, 0.10, 0.00, 2.10, 0.06, 3.60, 100.78, 7.45, 1.00, 1.81, -0.00448, 0.05000
242363, 0, 0.90, 0.50, -0.43, 0.22, 3.14, -6.55, 1.32, 52.80, 0.01, 1.83, 0.56, 1.93, 2.37, 1.18, 2.33, 1.49, 0.07, 0.02, 2.11, 0.92, 2.44, 101.57, 7.45, 1.00, 1.82, -0.00446, 0.05000
242376, 0, 0.90, 0.50, -0.34, 0.47, 5.57, -6.54, 1.32, 52.80, 0.01, 1.83, 0.96, 1.70, 2.37, 1.46, 1.91, 1.49, 0.07, 1.65, 2.11, 1.65, 2.40, 101.52, 7.44, 1.00, 1.83, -0.00444, 0.05000
242389, 0, 0.90, 0.50, -0.46, 1.04, 8.93, -6.53, 1.32, 52.80, 0.01, 1.82, 1.15, 1.54, 2.35, 1.75, 1.88, 1.49, 0.55, 1.77, 2.11, 1.45, 2.00, 100.00, 7.43, 1.00, 1.82, -0.00441, 0.05000
242403, 0, 0.90, 0.50, -0.63, 1.01, 13.44, -6.52, 1.32, 52.80, 0.01, 1.80, 1.45, 1.89, 2.34, 2.00, 1.32, 1.48, 0.90, 2.25, 2.10, 1.48, 1.79, 97.56, 7.42, 1.00, 1.81, -0.00439, 0.05000
242416, 0, 0.90, 0.50, -0.41, 0.96, 17.96, -6.50, 1.32, 52.80, 0.01, 1.79, 1.62, 0.96, 2.31, 2.04, 0.56, 1.46, 1.15, 1.25, 2.07, 1.51, 1.09, 94.20, 7.40, 1.00, 1.79, -0.00438, 0.05000
242429, 0, 0.90, 0.50, -0.49, 1.18, 22.14, -6.49, 1.32, 52.80, 0.01, 1.77, 1.65, 0.77, 2.30, 2.08, 0.60, 1.45, 1.18, 0.37, 2.06, 1.55, 1.00, 89.70, 7.39, 1.00, 1.77, -0.00437, 0.05000
242442, 0, 0.90, 0.50, -0.60, 1.43, 26.05, -6.47, 1.32, 52.80, 0.01, 1.76, 1.68, 0.79, 2.27, 2.07, 0.51, 1.44, 1.31, 1.11, 2.03, 1.51, 0.91, 85.17, 7.37, 1.00, 1.76, -0.00436, 0.05000
