timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
157896, 0, 0.50, 0.50, -0.48, -0.26, -0.23, -0.00, 1.32, 52.80, 0.01, 0.17, 1.00, 0.00, 0.23, 1.00, 0.00, 0.14, 0.00, 0.00, 0.20, 1.00, 0.00, 0.00, 0.50, 1.00, 0.19, 0.05000, 0.05000
157939, 0, 0.50, 0.50, -0.72, 1.17, 4.11, 0.01, 1.32, 52.80, 0.01, 0.39, 0.17, 1.14, 0.51, 0.27, 1.02, 0.31, 0.15, 1.00, 0.45, 0.18, 1.25, 57.30, 0.49, 1.00, 0.40, 0.05001, 0.05000
157956, 0, 0.50, 0.50, -0.64, 1.81, 6.86, 0.04, 1.32, 52.80, 0.01, 0.52, 0.42, 1.05, 0.68, 0.52, 1.02, 0.42, 0.35, 0.89, 0.61, 0.38, 2.05, 57.30, 0.46, 1.00, 0.54, 0.05001, 0.05000
157964, 0, 0.50, 0.50, -0.65, 2.24, 9.17, 0.07, 1.32, 52.80, 0.01, 0.63, 0.46, 1.07, 0.83, 0.52, 1.11, 0.52, 0.39, 0.89, 0.75, 0.51, 2.12, 53.18, 0.43, 1.00, 0.65, 0.05001, 0.05000
157981, 0, 0.50, 0.50, -0.74, 2.24, 11.85, 0.10, 1.32, 52.80, 0.01, 0.77, 0.69, 1.12, 1.01, 0.85, 1.49, 0.63, 0.52, 1.40, 0.90, 0.87, 0.86, 50.43, 0.40, 1.00, 0.79, 0.05001, 0.05000
157989, 0, 0.50, 0.50, -0.74, 2.44, 13.85, 0.13, 1.32, 52.80, 0.01, 0.87, 0.76, 1.07, 1.14, 1.13, 0.79, 0.72, 0.61, 1.19, 1.01, 0.89, 1.16, 48.12, 0.37, 1.00, 0.89, 0.05001, 0.05000
158002, 0, 0.50, 0.50, -0.64, 2.15, 15.76, 0.16, 1.32, 52.80, 0.01, 0.97, 1.01, 0.75, 1.27, 1.00, 1.72, 0.80, 0.69, 1.35, 1.13, 1.06, 1.35, 45.45, 0.34, 1.00, 0.99, 0.05002, 0.05000
158020, 0, 0.50, 0.50, -0.59, 2.22, 18.28, 0.19, 1.32, 52.80, 0.01, 1.11, 0.87, 1.39, 1.44, 1.15, 0.82, 0.90, 0.79, 0.72, 1.28, 1.13, 1.11, 43.45, 0.31, 1.00, 1.11, 0.05002, 0.05000
158029, 0, 0.50, 0.50, -0.61, 2.14, 21.13, 0.22, 1.32, 52.80, 0.01, 1.25, 1.14, 1.11, 1.62, 2.00, 1.00, 1.01, 0.83, 1.19, 1.45, 1.76, 0.84, 41.54, 0.28, 1.00, 1.25, 0.05002, 0.05000
158042, 0, 0.50, 0.50, -0.57, 2.10, 24.38, 0.24, 1.32, 52.80, 0.01, 1.41, 1.04, 1.14, 1.83, 1.17, 1.58, 1.15, 1.00, 1.42, 1.63, 1.06, 2.32, 39.01, 0.26, 1.00, 1.41, 0.05000, 0.05000
158060, 0, 0.50, 0.50, -0.54, 2.26, 29.52, 0.27, 1.32, 52.80, 0.01, 1.66, 1.28, 1.61, 2.15, 1.48, 1.44, 1.37, 1.23, 0.86, 1.93, 1.45, 1.98, 36.17, 0.23, 1.00, 1.67, 0.04996, 0.05000
158069, 0, 0.50, 0.50, -0.49, 1.96, 34.97, 0.30, 1.32, 52.80, 0.01, 1.93, 1.49, 1.65, 2.49, 1.73, 1.58, 1.58, 1.27, 1.09, 2.23, 1.92, 1.86, 32.91, 0.20, 1.00, 1.92, 0.04985, 0.05000
158082, 0, 0.50, 0.50, -0.50, 2.04, 40.30, 0.33, 1.32, 52.80, 0.01, 2.17, 1.72, 1.30, 2.82, 1.92, 1.46, 1.77, 1.46, 1.54, 2.52, 2.27, 1.19, 27.78, 0.17, 1.00, 2.17, 0.04969, 0.05000
