timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
192042, 0, 0.50, 0.50, -1.27, -0.17, 54.76, -2.94, 1.32, 52.80, 0.01, 0.56, 0.10, 0.00, 0.73, 0.11, 0.00, 0.45, 0.10, 0.00, 0.65, 0.10, 0.00, 0.17, 3.44, 1.00, 0.58, -0.00620, 0.05000
192067, 0, 0.50, 0.50, -1.06, -0.19, 48.55, -2.94, 1.32, 52.80, 0.01, 0.62, 0.10, 0.00, 0.80, 0.11, 0.00, 0.49, 0.10, 0.00, 0.72, 0.10, 0.00, 0.14, 3.44, 1.00, 0.63, -0.00608, 0.05000
192075, 0, 0.50, 0.50, -0.90, -0.20, 36.31, -2.94, 1.32, 52.80, 0.01, 0.72, 0.10, 0.00, 0.93, 0.11, 0.00, 0.59, 0.10, 0.00, 0.83, 0.10, 0.00, 2.53, 3.44, 1.00, 0.73, -0.00586, 0.05000
192088, 0, 0.50, 0.50, -0.79, -0.21, 21.41, -2.95, 1.32, 52.80, 0.01, 0.86, 0.10, 0.00, 1.11, 0.11, 0.00, 0.70, 0.10, 0.00, 0.99, 0.10, 0.00, 8.75, 3.45, 1.00, 0.87, -0.00559, 0.05000
192097, 0, 0.50, 0.50, -0.71, -0.22, 10.92, -2.95, 1.32, 52.80, 0.01, 0.97, 0.10, 0.00, 1.25, 0.11, 0.00, 0.79, 0.10, 0.00, 1.13, 0.10, 0.00, 20.99, 3.45, 1.00, 0.98, -0.00542, 0.05000
192109, 0, 0.50, 0.50, -0.66, -0.22, 5.79, -2.95, 1.32, 52.80, 0.01, 1.04, 0.10, 0.00, 1.35, 0.11, 0.00, 0.85, 0.10, 0.00, 1.21, 0.10, 0.00, 35.89, 3.45, 1.00, 1.05, -0.00535, 0.05000
192122, 0, 0.50, 0.50, -0.62, -0.23, 3.45, -2.95, 1.32, 52.80, 0.01, 1.08, 0.10, 0.00, 1.39, 0.11, 0.00, 0.87, 0.10, 0.00, 1.25, 0.10, 0.00, 46.38, 3.45, 1.00, 1.09, -0.00532, 0.05000
192136, 0, 0.50, 0.50, -0.60, -0.23, 2.22, -2.96, 1.32, 52.80, 0.01, 1.10, 0.10, 0.00, 1.42, 0.11, 0.00, 0.90, 0.10, 0.00, 1.28, 0.10, 0.00, 51.51, 3.46, 1.00, 1.11, -0.00531, 0.05000
192149, 0, 0.50, 0.50, -0.59, -0.23, 1.54, -2.96, 1.32, 52.80, 0.01, 1.11, 0.10, 0.00, 1.45, 0.11, 0.00, 0.92, 0.10, 0.00, 1.30, 0.10, 0.00, 53.85, 3.46, 1.00, 1.13, -0.00530, 0.05000
192162, 0, 0.50, 0.50, -0.57, -0.24, 1.12, -2.96, 1.32, 52.80, 0.01, 1.13, 0.10, 0.00, 1.46, 0.11, 0.00, 0.93, 0.10, 0.00, 1.31, 0.10, 0.00, 55.08, 3.46, 1.00, 1.14, -0.00530, 0.05000
192176, 0, 0.50, 0.50, -0.56, -0.24, 0.86, -2.97, 1.32, 52.80, 0.01, 1.14, 0.10, 0.00, 1.48, 0.11, 0.00, 0.93, 0.10, 0.00, 1.32, 0.10, 0.00, 55.75, 3.47, 1.00, 1.15, -0.00530, 0.05000
192189, 0, 0.50, 0.50, -0.55, -0.24, 0.66, -2.97, 1.32, 52.80, 0.01, 1.15, 0.10, 0.00, 1.49, 0.11, 0.07, 0.94, 0.10, 0.00, 1.34, 0.10, 0.00, 56.17, 3.47, 1.00, 1.16, -0.00529, 0.05000
192202, 0, 0.50, 0.50, -0.55, -0.24, 0.53, -2.97, 1.32, 52.80, 0.01, 1.17, 0.10, 0.00, 1.51, 0.08, 2.49, 0.96, 0.10, 0.00, 1.35, 0.10, 0.67, 56.44, 3.47, 1.00, 1.18, -0.00529, 0.05000
192216, 0, 0.50, 0.50, -0.53, -0.21, 0.47, -2.98, 1.32, 52.80, 0.01, 1.18, 0.10, 0.00, 1.52, 0.42, 3.11, 0.96, 0.10, 0.00, 1.37, 0.11, 3.02, 56.63, 3.48, 1.00, 1.19, -0.00529, 0.05000
192243, 0, 0.50, 0.50, -0.51, -0.08, 0.89, -2.98, 1.32, 52.80, 0.01, 1.18, 0.18, 2.60, 1.54, 1.41, 2.00, 0.97, 0.10, 0.00, 1.38, 1.03, 2.47, 56.77, 3.48, 1.00, 1.19, -0.00529, 0.05000
192256, 0, 0.50, 0.50, -0.58, 0.11, 1.72, -2.98, 1.32, 52.80, 0.01, 1.20, 0.79, 1.46, 1.55, 1.54, 1.09, 0.97, 0.07, 0.02, 1.38, 1.69, 2.14, 56.82, 3.48, 1.00, 1.20, -0.00528, 0.05000
192269, 0, 0.50, 0.50, -0.59, 0.43, 3.38, -2.97, 1.32, 52.80, 0.01, 1.20, 1.00, 1.61, 1.54, 1.68, 1.21, 0.97, 0.07, 0.09, 1.38, 1.48, 0.61, 56.41, 3.47, 1.00, 1.20, -0.00528, 0.05000
192285, 0, 0.50, 0.50, -0.56, 0.68, 5.66, -2.96, 1.32, 52.80, 0.01, 1.18, 1.04, 0.61, 1.54, 1.73, 0.86, 0.97, 0.14, 1.95, 1.37, 1.21, 1.25, 55.58, 3.46, 1.00, 1.19, -0.00527, 0.05000
192296, 0, 0.50, 0.50, -0.64, 0.68, 8.74, -2.95, 1.32, 52.80, 0.01, 1.17, 1.37, 0.75, 1.51, 1.68, 0.51, 0.96, 0.77, 1.91, 1.35, 1.32, 2.16, 53.91, 3.45, 1.00, 1.17, -0.00526, 0.05000
192309, 0, 0.50, 0.50, -0.44, 0.68, 13.24, -2.94, 1.32, 52.80, 0.01, 1.14, 0.93, 0.26, 1.48, 1.62, 0.37, 0.93, 0.76, 0.53, 1.32, 1.25, 1.53, 51.63, 3.44, 1.00, 1.15, -0.00527, 0.05000
192322, 0, 0.50, 0.50, -0.54, 0.36, 18.33, -2.94, 1.32, 52.80, 0.01, 1.11, 0.97, 1.77, 1.44, 1.46, 0.70, 0.90, 0.76, 0.96, 1.28, 1.31, 0.68, 48.55, 3.44, 1.00, 1.12, -0.00530, 0.05000
192336, 0, 0.50, 0.50, -0.52, 1.08, 23.41, -2.92, 1.32, 52.80, 0.01, 1.07, 1.13, 0.93, 1.39, 1.48, 1.12, 0.87, 0.77, 0.95, 1.24, 1.28, 1.12, 44.06, 3.42, 1.00, 1.08, -0.00537, 0.05000
192349, 0, 0.50, 0.50, -0.55, 1.77, 28.44, -2.90, 1.32, 52.80, 0.01, 1.03, 1.08, 0.49, 1.34, 1.54, 0.96, 0.85, 0.99, 0.30, 1.20, 1.24, 0.56, 38.96, 3.40, 1.00, 1.04, -0.00545, 0.05000
192362, 0, 0.50, 0.50, -0.54, 1.66, 32.66, -2.88, 1.32, 52.80, 0.01, 1.00, 0.97, 0.89, 1.28, 1.31, 0.82, 0.82, 0.79, 1.05, 1.15, 1.21, 0.46, 33.89, 3.38, 1.00, 1.00, -0.00555, 0.05000
192376, 0, 0.50, 0.50, -0.60, 1.90, 36.30, -2.85, 1.32, 52.80, 0.01, 0.96, 0.96, 0.56, 1.24, 1.11, 0.70, 0.79, 0.79, 0.61, 1.11, 1.15, 0.93, 28.86, 3.35, 1.00, 0.97, -0.00565, 0.05000
192389, 0, 0.50, 0.50, -0.54, 2.45, 39.97, -2.82, 1.32, 52.80, 0.01, 0.93, 0.93, 0.49, 1.21, 1.00, 0.19, 0.76, 0.82, 0.68, 1.07, 1.15, 0.70, 24.63, 3.32, 1.00, 0.94, -0.00574, 0.05000
192402, 0, 0.50, 0.50, -0.60, 1.64, 43.33, -2.80, 1.32, 52.80, 0.01, 0.90, 0.92, 0.53, 1.17, 0.93, 1.19, 0.73, 0.80, 0.54, 1.04, 1.11, 0.54, 21.00, 3.30, 1.00, 0.91, -0.00585, 0.05000
192416, 0, 0.50, 0.50, -0.56, 2.51, 46.59, -2.76, 1.32, 52.80, 0.01, 0.86, 0.86, 0.74, 1.13, 0.99, 0.35, 0.70, 0.69, 0.91, 1.00, 1.03, 0.32, 17.32, 3.26, 1.00, 0.87, -0.00596, 0.05000
192429, 0, 0.50, 0.50, -0.63, 2.65, 49.79, -2.73, 1.32, 52.80, 0.01, 0.83, 0.86, 0.61, 1.07, 1.00, 0.79, 0.68, 0.77, 0.88, 0.96, 1.06, 0.58, 13.97, 3.23, 1.00, 0.84, -0.00608, 0.05000
192442, 0, 0.50, 0.50, -0.70, 2.58, 52.42, -2.69, 1.32, 52.80, 0.01, 0.80, 0.83, 0.58, 1.04, 0.96, 0.37, 0.65, 0.69, 0.72, 0.93, 0.77, 1.33, 10.71, 3.19, 1.00, 0.81, -0.00622, 0.05000
192456, 0, 0.50, 0.50, -0.76, 2.44, 54.81, -2.66, 1.32, 52.80, 0.01, 0.77, 0.80, 0.54, 1.00, 1.03, 0.91, 0.62, 0.65, 0.60, 0.89, 0.86, 1.07, 7.50, 3.16, 1.00, 0.78, -0.00634, 0.05000
192469, 0, 0.50, 0.50, -1.03, 2.37, 57.73, -2.63, 1.32, 52.80, 0.01, 0.73, 0.79, 0.46, 0.96, 0.90, 1.09, 0.61, 0.56, 0.75, 0.86, 0.79, 0.47, 4.88, 3.13, 1.00, 0.75, -0.00646, 0.05000
192482, 0, 0.50, 0.50, -1.27, 2.12, 59.91, -2.60, 1.32, 52.80, 0.01, 0.70, 0.83, 0.12, 0.92, 0.97, 0.49, 0.58, 0.58, 0.93, 0.82, 0.82, 1.12, 2.49, 3.10, 1.00, 0.71, -0.00662, 0.05000
192496, 0, 0.50, 0.50, -1.44, 1.91, 61.43, -2.58, 1.32, 52.80, 0.01, 0.68, 0.70, 0.39, 0.87, 0.89, 0.84, 0.55, 0.59, 0.39, 0.79, 0.85, 0.12, -0.44, 3.08, 1.00, 0.69, -0.00675, 0.05000
192509, 0, 0.50, 0.50, -1.54, 1.37, 63.80, -2.56, 1.32, 52.80, 0.01, 0.65, 0.72, 0.23, 0.85, 0.89, 0.49, 0.52, 0.58, 0.25, 0.75, 0.79, 0.51, -2.62, 3.06, 1.00, 0.66, -0.00686, 0.05000
192522, 0, 0.50, 0.50, -1.69, 0.69, 65.93, -2.55, 1.32, 52.80, 0.01, 0.62, 0.70, 0.12, 0.80, 0.86, 0.54, 0.49, 0.59, 0.23, 0.72, 0.89, 0.18, -4.13, 3.05, 1.00, 0.63, -0.00703, 0.05000
192552, 0, 0.50, 0.50, -1.60, -0.36, 66.69, -2.55, 1.32, 52.80, 0.01, 0.59, 0.65, 0.19, 0.76, 0.83, 0.42, 0.48, 0.49, 0.26, 0.69, 0.73, 0.09, -6.51, 3.05, 1.00, 0.60, -0.00719, 0.05000
192562, 0, 0.50, 0.50, -1.62, -0.43, 66.90, -2.56, 1.32, 52.80, 0.01, 0.58, 0.65, 0.30, 0.75, 0.92, 0.33, 0.46, 0.51, 0.11, 0.68, 0.72, 0.14, -8.63, 3.06, 1.00, 0.59, -0.00727, 0.05000
192576, 0, 0.50, 0.50, -1.51, -0.55, 66.82, -2.57, 1.32, 52.80, 0.01, 0.58, 0.66, 0.33, 0.75, 0.75, 0.40, 0.46, 0.48, 0.09, 0.66, 0.79, 0.46, -9.40, 3.07, 1.00, 0.59, -0.00732, 0.05000
192590, 0, 0.50, 0.50, -1.37, -1.06, 66.26, -2.58, 1.32, 52.80, 0.01, 0.58, 0.59, 0.32, 0.75, 0.82, 0.07, 0.46, 0.41, 0.53, 0.66, 0.70, 0.33, -9.61, 3.08, 1.00, 0.59, -0.00734, 0.05000
192602, 0, 0.50, 0.50, -1.23, -1.47, 65.65, -2.60, 1.32, 52.80, 0.01, 0.58, 0.59, 0.30, 0.75, 0.79, 0.19, 0.46, 0.49, 0.16, 0.68, 0.65, 0.32, -9.53, 3.10, 1.00, 0.59, -0.00734, 0.05000
192616, 0, 0.50, 0.50, -1.32, -1.64, 65.00, -2.62, 1.32, 52.80, 0.01, 0.59, 0.54, 0.33, 0.76, 0.73, 0.33, 0.48, 0.48, 0.16, 0.68, 0.66, 0.14, -8.96, 3.12, 1.00, 0.60, -0.00733, 0.05000
192629, 0, 0.50, 0.50, -1.37, -1.49, 63.96, -2.64, 1.32, 52.80, 0.01, 0.59, 0.54, 0.11, 0.77, 0.75, 0.26, 0.48, 0.46, 0.28, 0.69, 0.62, 0.25, -8.36, 3.14, 1.00, 0.61, -0.00732, 0.05000
192642, 0, 0.50, 0.50, -1.19, -1.40, 62.96, -2.66, 1.32, 52.80, 0.01, 0.61, 0.54, 0.04, 0.79, 0.72, 0.54, 0.49, 0.51, 0.07, 0.70, 0.63, 0.16, -7.70, 3.16, 1.00, 0.62, -0.00728, 0.05000
192656, 0, 0.50, 0.50, -1.19, -1.10, 62.28, -2.68, 1.32, 52.80, 0.01, 0.62, 0.55, 0.21, 0.80, 0.76, 0.51, 0.51, 0.48, 0.19, 0.72, 0.63, 0.44, -6.66, 3.18, 1.00, 0.63, -0.00724, 0.05000
192669, 0, 0.50, 0.50, -0.79, -0.84, 61.61, -2.69, 1.32, 52.80, 0.01, 0.62, 0.58, 0.30, 0.80, 0.80, 0.49, 0.51, 0.52, 0.21, 0.72, 0.63, 0.81, -5.67, 3.19, 1.00, 0.64, -0.00722, 0.05000
192682, 0, 0.50, 0.50, -0.71, -0.57, 61.42, -2.69, 1.32, 52.80, 0.01, 0.63, 0.58, 0.47, 0.82, 0.77, 0.61, 0.51, 0.49, 0.16, 0.73, 0.66, 0.70, -4.98, 3.19, 1.00, 0.64, -0.00720, 0.05000
192696, 0, 0.50, 0.50, -0.86, -0.33, 61.09, -2.70, 1.32, 52.80, 0.01, 0.63, 0.59, 0.67, 0.82, 0.83, 0.46, 0.51, 0.49, 0.19, 0.73, 0.69, 1.00, -4.32, 3.20, 1.00, 0.64, -0.00720, 0.05000
192709, 0, 0.50, 0.50, -1.01, -0.03, 61.24, -2.70, 1.32, 52.80, 0.01, 0.63, 0.59, 0.65, 0.82, 0.82, 0.49, 0.51, 0.51, 0.09, 0.73, 0.69, 0.89, -4.13, 3.20, 1.00, 0.64, -0.00719, 0.05000
192722, 0, 0.50, 0.50, -1.03, 0.11, 61.45, -2.70, 1.32, 52.80, 0.01, 0.62, 0.62, 0.72, 0.82, 0.86, 0.19, 0.51, 0.51, 0.12, 0.73, 0.72, 1.00, -3.79, 3.20, 1.00, 0.64, -0.00721, 0.05000
192736, 0, 0.50, 0.50, -1.18, 0.45, 61.80, -2.69, 1.32, 52.80, 0.01, 0.62, 0.68, 0.37, 0.80, 0.87, 0.26, 0.51, 0.51, 0.21, 0.72, 0.70, 1.07, -3.94, 3.19, 1.00, 0.63, -0.00724, 0.05000
192749, 0, 0.50, 0.50, -1.12, 0.49, 62.17, -2.69, 1.32, 52.80, 0.01, 0.62, 0.61, 0.58, 0.80, 0.79, 0.61, 0.49, 0.54, 0.09, 0.72, 0.75, 0.75, -4.15, 3.19, 1.00, 0.63, -0.00727, 0.05000
192762, 0, 0.50, 0.50, -0.88, 0.46, 62.58, -2.68, 1.32, 52.80, 0.01, 0.61, 0.66, 0.26, 0.79, 0.82, 0.28, 0.49, 0.46, 0.11, 0.70, 0.75, 0.86, -4.50, 3.18, 1.00, 0.62, -0.00731, 0.05000
192776, 0, 0.50, 0.50, -1.19, 0.38, 63.26, -2.67, 1.32, 52.80, 0.01, 0.59, 0.66, 0.18, 0.77, 0.83, 0.35, 0.48, 0.44, 0.40, 0.69, 0.73, 0.60, -4.88, 3.17, 1.00, 0.61, -0.00735, 0.05000
192789, 0, 0.50, 0.50, -1.09, 0.32, 63.91, -2.67, 1.32, 52.80, 0.01, 0.58, 0.62, 0.30, 0.76, 0.85, 0.21, 0.48, 0.54, 0.09, 0.68, 0.93, 0.37, -5.28, 3.17, 1.00, 0.60, -0.00741, 0.05000
192802, 0, 0.50, 0.50, -1.27, -0.02, 64.60, -2.67, 1.32, 52.80, 0.01, 0.58, 0.68, 0.30, 0.75, 0.77, 0.35, 0.46, 0.48, 0.16, 0.66, 0.69, 0.30, -5.96, 3.17, 1.00, 0.58, -0.00747, 0.05000
192816, 0, 0.50, 0.50, -1.45, -0.79, 64.67, -2.68, 1.32, 52.80, 0.01, 0.56, 0.62, 0.26, 0.73, 0.76, 0.21, 0.45, 0.44, 0.30, 0.65, 0.76, 0.44, -6.61, 3.18, 1.00, 0.58, -0.00754, 0.05000
192829, 0, 0.50, 0.50, -1.27, -0.94, 64.38, -2.69, 1.32, 52.80, 0.01, 0.56, 0.59, 0.26, 0.73, 0.76, 0.11, 0.45, 0.48, 0.07, 0.65, 0.69, 0.28, -7.30, 3.19, 1.00, 0.58, -0.00757, 0.05000
192857, 0, 0.50, 0.50, -1.16, -1.47, 63.66, -2.71, 1.32, 52.80, 0.01, 0.56, 0.52, 0.21, 0.73, 0.68, 0.44, 0.46, 0.44, 0.04, 0.66, 0.59, 0.14, -7.38, 3.21, 1.00, 0.58, -0.00758, 0.05000
192869, 0, 0.50, 0.50, -1.27, -1.20, 62.80, -2.73, 1.32, 52.80, 0.01, 0.58, 0.52, 0.04, 0.75, 0.72, 0.16, 0.46, 0.48, 0.12, 0.66, 0.61, 0.11, -7.09, 3.23, 1.00, 0.59, -0.00756, 0.05000
192882, 0, 0.50, 0.50, -1.06, -1.14, 61.90, -2.74, 1.32, 52.80, 0.01, 0.59, 0.54, 0.11, 0.76, 0.68, 0.68, 0.48, 0.49, 0.07, 0.68, 0.65, 0.11, -6.36, 3.24, 1.00, 0.60, -0.00752, 0.05000
192898, 0, 0.50, 0.50, -1.19, -0.96, 61.28, -2.76, 1.32, 52.80, 0.01, 0.59, 0.54, 0.28, 0.77, 0.73, 0.56, 0.48, 0.45, 0.26, 0.69, 0.68, 0.46, -5.51, 3.26, 1.00, 0.61, -0.00749, 0.05000
192909, 0, 0.50, 0.50, -1.05, -0.72, 60.67, -2.77, 1.32, 52.80, 0.01, 0.61, 0.61, 0.05, 0.79, 0.72, 0.72, 0.49, 0.49, 0.19, 0.70, 0.70, 0.11, -4.61, 3.27, 1.00, 0.62, -0.00747, 0.05000
