timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
226925, 0, 1.50, 0.50, -2.27, -0.53, 107.74, -11.15, 1.32, 52.80, 0.01, 1.51, 0.07, 0.00, 1.96, 0.03, 0.00, 1.24, 0.01, 0.00, 1.75, 0.03, 0.00, -2.81, 12.65, 1.00, 1.52, 0.01292, 0.05000
226952, 0, 1.50, 0.50, -1.61, -0.31, 75.76, -11.15, 1.32, 52.80, 0.01, 1.62, 0.07, 0.00, 2.08, 0.03, 0.00, 1.32, 0.01, 0.00, 1.87, 0.03, 0.00, 54.57, 12.65, 1.00, 1.61, 0.01359, 0.05000
226965, 0, 1.50, 0.50, -1.17, -0.60, 31.23, -11.16, 1.32, 52.80, 0.01, 1.94, 0.07, 0.00, 2.51, 0.03, 0.00, 1.59, 0.01, 0.00, 2.25, 0.03, 0.00, 64.15, 12.66, 1.00, 1.94, 0.01571, 0.05000
226978, 0, 1.50, 0.50, -0.92, -0.33, 9.28, -11.17, 1.32, 52.80, 0.01, 2.49, 0.07, 0.00, 3.23, 0.03, 0.12, 2.04, 0.01, 0.00, 2.89, 0.03, 0.11, 96.13, 12.67, 1.00, 2.48, 0.01911, 0.05000
226992, 0, 1.50, 0.50, -0.85, -0.17, 3.83, -11.17, 1.32, 52.80, 0.01, 2.76, 0.07, 0.11, 3.56, 0.01, 3.07, 2.25, 0.00, 0.02, 3.20, 0.01, 1.40, 140.66, 12.67, 1.00, 2.75, 0.02117, 0.05000
227034, 0, 1.50, 0.50, -0.93, 0.29, 7.57, -11.17, 1.32, 52.80, 0.01, 2.48, 0.80, 1.75, 3.20, 1.34, 2.11, 2.03, 0.75, 1.75, 2.86, 1.06, 2.68, 162.61, 12.67, 1.00, 2.46, 0.02192, 0.05000
227045, 0, 1.50, 0.50, -0.63, 0.76, 10.42, -11.16, 1.32, 52.80, 0.01, 1.77, 1.20, 1.65, 2.28, 1.62, 1.60, 1.45, 0.96, 1.84, 2.04, 1.31, 2.12, 168.06, 12.66, 1.00, 1.77, 0.02202, 0.05000
227058, 0, 1.50, 0.50, -0.91, 0.70, 13.91, -11.15, 1.32, 52.80, 0.01, 1.14, 1.18, 1.35, 1.48, 1.83, 0.98, 0.93, 1.10, 1.16, 1.32, 1.35, 1.19, 164.31, 12.65, 1.00, 1.14, 0.02198, 0.05000
227083, 0, 1.50, 0.50, -0.90, 1.23, 18.07, -11.13, 1.32, 52.80, 0.01, 0.92, 1.48, 0.91, 1.20, 1.87, 0.61, 0.75, 1.21, 0.61, 1.07, 1.27, 1.05, 161.47, 12.63, 1.00, 0.93, 0.02188, 0.05000
227091, 0, 1.50, 0.50, -0.99, 1.46, 22.14, -11.11, 1.32, 52.80, 0.01, 1.07, 2.49, 0.47, 1.38, 1.82, 0.61, 0.87, 1.61, 0.54, 1.24, 1.77, 1.04, 157.97, 12.61, 1.00, 1.08, 0.02182, 0.05000
227100, 0, 1.50, 0.50, -0.79, 1.68, 25.57, -11.09, 1.32, 52.80, 0.01, 1.31, 1.49, 0.56, 1.69, 1.82, 0.77, 1.07, 1.04, 0.33, 1.51, 1.39, 1.05, 153.82, 12.59, 1.00, 1.31, 0.02181, 0.05000
