timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
104365, 0, 0.50, 0.50, -0.24, 0.24, 40.10, -6.55, 1.32, 52.80, 0.01, 0.14, 0.07, 0.00, 0.18, 0.08, 0.00, 0.11, 0.06, 0.00, 0.17, 0.11, 0.00, 0.00, 7.05, 1.00, 0.16, 0.04997, 0.05000
104388, 0, 0.50, 0.50, -0.32, 0.08, 27.23, -6.55, 1.32, 52.80, 0.01, 0.00, 0.07, 0.00, 0.00, 0.08, 0.00, 0.00, 0.06, 0.00, 0.00, 0.11, 0.00, 57.30, 7.05, 1.00, -0.21, 0.05017, 0.05000
104400, 0, 0.50, 0.50, -0.36, -0.00, 15.21, -6.55, 1.32, 52.80, 0.01, 0.00, 0.07, 0.00, 0.00, 0.08, 0.00, 0.00, 0.06, 0.00, 0.00, 0.11, 0.00, 17.20, 7.05, 1.00, -0.33, 0.05005, 0.05000
104408, 0, 0.50, 0.50, -0.40, -0.05, 8.03, -6.55, 1.32, 52.80, 0.01, 0.08, 0.07, 0.00, 0.11, 0.08, 0.00, 0.07, 0.06, 0.00, 0.10, 0.11, 0.00, 30.06, 7.05, 1.00, 0.10, 0.05003, 0.05000
104418, 0, 0.50, 0.50, -0.42, -0.08, 4.54, -6.55, 1.32, 52.80, 0.01, 0.94, 0.07, 0.00, 1.23, 0.08, 0.00, 0.77, 0.06, 0.00, 1.10, 0.11, 0.00, 42.09, 7.05, 1.00, 0.96, 0.05018, 0.05000
104445, 0, 0.50, 0.50, -0.45, -0.06, 2.96, -6.55, 1.32, 52.80, 0.01, 1.51, 0.07, 0.00, 1.94, 0.08, 0.00, 1.23, 0.06, 0.00, 1.75, 0.11, 0.00, 49.27, 7.05, 1.00, 1.51, 0.05033, 0.05000
104453, 0, 0.50, 0.50, -0.43, -0.13, 2.00, -6.55, 1.32, 52.80, 0.01, 1.25, 0.07, 0.00, 1.62, 0.08, 0.00, 1.03, 0.06, 0.00, 1.45, 0.11, 0.00, 52.76, 7.05, 1.00, 1.26, 0.05042, 0.05000
104461, 0, 0.50, 0.50, -0.47, -0.17, 1.45, -6.56, 1.32, 52.80, 0.01, 0.56, 0.07, 0.00, 0.72, 0.08, 0.00, 0.45, 0.06, 0.00, 0.65, 0.11, 0.00, 54.33, 7.06, 1.00, 0.57, 0.05045, 0.05000
104476, 0, 0.50, 0.50, -0.45, -0.13, 1.06, -6.56, 1.32, 52.80, 0.01, 0.11, 0.07, 0.00, 0.15, 0.08, 0.00, 0.10, 0.06, 0.00, 0.14, 0.11, 0.00, 55.30, 7.06, 1.00, 0.14, 0.05044, 0.05000
104485, 0, 0.50, 0.50, -0.47, -0.13, 0.83, -6.56, 1.32, 52.80, 0.01, 0.13, 0.07, 0.00, 0.17, 0.08, 0.00, 0.10, 0.06, 0.00, 0.14, 0.11, 0.00, 55.85, 7.06, 1.00, 0.14, 0.05043, 0.05000
104498, 0, 0.50, 0.50, -0.48, -0.14, 0.65, -6.56, 1.32, 52.80, 0.01, 0.20, 0.07, 0.00, 0.27, 0.08, 0.00, 0.15, 0.06, 0.00, 0.23, 0.11, 0.00, 56.24, 7.06, 1.00, 0.22, 0.05043, 0.05000
104512, 0, 0.50, 0.50, -0.48, -0.13, 0.51, -6.56, 1.32, 52.80, 0.01, 0.25, 0.07, 0.00, 0.32, 0.08, 0.00, 0.20, 0.06, 0.00, 0.30, 0.11, 0.00, 56.47, 7.06, 1.00, 0.27, 0.05043, 0.05000
104525, 0, 0.50, 0.50, -0.48, -0.14, 0.41, -6.57, 1.32, 52.80, 0.01, 0.27, 0.07, 0.00, 0.37, 0.08, 0.00, 0.23, 0.06, 0.00, 0.32, 0.11, 0.00, 56.65, 7.07, 1.00, 0.29, 0.05043, 0.05000
104538, 0, 0.50, 0.50, -0.48, -0.14, 0.34, -6.57, 1.32, 52.80, 0.01, 0.28, 0.07, 0.00, 0.38, 0.08, 0.00, 0.24, 0.06, 0.00, 0.34, 0.11, 0.00, 56.78, 7.07, 1.00, 0.31, 0.05043, 0.05000
104552, 0, 0.50, 0.50, -0.49, -0.14, 0.28, -6.57, 1.32, 52.80, 0.01, 0.30, 0.07, 0.00, 0.39, 0.08, 0.00, 0.24, 0.06, 0.00, 0.35, 0.11, 0.00, 56.88, 7.07, 1.00, 0.32, 0.05043, 0.05000
104565, 0, 0.50, 0.50, -0.49, -0.14, 0.23, -6.57, 1.32, 52.80, 0.01, 0.31, 0.07, 0.00, 0.41, 0.08, 0.00, 0.25, 0.06, 0.00, 0.37, 0.11, 0.00, 56.96, 7.07, 1.00, 0.33, 0.05043, 0.05000
104578, 0, 0.50, 0.50, -0.49, -0.14, 0.18, -6.57, 1.32, 52.80, 0.01, 0.32, 0.07, 0.00, 0.42, 0.08, 0.00, 0.25, 0.06, 0.00, 0.37, 0.11, 0.00, 57.02, 7.07, 1.00, 0.34, 0.05043, 0.05000
104592, 0, 0.50, 0.50, -0.49, -0.14, 0.14, -6.57, 1.32, 52.80, 0.01, 0.32, 0.07, 0.00, 0.44, 0.08, 0.00, 0.27, 0.06, 0.00, 0.38, 0.11, 0.00, 57.06, 7.07, 1.00, 0.35, 0.05043, 0.05000
104605, 0, 0.50, 0.50, -0.49, -0.15, 0.10, -6.58, 1.32, 52.80, 0.01, 0.34, 0.07, 0.00, 0.44, 0.08, 0.00, 0.27, 0.06, 0.00, 0.39, 0.11, 0.00, 57.12, 7.08, 1.00, 0.36, 0.05043, 0.05000
104618, 0, 0.50, 0.50, -0.49, -0.15, 0.08, -6.58, 1.32, 52.80, 0.01, 0.35, 0.07, 0.00, 0.45, 0.08, 0.00, 0.28, 0.06, 0.00, 0.41, 0.11, 0.00, 57.16, 7.08, 1.00, 0.36, 0.05043, 0.05000
104632, 0, 0.50, 0.50, -0.49, -0.15, 0.05, -6.58, 1.32, 52.80, 0.01, 0.35, 0.07, 0.00, 0.46, 0.08, 0.00, 0.30, 0.06, 0.00, 0.42, 0.11, 0.00, 57.19, 7.08, 1.00, 0.37, 0.05043, 0.05000
104645, 0, 0.50, 0.50, -0.49, -0.16, 0.03, -6.58, 1.32, 52.80, 0.01, 0.37, 0.07, 0.00, 0.48, 0.08, 0.00, 0.30, 0.06, 0.00, 0.42, 0.11, 0.00, 57.22, 7.08, 1.00, 0.38, 0.05043, 0.05000
104658, 0, 0.50, 0.50, -0.49, -0.16, 0.01, -6.58, 1.32, 52.80, 0.01, 0.38, 0.07, 0.00, 0.49, 0.08, 0.00, 0.31, 0.06, 0.00, 0.44, 0.11, 0.00, 57.24, 7.08, 1.00, 0.39, 0.05043, 0.05000
104672, 0, 0.50, 0.50, -0.49, -0.16, 0.00, -6.59, 1.32, 52.80, 0.01, 0.38, 0.07, 0.00, 0.51, 0.08, 0.00, 0.31, 0.06, 0.00, 0.45, 0.11, 0.00, 57.26, 7.09, 1.00, 0.40, 0.05043, 0.05000
104685, 0, 0.50, 0.50, -0.49, -0.17, -0.01, -6.59, 1.32, 52.80, 0.01, 0.39, 0.07, 0.00, 0.52, 0.08, 0.00, 0.32, 0.06, 0.00, 0.46, 0.11, 0.00, 57.28, 7.09, 1.00, 0.41, 0.05043, 0.05000
104698, 0, 0.50, 0.50, -0.50, -0.17, -0.02, -6.59, 1.32, 52.80, 0.01, 0.41, 0.07, 0.00, 0.54, 0.08, 0.00, 0.32, 0.06, 0.00, 0.46, 0.11, 0.00, 57.29, 7.09, 1.00, 0.42, 0.05043, 0.05000
104712, 0, 0.50, 0.50, -0.50, -0.17, -0.03, -6.59, 1.32, 52.80, 0.01, 0.41, 0.07, 0.00, 0.54, 0.08, 0.00, 0.34, 0.06, 0.00, 0.48, 0.11, 0.00, 57.30, 7.09, 1.00, 0.43, 0.05043, 0.05000
