timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
235358, 0, 1.50, 0.50, -1.70, -0.94, 126.29, -10.76, 1.32, 52.80, 0.01, 0.07, 0.07, 0.00, 0.10, 0.06, 0.00, 0.06, 0.04, 0.00, 0.08, 0.08, 0.00, -4.48, 12.26, 1.00, 0.09, 0.00418, -0.00739
235384, 0, 1.50, 0.50, -1.15, -0.73, 75.30, -10.77, 1.32, 52.80, 0.01, 0.07, 0.07, 0.00, 0.10, 0.06, 0.00, 0.06, 0.04, 0.00, 0.08, 0.08, 0.00, 29.81, 12.27, 1.00, 0.09, 0.00389, -0.06643
235393, 0, 1.50, 0.50, -0.86, -0.58, 23.23, -10.78, 1.32, 52.80, 0.01, 0.24, 0.07, 0.00, 0.32, 0.06, 0.00, 0.20, 0.04, 0.00, 0.28, 0.08, 0.00, 45.60, 12.28, 1.00, 0.26, 0.00253, -0.06547
235401, 0, 1.50, 0.50, -0.72, -0.48, 6.41, -10.79, 1.32, 52.80, 0.01, 0.51, 0.07, 0.00, 0.66, 0.06, 0.00, 0.41, 0.04, 0.00, 0.59, 0.08, 0.00, 96.59, 12.29, 1.00, 0.52, 0.00260, 0.00368
235412, 0, 1.50, 0.50, -0.65, -0.42, 2.63, -10.79, 1.32, 52.80, 0.01, 0.79, 0.07, 0.00, 1.03, 0.06, 0.00, 0.65, 0.04, 0.00, 0.92, 0.08, 0.00, 148.66, 12.29, 1.00, 0.80, 0.00389, 0.20610
235425, 0, 1.50, 0.50, -0.61, -0.38, 1.44, -10.80, 1.32, 52.80, 0.01, 1.01, 0.07, 0.00, 1.31, 0.06, 0.00, 0.83, 0.04, 0.00, 1.17, 0.08, 0.00, 165.47, 12.30, 1.00, 1.02, 0.00487, 0.38305
235452, 0, 1.50, 0.50, -0.58, -0.35, 0.91, -10.80, 1.32, 52.80, 0.01, 0.94, 0.07, 0.00, 1.23, 0.06, 0.00, 0.77, 0.04, 0.00, 1.10, 0.08, 0.00, 169.26, 12.30, 1.00, 0.95, 0.00540, 0.28026
235465, 0, 1.50, 0.50, -0.56, -0.33, 0.63, -10.81, 1.32, 52.80, 0.01, 0.72, 0.07, 0.00, 0.93, 0.06, 0.00, 0.58, 0.04, 0.00, 0.83, 0.08, 0.00, 170.45, 12.31, 1.00, 0.72, 0.00543, 0.01987
235478, 0, 1.50, 0.50, -0.55, -0.32, 0.45, -10.81, 1.32, 52.80, 0.01, 0.62, 0.07, 0.00, 0.80, 0.06, 0.00, 0.51, 0.04, 0.00, 0.72, 0.08, 0.00, 170.97, 12.31, 1.00, 0.63, 0.00525, -0.10288
235492, 0, 1.50, 0.50, -0.54, -0.30, 0.31, -10.82, 1.32, 52.80, 0.01, 0.69, 0.07, 0.00, 0.90, 0.06, 0.00, 0.56, 0.04, 0.00, 0.80, 0.08, 0.00, 171.26, 12.32, 1.00, 0.70, 0.00514, -0.06191
