timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
231940, 1, 0.50, 0.50, -0.73, -0.32, 47.42, 93.32, 1.32, 52.80, 0.01, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 52.00, 0.00, 0.00, 0.00, -92.82, 1.00, 2.86, -0.00057, 0.00038
231968, 1, 0.50, 0.50, -0.66, -0.28, 35.29, 93.33, 1.32, 52.80, 0.01, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 26.00, 0.00, 0.00, 57.30, -92.83, 1.00, 0.56, 0.00389, -0.02532
231980, 1, 0.50, 0.50, -0.64, -0.32, 20.76, 93.34, 1.32, 52.80, 0.01, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 32.00, 0.00, 0.00, 9.88, -92.84, 1.00, 1.18, 0.00188, -0.02025
231994, 1, 0.50, 0.50, -0.61, -0.24, 10.59, 93.35, 1.32, 52.80, 0.01, 42.00, 0.00, 0.00, 42.00, 0.00, 0.00, 42.00, 0.00, 0.00, 42.00, 0.00, 0.00, 22.00, -92.85, 1.00, 1.96, 0.00142, -0.00284
232007, 1, 0.50, 0.50, -0.60, -0.22, 5.66, 93.36, 1.32, 52.80, 0.01, 48.00, 0.00, 0.00, 48.00, 0.00, 0.00, 48.00, 8.00, 0.09, 48.00, 0.00, 0.00, 36.54, -92.86, 1.00, 2.60, 0.00446, 0.08044
232020, 1, 0.50, 0.50, -0.57, -0.26, 3.32, 93.37, 1.32, 52.80, 0.01, 54.00, 0.00, 0.00, 54.00, 0.00, 0.00, 54.00, 26.00, 0.26, 54.00, 0.00, 0.00, 46.70, -92.87, 1.00, 3.08, 0.00750, 0.23912
232034, 1, 0.50, 0.50, -0.57, -0.18, 2.18, 93.37, 1.32, 52.80, 0.01, 56.00, 8.00, 0.07, 56.00, 0.00, 0.00, 56.00, 38.00, 0.40, 56.00, 0.00, 0.00, 51.64, -92.87, 1.00, 3.28, 0.00907, 0.24257
232047, 1, 0.50, 0.50, -0.57, -0.19, 1.52, 93.38, 1.32, 52.80, 0.01, 56.00, 18.00, 0.19, 56.00, 6.00, 0.07, 56.00, 50.00, 0.51, 56.00, 2.00, 0.02, 53.97, -92.88, 1.00, 3.27, 0.00948, 0.09305
232060, 1, 0.50, 0.50, -0.55, -0.21, 1.14, 93.39, 1.32, 52.80, 0.01, 56.00, 34.00, 0.33, 56.00, 22.00, 0.23, 56.00, 50.00, 0.51, 56.00, 16.00, 0.16, 55.12, -92.89, 1.00, 3.27, 0.00941, -0.01969
232074, 1, 0.50, 0.50, -0.55, -0.19, 0.90, 93.40, 1.32, 52.80, 0.01, 56.00, 46.00, 0.46, 56.00, 42.00, 0.44, 56.00, 48.00, 0.49, 56.00, 34.00, 0.35, 55.78, -92.90, 1.00, 3.37, 0.00931, -0.03048
232087, 1, 0.50, 0.50, -0.51, -0.15, 0.79, 93.40, 1.32, 52.80, 0.01, 58.00, 54.00, 0.54, 58.00, 52.00, 0.53, 58.00, 54.00, 0.56, 58.00, 42.00, 0.42, 56.16, -92.90, 1.00, 3.48, 0.00925, -0.01703
232115, 1, 0.50, 0.50, -0.48, -0.11, 1.00, 93.41, 1.32, 52.80, 0.01, 60.00, 58.00, 0.60, 60.00, 46.00, 0.47, 60.00, 60.00, 0.61, 60.00, 52.00, 0.54, 56.40, -92.91, 1.00, 3.58, 0.00924, -0.00619
232127, 1, 0.50, 0.50, -0.47, 0.07, 1.51, 93.42, 1.32, 52.80, 0.01, 60.00, 64.00, 0.67, 60.00, 54.00, 0.54, 60.00, 60.00, 0.61, 60.00, 60.00, 0.61, 56.51, -92.92, 1.00, 3.66, 0.00923, -0.00164
232140, 1, 0.50, 0.50, -0.51, 0.32, 2.12, 93.42, 1.32, 52.80, 0.01, 60.00, 60.00, 0.61, 60.00, 58.00, 0.60, 60.00, 54.00, 0.54, 60.00, 58.00, 0.60, 56.29, -92.92, 1.00, 3.72, 0.00923, -0.00084
232156, 1, 0.50, 0.50, -0.57, 0.64, 2.84, 93.43, 1.32, 52.80, 0.01, 62.00, 58.00, 0.60, 62.00, 64.00, 0.65, 62.00, 64.00, 0.65, 62.00, 56.00, 0.58, 55.79, -92.93, 1.00, 3.78, 0.00923, -0.00125
232167, 1, 0.50, 0.50, -0.57, 0.90, 3.55, 93.44, 1.32, 52.80, 0.01, 62.00, 46.00, 0.47, 62.00, 60.00, 0.60, 62.00, 66.00, 0.67, 62.00, 48.00, 0.49, 55.17, -92.94, 1.00, 3.83, 0.00923, -0.00088
232180, 1, 0.50, 0.50, -0.47, 1.23, 4.49, 93.44, 1.32, 52.80, 0.01, 62.00, 42.00, 0.44, 62.00, 68.00, 0.68, 62.00, 62.00, 0.65, 62.00, 58.00, 0.58, 54.46, -92.94, 1.00, 3.88, 0.00923, 0.00121
232194, 1, 0.50, 0.50, -0.54, 1.50, 6.27, 93.45, 1.32, 52.80, 0.01, 62.00, 54.00, 0.54, 62.00, 66.00, 0.68, 62.00, 56.00, 0.56, 62.00, 64.00, 0.65, 53.75, -92.95, 1.00, 3.92, 0.00923, 0.00441
232207, 1, 0.50, 0.50, -0.54, 1.21, 8.47, 93.45, 1.32, 52.80, 0.01, 62.00, 70.00, 0.72, 62.00, 66.00, 0.67, 62.00, 54.00, 0.54, 62.00, 54.00, 0.54, 52.80, -92.95, 1.00, 3.91, 0.00923, 0.00679
232226, 1, 0.50, 0.50, -0.61, 1.39, 11.16, 93.46, 1.32, 52.80, 0.01, 62.00, 52.00, 0.53, 62.00, 50.00, 0.51, 62.00, 56.00, 0.58, 62.00, 48.00, 0.60, 51.03, -92.96, 1.00, 3.88, 0.00922, 0.00758
232234, 1, 0.50, 0.50, -0.62, 1.24, 13.91, 93.46, 1.32, 52.80, 0.01, 62.00, 58.00, 0.60, 62.00, 74.00, 0.75, 62.00, 56.00, 0.56, 62.00, 70.00, 0.70, 48.82, -92.96, 1.00, 3.82, 0.00921, 0.00855
232247, 1, 0.50, 0.50, -0.65, 1.45, 16.86, 93.47, 1.32, 52.80, 0.01, 60.00, 62.00, 0.63, 60.00, 60.00, 0.61, 60.00, 58.00, 0.60, 60.00, 64.00, 0.67, 46.14, -92.97, 1.00, 3.76, 0.00918, 0.01272
232260, 1, 0.50, 0.50, -0.67, 1.43, 19.46, 93.48, 1.32, 52.80, 0.01, 60.00, 62.00, 0.63, 60.00, 66.00, 0.68, 60.00, 62.00, 0.63, 60.00, 62.00, 0.63, 43.38, -92.98, 1.00, 3.69, 0.00912, 0.02154
232274, 1, 0.50, 0.50, -0.64, 1.34, 21.49, 93.48, 1.32, 52.80, 0.01, 60.00, 54.00, 0.54, 60.00, 54.00, 0.56, 60.00, 58.00, 0.58, 60.00, 66.00, 0.61, 40.43, -92.98, 1.00, 3.63, 0.00905, 0.03423
232287, 1, 0.50, 0.50, -0.67, 1.28, 23.76, 93.49, 1.32, 52.80, 0.01, 60.00, 52.00, 0.53, 60.00, 54.00, 0.54, 60.00, 50.00, 0.51, 60.00, 62.00, 0.63, 37.84, -92.99, 1.00, 3.60, 0.00897, 0.04904
232300, 1, 0.50, 0.50, -0.57, 1.35, 25.84, 93.50, 1.32, 52.80, 0.01, 58.00, 54.00, 0.56, 58.00, 58.00, 0.60, 58.00, 58.00, 0.60, 58.00, 52.00, 0.54, 35.80, -93.00, 1.00, 3.56, 0.00885, 0.06320
232314, 1, 0.50, 0.50, -0.64, 1.31, 28.67, 93.50, 1.32, 52.80, 0.01, 58.00, 52.00, 0.53, 58.00, 60.00, 0.61, 58.00, 56.00, 0.58, 58.00, 52.00, 0.53, 33.54, -93.00, 1.00, 3.52, 0.00871, 0.07459
