timestamp, mode, setpoint, setpoint_radius, acc_x, acc_y, gyro_z, actual_velocity, Kp, Ki, Kd, MU0setpoint, MU0value, MU0current, MU1setpoint, MU1value, MU1current, MU2setpoint, MU2value, MU2current, MU3setpoint, MU3value, MU3current, error_yaw, error_velocity, updated_yaw, updated_velocity, omega_yaw, omega_move
87979, 0, 0.50, 0.50, -1.00, -0.27, 53.98, -2.00, 1.32, 52.80, 0.01, 0.00, 0.10, 0.00, 0.00, 0.13, 0.00, 0.00, 0.08, 0.00, 0.00, 0.10, 0.00, -1.72, 2.50, 1.00, -0.01, 0.00198, -0.00150
88002, 0, 0.50, 0.50, -0.90, -0.23, 42.70, -2.01, 1.32, 52.80, 0.01, 0.00, 0.10, 0.00, 0.00, 0.13, 0.00, 0.00, 0.08, 0.00, 0.00, 0.10, 0.00, -1.67, 2.51, 1.00, -0.00, 0.00195, -0.01452
88010, 0, 0.50, 0.50, -0.82, -0.21, 26.37, -2.01, 1.32, 52.80, 0.01, 0.00, 0.10, 0.00, 0.01, 0.13, 0.00, 0.00, 0.08, 0.00, 0.01, 0.10, 0.00, 3.31, 2.51, 1.00, 0.03, 0.00181, -0.02283
88021, 0, 0.50, 0.50, -0.76, -0.19, 13.26, -2.01, 1.32, 52.80, 0.01, 0.08, 0.10, 0.00, 0.11, 0.13, 0.00, 0.06, 0.08, 0.00, 0.10, 0.10, 0.00, 14.60, 2.51, 1.00, 0.10, 0.00176, -0.00521
88033, 0, 0.50, 0.50, -0.71, -0.18, 6.62, -2.02, 1.32, 52.80, 0.01, 0.17, 0.10, 0.00, 0.23, 0.13, 0.00, 0.14, 0.08, 0.00, 0.21, 0.10, 0.00, 30.92, 2.52, 1.00, 0.19, 0.00205, 0.04159
88046, 0, 0.50, 0.50, -0.68, -0.16, 3.71, -2.02, 1.32, 52.80, 0.01, 0.25, 0.10, 0.00, 0.34, 0.13, 0.00, 0.20, 0.08, 0.00, 0.30, 0.10, 0.00, 44.04, 2.52, 1.00, 0.27, 0.00238, 0.08898
88059, 0, 0.50, 0.50, -0.65, -0.16, 2.33, -2.02, 1.32, 52.80, 0.01, 0.27, 0.10, 0.00, 0.35, 0.13, 0.00, 0.21, 0.08, 0.00, 0.31, 0.10, 0.00, 50.67, 2.52, 1.00, 0.28, 0.00256, 0.08341
88073, 0, 0.50, 0.50, -0.63, -0.15, 1.57, -2.02, 1.32, 52.80, 0.01, 0.23, 0.10, 0.00, 0.31, 0.13, 0.00, 0.18, 0.08, 0.00, 0.27, 0.10, 0.00, 53.59, 2.52, 1.00, 0.25, 0.00262, 0.03402
88086, 0, 0.50, 0.50, -0.61, -0.15, 1.14, -2.02, 1.32, 52.80, 0.01, 0.20, 0.10, 0.00, 0.27, 0.13, 0.00, 0.17, 0.08, 0.00, 0.24, 0.10, 0.00, 54.97, 2.52, 1.00, 0.22, 0.00261, -0.00479
88099, 0, 0.50, 0.50, -0.59, -0.14, 0.85, -2.03, 1.32, 52.80, 0.01, 0.21, 0.10, 0.00, 0.28, 0.13, 0.00, 0.17, 0.08, 0.00, 0.24, 0.10, 0.00, 55.73, 2.53, 1.00, 0.23, 0.00259, -0.01089
88113, 0, 0.50, 0.50, -0.58, -0.14, 0.64, -2.03, 1.32, 52.80, 0.01, 0.23, 0.10, 0.00, 0.30, 0.13, 0.00, 0.18, 0.08, 0.00, 0.27, 0.10, 0.00, 56.16, 2.53, 1.00, 0.24, 0.00259, -0.00691
88139, 0, 0.50, 0.50, -0.57, -0.13, 0.48, -2.03, 1.32, 52.80, 0.01, 0.24, 0.10, 0.00, 0.31, 0.13, 0.00, 0.20, 0.08, 0.00, 0.28, 0.10, 0.00, 56.45, 2.53, 1.00, 0.26, 0.00258, -0.00274
88147, 0, 0.50, 0.50, -0.57, -0.13, 0.37, -2.03, 1.32, 52.80, 0.01, 0.25, 0.10, 0.00, 0.32, 0.13, 0.00, 0.20, 0.08, 0.00, 0.30, 0.10, 0.00, 56.66, 2.53, 1.00, 0.27, 0.00258, -0.00066
88155, 0, 0.50, 0.50, -0.56, -0.12, 0.29, -2.03, 1.32, 52.80, 0.01, 0.27, 0.10, 0.00, 0.34, 0.13, 0.00, 0.21, 0.08, 0.00, 0.31, 0.10, 0.00, 56.81, 2.53, 1.00, 0.28, 0.00258, 0.00009
88170, 0, 0.50, 0.50, -0.56, -0.12, 0.23, -2.03, 1.32, 52.80, 0.01, 0.27, 0.10, 0.00, 0.35, 0.13, 0.00, 0.23, 0.08, 0.00, 0.32, 0.10, 0.00, 56.93, 2.53, 1.00, 0.29, 0.00258, 0.00030
88179, 0, 0.50, 0.50, -0.55, -0.12, 0.17, -2.04, 1.32, 52.80, 0.01, 0.28, 0.10, 0.00, 0.37, 0.13, 0.00, 0.23, 0.08, 0.00, 0.32, 0.10, 0.00, 57.01, 2.54, 1.00, 0.30, 0.00258, 0.00031
88193, 0, 0.50, 0.50, -0.55, -0.12, 0.13, -2.04, 1.32, 52.80, 0.01, 0.30, 0.10, 0.00, 0.38, 0.13, 0.00, 0.24, 0.08, 0.00, 0.34, 0.10, 0.00, 57.07, 2.54, 1.00, 0.31, 0.00258, 0.00026
88206, 0, 0.50, 0.50, -0.55, -0.12, 0.09, -2.04, 1.32, 52.80, 0.01, 0.31, 0.10, 0.00, 0.39, 0.13, 0.00, 0.24, 0.08, 0.00, 0.35, 0.10, 0.00, 57.12, 2.54, 1.00, 0.32, 0.00258, 0.00022
88219, 0, 0.50, 0.50, -0.54, -0.12, 0.05, -2.04, 1.32, 52.80, 0.01, 0.31, 0.10, 0.00, 0.41, 0.13, 0.00, 0.25, 0.08, 0.00, 0.37, 0.10, 0.00, 57.17, 2.54, 1.00, 0.33, 0.00258, 0.00020
